abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.575414658,7.865402699,3.93106699,25.66856003,15.84953213,21.35006523,66.66638184,30.40049744,96.94290161,37.2648735,64.09937286,106.5934525,42.52845001,104.4353104,45.14484024,109.2551804,79.01855469,202.7779846,136.6553497,205.407959,365.9167786,179.7415924,413.6295471,142.0398254,332.0782166,91.15862274,233.3859253,25.26441956,58.80553055,156.3759308,34.34602737,89.79356384,14.92286682,61.40862274,6.667645931,44.87072372,0.802114785,1.062074661,8.272901535,2.161067247,2.553405046,0.383423626,1.38665247
0.05,7.239337444,7.523004055,3.767216682,24.55799675,15.12777615,20.40715027,63.83439255,29.17845345,93.29366302,35.96969223,61.84244919,101.16259,40.53142929,98.14154053,42.34030151,101.5413742,73.00602722,189.280014,127.3218842,191.3150482,339.1001282,166.9624329,384.147522,131.9622955,308.1200867,84.30819702,211.7590637,23.4949379,54.63845825,143.132431,32.14225388,82.71686554,14.18517113,57.50551987,6.351719379,41.84809113,0.754504442,0.997505426,7.883093834,2.075160503,2.370896339,0.370914072,1.341533184
0.1,6.878706932,7.147894382,3.58772254,23.35095406,14.35419846,19.37262344,60.68092346,27.85450745,89.50999451,34.66830826,59.56069565,95.89628601,38.62168884,91.89686584,39.62244415,94.00741577,67.1028595,176.100174,118.1218719,177.508316,313.3613586,154.7745361,355.9785461,122.4983673,285.8853149,77.73781586,191.0703125,21.72150803,50.42215347,129.9572449,30.02214241,75.75501251,13.47707844,53.70898819,5.995828629,38.68850327,0.708563566,0.932774663,7.493937492,1.993551493,2.206175566,0.358448654,1.297007322
0.15,6.482441902,6.735070229,3.390489817,22.04415894,13.52304649,18.28533745,57.3916626,26.50684166,85.62968445,33.34767532,57.28366089,91.04528046,36.85667801,85.996315,37.05315018,86.52947998,61.19391632,162.5368347,108.5422516,163.3703461,286.75354,142.3069153,327.3132935,112.9221268,264.2196045,71.027565,170.178009,19.93596458,46.13843918,117.0601883,28.28635788,69.79007721,13.05012226,50.27166367,5.64759779,34.81919479,0.670333028,0.880441308,7.031326771,1.924871087,2.011303425,0.351439387,1.267515659
0.2,6.094407558,6.330896378,3.1971457,20.79421997,12.73564816,17.27958298,54.37128448,25.29765701,82.10436249,32.15014267,55.25981522,87.26568604,35.47821808,81.28338623,35.0083046,80.29517365,56.23527145,151.0502014,100.2076416,151.1977081,263.7835693,131.7532349,303.0805054,104.8432083,247.268631,65.35414124,152.4368591,18.52821732,42.74403,107.0216446,27.32888794,66.75875854,13.13360977,47.6288147,5.35775423,30.39265823,0.647430182,0.851641119,6.528223991,1.874346256,1.825788736,0.349444628,1.248497605
0.25,5.698640823,5.920777798,3.001164675,19.55903435,11.96917629,16.313097,51.4435997,24.15004158,78.70995331,31.00086403,53.36804581,84.35355377,34.41337204,77.58287048,33.42916489,75.23555756,52.17935944,141.7454224,93.11083221,140.9228973,245.428009,123.7215576,284.8665161,98.89076233,236.7458954,61.11157608,138.5822296,17.60744667,40.59125519,100.8042068,27.18209457,67.0753479,13.59276104,45.65299988,5.11553812,25.35181618,0.638713896,0.838786602,6.060454369,1.835167289,1.71749711,0.349936575,1.241510272
0.3,5.334423065,5.540932655,2.819449186,18.46028137,11.30526257,15.48724365,48.89520264,23.15393066,75.71139526,29.97816467,51.75283432,82.48399353,33.72813797,75.25846863,32.48880386,72.04473114,49.60852432,136.1912079,88.39887238,134.1828918,234.3113098,119.3877945,275.3643494,96.00159454,234.3826904,59.12804031,131.0734406,17.33877563,40.02518463,99.92128754,27.82030678,70.14411926,14.18385887,44.32130814,4.933087349,20.79382896,0.650671899,0.852742791,5.878591061,1.840142608,1.757437706,0.354582757,1.259515405
0.35,4.94068861,5.13030386,2.62297225,17.29274178,10.60944366,14.62085915,46.23696899,22.09553528,72.4442749,28.84272385,50.02215195,81.08157349,33.1999054,73.65270996,31.95674133,70.22817993,48.12356567,133.8054657,85.60359192,130.3994141,229.526825,118.3014374,273.8374939,95.80645752,239.2848358,59.13100052,129.0118561,17.69300842,40.94912338,103.5808182,29.01333237,75.20329285,14.86841679,43.55041122,4.810883045,17.33026314,0.683523476,0.89091289,5.993004799,1.90785563,1.926468134,0.367736429,1.301679969
0.4,4.541733265,4.715960026,2.424796581,16.11200905,9.916097641,13.75266266,43.59638214,21.01039505,68.94255066,27.56532097,48.1150589,79.94823456,32.71897125,72.47872162,31.72044945,69.78598022,47.75535202,134.5863342,84.99603271,129.8628235,231.5449066,120.2647705,279.8047791,98.34944916,248.9782562,60.67593002,131.6395111,18.38423347,42.64159012,109.5118179,30.35390472,80.25554657,15.45946789,43.44965744,4.783493519,15.93825531,0.718477666,0.933996856,6.315163612,2.012978792,2.111100912,0.385751992,1.336924434
0.45,4.147181988,4.307404518,2.231027126,14.93385124,9.23578167,12.87959099,40.87326431,19.81145096,64.91085052,26.01610565,45.76762772,78.3082428,31.90748596,70.72325134,31.35360718,69.65002441,47.76473999,136.3153839,85.36923218,130.6419373,235.7847137,122.8223953,287.3321533,101.4341888,257.8691101,62.28771591,135.1223907,18.91456223,43.92847061,114.3725662,31.28161049,83.48692322,15.70428085,43.29317856,4.772611618,15.99993038,0.732306838,0.955212712,6.519282818,2.062417507,2.229332685,0.392901331,1.33201766
