abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.580377102,7.871824741,3.93548274,25.68836784,15.86013317,21.40447617,66.72569275,30.42557526,97.06063843,37.3538208,65.28967285,107.726532,42.91860199,105.01194,45.35884857,110.620018,79.95317078,205.3091125,136.4917603,209.8293762,386.4338379,190.2366943,440.3777161,151.8071442,353.7518616,96.88512421,249.0693207,28.08309937,63.53610229,158.3040771,33.64244843,82.830513,14.22596455,54.37234879,5.455887318,32.60528946,0.648563385,0.83481437,6.463089943,1.779367805,2.027061224,0.318369001,1.157725215
0.05,7.243044376,7.527418613,3.770573616,24.57322311,15.13605595,20.45741081,63.89071655,29.20419884,93.40550995,36.05820465,62.95428085,102.1845703,40.89004898,98.51139832,42.45413208,102.6001053,73.74691772,191.1006927,126.8041611,195.0199738,356.8451538,176.0513458,406.9676208,140.4396667,326.4022217,89.13273621,224.1653137,26.11736488,58.97480011,144.5647125,31.40520096,75.74215698,13.58907127,50.90781784,5.245239258,30.382761,0.616008699,0.792760253,6.066977978,1.680728078,1.827731729,0.305520296,1.128503084
0.1,6.881536961,7.151153564,3.590464592,23.3616848,14.36015511,19.41602135,60.73060226,27.88108635,89.61186981,34.75296021,60.61618042,96.76530457,38.93572617,92.14303589,39.67441177,94.85050964,67.72294617,177.4073029,117.4005508,180.9244232,329.1733093,162.84729,375.632019,129.9092865,301.5371399,81.87503815,201.1072693,24.20180893,54.50652695,131.6326141,29.50086021,69.44889069,13.10918522,47.81208801,5.045768261,28.0896244,0.5967623,0.768236101,5.830858707,1.623328686,1.680548191,0.295704573,1.113015056
0.15,6.485132217,6.73853302,3.39344883,22.0560627,13.5308485,18.32326889,57.43881989,26.53308868,85.71982574,33.42615128,58.28626251,91.78147125,37.1227417,86.17783356,37.08299255,87.2522583,61.76123047,163.5709839,107.7442398,166.7799377,300.8811951,149.5499573,344.0917664,119.3388596,277.9588623,74.70816803,178.2913818,22.3326149,50.14146805,119.57061,28.22860527,65.11766815,13.03199196,45.34827423,4.915353775,25.40756607,0.588711619,0.760030568,5.743124008,1.629390121,1.588145733,0.293194026,1.105194211
0.2,6.096420765,6.333202362,3.199433327,20.80506325,12.74357796,17.31287193,54.40880203,25.32031822,82.17449951,32.2186203,56.19459534,87.83590698,35.6909523,81.38591003,35.00341797,80.93994904,56.76995087,152.0010529,99.43156433,154.7975769,276.7410583,138.581131,318.4178162,110.8972702,260.6447449,69.10733795,160.0344391,20.99808121,46.98168564,111.3342133,28.11790466,65.22503662,13.55030537,44.16025925,4.9198699,22.61800385,0.599145412,0.78198123,5.893612862,1.724305272,1.622191072,0.304406643,1.12079978
0.25,5.70123148,5.923182964,3.003218651,19.56932259,11.97729492,16.34643936,51.48776245,24.17697716,78.79696655,31.07049179,54.21781921,84.78155518,34.5765419,77.61469269,33.40087891,75.93662262,52.77702332,143.0482635,92.63327026,145.1690216,258.4202271,130.8476715,300.9066772,105.3558578,252.0483093,65.86702728,148.0966034,20.34652328,45.45251083,108.3398056,28.98174477,69.96405029,14.56698799,44.18864441,5.0307827,19.88807487,0.635210216,0.828648627,6.186722279,1.867425919,1.767345309,0.323216289,1.160010695
0.3,5.337471962,5.54483223,2.822338104,18.4754467,11.31615734,15.52539349,48.94277954,23.18901062,75.81918335,30.043293,52.46689987,82.75927734,33.80837631,75.14056396,32.42409134,72.79821777,50.26003647,138.0525055,88.37905884,139.4072723,248.3288574,127.2164764,293.5732117,103.3000717,252.7737579,65.16621399,143.6631775,20.43198395,45.70534897,111.0334015,30.48139954,76.99560547,15.72534466,45.17534256,5.196921349,17.91953087,0.678347111,0.885405958,6.62522459,2.060288668,1.981480718,0.348259568,1.227739334
0.35,4.942701817,5.132613659,2.624925375,17.30420494,10.61762333,14.65908146,46.30451965,22.15280724,72.62178802,28.92306519,50.60339737,81.32603455,33.22463608,73.42679596,31.89323044,71.14518738,48.93590546,136.526123,86.21703339,136.6129456,245.4067688,127.226326,295.1914368,104.4426804,261.4556274,66.57843018,145.3196564,21.22779846,47.69042587,118.2354889,32.65911865,85.47873688,17.03161049,47.05604172,5.397603035,17.07335281,0.732848823,0.954980552,7.249565601,2.30468297,2.26215744,0.389450818,1.367811441
0.4,4.545479774,4.720086575,2.42782259,16.13135338,9.929646492,13.80200672,43.69666672,21.08955956,69.17311859,27.65278435,48.55216599,80.1296463,32.6632843,72.06053925,31.58719635,70.67543793,48.58771515,137.569519,85.82972717,136.2192993,247.678009,129.4906006,302.3605347,107.5904007,272.8109741,68.7382431,150.0334473,22.18130493,49.92088699,125.7417679,34.58972549,92.27379608,17.96572113,48.63706589,5.536550045,17.29275131,0.779917657,1.010400057,7.688252449,2.476709127,2.459418774,0.420593679,1.458401442
0.45,4.15162611,4.312129498,2.23418951,14.95580578,9.251265526,12.94104004,41.0116272,19.91145706,65.18869781,26.1139183,46.08525848,78.48182678,31.82277298,70.26428986,31.17942429,70.48083496,48.56559753,139.3986359,86.30123901,136.7783051,251.1710358,131.8461609,309.907074,110.6692352,282.1403503,70.51689911,154.311676,22.86131287,51.51869583,131.1913757,35.86563873,96.57167053,18.43432808,49.45566559,5.607892036,17.95734024,0.802927315,1.037961006,7.859933376,2.553475618,2.562172174,0.435100138,1.486853242
0.5,3.785873652,3.933243036,2.052564621,13.84091091,8.609676361,12.10416412,38.35112762,18.6768837,60.91871643,24.41031075,43.36362076,76.10092926,30.61740685,67.71273804,30.43998146,69.65381622,48.18216324,139.682663,86.34023285,136.6078491,251.8465424,132.2796021,312.3925171,111.7848053,285.6829224,71.02883148,155.7749786,23.03830528,51.97673035,133.2171021,36.27952194,98.03134918,18.4753418,49.36629105,5.605393887,18.54806328,0.805609703,1.043284059,7.851405621,2.560973883,2.59789753,0.436909467,1.481979728
0.55,3.39144206,3.525087595,1.848329306,12.59629059,7.874601364,11.12199593,35.20359421,17.19010735,55.81666183,22.33493614,39.97079468,72.16991425,28.71599388,63.79460144,29.06077576,67.3179245,46.81192017,136.3521576,84.69048309,133.7478027,247.240799,129.2989807,306.1125488,109.5960541,281.1872559,69.57543182,152.8499451,22.5110054,50.88875198,131.0694733,35.69797897,96.51141357,18.05286598,48.05324936,5.498990536,18.71308327,0.786524117,1.023610353,7.663254261,2.501483202,2.572522163,0.426507145,1.444399714
0.6,2.997987032,3.11705184,1.640490294,11.23882198,7.073941708,10.0307951,31.73481178,15.55198193,50.38487625,20.11751556,36.2759819,66.83396149,26.2890625,59.019104,27.12135124,63.45612335,44.32275772,129.0177612,80.99682617,127.917572,237.5181427,122.978714,291.395752,104.1761017,269.3930054,66.3104248,146.1003876,21.37962151,48.4634285,125.3851242,34.29543686,92.44102478,17.24992943,45.80266571,5.310184002,18.17955589,0.741107225,0.970910966,7.252778053,2.365940571,2.473851919,0.40118894,1.355291843
0.65,2.6030972,2.707798958,1.427050233,9.820859909,6.229010105,8.859932899,27.98593521,13.79014015,44.68896484,17.79170799,32.33684158,60.40167618,23.50740623,53.73841095,24.80113029,58.62029266,41.07994461,118.9309921,75.59152985,119.4977875,223.4306641,113.9812088,269.4804993,95.95176697,250.8259277,61.24694061,135.8314514,19.70655632,44.74485779,116.2681198,32.01836395,85.70241547,15.96401215,42.60250854,5.003910065,16.98205566,0.65770036,0.869788408,6.462213039,2.105672121,2.278483868,0.351366758,1.165393353
0.7,2.235331535,2.326547384,1.228769422,8.46883297,5.40404892,7.703701019,24.29829979,12.03767776,39.07434845,15.48688602,28.4111557,53.54671097,20.66350365,48.41175079,22.39816856,53.63480377,37.65789032,108.5027466,69.55953217,110.2446365,208.0863037,104.388176,245.7679443,86.93871307,229.8578186,55.48219299,124.3730545,17.86343002,40.62688446,105.7880859,29.29614258,77.56341553,14.39280224,38.95653152,4.627248287,15.53983688,0.5562253,0.743762791,5.378646374,1.752288222,2.007903337,0.285715759,0.87969017
0.75,1.84311223,1.920071363,1.015825748,7.002912045,4.492125034,6.416843891,20.20519447,10.06750774,32.7754364,12.9196701,23.94702721,45.53503799,17.44517326,42.4227829,19.69701958,48.03888702,33.80263138,97.1687088,62.60725403,99.61852264,190.7721405,93.91941071,220.3887939,77.09849548,205.8722534,48.90590668,111.4504852,15.75311661,35.93914032,93.63446808,25.92936325,67.75305939,12.43768978,34.67107773,4.17791748,13.92679024,0.456564307,0.616134524,4.114367962,1.345787644,1.629373789,0.217168197,0.621916831
0.8,1.447943211,1.512071729,0.801643968,5.51500082,3.555098534,5.076487064,15.93849373,7.976274967,26.03167915,10.222785,19.13850403,36.79993057,14.01665115,35.4511528,16.57073402,41.2853241,29.17590523,83.77758026,54.02062607,86.42917633,167.7705078,81.48905182,190.941391,65.99836731,177.4389343,41.45124054,96.60810852,13.34642792,30.56555939,79.8692627,21.93772507,56.8564949,10.25654793,29.6975441,3.610829353,12.01566029,0.360277981,0.496397406,2.973885298,0.976109862,1.212241054,0.159447908,0.447656095
0.85,1.056262016,1.108526468,0.589167595,4.032321453,2.609854937,3.718481779,11.64262962,5.84377718,19.11804199,7.498241901,14.1312952,27.60535431,10.4780159,27.60791969,12.9920969,33.00725937,23.4825573,67.33226013,43.22400284,69.59558105,136.3822174,65.86038971,154.2148285,52.66885376,141.9285126,32.59446716,78.34536743,10.44130707,23.98470116,63.3926239,17.1047821,44.34682846,7.788864613,23.45734596,2.869651556,9.573331833,0.266384721,0.373329073,2.020826578,0.673174322,0.747466683,0.110357873,0.312025607
0.9,0.689014673,0.73233825,0.391275138,2.642291069,1.715935826,2.419321775,7.55016613,3.795540333,12.47888184,4.891797543,9.239388466,18.38507843,6.985884666,19.09148216,9.037542343,23.36368942,16.76555252,48.08329773,30.68768883,49.76260376,98.20274353,47.49492645,111.2367172,37.71268463,101.3684998,22.95625114,57.0403862,7.302610397,16.79743385,44.75940323,11.86709499,30.97218704,5.276981831,16.40110588,2.015928268,6.695384979,0.187820673,0.264526576,1.349403262,0.469301671,0.44053477,0.074633494,0.208876878
0.95,0.297751904,0.333056688,0.180898711,1.193582535,0.77401787,1.056680918,3.234541178,1.634432077,5.511283875,2.166315556,4.082139492,8.388350487,3.175973177,8.993199348,4.276686192,11.23738289,8.147342682,23.35970306,14.73334503,24.0163269,47.47673035,23.12454224,54.09751511,18.27140808,48.67589188,10.82891083,28.0357399,3.370282888,7.724889755,20.34948158,5.320808411,13.94017029,2.278295279,7.24683857,0.882404923,2.927112103,0.088309288,0.125045955,0.643556416,0.224447593,0.224761575,0.033396278,0.090661645
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
