abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.678631306,7.91191864,3.958456278,25.81742287,15.97023106,21.56697655,67.40016937,30.78392601,97.90818024,37.33693695,64.53773499,108.8306046,43.15076447,106.6720123,46.10604858,111.7254944,80.79497528,207.5615997,138.9133301,208.2298889,379.920929,186.3666534,434.8055725,149.4595947,349.9078064,95.26050568,248.8802948,27.81255531,62.85525131,161.017868,33.76525116,83.16426849,14.5464735,54.92815399,5.743060589,34.11873627,0.700692236,0.927716136,6.777976513,1.909333229,1.964376926,0.354416758,1.274703979
0.05,7.345463753,7.574872494,3.797145844,24.72562599,15.260005,20.62869644,64.58202362,29.5565052,94.20505524,36.03092194,62.21906281,103.2503891,41.11196518,100.2427063,43.24134445,103.890213,74.72506714,193.7062683,129.4565887,193.8161316,351.358551,172.7511139,402.6376648,138.4663391,323.2747498,87.98401642,225.3906403,25.90098763,58.35163116,147.5319061,31.5419178,76.31163025,13.86853504,51.61922073,5.52148056,32.01012421,0.672688305,0.890200078,6.529500961,1.853407502,1.852441907,0.343948215,1.251906037
0.1,6.977220058,7.193999767,3.614861012,23.48979568,14.46602917,19.55029106,61.29949188,28.16667175,90.23841858,34.67008972,59.77197266,97.49298096,39.05951309,93.53168488,40.312397,95.91702271,68.52772522,179.6618347,119.7874069,179.1759949,323.1008911,159.385376,370.7369385,127.7033234,297.462677,80.71657562,202.2683716,23.93152046,53.76613235,134.0156708,29.42941856,69.61541748,13.23285675,48.18597412,5.263636589,29.72486877,0.649291694,0.858098626,6.349728107,1.808668852,1.771246791,0.333025873,1.224792957
0.15,6.578822613,6.781790733,3.417761564,22.17933083,13.63136292,18.44305229,57.91936493,26.76780701,86.24808502,33.32212067,57.40751648,92.20027161,37.16364288,87.28782654,37.57475662,88.14375305,62.44766235,165.633667,109.9934845,164.6965485,294.3490295,145.792038,338.4128418,116.781189,272.2562561,73.33690643,178.9878693,21.9730854,49.26245117,120.8858414,27.76342773,64.30295563,12.90086937,45.15423203,5.021352291,26.8682518,0.631879628,0.83229208,6.245326996,1.807911038,1.722393513,0.327681363,1.201712847
0.2,6.180604458,6.369730949,3.220604181,20.89087868,12.81844521,17.39466667,54.72984695,25.47854614,82.56768036,32.09265137,55.3047142,87.95762634,35.65636826,82.18170929,35.33610535,81.49596405,57.17405701,153.4893341,101.2833023,152.0752563,268.9613342,134.0981293,310.5670166,107.5449219,252.1101379,67.00530243,158.9134064,20.39550209,45.68937302,110.9181671,27.12200546,62.80547333,13.10187435,43.21804428,4.89804697,23.62353325,0.628559887,0.830120504,6.314545155,1.876911879,1.772691488,0.333089411,1.193247914
0.25,5.783462048,5.960514069,3.024661064,19.65671349,12.05192375,16.41604996,51.72955322,24.29353714,79.1114502,30.94073868,53.37044525,84.6324234,34.484478,78.17513275,33.6198349,76.23142242,52.95676804,143.957016,94.0980072,141.8065643,249.2019653,125.5665894,290.2187195,100.9380417,240.022522,62.64885712,144.178299,19.4478054,43.72579575,106.0852585,27.59704399,66.21374512,13.83252335,42.58309174,4.879675388,20.28447914,0.643749774,0.848253667,6.466170788,1.973414779,1.878501058,0.344625831,1.213652253
0.3,5.411451817,5.575240612,2.840390205,18.54353714,11.37775898,15.56983185,49.09324646,23.27359009,76.10211182,29.94099236,51.779953,82.46936798,33.75182343,75.6703186,32.58795547,72.98356628,50.29433441,138.4904938,89.46471405,135.3476715,237.9414063,121.2738724,280.6359253,98.04571533,238.551651,61.10828018,136.9058838,19.29393196,43.5663681,107.403862,29.00532532,72.93886566,14.87076759,43.06795502,4.941935539,17.45789528,0.667996764,0.878632545,6.669297218,2.095951796,2.022296667,0.358619541,1.247268558
0.35,5.014648438,5.165003777,2.644038916,17.38811302,10.68911934,14.71426582,46.45972824,22.25465393,73.02623749,28.89993668,50.17724228,81.00562286,33.27915573,74.16504669,32.10537338,71.41339111,48.92204285,136.8342285,87.06715393,132.1512146,234.4689026,120.9647064,281.210144,98.68088531,246.4099426,61.93777847,136.3775177,19.87531471,45.04629517,113.7958603,31.16138649,81.27857971,16.08228111,44.57376099,5.051892281,16.11334801,0.710724473,0.929929316,7.038582802,2.261603117,2.243352413,0.384413421,1.332812071
0.4,4.613460541,4.75337553,2.447068453,16.23276329,10.01036644,13.86979294,43.8822937,21.23621941,69.82557678,27.77427864,48.46837997,80.05162048,32.95584869,73.44641876,32.07177353,71.59486389,48.89014816,139.0505219,87.1523056,132.6624146,238.87117,124.2595062,291.1729431,102.7341537,260.333374,64.47831726,141.3715363,20.90542603,47.50139999,122.2500305,33.39826584,88.71894836,17.06933594,46.27197647,5.170902729,16.36952591,0.762464941,0.991621494,7.456727982,2.421858788,2.452929735,0.414455742,1.413591027
0.45,4.213687897,4.340192795,2.251194954,15.05839729,9.331623077,13.00939083,41.22418976,20.09566116,66.05792999,26.36019516,46.32165909,78.70015717,32.37236023,72.30518341,32.0011673,72.33765411,49.41993332,142.8450317,88.60943604,135.2119446,246.7876282,128.9160767,304.84375,108.0357132,274.5173035,67.3503952,147.9013519,21.88575745,49.74280167,129.6255646,35.16875076,94.18096924,17.68522835,47.53754807,5.26982832,17.48423958,0.793684065,1.028067708,7.686249256,2.502094507,2.581198692,0.429908454,1.444314599
