abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.602014065,7.895304203,3.916422367,25.11204529,15.57445335,21.06984901,63.93037415,26.83755112,85.4291687,34.84793472,58.84813309,100.7166977,43.28131866,106.4928818,45.241745,100.6437378,74.37152863,189.3620605,126.9316711,198.8713074,371.2987366,180.8503418,429.600647,156.0896301,383.8473816,89.85323334,225.0943451,30.03152466,69.67203522,176.5991669,43.21734619,111.7931061,16.42586899,46.45376205,5.329309464,19.68499565,0.902246535,1.262948036,6.361749172,1.894924641,1.788998008,0.473494738,1.509817481
0.05,7.246519089,7.532211781,3.743712425,24.02892303,14.88094139,20.23435593,61.57574844,25.97054291,83.15209198,33.91865158,57.44573975,100.5542526,43.22950363,108.33181,46.2389183,105.5885773,78.87683105,196.6779785,133.1185303,209.0688019,386.6717224,188.4295044,448.7428284,161.5549622,402.5230408,92.79180908,241.6511078,30.56758881,70.99716187,181.7534332,43.51238251,116.7940216,16.47289276,48.49679947,5.28854847,20.87361717,0.87804991,1.23196733,6.177054882,1.83897686,1.745648623,0.463858068,1.491879344
0.1,6.884778976,7.155348301,3.564099312,22.93918419,14.19489193,19.4519062,59.42431641,25.25278091,81.42090607,33.2063446,56.52040863,101.8930359,43.73794174,111.600708,47.814991,111.8871536,84.29758453,206.0924377,140.2490082,220.631424,404.9767761,197.2825317,469.9725342,167.6199341,422.1639709,95.93965912,257.5721436,31.23368835,72.65484619,187.7756348,44.09486771,122.1657181,16.62541199,51.0455513,5.2972579,22.26525879,0.862158179,1.210838795,6.071605682,1.805855036,1.730872512,0.459269583,1.500046849
0.15,6.488473892,6.742085457,3.367700577,21.78028297,13.47205734,18.66374397,57.3052063,24.60436821,79.9020462,32.57465363,55.80787277,104.2719421,44.58041763,116.1036987,49.88328171,119.5735931,90.67408752,217.792572,148.4622498,233.9971466,426.7949219,207.7216187,494.5283813,174.7482452,444.6536255,99.57302094,275.2463379,32.04875183,74.72245026,195.3283386,44.93227768,128.6809235,16.8786068,54.40850067,5.324425697,24.05437088,0.846440315,1.191116214,5.975543022,1.769036055,1.719324231,0.453837693,1.506819725
0.2,6.097576618,6.33509779,3.173867941,20.67638969,12.78900146,17.94160461,55.41420364,24.06575394,78.65843964,32.02816772,55.26643372,107.1827164,45.57017899,121.0161667,52.10402298,127.5563202,97.06861877,230.2476501,156.7570496,247.631424,449.5238342,218.3232269,519.6616821,182.1678162,468.1135254,103.3889694,293.344635,32.94044113,77.01419067,203.8358154,45.96388245,136.0224152,17.23167419,58.45563507,5.376898289,26.0325222,0.831745684,1.173823118,5.907256603,1.731239796,1.714200139,0.448331058,1.502730489
0.25,5.705450058,5.927817345,2.979954958,19.61728287,12.14360046,17.28421974,53.69203568,23.59896088,77.69198608,31.56918144,54.92832565,110.6183014,46.71369934,126.1222916,54.45572662,135.7977448,103.4999619,243.4841309,165.3726807,261.9268188,473.7739868,229.3330231,546.2471924,190.3509521,493.7243347,107.617981,313.1981201,33.95559311,79.63322449,214.1621552,47.26721573,144.6966858,17.68162727,63.53569031,5.466267586,28.39265251,0.81790781,1.158982754,5.899862289,1.696838617,1.729470015,0.444647342,1.494500279
0.3,5.34301281,5.550518036,2.800253153,18.68154144,11.58664608,16.72554779,52.17583084,23.17009354,76.82707977,31.12780952,54.71279144,114.1139603,47.85285187,130.7754059,56.66672134,143.2988281,109.277771,256.1158447,173.5772095,275.7243958,497.6843872,239.8598175,572.1447754,198.6014862,519.6943359,111.9534225,333.4363708,35.00860214,82.38343048,225.1065521,48.65616989,153.7082672,18.15298462,69.04038239,5.582090855,30.94659042,0.804923773,1.146643162,5.972427845,1.675172091,1.777748704,0.444331586,1.490633845
0.35,4.948454857,5.137616634,2.604068756,17.67308617,10.99440861,16.12018394,50.51036453,22.60676384,75.61978149,30.55397987,54.46150589,117.8176804,49.02871704,135.5623779,58.92353439,150.6620026,114.832489,268.6604309,181.7552643,289.4022522,523.1629639,250.7926483,598.8550415,206.9224091,544.3696289,116.1403885,351.8146057,35.99964905,84.94271851,234.1824646,49.85002899,160.8053436,18.47325325,73.41912842,5.685744762,33.39930344,0.797388375,1.140951872,6.096827984,1.675174117,1.840494514,0.447290748,1.500971317
0.4,4.548037529,4.722039223,2.406937361,16.61352539,10.37569237,15.41699982,48.42913055,21.76747322,73.41184235,29.57455826,53.54533005,120.2219849,49.76779556,139.317276,60.6626091,156.7108002,119.2995148,278.7817993,188.4806671,300.771759,549.5132446,261.9475708,624.6409302,214.7535095,563.2161255,119.6174698,365.8237,36.73087311,86.92340088,240.8038483,50.68199921,165.3691864,18.62357521,76.55250549,5.780897617,35.43053436,0.802200794,1.148746371,6.305244923,1.725221038,1.913116693,0.462052494,1.549888372
0.45,4.155658722,4.315049171,2.212903738,15.48105621,9.717715263,14.57737541,45.69436646,20.65314102,70.2023468,28.13941956,51.71617508,120.1839218,49.6448288,140.3973083,61.25177765,160.1871948,122.0342102,285.0532227,193.0183563,309.9731445,573.4573364,272.3271179,648.1806641,223.0475922,582.8491211,123.4492874,383.0988464,37.4257431,88.95077515,252.1980438,51.78871918,172.3424988,18.96455765,82.06385803,6.004304409,37.73245621,0.824463725,1.183417678,6.720656872,1.857619286,2.020231009,0.492641211,1.579812288
