abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,9.575892448,10.38904572,5.178432941,34.44778442,21.04781723,28.82496071,88.09133148,40.13180542,128.0059052,49.81000519,88.73750305,142.6744232,56.93771744,135.4622803,59.38234329,141.586853,102.4625015,265.4246521,180.8557129,273.112854,481.7881775,234.8812256,534.9221802,183.2322998,419.6599426,114.738739,281.8461914,32.38695908,72.10954285,175.7911377,41.41224289,102.5170212,19.01221657,65.02992249,8.25825882,40.17787552,1.032589793,1.323694706,9.372934341,2.774463892,2.652930021,0.466589123,1.736146569
0.05,9.124860764,9.9047966,4.94700098,32.88775635,20.04507065,27.55883217,84.43622589,38.61984253,123.3814392,48.1714859,85.84686279,136.1884766,54.49480438,127.4382858,55.77987671,131.4338837,94.38845062,246.7592926,167.5333862,252.9987793,446.0964966,218.00354,495.2879333,169.8926544,389.978241,105.8754883,255.1226044,30.28042603,67.2873764,162.7813721,39.70627213,97.02084351,18.52326965,62.74748993,8.05811882,37.94925308,1.02332592,1.306346059,9.415136337,2.786849499,2.67621541,0.463666767,1.704665422
0.1,8.668107986,9.409316063,4.71006918,31.31127357,19.04298401,26.28808403,80.75547791,37.12851334,118.9301682,46.60356522,83.12288666,130.5981293,52.40259933,120.4402313,52.65686417,122.3675461,87.14459229,229.7451782,155.2881012,234.5626221,413.3883667,202.7367249,458.8930664,157.6583252,363.7310181,97.74449921,230.7646637,28.32867622,62.86290359,151.200592,38.28638077,92.45452118,18.16966057,60.57475662,7.824466705,35.15953064,1.00972116,1.286540627,9.42027092,2.800677299,2.703082561,0.459061533,1.669332147
0.15,8.172293663,8.867835999,4.450580597,29.61205864,17.97134209,24.95854378,76.95062256,35.60623169,114.3362427,44.96440887,80.31742096,125.5767517,50.4795723,113.9740906,49.77692413,113.8199768,80.27371979,213.3059998,143.3110199,216.7600861,381.6439819,188.1708832,424.072937,146.0794678,340.7188721,90.2856369,208.4102936,26.59427643,58.93214798,141.9115448,37.32439804,89.92756653,18.1133976,58.88928986,7.63266468,32.01607132,0.99546814,1.264227867,9.453650475,2.840057373,2.760410547,0.457523406,1.628927946
0.2,7.6682477,8.319499016,4.186994076,27.90966797,16.91375542,23.65387154,73.27986145,34.14049911,109.8621826,43.35200119,77.57079315,121.4991608,48.83914566,108.594101,47.39370346,106.7291718,74.56911469,199.6514435,133.0588989,201.6469269,354.7064819,176.3855591,395.5614624,136.835968,325.0843811,84.67190552,190.9585876,25.31985855,56.09856415,136.5657654,36.97221375,89.87671661,18.30717659,57.56933594,7.459684372,28.76980591,0.978517652,1.241695404,9.504325867,2.8972404,2.837143421,0.459525883,1.608581305
0.25,7.166573524,7.775201797,3.92763257,26.24837112,15.89896774,22.40501976,69.73085785,32.70834351,105.3826523,41.70213699,74.74972534,118.0235367,47.39942932,104.1398697,45.4902153,101.2597885,70.25474548,189.5174255,125.1201859,190.0649109,334.3032837,168.0696716,375.7984619,130.8135986,318.1828918,81.44721222,179.6887512,24.65749359,54.76932144,135.6728973,37.2313652,91.7403717,18.60122108,56.6666832,7.294873238,25.81813049,0.963907897,1.225277543,9.563940048,2.954539537,2.921528339,0.465103745,1.61505127
0.3,6.706473351,7.275994778,3.690689325,24.76049995,15.00997639,21.31321335,66.51325226,31.37982368,101.1016388,40.08369064,72.07855988,115.2258224,46.16167068,100.624939,44.09487534,97.56865692,67.44405365,183.2297974,119.8464432,182.3301239,321.5210876,163.3621979,364.9996033,127.8692169,318.0773315,80.23568726,174.1235809,24.45717049,54.48395538,137.4823151,37.71416473,94.11156464,18.84723282,55.94277191,7.128275871,23.49275017,0.953332961,1.211771727,9.625181198,3.006505966,2.999419451,0.472943217,1.640718341
0.35,6.214006901,6.740744591,3.434760571,23.16883087,14.06897926,20.13609886,62.97452927,29.84320259,95.99124908,38.10752869,68.86488342,112.0737228,44.64732742,96.74250793,42.68659973,94.38109589,65.21120453,178.7187042,115.9579315,176.7196045,312.264679,160.2817841,358.6518555,126.4067688,320.7592468,79.8031311,171.1258545,24.37339973,54.3981781,140.0277252,38.1729393,96.11680603,18.96327019,54.96091843,6.915441513,21.5735569,0.949158967,1.208097816,9.648004532,3.043619633,3.0698421,0.480075032,1.671481729
0.4,5.711495399,6.196388245,3.172015667,21.50662613,13.10070515,18.87905121,59.14556122,28.10412407,90.0641861,35.74193954,64.98370361,108.2177734,42.74807739,92.19517517,41.12962723,91.3247757,63.33488083,175.0596771,113.1521835,172.568924,304.7541809,157.5312958,353.8851318,125.4385529,322.5813599,79.37617493,169.0641174,24.19557381,54.07598114,141.3348541,38.27647781,97.08807373,18.90208626,53.82734299,6.698542595,20.45659828,0.948419511,1.206971884,9.604125977,3.046671391,3.117511272,0.482922941,1.681081414
0.45,5.211077213,5.654859066,2.913045883,19.8284893,12.12950516,17.56629753,55.12767029,26.20217896,83.56909943,33.12393951,60.64191437,103.5366898,40.46607971,87.13307953,39.37583542,87.931633,61.3247261,170.5092468,110.3186646,168.1883545,296.1577759,153.431076,346.141449,123.1439133,319.2278748,77.86688232,165.4332123,23.66100121,52.97006989,139.5412903,37.69884491,96.14685059,18.55872154,52.29406357,6.472729683,19.80828476,0.937822163,1.194867134,9.426287651,2.995449781,3.119943142,0.476913214,1.656284451
