abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,10.61523438,11.0170784,5.511543274,36.16958237,22.33724785,30.58418655,95.59895325,43.64467621,137.5735779,52.23729324,91.82569122,159.1751251,62.21617508,155.3650818,67.56040192,159.8958893,116.0164413,293.4545288,195.0275574,297.6054382,523.5495605,248.2190247,576.5703735,191.8145294,436.9020996,116.5158844,301.9542236,31.40678596,71.68742371,186.9554749,41.63305664,110.9228516,18.89816856,71.78225708,7.672234535,45.69653702,0.846182823,1.108099222,7.372552395,2.190140963,2.139893532,0.423744619,1.545467854
0.05,10.15194511,10.54525852,5.285402298,34.62555313,21.33280563,29.26506615,91.60734558,41.90190887,132.2745667,50.32081985,88.35414124,150.6915283,59.09062958,145.7297974,63.22075653,148.6299133,107.1798401,273.632843,181.4934998,276.5035095,485.9842834,230.781723,536.5285034,178.4390717,405.0700989,107.7493134,274.6409607,29.1943531,66.39822388,171.5404205,39.0267601,102.6095047,17.88692856,67.44075775,7.337795734,42.48891449,0.825097382,1.072386861,7.216680527,2.15597868,2.092992067,0.415340334,1.499135137
0.1,9.642119408,10.0152216,5.031999111,32.89815521,20.22517395,27.73384857,86.88639832,39.87964249,126.4562149,48.279953,84.64992523,141.7590027,55.86194229,135.5650177,58.74448776,137.3236847,98.32250214,254.0349121,167.9868317,255.6346588,449.2660217,213.9587708,497.1300354,165.645752,374.7701721,99.27483368,248.5190735,26.97241783,61.09519577,155.9243927,36.41611481,94.0424881,16.89576912,63.12903595,6.995224953,39.03197098,0.804869354,1.038696408,7.125579357,2.136294842,2.071240425,0.407792419,1.458764434
0.15,9.089066505,9.438997269,4.756759167,31.04409981,19.0462513,26.1319561,81.93817139,37.78923035,120.4740143,46.21831131,80.95050049,133.0467987,52.73430634,125.5479202,54.32327652,125.8900833,89.35146332,233.7678223,153.8984833,234.1234436,410.776001,196.3480377,455.5235901,152.2050934,344.3005371,90.59305573,222.145874,24.74515724,55.83104324,140.4946747,34.00099945,85.85494232,16.02547264,58.9852562,6.666664124,35.26772308,0.78871417,1.010450244,7.101958752,2.134815693,2.071815252,0.402551234,1.429680467
0.2,8.543486595,8.871426582,4.48514843,29.26140976,17.92338753,24.63145638,77.32056427,35.87414169,114.9308472,44.32584381,77.59886169,125.5988693,50.06674576,116.9232101,50.5281601,115.7575455,81.37985992,215.4024658,140.9326782,214.486145,374.6980896,180.0243988,416.196106,139.605423,317.252594,82.62559509,198.2563019,22.78427887,51.22000504,127.1388702,32.10984802,79.11723328,15.40137482,55.2121582,6.370869637,31.18751526,0.774772048,0.987863123,7.11790514,2.154424667,2.093951464,0.401109368,1.418824553
0.25,7.989895344,8.296224594,4.210010529,27.49590492,16.82952309,23.18495941,72.82481384,34.05068588,109.6310577,42.53556061,74.4726181,119.2331009,47.78082275,109.4180679,47.26281357,106.8016357,74.30446625,198.8747253,129.0460358,196.6659393,342.3814697,165.7970886,380.6555176,128.4860535,295.1853333,75.85057831,177.5313263,21.08484077,47.30093384,116.7261658,30.79543495,74.53458405,15.04163074,51.75605011,6.087920666,26.89007378,0.760451198,0.966817379,7.143532753,2.189895391,2.137130976,0.402856439,1.422207117
0.3,7.482840538,7.769757748,3.957787991,25.9382515,15.88667107,21.94534683,68.89170837,32.47610474,104.963829,40.95229721,71.75164032,114.4652328,46.0414238,103.7383041,44.83664322,100.0848846,68.98721313,186.4651031,119.8331299,183.0196381,317.9354248,155.5615387,354.3031616,120.6373138,282.1069336,71.39068604,163.1048889,19.94564819,44.76385117,111.3086548,30.21018791,72.87756348,14.96086502,49.10122299,5.84687233,23.12758064,0.754946589,0.957628191,7.244189262,2.250173807,2.209368706,0.409944743,1.44462049
0.35,6.926837444,7.190221786,3.680129766,24.25084877,14.87812614,20.62500191,64.78678131,30.83948517,100.0361328,39.26958847,68.90514374,110.4566727,44.53367996,98.99950409,42.91373444,94.91972351,64.91168976,177.3291168,112.5804596,172.2097778,299.6167908,148.758606,337.2902527,116.1488953,278.7025146,69.29587555,154.4117889,19.42251968,43.67542267,110.9357452,30.44263268,74.01477814,15.10743904,46.9877243,5.630881786,19.72468948,0.764735997,0.968085468,7.463882923,2.3489151,2.315051079,0.423279345,1.496319413
0.4,6.371153355,6.612534046,3.403677702,22.57913971,13.89164162,19.33862114,60.80262375,29.2196064,94.9528656,37.478302,65.94664001,107.1500626,43.18906784,95.13508606,41.47929001,91.41841888,62.24169922,172.0273895,107.8844147,165.1707916,289.3146057,145.7727051,330.697876,115.0773849,282.664978,69.25624847,151.1147766,19.44754219,43.83141327,113.7110291,31.08217049,76.20442963,15.24566746,45.39546967,5.43802309,17.46240807,0.784225702,0.990127504,7.657023907,2.427369595,2.41280818,0.4378438,1.550764084
0.45,5.818180084,6.039430618,3.131783962,20.90704727,12.92141914,18.05303574,56.78982162,27.51425934,89.43535614,35.44138718,62.64442825,103.9173737,41.74915314,91.39557648,40.25857162,89.1026001,60.70333099,169.84198,105.5009766,161.6991425,285.6423035,145.5729675,331.6163025,116.3588181,289.9844055,70.32200623,151.4053955,19.70445442,44.45053864,117.0502014,31.73160553,78.32939911,15.32796764,44.24168396,5.285642624,16.57554245,0.803423822,1.012892485,7.744891644,2.467772007,2.486833334,0.449615121,1.583515525
