abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,10.6322546,11.02589798,5.515480995,36.11758041,22.32317162,30.37042046,95.32123566,43.89037704,138.2248383,52.36504364,92.1391983,156.7656708,61.25406647,152.769516,66.34151459,158.2758636,115.1285706,291.0939026,193.4593811,296.5899963,522.6089478,246.605484,570.5854492,190.2298584,437.495575,113.6820984,299.898468,29.95849037,67.44847107,182.7158051,40.29013062,110.506958,17.75268364,69.24676514,7.421352386,45.20275497,0.755860806,0.997739613,6.951302052,1.968071699,2.041769028,0.370584071,1.234295726
0.05,10.17899036,10.56832123,5.296040535,34.62368393,21.34944534,29.10384369,91.50091553,42.2129364,133.0675964,50.49656296,88.78513336,148.3920746,58.14363861,143.1195831,62.0229187,146.7394257,106.0443115,270.7058716,179.5767059,274.8259277,484.0070801,228.6325531,529.3249512,176.3453979,404.0414429,104.6655579,271.8431702,27.70234299,62.19171524,167.1520233,37.54786301,101.7132874,16.73501587,64.91127014,7.0534482,41.82554245,0.733766615,0.962129891,6.799949646,1.942810297,1.981294632,0.367276549,1.220319867
0.1,9.670898438,10.0390501,5.043141365,32.90124893,20.24416542,27.59045982,86.80793762,40.1883812,127.2346649,48.46678543,85.15911865,139.4191284,54.88349152,132.9407654,57.55001068,135.3157043,97.01734924,250.7402802,165.8591919,253.4771576,446.8825073,211.6165466,489.0947876,163.1517639,372.1654968,96.09262085,245.2039948,25.48851776,57.00072861,151.7825928,34.81074905,92.75679779,15.76683712,60.78595352,6.681435108,38.21354294,0.710724473,0.92528373,6.64798975,1.923921466,1.932994604,0.363308519,1.207486749
0.15,9.116629601,9.461316109,4.76684761,31.04522514,19.06359291,25.99501801,81.85946655,38.07679367,121.2566528,46.41194153,81.56164551,130.7197418,51.71344757,122.8790283,53.11077499,123.6792068,87.80580139,229.9333496,151.3755951,231.1497803,407.2031555,193.4896698,445.7416382,148.9826813,339.2286682,87.17024231,217.9438324,23.15953255,51.60350418,135.9331818,32.13416672,83.88326263,14.85790253,56.59347916,6.291385651,34.0100174,0.688119531,0.888320446,6.520641804,1.91760087,1.898533583,0.360176861,1.198042393
0.2,8.570591927,8.89498806,4.496211052,29.26716042,17.94262505,24.49704552,77.20227051,36.11635208,115.6579056,44.49481964,78.25547791,123.3878326,49.03200912,114.3034058,49.3111763,113.3863297,79.64058685,211.336731,138.2707062,211.0213013,370.0559692,176.6405029,404.6184692,135.5780334,309.9148254,79.07374573,193.2649841,21.07901001,46.75924683,121.9747086,30.03334808,76.47530365,14.17995644,52.7425766,5.939656258,29.55043221,0.670259118,0.857782841,6.441153049,1.926386833,1.886079907,0.361348301,1.206966639
0.25,8.017996788,8.319986343,4.221401691,27.51134491,16.85250854,23.05541992,72.68151093,34.23841476,110.3053055,42.69285202,75.13713074,117.325676,46.80833817,107.0360718,46.09882355,104.6145554,72.63454437,195.1653442,126.5552673,193.0665588,336.8993225,162.0228119,367.6410217,123.8460617,286.1639099,72.26567841,172.126358,19.35694313,42.85734558,110.8607178,28.64469147,71.32567596,13.78721619,49.29521942,5.629553795,24.89808464,0.667380273,0.848731399,6.496666908,1.973623037,1.920724154,0.368701428,1.230807185
0.3,7.505440712,7.789282799,3.967226505,25.94402885,15.90372181,21.81411934,68.67474365,32.60042191,105.4801331,41.05441284,72.29919434,112.7427368,45.1021347,101.4706345,43.67828751,97.99967957,67.34170532,183.0134583,117.3308258,178.9879456,310.9750977,151.1838074,340.1966553,115.5598679,271.4669189,67.74532318,157.0054932,18.18414497,40.26581573,104.19841,27.89583206,68.6452179,13.58363342,46.20821762,5.342055798,20.75603294,0.670341551,0.849829197,6.600008011,2.036149979,1.980635405,0.379951417,1.273313761
0.35,6.946428776,7.206774712,3.68780756,24.25411034,14.89428234,20.49808311,64.50534821,30.9094429,100.4462509,39.34996414,69.33566284,109.0411148,43.70709991,97.09348297,41.86817551,93.27600861,63.58034134,174.9671936,110.4926834,168.7359924,291.7788696,144.2837219,323.2778625,111.0352936,266.7219849,65.64949799,147.6921234,17.62755585,39.03339386,102.3217468,27.91827583,68.2131958,13.6116457,43.60770035,5.076080799,17.32554626,0.685285151,0.868968546,6.804372787,2.135596037,2.083922148,0.398735195,1.353734493
0.4,6.391182899,6.629114151,3.411322832,22.58798218,13.91128445,19.20945358,60.45786667,29.22734451,95.12248993,37.48780823,66.19234467,105.8635025,42.42446518,93.59089661,40.56138611,90.38382721,61.39495087,170.9445343,106.3761292,162.664978,280.708374,141.2799072,317.3988342,110.2636108,269.3612976,65.50513458,144.015625,17.61136627,39.01382065,103.4642563,28.27302361,68.95741272,13.67532253,41.81329346,4.899340153,15.65433788,0.711317897,0.901999235,7.001984596,2.22122097,2.186527252,0.417408466,1.425418735
0.45,5.838588238,6.05654335,3.139426708,20.92127991,12.94160652,17.91491127,56.39308548,27.46213913,89.38140106,35.39191437,62.67982864,102.8001556,41.06079865,90.18569946,39.49163818,88.72102356,60.34837341,170.0291595,104.5871353,159.9150543,276.8493042,141.4302979,319.8650818,112.0271606,276.0744629,66.54153442,144.1761932,17.83601761,39.5149765,105.578804,28.73287773,70.17027283,13.74011612,40.61657333,4.786261082,15.32772636,0.733823597,0.930235565,7.130812645,2.277533531,2.26851058,0.431757122,1.471538305
0.5,5.324637413,5.524751663,2.883714676,19.35499001,12.03625774,16.69081116,52.47206497,25.67549706,83.41286469,33.11526108,58.94746399,99.39431,39.45825577,86.42210388,38.33108139,87.13059998,59.49731827,169.3816833,103.6667099,158.3532104,274.6383057,141.4399872,321.6753235,113.1869812,279.934082,67.04515839,144.0173798,17.89698029,39.6470871,106.3480377,28.87601662,70.71165466,13.70137596,39.75318527,4.702243328,15.46972656,0.740714967,0.94044745,7.135500431,2.285659552,2.309458494,0.436334521,1.480607152
