abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,14.875,15.42548275,7.717482567,50.45463562,31.18840218,42.02507782,132.3534088,61.17787552,193.5069733,73.28770447,130.4488068,216.7065887,84.73639679,206.6219635,90.60159302,216.6544495,158.5576172,400.3138428,270.2456665,406.3512573,674.324646,314.2753906,710.5645752,237.4515076,531.5645142,143.8024139,353.0964355,33.09298706,74.83326721,209.7386475,46.75729752,131.8844604,19.26026726,83.61618042,8.377883911,60.31676483,0.763458073,0.978687227,7.00088644,1.946425915,2.44558692,0.383560777,1.260618925
0.05,14.26660156,14.81446075,7.42433548,48.47597504,29.89250755,40.38136292,127.3384476,58.95276642,186.542099,70.7244873,125.7799911,205.2935333,80.47108459,193.9336395,84.68943024,201.2743988,146.3202057,373.0424805,251.4903717,377.1767273,627.5802002,292.923584,663.4430542,221.7102051,495.5788574,133.349762,322.6195679,30.85901642,69.54563904,193.6906891,43.99345398,122.6871033,18.32354736,78.99027252,7.929375648,55.4242897,0.739061832,0.93959707,6.755727291,1.899512887,2.332408905,0.379207432,1.244418621
0.1,13.55175781,14.06940937,7.068401337,46.05665207,28.3391571,38.28253555,120.6991882,56.06698608,178.2250061,67.77806091,120.4083252,192.4839325,75.76439667,179.4875031,78.29471588,185.0100861,133.3340454,343.7791748,230.7350159,345.4527283,577.468811,269.9085693,611.1655884,204.5664215,456.2810974,122.0211182,290.8656311,28.19279671,63.26859283,175.1878662,40.62921906,111.4446182,17.14563179,73.3009491,7.339027882,49.19569016,0.704276502,0.8926211,6.389924049,1.828524828,2.182580709,0.371455103,1.225157261
0.15,12.76953125,13.25494862,6.679553032,43.44047928,26.67250252,36.03889847,113.6063232,53.01424408,169.4396515,64.71635437,114.8608932,179.7265167,71.07050323,165.0760651,71.85224152,168.1727295,119.8993759,312.7803345,208.6383514,312.2528992,523.9163818,245.260437,554.2174683,185.8834229,414.6069336,110.0368729,258.0343933,25.31901741,56.5349884,155.8929138,37.16662216,99.59893036,15.91910744,66.79657745,6.64525938,41.73230743,0.668613493,0.849327505,5.98111248,1.747296214,2.003847837,0.364959508,1.212756634
0.2,12.00585938,12.45871067,6.299035072,40.93769455,25.09420586,33.93278122,106.9865112,50.19399643,161.2452545,61.88443756,109.825676,168.6154175,66.97048187,152.6877594,66.24018097,153.1901245,107.9780884,284.8699646,188.6873779,282.3042908,473.8823853,222.2780457,499.613678,167.9821472,376.096344,98.85979462,228.1702271,22.63566208,50.32852173,138.7907104,34.12105179,88.80070496,14.82941532,60.23407745,5.909217834,33.91856384,0.627591491,0.799083948,5.528821945,1.661379576,1.801570058,0.359159201,1.200216889
0.25,11.23144531,11.65380001,5.914953709,38.48222733,23.56762695,31.91596603,100.5469666,47.47689056,153.3526764,59.1926384,105.0620041,159.0802002,63.47006607,142.1595459,61.41427231,140.0136566,97.48028564,260.4987793,170.9562683,255.8114166,429.0447998,202.2182312,449.8338318,151.7854156,343.1071777,88.99398041,202.3316345,20.26545715,44.77186966,123.9877243,31.63942337,79.29730988,13.89285469,53.36953735,5.151928425,25.62918472,0.583996534,0.749269307,5.116934299,1.582201481,1.616286397,0.356824636,1.200072527
0.3,10.51269531,10.91411972,5.561126232,36.29629135,22.24432755,30.16854477,94.80683899,45.09513474,146.2246857,56.74869537,100.7340088,151.7470703,60.78971863,134.026886,57.74582291,129.7736816,89.40911865,242.067627,156.9059906,234.9714813,392.9394226,187.1923676,411.9150696,139.8983765,320.8351746,81.89383698,183.1674347,18.50080299,40.58148575,112.8849487,29.8208065,71.92145538,13.12989235,46.93306732,4.531024933,18.70743561,0.550111115,0.714772999,4.835045338,1.522628903,1.49983108,0.358352125,1.212601781
0.35,9.73046875,10.09296131,5.16635704,33.91329193,20.81966972,28.30171967,88.81790161,42.61735535,138.6215363,54.12913513,96.10690308,145.8410492,58.50379562,127.2857513,54.82503128,122.2277985,83.59289551,230.0931091,146.7530823,219.715683,365.2801208,177.1715546,388.1213989,133.3016205,310.7709961,77.73656464,170.5500641,17.44867134,38.05017471,106.1334915,28.80919838,66.75238037,12.55998135,41.09212112,4.097541809,13.75804138,0.532057643,0.700267553,4.659645081,1.496103525,1.463893294,0.364379406,1.23454845
0.4,8.951171875,9.281985283,4.778107166,31.56845474,19.44199181,26.4696064,82.94248199,40.12303162,130.6687012,51.29901123,91.16543579,141.0566406,56.40018082,121.6255112,52.69260025,117.5679245,80.16532898,224.1609192,140.9393768,211.0224762,348.9933777,172.696701,379.7495117,132.2065887,310.9472351,76.5154953,164.3205872,17.10772133,37.25366592,103.4283218,28.51850319,64.53272247,12.27338791,37.28632355,3.939975023,12.47979641,0.522264183,0.694491863,4.541798592,1.481034994,1.469505668,0.367102742,1.236729264
0.45,8.172851563,8.475587845,4.396059036,29.23477173,18.08786011,24.67881012,77.23464203,37.62977982,122.4994812,48.35113907,86.17201233,137.1223145,54.43956757,116.942276,51.40904999,115.8102646,79.23748016,224.4745941,139.8558044,209.46138,344.615387,173.5128937,383.8691406,134.8957672,317.7000732,77.15589905,162.7479706,17.12945747,37.35306549,103.288063,28.61748314,64.21395874,12.24300385,35.37705612,3.923698664,13.13131237,0.519139946,0.692380488,4.491598606,1.474684596,1.492280006,0.368217558,1.222328901
