abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,10.20706749,13.72018909,6.837706566,14.80547237,3.894140482,9.461782455,1.768116117,4.521287918,3.702304125,9.713551521,3.20847702,7.038675785,1.955589652,5.061890602,0.856727123,2.518537045,5.288737297,0.758597016,1.182329059,0.238232508,0.779233694
0.05,9.98218441,13.30344009,6.634237289,15.09609699,3.960002899,9.703407288,1.840568662,4.726871014,3.850858688,10.09691429,3.310994148,7.28637743,2.009137869,5.153076649,0.859082997,2.532313347,5.368428707,0.764153063,1.234682441,0.249018773,0.798557818
0.1,9.573230743,12.71554565,6.348966122,15.08465004,3.969809532,9.784905434,1.881822586,4.856368542,3.934571743,10.3816824,3.382000685,7.468902588,2.040293217,5.225124359,0.849970102,2.525263309,5.398131371,0.755190909,1.285948634,0.25348112,0.827169299
0.15,9.053329468,12.00937366,6.007092476,14.90656662,3.911308289,9.683209419,1.874837279,4.870810032,3.937870502,10.45225811,3.398840666,7.541978836,2.045245886,5.234204769,0.83264792,2.494727373,5.391180515,0.729674399,1.318864703,0.247444913,0.801163793
0.2,8.492324829,11.26978493,5.645942688,14.50464439,3.714428425,9.23463726,1.776276708,4.627328396,3.765352964,10.01523495,3.285969496,7.272691727,1.971548557,5.056612492,0.801494002,2.399101734,5.156641006,0.678772151,1.288873553,0.225288078,0.71315527
0.25,7.908866882,10.51025391,5.271904469,13.94041634,3.464836359,8.65144062,1.659016728,4.32001543,3.530341387,9.442101479,3.129065514,6.880862236,1.876255989,4.828968048,0.767746806,2.286789179,4.848577023,0.631157875,1.239934921,0.201506495,0.621072471
0.3,7.357235909,9.802117348,4.920354843,13.32048607,3.220245838,8.075119972,1.55486095,4.0436759,3.309342384,8.947883606,2.981775284,6.568501949,1.81023097,4.66115427,0.744397283,2.215464115,4.658996105,0.612599492,1.176872969,0.188760355,0.566897929
0.35,6.758485317,9.035733223,4.537685394,12.5445919,2.943192482,7.389276028,1.43820107,3.738788605,3.063402414,8.41924572,2.819966793,6.257842541,1.742286563,4.499681473,0.722606659,2.152063131,4.512448311,0.602971494,1.102850199,0.181026056,0.530626953
0.4,6.155776501,8.272483826,4.158210278,11.70569324,2.658822536,6.673371315,1.319659233,3.435405254,2.813794374,7.897254467,2.656039953,5.940582275,1.6675843,4.335337639,0.698165476,2.079673767,4.339499474,0.593069196,1.017712593,0.174118817,0.497183859
0.45,5.554658413,7.514983654,3.783400059,10.82317543,2.379445791,5.976754189,1.202517509,3.154433012,2.58273077,7.374289036,2.48879838,5.59948349,1.583037496,4.144276619,0.673589647,2.004482031,4.163284779,0.581766605,0.949613452,0.167827323,0.475507826
0.5,5.000407696,6.826641083,3.446302414,9.97239399,2.130135536,5.351007462,1.09479022,2.895992756,2.367910385,6.864186764,2.32443881,5.251401424,1.494116664,3.945832491,0.644915581,1.919800043,3.962878466,0.564876616,0.900266588,0.161860853,0.458909303
0.55,4.414718151,6.097514153,3.089369774,9.015017509,1.869809031,4.700716972,0.97618717,2.610296965,2.132440329,6.283416271,2.138332129,4.853838444,1.391022086,3.705974102,0.609423876,1.818445206,3.739703417,0.538384914,0.854599416,0.153501853,0.436825782
0.6,3.84987092,5.396622658,2.744674683,8.018878937,1.619221926,4.063342094,0.857296467,2.320247173,1.891085505,5.667636871,1.938655853,4.419279099,1.274490356,3.42536664,0.568338156,1.69332397,3.493202448,0.504830182,0.797981441,0.143886387,0.409685552
0.65,3.306701183,4.734370232,2.413921595,7.01662302,1.386028767,3.455970287,0.739406765,2.027003288,1.649263144,4.994849682,1.718467474,3.929556608,1.138162851,3.070623398,0.514422238,1.532828569,3.192789316,0.460078686,0.728637338,0.130776972,0.369799376
0.7,2.832909584,4.168066502,2.127416134,6.102597237,1.191011906,2.941539288,0.637243032,1.764678955,1.432582498,4.355731487,1.507441282,3.45833683,1.003590465,2.710492373,0.458343178,1.362463593,2.873188734,0.412267745,0.659984529,0.117535599,0.335790813
0.75,2.359661579,3.62074542,1.845851898,5.160011768,1.00833571,2.44286418,0.533423066,1.485870242,1.203651309,3.625024557,1.26377213,2.901198864,0.841759682,2.266964436,0.387412935,1.156421185,2.501809835,0.354536623,0.581898451,0.102026321,0.299528331
0.8,1.931106806,3.162676811,1.607238889,4.3048172,0.858596683,2.008100748,0.43834725,1.228300214,0.992230117,2.917882442,1.023439646,2.351861,0.682141662,1.835419297,0.314337939,0.940787971,2.076900244,0.290060133,0.485007524,0.084177122,0.25340116
0.85,1.567175746,2.843044519,1.43804431,3.61734128,0.757678807,1.68482244,0.362246156,1.011765122,0.814773262,2.260459423,0.796392858,1.826557755,0.529066145,1.424598694,0.240293264,0.719600141,1.629413486,0.219600782,0.384862304,0.064240433,0.195247322
0.9,1.309514999,2.720050097,1.369369745,3.193527937,0.717840254,1.522679925,0.317138165,0.876468301,0.707250237,1.816312075,0.641026139,1.454865217,0.423795491,1.140707731,0.188953787,0.55854857,1.309015989,0.168832615,0.314908803,0.048454069,0.148689881
0.95,1.146402955,2.770242929,1.390743494,3.013858557,0.733068466,1.516456246,0.304758847,0.825852633,0.672547996,1.641082406,0.576672196,1.312090039,0.383403808,1.045460939,0.169692203,0.48972559,1.136890411,0.144049957,0.294387639,0.040682573,0.123809859
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
