abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,122.4071121,69.75466156,34.84892654,78.19596863,18.42566109,50.59309769,11.23106098,28.9415741,21.77511597,59.31681061,10.63271904,26.79600143,5.838027477,19.00039864,1.080407739,3.129228354,11.34463501,2.150168657,3.990317345,0.60106951,2.841064692
0.05,116.5960159,66.84941864,33.50333405,75.23771667,18.18115234,50.0460968,11.25409603,29.0942421,21.85722351,59.56676483,10.66936779,26.86057472,5.816745281,18.83242226,1.05842948,3.086128473,11.18591499,2.12565732,3.911084175,0.600766182,2.836916208
0.1,110.8349838,63.56885529,31.95840836,71.53967285,17.90998459,49.51224518,11.26306248,29.16727448,21.89210701,59.6354599,10.67534828,26.85851479,5.789846897,18.67485809,1.048447967,3.072663069,11.12498569,2.121725082,3.903369665,0.604558408,2.864221334
0.15,104.5786285,59.98971176,30.27022743,67.46206665,17.58667946,48.8964653,11.28313255,29.25967407,21.93640137,59.70200348,10.68382645,26.86892319,5.759222031,18.52039909,1.035476089,3.050213814,11.03503418,2.116865635,3.888901711,0.606808245,2.880650282
0.2,98.32529449,56.42304993,28.57749176,63.39182663,17.22376251,48.23760986,11.31006432,29.35853386,21.98426056,59.7592392,10.69512653,26.89264488,5.72794199,18.37458611,1.019692898,3.01934123,10.9237566,2.10924077,3.861709833,0.606669784,2.874576807
0.25,92.06443024,52.82089233,26.8633213,59.2780304,16.80814171,47.51531601,11.33826542,29.45017815,22.03481102,59.75788879,10.69092369,26.90200424,5.69643116,18.24261284,1.008064747,2.992952824,10.83487797,2.105129004,3.849886179,0.603819311,2.852208614
0.3,86.28321838,49.51174927,25.27743149,55.48800278,16.38186455,46.82143784,11.38117027,29.57008362,22.10909843,59.72986984,10.6796751,26.89019585,5.671240807,18.14685059,0.996451378,2.966134071,10.74966335,2.100931168,3.826889515,0.598883688,2.807888269
0.35,80.00589752,45.90903091,23.54825783,51.34661484,15.88139439,46.04107666,11.43977451,29.70635033,22.19988441,59.64274979,10.64026642,26.79759979,5.644785404,18.05299377,0.98034209,2.926958084,10.61215782,2.08982563,3.765879393,0.590571046,2.738560438
0.4,73.72834778,42.2895546,21.83880234,47.21608353,15.34714317,45.20772171,11.47278881,29.76034927,22.23962212,59.40611649,10.55759144,26.59081268,5.615504265,17.92346764,0.968473613,2.89035368,10.46779633,2.074474096,3.70075202,0.582683146,2.672564983
0.45,67.48836517,38.72699738,20.16370773,43.20180511,14.77626801,44.33848953,11.50313759,29.80908775,22.28128624,59.10940933,10.45103931,26.31873512,5.586595058,17.80018425,0.950973809,2.838325977,10.26212597,2.049354315,3.600939751,0.571730494,2.588767767
0.5,61.70350647,35.40407181,18.57987213,39.41545486,14.19922256,43.44125748,11.49690819,29.75209236,22.25776291,58.6620636,10.31887436,25.98138237,5.555597305,17.68740273,0.932482183,2.777663946,10.02282619,2.024442911,3.50164628,0.559827089,2.505163908
0.55,55.41904449,31.79018974,16.82280731,35.28966141,13.48636723,42.19949341,11.38709068,29.4389534,22.07428741,57.89405441,10.12715912,25.49064636,5.508446217,17.51080894,0.911508441,2.699050903,9.736945152,1.995649576,3.402494431,0.548130393,2.440043211
0.6,49.1626091,28.21372223,15.01875305,31.18320274,12.67733383,40.49627686,11.04012489,28.4936142,21.46421242,56.57419205,9.886751175,24.78607559,5.436553955,17.17726326,0.890441179,2.619065046,9.466672897,1.960478187,3.319680691,0.53767252,2.4295609
0.65,42.87907791,24.60099602,13.17306805,27.05905724,11.79726696,38.48113632,10.52122879,27.08560753,20.54011345,54.84414673,9.603952408,23.93037987,5.337611675,16.70319366,0.873316109,2.552114964,9.24919796,1.921283364,3.234317541,0.530871332,2.462828159
0.7,37.11378098,21.31120491,11.47506523,23.33659172,10.91911125,36.38426971,9.958028793,25.54047012,19.53033066,52.89984512,9.295154572,23.03113937,5.22133112,16.13636398,0.860039711,2.490336657,9.06098175,1.877804995,3.151832819,0.528876781,2.52127552
0.75,30.84360313,17.71144104,9.599053383,19.27773666,9.841646194,33.69206619,9.233233452,23.53232574,18.21226883,50.27420425,8.889421463,21.88620758,5.056242466,15.37990189,0.837045789,2.388319492,8.794668198,1.815900087,3.017156839,0.523753226,2.588780165
0.8,24.56604958,14.09071636,7.675446033,15.19711304,8.572135925,30.29983902,8.318429947,20.99824905,16.53697586,46.77254868,8.346414566,20.43466568,4.819740295,14.33407116,0.810182095,2.257178545,8.476236343,1.755818129,2.850387573,0.511923909,2.607365608
0.85,18.30930138,10.50407505,5.75080204,11.21805,7.088493824,26.04155159,7.176140785,17.81663704,14.40193748,42.0580368,7.646122932,18.56435776,4.481154919,12.862113,0.775482714,2.080744982,7.971449375,1.671506405,2.607163191,0.491110474,2.525289774
0.9,12.54136467,7.223104477,3.976259947,7.647438049,5.442327023,20.83995056,5.778489113,13.91260338,11.69609451,35.78006363,6.750508785,16.12439346,3.966011763,10.77015781,0.704234302,1.807694793,7.056138992,1.504889846,2.19400835,0.466214985,2.378689766
0.95,6.263502121,3.595371485,1.997238994,3.702166557,3.00404954,12.24420071,3.465913773,7.536810398,6.838525772,22.61373901,4.62620306,10.77006054,2.809818745,6.781116962,0.459870875,1.171666503,4.435026646,1.144249082,1.591975451,0.399261802,2.015333414
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
