abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,11.11696339,21.38183594,10.73383331,21.47990608,4.745870113,9.409527779,1.965138793,4.558386326,3.66008544,8.86008358,2.941331387,6.573768616,1.732435703,4.767800808,0.590180874,1.859736323,5.575602055,1.08084023,1.991660595,0.315815985,1.101837277
0.05,10.71986675,20.67675972,10.38847065,20.59839249,4.674712181,9.287828445,1.94183898,4.501388073,3.61449194,8.775244713,2.911441088,6.539943218,1.721204519,4.770910263,0.592036545,1.868050694,5.611354351,1.089477777,2.006038904,0.318076879,1.108951807
0.1,10.20735931,19.68424225,9.898683548,19.39764214,4.572198391,9.11090374,1.904896021,4.417145729,3.54660511,8.646165848,2.867087603,6.485861778,1.704690695,4.774347782,0.593645155,1.878737092,5.647844315,1.09755373,2.013377905,0.320401877,1.117906928
0.15,9.63839817,18.57446861,9.350963593,18.10941505,4.447817326,8.898550034,1.860347152,4.316398144,3.464984179,8.487726212,2.814064503,6.416614532,1.683653951,4.770060062,0.593588114,1.882433414,5.663939953,1.101379514,2.007993221,0.322424144,1.124722004
0.2,9.0632658,17.45469284,8.798523903,16.86572838,4.315318584,8.671679497,1.811634421,4.206097603,3.37595129,8.310828209,2.755940437,6.342200279,1.661388755,4.758064747,0.591709495,1.877482533,5.654056549,1.10103333,1.990939975,0.323263943,1.12536335
0.25,8.485435486,16.33261299,8.245526314,15.67108154,4.174368382,8.430196762,1.76074791,4.090106964,3.281266689,8.131328583,2.696288109,6.261670589,1.637765288,4.743019581,0.589311659,1.872164369,5.633431435,1.098645449,1.969143748,0.323029846,1.122590542
0.3,7.948417187,15.29029655,7.731878281,14.60356522,4.034570694,8.194664001,1.711883783,3.980797052,3.191895723,7.960062504,2.63840723,6.186037064,1.61634481,4.722623348,0.584825873,1.860664129,5.569072247,1.088466883,1.929962277,0.320633441,1.110565186
0.35,7.368918419,14.16311073,7.17650795,13.51310349,3.872948647,7.924253941,1.656207085,3.858265638,3.093135357,7.761605263,2.573094845,6.086392403,1.588065028,4.676212311,0.574651659,1.831921458,5.447105408,1.065081477,1.859827757,0.314885527,1.085454583
0.4,6.78697443,13.03490067,6.61776495,12.46902657,3.699701309,7.610644817,1.592033982,3.710858345,2.9731493,7.526446819,2.497367144,5.957782745,1.5507828,4.594400883,0.558313906,1.783406973,5.272737026,1.027157903,1.754848123,0.305714071,1.049660325
0.45,6.203516483,11.90388489,6.055820942,11.47618198,3.505610943,7.24304533,1.518367171,3.538264751,2.836290121,7.246440887,2.408629179,5.773910046,1.499059439,4.465263844,0.535242379,1.712769508,5.053331852,0.98014015,1.64063859,0.293469429,1.002641201
0.5,5.66238451,10.85658073,5.533962727,10.58074665,3.308568239,6.849664211,1.437903881,3.355170012,2.693876028,6.933477402,2.308932304,5.547424316,1.438835859,4.305217266,0.510725141,1.636917472,4.838278294,0.933309793,1.539834142,0.281015962,0.957242548
0.55,5.077878475,9.72350502,4.967125416,9.631195068,3.065964222,6.350639343,1.332886338,3.120152473,2.510433674,6.504994392,2.171213865,5.224099159,1.354268789,4.078549862,0.477741659,1.535263777,4.557645798,0.873629272,1.419620872,0.265144795,0.897680998
0.6,4.491548538,8.587814331,4.396470547,8.661621094,2.787799597,5.75976944,1.207450747,2.838127613,2.288996696,5.948881626,1.989883661,4.793996811,1.24027133,3.753249407,0.433545619,1.396560192,4.201731682,0.796971321,1.281138897,0.244157925,0.818902075
0.65,3.904616833,7.45369482,3.821843624,7.67265749,2.484248638,5.112912655,1.071607709,2.52478075,2.041639805,5.297013283,1.775150418,4.264493465,1.100922704,3.336515665,0.377346694,1.22117281,3.718098164,0.696021616,1.103362679,0.216746017,0.71540904
0.7,3.363659382,6.405704975,3.287488699,6.739527702,2.180511951,4.461447239,0.933777094,2.209065676,1.791080117,4.623602867,1.548604012,3.714881182,0.958601832,2.906891823,0.323356122,1.047619939,3.174886703,0.588481665,0.895772219,0.18617332,0.604544163
0.75,2.776300669,5.270071507,2.705251694,5.699142456,1.828408718,3.725344419,0.776005983,1.850043535,1.502653956,3.846218109,1.287528753,3.058740139,0.787597954,2.393322468,0.259219944,0.842453539,2.434472561,0.449470371,0.639144778,0.142896801,0.4635306
0.8,2.190455914,4.135828972,2.123199463,4.592504025,1.455059409,2.96272254,0.615599573,1.484735012,1.207461238,3.045646429,1.022350788,2.401763678,0.614674807,1.884714723,0.198586479,0.651988149,1.792927265,0.332348973,0.46148622,0.10608919,0.353000641
0.85,1.602786779,3.005593061,1.541686058,3.425830841,1.070541382,2.181427717,0.451063186,1.099422336,0.893901646,2.214727402,0.746884704,1.750651717,0.444091171,1.368708372,0.142727539,0.47340855,1.288294435,0.239956424,0.3313739,0.076349668,0.258182734
0.9,1.058724165,1.964883804,1.007590294,2.294882536,0.711883783,1.445536733,0.295860261,0.730055034,0.593544602,1.445724845,0.490319669,1.146785021,0.289862692,0.880271614,0.091719314,0.306996673,0.829786062,0.15533638,0.214887217,0.049082879,0.163911417
0.95,0.480001539,0.87343502,0.447659314,1.029734373,0.322560459,0.636248827,0.129025638,0.320196271,0.260088623,0.624766767,0.211993694,0.491158932,0.124799788,0.365331054,0.039432015,0.132332519,0.349704981,0.06686949,0.092675172,0.020717099,0.069220133
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
