abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,32.83434677,50.61854172,25.31039238,47.77698517,10.60352612,22.99903488,4.840135574,11.18582726,8.716646194,19.94126511,6.00569582,13.37131214,4.401710987,10.99145412,1.39947319,3.984941721,7.095031261,1.613721371,2.32623601,0.244581506,1.125228524
0.05,31.78643036,48.93553543,24.4807415,48.13630676,10.66022682,23.29566193,4.913937569,11.39792728,8.871533394,20.41193581,6.116914749,13.63815308,4.485911846,11.19910717,1.421482801,4.063916206,7.273616314,1.647199512,2.351560116,0.250949413,1.160937905
0.1,30.45095062,46.79826736,23.42867279,48.51766205,10.70127869,23.7024498,5.017623901,11.67021942,9.068292618,21.04352188,6.280903816,14.01578712,4.598856926,11.47346878,1.451166868,4.149499893,7.514908791,1.691614151,2.429125786,0.258196652,1.190774679
0.15,28.93007851,44.38617706,22.24127197,48.87466049,10.7230072,24.12549782,5.142399311,12.01477528,9.311333656,21.79240227,6.469766617,14.42724419,4.714934349,11.71605015,1.482212067,4.253377438,7.831228256,1.740849733,2.64590168,0.266826421,1.21915257
0.2,27.32286644,41.8732872,21.0037117,48.9683609,10.69009876,24.39216042,5.256884575,12.36029816,9.554633141,22.54463196,6.64470005,14.79089642,4.814400196,11.93061829,1.507738709,4.358249664,8.262658119,1.815789819,3.009857655,0.278157592,1.253258228
0.25,25.66962242,39.29746628,19.72389793,48.40208054,10.39535618,23.81304741,5.147752762,12.11855984,9.382019043,22.32841301,6.599152088,14.65887737,4.780333996,11.89245033,1.502057195,4.343139648,8.259634972,1.823781133,2.928915262,0.280276448,1.267257214
0.3,24.10669708,36.872612,18.52274323,47.14680481,9.933755875,22.68658829,4.927895069,11.59630966,8.982803345,21.4442997,6.388705254,14.19157219,4.660809517,11.71287441,1.464044809,4.220142841,7.918355465,1.773343205,2.65149641,0.271646619,1.237211943
0.35,22.40553856,34.23711395,17.21834373,45.24074936,9.312500954,21.24131203,4.651802063,10.92837811,8.45693779,20.20056915,6.057824135,13.51073074,4.469466209,11.35081005,1.41213131,4.074023247,7.62857914,1.742229462,2.517326593,0.269284099,1.237101912
0.4,20.68596268,31.5779171,15.90024281,42.92395401,8.616941452,19.66194916,4.351787567,10.20406437,7.877981663,18.8121109,5.674795628,12.72457314,4.236824989,10.77741718,1.35297358,3.920144081,7.360491753,1.681584954,2.447740078,0.264082521,1.211014748
0.45,18.95006752,28.90158081,14.57148743,40.27306747,7.883303642,17.99724388,4.029296398,9.450618744,7.283900738,17.34682274,5.266424179,11.84686852,3.961274147,10.00798702,1.280866861,3.730668783,7.002465725,1.600302458,2.349383354,0.253298074,1.150870085
0.5,17.32814598,26.40618134,13.3351717,37.58351135,7.193042278,16.43139839,3.715637445,8.72961998,6.727184296,16.03024292,4.901364326,11.05582523,3.706481457,9.299454689,1.211691022,3.540943623,6.667368412,1.523040891,2.24830699,0.241882771,1.092155814
0.55,15.57101822,23.70518303,11.99813747,34.43084335,6.432005882,14.71743298,3.370361567,7.92813158,6.111102581,14.57710266,4.489512444,10.14957619,3.40679121,8.475766182,1.126081347,3.31094861,6.250583649,1.418040037,2.114190817,0.2257355,1.016595006
0.6,13.80665302,20.99600029,10.65369034,31.03487587,5.652449608,12.96646214,3.009634972,7.077674866,5.450854778,13.02291107,4.036199093,9.151509285,3.073254585,7.60393095,1.02524507,3.030308247,5.729927063,1.291805387,1.931116343,0.204108581,0.91584295
0.65,12.03619289,18.27710152,9.296035767,27.43045807,4.859651566,11.18900871,2.63111186,6.199270248,4.769945145,11.42297268,3.55305028,8.07745266,2.711966515,6.704538345,0.911483049,2.704227686,5.128129482,1.149263859,1.719226956,0.182266653,0.820969939
0.7,10.38617134,15.7500515,8.028406143,23.94493866,4.134371758,9.550159454,2.272592783,5.372831821,4.128615379,9.905308723,3.083582401,7.01955986,2.356796741,5.831702709,0.79694581,2.367814064,4.483253479,0.99877578,1.496242166,0.159689561,0.724692523
0.75,8.602087975,13.01946449,6.650856495,20.03082085,3.366100788,7.779889107,1.873448133,4.447333813,3.411432505,8.223204613,2.559202909,5.837509155,1.95683527,4.850019932,0.663861513,1.971230865,3.73298645,0.829749346,1.25136435,0.133267492,0.61032939
0.8,6.814686775,10.29029655,5.262206554,15.9868269,2.616429329,6.043840885,1.473033547,3.507303238,2.684154987,6.491705418,2.016074657,4.601238251,1.536057353,3.8063097,0.520698905,1.535636902,2.900149822,0.645100713,0.991419613,0.103643671,0.479731828
0.85,5.020008087,7.55449295,3.863984585,11.8046751,1.891001821,4.366174698,1.077909946,2.575073481,1.96425128,4.758882046,1.47160387,3.359162331,1.117468238,2.768217325,0.377250105,1.104994893,2.080138445,0.464124322,0.736931443,0.074180469,0.338376522
0.9,3.353761911,5.027849674,2.569752932,7.853878021,1.24799931,2.879421234,0.718682289,1.726464629,1.312716007,3.18145442,0.978348076,2.230586529,0.74104166,1.832351446,0.247726366,0.720254958,1.340239167,0.301096082,0.49748233,0.04683283,0.208689243
0.95,1.555725932,2.351844072,1.2012465,3.546962023,0.595155895,1.341099858,0.338727385,0.817655683,0.619746983,1.478576064,0.448820084,1.018834949,0.338005304,0.829581022,0.111068964,0.322076917,0.610414982,0.138396323,0.245334059,0.020387484,0.085101329
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
