abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,74.05979156,97.50896454,48.78739166,96.35810852,17.68183708,36.07214737,9.215435982,20.73687744,14.30961514,29.5988121,7.258653164,16.42579842,4.858277321,11.39887333,1.268195271,2.863090038,9.004408836,2.028405666,3.247600317,0.252034098,0.926607132
Task 2,70.6654129,93.07780457,46.62841797,91.36671448,17.39320183,35.30307388,9.032809258,20.30159187,14.02724361,29.05406189,7.10582304,16.11140251,4.762428284,11.19966984,1.230997205,2.787180901,8.799297333,1.984259725,3.204197168,0.245200008,0.885220528
Task 3,67.13739777,88.41014099,44.35386658,85.97314453,17.07257462,34.62013626,8.889539719,19.93997574,13.79804039,28.59645271,6.97419548,15.85450268,4.68517065,11.05331421,1.198451281,2.724492073,8.622982979,1.947949886,3.159206629,0.238465339,0.846537113
Task 4,63.30672073,83.41256714,41.92671204,80.26147461,16.71069145,33.8384285,8.731898308,19.5297966,13.53675938,28.09472466,6.829955578,15.57610703,4.601270676,10.89779949,1.163754344,2.655970097,8.423272133,1.905574083,3.09737134,0.231514335,0.809794843
Task 5,59.47883606,78.37192535,39.47963333,74.60157013,16.3175354,32.98987579,8.562638283,19.09514618,13.25759029,27.56813431,6.679507256,15.28802967,4.513688564,10.74421597,1.127950311,2.583837509,8.18301487,1.854526758,3.006478786,0.223798051,0.772799969
Task 6,55.65333939,73.32067871,37.03028488,69.02018738,15.87891197,32.01726532,8.358721733,18.57422829,12.92289448,26.92904663,6.507843971,14.94809055,4.413725853,10.56213188,1.091724873,2.507573843,7.919197559,1.798187971,2.900578976,0.215568617,0.73630774
Task 7,52.117836,68.67526245,34.78260422,64.0425415,15.43502426,31.03937149,8.15544796,18.05646515,12.58791637,26.32242584,6.349705696,14.62751961,4.322228909,10.40677929,1.059948564,2.443574429,7.676414967,1.747423768,2.798228264,0.208591297,0.706494033
Task 8,48.29240036,63.63079071,32.34744644,58.71858597,14.88296986,29.84250641,7.901491642,17.41068459,12.17765522,25.57124901,6.163660049,14.24691105,4.217428684,10.22828293,1.027308345,2.381195068,7.405919552,1.689102054,2.68745923,0.20065783,0.672096074
Task 9,44.48040771,58.602314,29.90344429,53.52408218,14.27710438,28.53330231,7.61473465,16.70131493,11.72449017,24.76373291,5.968010902,13.85458946,4.111732006,10.03476715,0.994289219,2.311928272,7.097408772,1.617200375,2.539651871,0.192219287,0.633906245
Task 10,40.66304398,53.56855011,27.4425621,48.40060806,13.59891415,27.12970543,7.296076775,15.94446278,11.23811245,23.91165543,5.755516052,13.43195724,3.995134592,9.809355736,0.963000774,2.242009163,6.764499187,1.537215948,2.386064529,0.18478182,0.596428692
Task 11,37.12726974,48.89666367,25.13863754,43.72810745,12.91829109,25.83427048,6.983927727,15.21449089,10.7652359,23.09461784,5.552865982,13.03404045,3.883124828,9.577897072,0.937454343,2.179144144,6.47972393,1.463864803,2.23236537,0.178578079,0.567824304
Task 12,33.32354736,43.87400436,22.62910461,38.8290329,12.12467289,24.41687584,6.63243866,14.38341331,10.21690845,22.16438293,5.324721336,12.56981182,3.749714851,9.283390999,0.910129607,2.112927198,6.209342957,1.397404671,2.105304241,0.173030898,0.551788092
Task 13,29.51283836,38.84745026,20.10997963,34.13271332,11.25836754,22.90314293,6.240252495,13.48039627,9.606846809,21.0990448,5.063242912,12.03203869,3.594923496,8.901676178,0.881816268,2.047528267,6.012082577,1.342926264,2.035052776,0.170004129,0.546743214
Task 14,25.70329285,33.81140137,17.56464577,29.61244392,10.30438328,21.09314537,5.754211903,12.40123463,8.874212265,19.76493263,4.758034229,11.41027069,3.415606976,8.445577621,0.849589348,1.978724003,5.833490849,1.292372108,1.982975602,0.1655754,0.544466019
Task 15,22.18742752,29.18518257,15.22106743,25.66084862,9.341525078,19.24601746,5.258869648,11.30346489,8.132398605,18.33471489,4.428236008,10.72049618,3.206844807,7.921776772,0.806057155,1.884212732,5.570393085,1.228191733,1.891156435,0.159822315,0.538152218
Task 16,18.3622036,24.14669037,12.65528584,21.5743103,8.222468376,16.95626831,4.646996021,9.95440197,7.204052448,16.34387207,3.96562171,9.725597382,2.898167849,7.100780964,0.73121953,1.733570337,5.189465046,1.135773778,1.748599887,0.152699679,0.535815537
Task 17,14.54920483,19.13729668,10.07158279,17.52437401,6.921058178,14.38699245,3.958159208,8.473419189,6.158750534,13.87521839,3.371726036,8.392402649,2.481945515,5.990572929,0.617645621,1.492722988,4.565903664,0.986837327,1.524690986,0.136613354,0.502605915
Task 18,10.74633694,14.1240654,7.457230568,13.42143726,5.414141655,11.5502739,3.185304403,6.82615757,4.967895985,10.92052746,2.652308941,6.664847851,1.951041579,4.680243492,0.475129992,1.166785836,3.626951456,0.7680915,1.219948649,0.107563905,0.396262378
Task 19,7.225872993,9.515278816,5.041828632,9.489937782,3.795725107,8.378396034,2.298843145,4.992681026,3.645973682,7.81540823,1.898125172,4.608336926,1.367723227,3.186623573,0.326417357,0.815638244,2.468905687,0.523035347,0.899016023,0.072150744,0.255425841
Task 20,3.419821739,4.617328644,2.449198246,4.944573879,1.930961013,4.512248039,1.221121788,2.684064388,1.969934821,4.214880466,1.030284524,2.381914854,0.705669761,1.645122766,0.178616986,0.427972853,1.185723901,0.258652449,0.437334388,0.036877938,0.13247411
Task 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
