abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,26.86885071,41.71244431,20.69444275,33.18671036,8.687074661,16.59129333,3.184648037,7.785075188,6.384160995,14.80756092,4.493924141,9.914952278,2.592543125,6.98477602,0.813304365,2.731675148,6.320836544,0.823952198,1.325823903,0.407854378,1.237735868
0.05,26.09344292,40.18461609,19.94123459,32.41231537,8.667453766,16.60486031,3.180646658,7.78913784,6.385238171,14.90930653,4.515552998,9.952776909,2.609118223,7.024101257,0.816873252,2.74815464,6.40883255,0.834361076,1.338028908,0.411020249,1.245232463
0.1,24.88072777,38.23448181,18.98833084,31.25958824,8.597236633,16.55697632,3.165572166,7.777756691,6.373262882,15.00785255,4.528594017,9.982725143,2.62389636,7.053256035,0.820244253,2.763034344,6.481317043,0.84275341,1.356734395,0.415269315,1.263126493
0.15,23.50425911,36.07462692,17.93410683,30.16907501,8.519898415,16.52660179,3.159404039,7.78748703,6.376971245,15.17494106,4.556764126,10.04644203,2.644854069,7.08978796,0.820775926,2.765182972,6.495965004,0.844862521,1.369376421,0.418522894,1.280771732
0.2,22.0944519,33.90177155,16.87501144,29.29487991,8.445163727,16.52653122,3.162575483,7.827207088,6.405979156,15.4269743,4.603714943,10.15229988,2.670786619,7.131244183,0.817054987,2.755931377,6.411054134,0.837197959,1.372958183,0.418498933,1.28040719
0.25,20.66096687,31.70224571,15.80277061,28.61389542,8.381846428,16.56599426,3.181460142,7.912986279,6.466856956,15.79957199,4.678301811,10.33001995,2.715596676,7.218397617,0.812731028,2.753327847,6.341636658,0.831947803,1.372047305,0.415258169,1.276342034
0.3,19.32764053,29.67373276,14.81307507,28.11585236,8.330913544,16.628685,3.211484671,8.027859688,6.54476738,16.24217606,4.762706757,10.52965641,2.764526129,7.32284832,0.80809772,2.754149199,6.258214474,0.82271409,1.360910177,0.412942469,1.266016245
0.35,17.87750626,27.46497154,13.73344231,27.66423035,8.266964912,16.6709919,3.253848076,8.191092491,6.655892372,16.80834198,4.879882813,10.79242516,2.833040714,7.472034931,0.811751664,2.780620098,6.240727901,0.821948886,1.354838967,0.417048454,1.274983764
0.4,16.42090797,25.26049614,12.65525055,27.15442657,8.141386032,16.54650116,3.270622969,8.28397274,6.718015194,17.19023514,4.960110664,10.9556694,2.87928009,7.57109499,0.81425035,2.791110039,6.1606493,0.823952258,1.334732056,0.412978441,1.248044968
0.45,14.95210457,23.04370499,11.56834698,26.36415291,7.858250618,16.0664463,3.200147867,8.112398148,6.587334633,16.95262718,4.90427494,10.80999279,2.848776102,7.479144096,0.802434683,2.735697985,5.904592991,0.803693414,1.292111754,0.399825811,1.185007453
0.5,13.59438419,20.9992981,10.56125355,25.30096817,7.408351898,15.23125362,3.05079627,7.701824665,6.270597458,16.15798378,4.737247944,10.42062092,2.754440784,7.2415452,0.775791407,2.629652023,5.561339855,0.757287025,1.217416286,0.376816779,1.107744217
0.55,10.65050793,16.57428932,8.369950294,21.84647369,6.031412601,12.54475689,2.546908379,6.448307991,5.293071747,13.65310669,4.113575459,9.048348427,2.407034874,6.454948902,0.696355045,2.347458839,4.992030621,0.665599883,1.059337139,0.332806647,1.036403418
0.6,10.65050793,16.57428932,8.369950294,21.84647369,6.031412601,12.54475689,2.546908379,6.448307991,5.293071747,13.65310669,4.113575459,9.048348427,2.407034874,6.454948902,0.696355045,2.347458839,4.992030621,0.665599883,1.059337139,0.332806647,1.036403418
0.65,9.177996635,14.35850525,7.269807339,19.57780266,5.205435276,10.87997627,2.241560459,5.691163063,4.689211369,12.10342216,3.682104111,8.096306801,2.162184954,5.865456581,0.646976233,2.173600435,4.72683382,0.622364163,0.986045957,0.313091904,1.022293448
0.7,7.817209721,12.32632542,6.254579067,17.27131462,4.424865723,9.305833817,1.950150132,4.971063137,4.101198673,10.59850788,3.252305031,7.180146217,1.923560023,5.279098511,0.592911959,1.972053528,4.363604069,0.567345321,0.903812885,0.288408756,0.984726369
0.75,6.344815731,10.13028908,5.145720005,14.5571785,3.578941345,7.600225449,1.625394821,4.160006523,3.430838823,8.906641006,2.75112319,6.102823257,1.639313102,4.55885458,0.515814722,1.696109176,3.764932156,0.489236146,0.7856493,0.249163717,0.851173341
0.8,4.885365486,7.956942081,4.044466019,11.69834232,2.760830879,5.889451504,1.287437797,3.313835859,2.727334499,7.131620884,2.214459896,4.946357727,1.320262671,3.694410324,0.418799728,1.367781997,3.01991415,0.393031925,0.623864651,0.195622325,0.646030068
0.85,3.452114344,5.819796085,2.958456516,8.726786613,1.986010671,4.245113373,0.949783742,2.464968681,2.02195096,5.298779964,1.65134716,3.729614973,0.98804301,2.761131048,0.312670976,1.022819042,2.24829483,0.294226497,0.451227039,0.142547667,0.454559833
0.9,2.194764137,3.932621479,1.999606371,5.931884766,1.335136056,2.804807663,0.636489153,1.674751043,1.369338036,3.559624672,1.11310637,2.538749218,0.668426692,1.883838892,0.213065237,0.696424782,1.54437983,0.203717768,0.316547632,0.099574558,0.317346364
0.95,1.065050721,2.239042521,1.134215713,3.179672241,0.797028959,1.526131749,0.334670752,0.905450404,0.739593804,1.813788056,0.565193295,1.309810877,0.342943579,0.970809758,0.10916774,0.357215524,0.798853695,0.10960266,0.173936039,0.054782949,0.181392401
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
