abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,9.561897278,22.2637558,11.14715004,21.39768982,5.720411777,12.82737446,2.644546986,6.635478497,5.314788818,12.16959572,3.821924686,8.583898544,2.605817795,6.608187675,0.82610333,2.717202425,5.630503654,1.048101902,1.664138198,0.270792037,0.862432957
0.05,9.189388275,21.39431381,10.72414875,21.19743729,5.684612751,12.90312576,2.662423611,6.655930042,5.32337141,12.24207497,3.830792904,8.579245567,2.602074385,6.578021049,0.82088834,2.688349724,5.514019966,1.023675919,1.637238741,0.26547718,0.850501537
0.1,8.744707108,20.35216331,10.21605396,20.95532227,5.629766941,13.00622749,2.686838865,6.694385052,5.343852043,12.36144638,3.8485744,8.596515656,2.603015661,6.557625771,0.816744387,2.664315224,5.456131458,1.009977937,1.626548052,0.261393785,0.843847513
0.15,8.254128456,19.20702744,9.658000946,20.67692757,5.54656601,13.03597832,2.696868181,6.698690891,5.339193821,12.42366314,3.847900867,8.585374832,2.591719866,6.509237766,0.810452521,2.632742882,5.417982578,1.005174637,1.621685028,0.25793314,0.843680561
0.2,7.759417057,18.05071449,9.096195221,20.3697052,5.431769371,12.95680714,2.684104919,6.656383038,5.298667431,12.40141487,3.82446456,8.535430908,2.567021847,6.440393448,0.798526943,2.590644121,5.351527691,0.997731745,1.620075703,0.25702244,0.849472344
0.25,7.262609482,16.88966179,8.525755882,19.95760727,5.258450985,12.69777203,2.630016804,6.539269924,5.204865932,12.24487782,3.772036314,8.443949699,2.533163548,6.369374752,0.783318222,2.537863016,5.26281929,0.987418294,1.621884704,0.255705237,0.863253415
0.3,6.801548481,15.81336403,7.990018845,19.48289871,5.06435442,12.35272789,2.561203241,6.392640114,5.086562157,12.03510666,3.713874102,8.328604698,2.49586606,6.291582584,0.771121681,2.496530056,5.182203293,0.976235867,1.623046517,0.255195528,0.874865234
0.35,6.302877903,14.65076637,7.405431271,18.84151268,4.813276291,11.83768654,2.463294268,6.174723625,4.913291931,11.7028017,3.625264168,8.158593178,2.441931725,6.188878059,0.755099893,2.447520971,5.148765087,0.972218513,1.642591596,0.256116271,0.910119116
0.4,5.802538395,13.48211765,6.81219101,18.0446167,4.519925594,11.16552639,2.335162878,5.895112514,4.694748878,11.21588421,3.494516373,7.885369301,2.357314825,5.99780941,0.729314923,2.355164528,5.027408123,0.951275647,1.624772668,0.252152026,0.918748677
0.45,5.301208973,12.31308556,6.217883587,17.06925774,4.17498064,10.33803844,2.175827742,5.539826393,4.411286831,10.55860424,3.30896306,7.485228062,2.231495857,5.703701973,0.694032311,2.241270304,4.792386532,0.911326528,1.557094574,0.239132106,0.870874047
0.5,4.837800026,11.23072147,5.668195724,16.02125931,3.824090242,9.467772484,2.005682468,5.142448902,4.095906258,9.862584114,3.103388548,7.02459383,2.086415052,5.353517056,0.650192857,2.093442202,4.493054867,0.856991768,1.453639746,0.221356839,0.790164828
0.55,4.336975098,10.06399059,5.079516411,14.73552799,3.421608686,8.474582672,1.811056256,4.683735847,3.731097221,9.042876244,2.851855516,6.462348938,1.915193319,4.941688538,0.597978055,1.921480179,4.155824184,0.797563195,1.347670078,0.201892808,0.709367931
0.6,3.833821774,8.892416,4.489150524,13.31279469,3.001247644,7.441687107,1.608227015,4.200285912,3.342151642,8.173128128,2.580148935,5.855850697,1.729903579,4.489688873,0.542017519,1.735331416,3.753588438,0.724769533,1.217084169,0.179987535,0.622106671
0.65,3.332356453,7.72380352,3.900257349,11.77986908,2.573843002,6.394018173,1.399442315,3.682920218,2.927983999,7.233593464,2.280461311,5.181518078,1.525080919,3.992819786,0.481979012,1.535669923,3.304329395,0.637557447,1.060326815,0.157311529,0.536711097
0.7,2.866580009,6.639667034,3.355769634,10.27873325,2.17747426,5.415519238,1.199973822,3.184030294,2.52839303,6.297860146,1.98414433,4.508804798,1.325876355,3.491380692,0.421237737,1.332858086,2.84417367,0.544229448,0.892143667,0.133562803,0.454089284
0.75,2.364726543,5.471684933,2.767978191,8.586529732,1.760292649,4.376173973,0.983512223,2.628531456,2.082446575,5.226847649,1.645770788,3.737591982,1.099993467,2.904654026,0.351410717,1.103042126,2.33458066,0.442607224,0.714593232,0.109531723,0.373316884
0.8,1.862892747,4.304217339,2.179853439,6.835383415,1.360892653,3.375966549,0.769031405,2.067507982,1.634191513,4.120990276,1.297642708,2.953290224,0.870645761,2.30306673,0.279548645,0.878197551,1.845676303,0.348260581,0.556406677,0.086811289,0.293621987
0.85,1.360748291,3.138469696,1.591052175,5.023157597,0.97795254,2.413339138,0.556151032,1.504875779,1.188217759,2.994612455,0.943266153,2.149888992,0.632708669,1.678371668,0.204425231,0.638998806,1.34845233,0.251111507,0.38920638,0.062206574,0.209433973
0.9,0.896349609,2.070472717,1.049164176,3.312537909,0.638189852,1.557082534,0.362078458,0.985423803,0.777700961,1.955195069,0.61578995,1.40779078,0.412902355,1.0959723,0.133231148,0.417206883,0.870898306,0.159802347,0.243779749,0.03879749,0.130593002
0.95,0.396107048,0.94525224,0.478099912,1.473686337,0.298721105,0.715478122,0.166687384,0.459276408,0.362986535,0.904315293,0.284735233,0.651016414,0.190412208,0.49966684,0.060601939,0.188136786,0.383166671,0.069475278,0.102509759,0.016169101,0.051675756
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
