abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,17.04304314,47.91292572,23.81316757,41.76887131,12.04647064,17.21802902,2.980661392,5.045876503,4.358485699,9.0114851,3.67595315,7.11163187,1.444831491,4.252497196,0.25033778,0.480847359,1.37763238,0.377127856,0.487978548,0.116346672,0.343886554
0.05,16.66469383,46.56485367,23.14461136,40.51335526,11.83908653,16.90019417,2.90879631,4.943251133,4.272902012,8.863313675,3.616552114,7.023221016,1.420427799,4.1863904,0.245088413,0.471316397,1.336718202,0.366105467,0.472347856,0.112550452,0.333194613
0.1,15.99705029,44.52963257,22.14015579,38.55402374,11.52213097,16.39900208,2.795147896,4.778759956,4.135370731,8.608047485,3.518485785,6.854823589,1.379671931,4.064109325,0.234940544,0.452700943,1.258516669,0.34476459,0.443301409,0.105146281,0.311647058
0.15,15.13778687,42.07860184,20.92922592,36.19714737,11.12972736,15.75947189,2.653654814,4.571460247,3.961488724,8.287407875,3.390573263,6.61991024,1.32566607,3.90239501,0.220810115,0.425972342,1.155557871,0.317269742,0.403629363,0.09548109,0.283901095
0.2,14.21884727,39.52025986,19.66547775,33.78936386,10.70427036,15.0839119,2.509136915,4.357804775,3.782083273,7.951945305,3.256631613,6.359481335,1.269551158,3.737262726,0.206719756,0.401046365,1.057317257,0.290601909,0.366148025,0.086144507,0.257436067
0.25,13.2735548,36.91511536,18.37958145,31.41362953,10.24815845,14.36816406,2.362684727,4.14071703,3.599233866,7.609724045,3.11614275,6.078133106,1.210778832,3.566076517,0.191590548,0.374787629,0.960786641,0.264670879,0.329461128,0.077272974,0.231957063
0.3,12.36994743,34.46380997,17.16717911,29.23536873,9.801339149,13.67973614,2.227261543,3.937767982,3.427612305,7.285830975,2.980019331,5.803198814,1.153791308,3.398798227,0.178009942,0.350283355,0.872618198,0.241065204,0.295832723,0.069509573,0.209865779
0.35,11.38556957,31.79798508,15.84657192,26.93085861,9.288061142,12.89905071,2.080003738,3.716499567,3.239263535,6.9259305,2.829307079,5.493404388,1.091447353,3.215036631,0.163997382,0.326096565,0.78772074,0.218624681,0.266162425,0.062619612,0.190594405
0.4,10.39839745,29.11942101,14.52018929,24.67905617,8.739877701,12.08149529,1.929482222,3.486107111,3.042186022,6.543130398,2.669449806,5.150972366,1.022509575,3.007923603,0.149778366,0.301072389,0.70521313,0.197424188,0.237742931,0.0562726,0.174182311
0.45,9.397426605,26.41527367,13.18119431,22.45742035,8.150823593,11.2123785,1.775330663,3.240700245,2.831183434,6.127919674,2.497667551,4.797644615,0.951952696,2.802725077,0.137201846,0.279410541,0.630219758,0.177258983,0.21040374,0.049545154,0.156071752
0.5,8.47885704,23.92998695,11.94944954,20.46948051,7.574959278,10.38331127,1.634426832,3.007198095,2.629540205,5.740874767,2.337714911,4.475307941,0.889642358,2.611706495,0.126267612,0.259435683,0.570985317,0.160644874,0.189748466,0.044465769,0.143943518
0.55,7.501833916,21.25219536,10.62198257,18.35712624,6.912703037,9.433073044,1.47905302,2.741049767,2.399272442,5.284973145,2.153588533,4.119682312,0.820611238,2.409673691,0.115457773,0.238601387,0.518125415,0.145847335,0.172873855,0.040346976,0.134006694
0.6,6.546158314,18.58190536,9.29585743,16.25975227,6.214613914,8.450324059,1.32144177,2.468234062,2.161687136,4.808404446,1.957579494,3.744170427,0.748696089,2.18936801,0.104818605,0.217641622,0.468099684,0.131769851,0.155102,0.036218353,0.121363685
0.65,5.612315178,15.93231583,7.976113796,14.14983559,5.47211504,7.404250145,1.156399727,2.180557728,1.909823418,4.273108482,1.737835765,3.32275629,0.666355193,1.943944097,0.0929543,0.192789897,0.414352477,0.116979606,0.137536272,0.0316916,0.105776481
0.7,4.776649952,13.53401852,6.779843807,12.22938156,4.761838436,6.40982008,1.000945807,1.907492757,1.671369553,3.775684118,1.531441569,2.933609486,0.591345489,1.722798347,0.082471602,0.170893058,0.364943236,0.10390576,0.1233522,0.028201358,0.096034221
0.75,3.932717562,10.92148018,5.473484993,10.0975399,3.945413828,5.257002831,0.821713388,1.58640933,1.390471816,3.180263996,1.283792853,2.465794563,0.500635862,1.457530737,0.069880635,0.143271029,0.307712734,0.087899469,0.103598528,0.024160907,0.081429102
0.8,3.144986391,8.630012512,4.326766491,8.165417671,3.178025723,4.207682133,0.662867427,1.290020943,1.131139159,2.601650476,1.046694636,2.02042675,0.410067499,1.191204309,0.057636864,0.117969088,0.251793414,0.072426051,0.085956305,0.020132402,0.067365848
0.85,2.505074739,6.565337658,3.291327715,6.393277168,2.4601264,3.212426186,0.508076668,0.995390117,0.87181437,2.010403872,0.805874705,1.565556884,0.31998831,0.911512196,0.045297563,0.092604049,0.198759794,0.057601202,0.067274846,0.016221147,0.053145245
0.9,2.049816608,5.210279465,2.611568928,5.176128864,1.970159292,2.55722928,0.402240843,0.79464215,0.695738733,1.604914665,0.640569925,1.256027699,0.257206947,0.72497195,0.036881872,0.076163605,0.166917294,0.047938541,0.055748615,0.013470561,0.044227313
0.95,1.886626959,5.116919994,2.562943935,5.005905151,1.91934967,2.544126511,0.391631782,0.77447474,0.679007113,1.54719758,0.616535187,1.228623033,0.248650253,0.711361945,0.035589252,0.072098538,0.16280359,0.045773331,0.054937821,0.012407572,0.041644875
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
