abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,55.35089111,22.209095,10.80305862,20.0097847,7.072571278,18.52896118,4.13391161,8.80753231,6.982903004,18.6567688,4.463275433,11.44736385,2.723612547,7.457985401,0.528550982,1.601004601,3.777620316,0.835703075,1.311882257,0.208634406,0.777269781
0.05,52.61757278,21.2071209,10.35380268,19.19750023,6.945512295,18.16625977,4.106875896,8.772102356,6.953116417,18.61881256,4.453773499,11.41427422,2.71285367,7.426481247,0.526186645,1.585408688,3.712524891,0.818588436,1.273661494,0.200683594,0.743872285
0.1,50.02072525,20.18211174,9.890275955,18.27226067,6.793099403,17.79248619,4.078410149,8.721153259,6.910758495,18.54991341,4.434525013,11.36785221,2.696708202,7.379465103,0.524153531,1.575483561,3.671968699,0.807364166,1.25285387,0.195830852,0.726969242
0.15,47.18803024,19.0364399,9.369050026,17.2251358,6.592108727,17.35824585,4.050597191,8.672279358,6.862272739,18.51891899,4.421171188,11.35858536,2.685432911,7.36692667,0.519848228,1.560870409,3.608322144,0.795548379,1.221436977,0.189637005,0.697889209
0.2,44.36655045,17.90229416,8.849965096,16.20765877,6.357541561,16.90623093,4.023077965,8.634402275,6.822239399,18.62434006,4.432953835,11.45645809,2.687379599,7.424559593,0.509609401,1.519300938,3.474239349,0.779631615,1.179053903,0.184479028,0.658504128
0.25,41.53383636,16.75723457,8.319001198,15.19570923,6.104248524,16.46992302,3.996422529,8.621041298,6.812402725,18.88901138,4.502091885,11.65958309,2.728342295,7.511088371,0.503352046,1.486937165,3.399611235,0.77439183,1.153310418,0.18311958,0.6224792
0.3,38.92633438,15.70163536,7.830617905,14.21341038,5.809286118,15.72400951,3.891088724,8.390227318,6.622154236,18.09148216,4.302394867,11.1558075,2.611123562,7.250265598,0.499904513,1.47088182,3.431582212,0.755826414,1.119495749,0.178579614,0.601671278
0.35,36.09932327,14.56433868,7.305631161,13.17294598,5.521306515,15.09808445,3.829762697,8.231539726,6.510681629,17.54700279,4.187794209,10.79364204,2.548554659,7.05112505,0.499950171,1.461927176,3.538855076,0.759207964,1.126842618,0.176133841,0.590784967
0.4,33.2708168,13.42220688,6.800720692,12.15639782,5.254785538,14.57884598,3.774489641,8.086071968,6.409917831,17.13337326,4.097903252,10.53297615,2.510229111,6.942531109,0.497700214,1.450761437,3.600070238,0.761518061,1.131687045,0.17458947,0.577757001
0.45,30.44384766,12.28348351,6.295827389,11.15323639,4.960612297,14.09576702,3.72141552,7.943972588,6.315600872,16.74233437,4.01347065,10.30551624,2.480527639,6.85752964,0.49382782,1.438191772,3.634475231,0.760773957,1.12259376,0.173905998,0.559441507
0.5,27.82926178,11.22316456,5.817111015,10.21047783,4.665299892,13.6795826,3.682161093,7.825349808,6.234186649,16.36056709,3.9297297,10.08333588,2.452065945,6.782859802,0.485443652,1.415774703,3.616530895,0.754775703,1.088728547,0.173202455,0.538457453
0.55,25.0020771,10.08141232,5.286963463,9.177018166,4.308463573,13.16495228,3.626883745,7.664645195,6.115541935,15.88630581,3.816953897,9.811049461,2.411920309,6.672035217,0.472772807,1.384844065,3.528208017,0.734822989,1.016978264,0.171096101,0.514988542
0.6,22.17378616,8.939583778,4.719927788,8.138493538,3.897839546,12.39341831,3.489710569,7.371792316,5.876152992,15.46855068,3.693969011,9.60544014,2.391454458,6.602843761,0.457840383,1.348231435,3.353809357,0.713709414,0.949051738,0.167390212,0.500128388
0.65,19.34374809,7.795058727,4.128322124,7.108572006,3.463519573,11.35170841,3.242894411,6.840417862,5.460900307,14.69685841,3.48913455,9.179724693,2.327053785,6.379624367,0.441553116,1.298837185,3.148531914,0.676393926,0.881002903,0.15773645,0.463401049
0.7,16.7305603,6.744627476,3.592657089,6.113562107,3.024764061,10.02749252,2.912050724,6.059674263,4.846946239,12.98224926,3.078781605,8.136620522,2.08087182,5.792356491,0.409892023,1.190999508,2.980093718,0.629834592,0.787097335,0.144812867,0.438035339
0.75,13.90485001,5.601136208,2.995694876,5.036802769,2.55266428,8.637460709,2.554383516,5.226107121,4.234967709,11.37368393,2.711531401,7.151852608,1.85753417,5.205280781,0.374248326,1.080376863,2.801202297,0.579524994,0.712691367,0.13331762,0.406712294
0.8,11.0736475,4.45228672,2.38443923,3.996934175,2.083852291,7.282734871,2.173738956,4.370305061,3.594238281,9.878943443,2.360638857,6.280767918,1.64032042,4.682170391,0.333548367,0.966623187,2.503192902,0.522404075,0.625932634,0.124129705,0.397370696
0.85,8.24510479,3.313371181,1.778846383,3.018079042,1.6079036,6.075293541,1.832269311,3.679723501,3.037216663,9.16481781,2.142402172,5.873104572,1.489698291,4.50880146,0.305021405,0.888925135,2.420307159,0.544395506,0.65418005,0.143698663,0.438750505
0.9,5.630247116,2.262526274,1.21570766,2.107657433,1.134453893,4.709068775,1.450811982,2.921078682,2.426019669,7.949004173,1.847176552,5.226286888,1.298848987,3.984699249,0.26200667,0.76995492,2.235061646,0.529154539,0.653828263,0.149023116,0.437171757
0.95,2.806245089,1.129200578,0.612173915,1.041003704,0.547746599,2.252899647,0.686045825,1.327747464,1.085744858,3.434651375,0.826888442,2.355995178,0.576965392,1.850497484,0.104387641,0.295741498,0.624768555,0.153334647,0.183023602,0.040788509,0.12969774
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
