abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,6.385149002,24.88329315,12.47875404,25.80713463,5.613679409,14.81507587,4.197453976,9.675338745,6.780841827,13.85506725,3.673597813,9.190330505,2.563678503,10.50326443,0.745028496,1.29933393,4.153362751,1.138776183,1.669139504,0.157617971,0.579705
0.05,6.196096897,24.18292427,12.13655281,25.11590958,5.530162811,14.58773899,4.132188797,9.552161217,6.697292328,13.68400383,3.624537706,9.062018394,2.529081821,10.36416721,0.738334537,1.28715229,4.111370087,1.129543424,1.662375093,0.156410351,0.576599896
0.1,5.894092083,23.0004158,11.55785084,23.98462868,5.362613678,14.24592495,4.053553104,9.406999588,6.591469765,13.50565529,3.570165873,8.971893311,2.498543501,10.28973961,0.730800688,1.276434064,4.0557127,1.119151235,1.632141232,0.15484722,0.573729396
0.15,5.559102535,21.69134903,10.9155302,22.76119232,5.156391621,13.80049706,3.944772005,9.201471329,6.445355892,13.22501564,3.486005545,8.808171272,2.447490692,10.11140251,0.718526423,1.258603573,3.963943005,1.098036289,1.585481405,0.151733056,0.564379513
0.2,5.222166061,20.37606812,10.26972771,21.56609535,4.935105324,13.30447006,3.819755793,8.965829849,6.279605389,12.87697315,3.384012699,8.599080086,2.385071516,9.881521225,0.703823805,1.238757014,3.858931065,1.072760463,1.534036994,0.147892103,0.552503407
0.25,4.884149551,19.05860519,9.621346474,20.40476036,4.697320461,12.76008701,3.677314758,8.686747551,6.083649158,12.45506287,3.264162779,8.341264725,2.310749769,9.584100723,0.68587333,1.2136724,3.733372688,1.04088974,1.474209905,0.142944887,0.536519885
0.3,4.570468426,17.83954811,9.023087502,19.38004494,4.465752602,12.2134428,3.529608011,8.386317253,5.875664234,12.01288795,3.145347834,8.074863434,2.236293077,9.272212029,0.667353868,1.184953451,3.608422995,1.008612156,1.41720438,0.138047412,0.519411087
0.35,4.230271816,16.51690865,8.374014854,18.3048687,4.204024315,11.58278942,3.353513718,8.009001732,5.615769386,11.47873878,3.005056381,7.755908489,2.148397923,8.897627831,0.64370501,1.146966934,3.456612587,0.968765616,1.350069404,0.132028744,0.497450024
0.4,3.891019344,15.19723701,7.726558208,17.24100685,3.94332099,10.93575096,3.169535398,7.602784634,5.335615635,10.90901756,2.853431463,7.404288292,2.052629471,8.480275154,0.617972374,1.103963017,3.296014071,0.925826728,1.284297228,0.125678778,0.472711205
0.45,3.549127579,13.86703014,7.069067001,16.17371368,3.680738926,10.28043652,2.980742931,7.180225849,5.040236473,10.31485462,2.696311474,7.041407585,1.953248501,8.0446558,0.591024458,1.058570385,3.135539532,0.882457793,1.22146666,0.119696327,0.449126184
0.5,3.234586239,12.64718723,6.460308075,15.16150284,3.434206247,9.646134377,2.79758811,6.765814781,4.750640869,9.732525826,2.543310404,6.682874203,1.855001211,7.610280037,0.563914537,1.012087226,2.98003459,0.8402403,1.163862705,0.113976508,0.425363362
0.55,2.893179893,11.31934834,5.789533615,14.00900936,3.15496707,8.904997826,2.583959341,6.276304245,4.412461281,9.050626755,2.365800858,6.254171848,1.737156153,7.089504242,0.53075695,0.953602493,2.794675827,0.789482057,1.09534657,0.107349031,0.397412151
0.6,2.552174568,9.995785713,5.117789745,12.78345299,2.864499807,8.107337952,2.3542099,5.743023396,4.046461105,8.30875206,2.172426462,5.771483421,1.604619145,6.517678738,0.492946833,0.886337876,2.590045691,0.733229637,1.02111578,0.100222386,0.36729899
0.65,2.211570263,8.671831131,4.448724747,11.4802618,2.559328079,7.254720211,2.108220816,5.169510365,3.65108943,7.501074791,1.960564137,5.232714176,1.457262754,5.893300533,0.449889511,0.809550941,2.366120338,0.670625806,0.942563653,0.092425495,0.335454881
0.7,1.89656961,7.448684692,3.82931304,10.1856699,2.258602381,6.384584904,1.858283281,4.581035137,3.244945526,6.671390533,1.742229581,4.670020103,1.302164316,5.24317646,0.40533343,0.729787111,2.136249304,0.604971051,0.859133244,0.084157407,0.304041803
0.75,1.557692409,6.129447937,3.158365965,8.686904907,1.912005782,5.373119354,1.566721439,3.884097099,2.761253834,5.684703827,1.482110381,3.991170406,1.114048362,4.473154068,0.351810813,0.634315729,1.860241175,0.525659204,0.759948373,0.074211828,0.269100606
0.8,1.220568299,4.811327457,2.481831074,7.058853149,1.540964246,4.285980701,1.251563787,3.124189138,2.230509043,4.601010323,1.195546031,3.234683275,0.903108954,3.621826649,0.289821714,0.52384305,1.542614698,0.434853315,0.643684506,0.062371209,0.229903445
0.85,0.890534163,3.505050898,1.807841301,5.318231106,1.152296901,3.152573586,0.921642482,2.32206893,1.665620923,3.448297262,0.894601345,2.431818724,0.678507745,2.72914505,0.22097595,0.397824049,1.190176368,0.333405703,0.506123424,0.04861521,0.186757296
0.9,0.593187034,2.311324358,1.191882133,3.602987528,0.779204786,2.078767776,0.607523084,1.547843456,1.117782116,2.321298599,0.601947546,1.632724047,0.455679089,1.826765776,0.150180236,0.268414885,0.820312381,0.227982357,0.356012404,0.03361373,0.137622207
0.95,0.290102005,1.083725572,0.556397617,1.712644696,0.384729832,0.964510441,0.27722761,0.720896363,0.527691782,1.070407391,0.279676318,0.740341544,0.205907851,0.791469038,0.068098076,0.120364942,0.373719007,0.102351464,0.163119987,0.015346033,0.069093384
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
