abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,3.751101255,12.37443161,6.251305103,12.68556499,2.860855579,7.660866261,2.231468439,5.20377779,3.634304523,7.669864655,2.010366201,5.365046501,1.458877087,6.135136127,0.429725111,0.766900122,2.295013189,0.647203624,0.905234277,0.08936286,0.330302864
Task 2,7.944561958,26.45952988,13.27293015,25.62452698,5.735721111,14.98485947,4.293354034,9.792811394,6.866347313,14.2048893,3.749666214,9.995377541,2.69001317,11.41135883,0.768717647,1.348191381,4.161567688,1.161897182,1.614747882,0.160401568,0.607374012
Task 3,7.701229572,25.62948608,12.87197113,24.89997864,5.626755714,14.81291485,4.252959251,9.725837708,6.80989027,14.11778355,3.720903873,9.92625618,2.671822786,11.3329649,0.765604436,1.343948722,4.128337383,1.156065941,1.600632071,0.159583166,0.60617137
Task 4,7.353380203,24.44643593,12.29774666,23.92149544,5.463853836,14.53145504,4.184587955,9.606438637,6.715657234,13.9671917,3.673562765,9.808403969,2.640988588,11.19510841,0.760116577,1.335232139,4.073990822,1.14557302,1.577976465,0.157988966,0.602434695
Task 5,6.925938129,22.99446297,11.58887196,22.77145576,5.252249241,14.14848137,4.088659763,9.431222916,6.584573746,13.74473858,3.607325554,9.638104439,2.596425056,10.99241543,0.751787245,1.324420452,4.000320435,1.128494024,1.544908404,0.155330941,0.594657063
Task 6,6.426044941,21.30154991,10.7589407,21.46825981,4.990446568,13.63119698,3.954203367,9.183470726,6.403958797,13.39837074,3.511607647,9.367482185,2.526680708,10.66416931,0.736225069,1.30251646,3.889269114,1.099825859,1.496631145,0.150873095,0.578035653
Task 7,5.867517948,19.4083519,9.824431419,20.03818512,4.677582741,12.94178963,3.76774025,8.825266838,6.151534081,12.88632488,3.37214756,8.953372955,2.424007416,10.16633415,0.711224258,1.264539242,3.728835821,1.055342317,1.426815391,0.14426595,0.548831224
Task 8,5.279325008,17.41840744,8.839895248,18.57199097,4.334439278,12.11840248,3.538811922,8.357261658,5.825494289,12.22553635,3.192168713,8.442321777,2.295996428,9.536188126,0.678289354,1.211198092,3.539453983,1.003501892,1.352725863,0.136436388,0.51205492
Task 9,4.67329073,15.37638474,7.822640419,17.05050468,3.96881032,11.19151974,3.27282691,7.794082642,5.436071873,11.41843605,2.974132538,7.851766109,2.145240545,8.810884476,0.637903273,1.143359542,3.325320482,0.944088042,1.279415607,0.127483487,0.470919967
Task 10,3.12552166,10.19356823,5.205465794,12.60309124,2.905202866,8.222216606,2.411617994,5.875543118,4.124544621,8.642691612,2.237130642,5.893345356,1.629675269,6.464414597,0.492510229,0.892334104,2.585572004,0.733477592,1.027059078,0.100093678,0.358260304
Task 11,2.682411909,8.718852043,4.463057995,11.10214138,2.5466187,7.146349907,2.099467278,5.156837463,3.630058765,7.604856968,1.964865923,5.176272392,1.433807015,5.640367508,0.437611133,0.795831621,2.309554338,0.651836395,0.929648757,0.090427645,0.323575526
Task 12,2.267816782,7.345323563,3.763960838,9.597297668,2.186996222,6.073689461,1.787414432,4.426287651,3.125522852,6.559062004,1.691306233,4.455649853,1.236548781,4.829494953,0.381848931,0.695894897,2.025279999,0.568698943,0.827953219,0.079798982,0.288287342
Task 13,1.575565815,5.068584919,2.603316069,6.908215046,1.54750526,4.201096058,1.240836263,3.118386984,2.213757277,4.659751415,1.199227333,3.151049852,0.877414644,3.402226448,0.275502503,0.505494118,1.4805125,0.410585046,0.621898234,0.058853853,0.223955825
Task 14,1.279538393,4.100541115,2.108054876,5.676844597,1.264389157,3.386194229,1.001283646,2.53787303,1.805126309,3.805286646,0.977148771,2.558840752,0.714141548,2.765818834,0.22644031,0.416303188,1.226345062,0.338708758,0.521522522,0.048854113,0.191101134
Task 15,1.009509206,3.220838785,1.656210661,4.501013279,0.99926883,2.632247925,0.778567135,1.992698669,1.420404196,3.000755548,0.768615305,2.003489733,0.560800672,2.167291403,0.179156959,0.329171062,0.973599255,0.2683191,0.421801239,0.038760729,0.156826138
Task 16,0.628778636,2.000317574,1.02914989,2.840810776,0.626427948,1.612830639,0.477318615,1.233822465,0.882696271,1.868706703,0.478027046,1.240928173,0.348416895,1.349025726,0.111839712,0.204776436,0.611826897,0.168734595,0.27175045,0.024402393,0.102272704
Task 17,0.460497975,1.462390184,0.752857327,2.082666397,0.461163878,1.166018128,0.344379693,0.895416737,0.641635776,1.356582642,0.346821189,0.898663819,0.252969801,0.976323783,0.081592388,0.148725688,0.449192643,0.123555191,0.20479387,0.01782315,0.076478295
Task 18,0.325001448,1.03418386,0.532809615,1.481796026,0.328607351,0.820515275,0.241599664,0.630898535,0.453220397,0.960423648,0.245428339,0.634383321,0.179229721,0.68832016,0.05799824,0.105340183,0.320913553,0.088211603,0.147996187,0.012756035,0.05563686
Task 19,0.19718346,0.633548439,0.327127188,0.908021867,0.205259442,0.500634253,0.146110699,0.383026034,0.276393652,0.57884407,0.148247346,0.380235195,0.108035326,0.40799582,0.035187729,0.063055679,0.195134431,0.053501613,0.09207584,0.007748791,0.035030581
Task 20,0.102246635,0.341230482,0.1769941,0.49752152,0.113954313,0.275672287,0.079972252,0.208931133,0.151459366,0.314861089,0.081587106,0.209800333,0.059855491,0.227673322,0.01978121,0.03516563,0.110144749,0.029867692,0.052766152,0.00439149,0.020111151
Task 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
