abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,9.16448307,30.68263435,15.30780315,29.86007881,6.236809254,15.60693169,4.419826984,10.01166248,7.076651573,14.40611935,3.820036411,10.05996323,2.713562965,11.40739441,0.770606756,1.348199964,4.246150494,1.158536553,1.662084937,0.159167707,0.593304932
0.05,7.893716812,26.3603611,13.21951771,25.57479858,5.715447426,14.96317577,4.291680813,9.790433884,6.857242584,14.17912292,3.741434336,9.985697746,2.689699411,11.40260792,0.768153906,1.349006534,4.164785385,1.161227703,1.617036462,0.160652563,0.609514952
0.1,7.651412964,25.53447723,12.82059574,24.85328674,5.606242657,14.78819466,4.250584602,9.720221519,6.798792839,14.08718395,3.710939169,9.915009499,2.671285152,11.32182789,0.764992774,1.34453702,4.132582664,1.155597568,1.603152394,0.159834713,0.608188927
0.15,7.305187225,24.35201836,12.24657059,23.87203789,5.442135811,14.49893665,4.17900753,9.594419479,6.700716972,13.92507362,3.66008544,9.786362648,2.63755703,11.17079258,0.758952856,1.335446239,4.075166225,1.144251466,1.579384327,0.158100352,0.603788078
0.2,6.87919426,22.90360451,11.53959656,22.72385025,5.230546474,14.11184502,4.081095695,9.412902832,6.565217972,13.69320869,3.592877865,9.613751411,2.592085838,10.9641943,0.750052989,1.323042512,4.000152588,1.12714541,1.546355605,0.155424103,0.595576823
0.25,6.381675243,21.21529007,10.71164417,21.4186039,4.968151093,13.58293056,3.942573786,9.155200958,6.379176617,13.33237934,3.493366957,9.328842163,2.519793272,10.62191296,0.733977735,1.300086856,3.886283159,1.097668648,1.498033166,0.150976315,0.578821301
0.3,5.825463772,19.32560921,9.779261589,19.98484802,4.65549612,12.88462353,3.753036499,8.788923264,6.122061729,12.80870438,3.350969076,8.906059265,2.415225506,10.1175108,0.708373308,1.261337757,3.723809242,1.052487373,1.427198529,0.144324109,0.549045086
0.35,5.239075661,17.33758354,8.796317101,18.51120567,4.31021595,12.05413055,3.52196002,8.316635132,5.792781353,12.13760853,3.168870449,8.39239502,2.28700614,9.493372917,0.67567569,1.208178639,3.536280632,1.001110673,1.354087114,0.136631519,0.512735546
0.4,4.636425018,15.30159092,7.782249451,16.98768234,3.944724321,11.11984634,3.253547907,7.748193741,5.399981976,11.3234663,2.948406935,7.790292263,2.133422852,8.754975319,0.63477689,1.138789058,3.319292307,0.941189408,1.279483795,0.127620384,0.471705139
0.45,3.095150232,10.13011265,5.171501637,12.54093838,2.884118795,8.158836365,2.394476652,5.832331657,4.091506958,8.563094139,2.217958689,5.848499298,1.621725082,6.431536674,0.490751445,0.889341235,2.584638357,0.731310427,1.027937651,0.10050983,0.36048606
0.5,2.654324055,8.658558846,4.430701733,11.03767395,2.525055647,7.08335495,2.081599951,5.11061573,3.594570875,7.524790287,1.945091009,5.130766392,1.424396038,5.599620819,0.434882611,0.790994883,2.302814245,0.648287714,0.928653121,0.090519972,0.325132787
0.55,2.24063468,7.28540802,3.731762171,9.532646179,2.166551352,6.015390396,1.770729542,4.382368088,3.092042208,6.483536243,1.673836112,4.415951252,1.229263425,4.803476334,0.380015343,0.693001509,2.024843931,0.566877842,0.828688145,0.080153145,0.291259944
0.6,1.552569151,5.01704216,2.575363398,6.846023083,1.528650999,4.148916245,1.226064324,3.080165625,2.184889317,4.59321022,1.183858275,3.116425514,0.869901478,3.376327991,0.274315149,0.503404856,1.478847146,0.409146875,0.622691691,0.05909054,0.226891771
0.65,1.260390639,4.057842731,2.085028887,5.623371601,1.247651815,3.339140415,0.988000214,2.50226903,1.778642654,3.745398998,0.96365428,2.524410725,0.706492782,2.734405518,0.22477451,0.413093835,1.223107815,0.336746514,0.521793664,0.048846506,0.193482116
0.7,0.992036819,3.182181358,1.635539889,4.4538908,0.984870672,2.596185446,0.768195152,1.964265347,1.399352193,2.952446222,0.758095264,1.975062966,0.553964674,2.141839266,0.17746979,0.325792044,0.967778265,0.265638471,0.421223402,0.038573369,0.157226935
0.75,0.613098145,1.96300602,1.009033918,2.78961134,0.61249131,1.578417063,0.466944724,1.20746994,0.862696111,1.824616432,0.468565106,1.216257095,0.342335105,1.329424858,0.110432155,0.20145379,0.606592119,0.167015731,0.273672193,0.024269292,0.103350565
0.8,0.445742518,1.427181125,0.73336786,2.032805681,0.447926462,1.133259058,0.33472079,0.869929314,0.623274386,1.316362262,0.337577254,0.873626053,0.246450782,0.953957081,0.079766236,0.14518261,0.439384669,0.120922014,0.202741787,0.017486975,0.075161472
0.85,0.311682105,1.003066897,0.516184211,1.439334154,0.317568034,0.792527497,0.233360469,0.609309912,0.438315988,0.923600614,0.237277314,0.614659667,0.17345874,0.672178924,0.056616858,0.10269051,0.314454436,0.086238615,0.147363052,0.012529081,0.054730408
0.9,0.187751874,0.612131894,0.315568924,0.877065361,0.197594866,0.47852391,0.139535964,0.366877019,0.265570849,0.550111771,0.141456664,0.363730967,0.103607118,0.396470189,0.034348667,0.061304417,0.190921918,0.051901996,0.092722133,0.00748517,0.033775557
0.95,0.096450545,0.329323173,0.170572504,0.478342712,0.110152729,0.26499477,0.076606102,0.202194795,0.147533387,0.301701277,0.077960625,0.199611068,0.057020295,0.21382837,0.019105786,0.033560023,0.106203824,0.028715985,0.05271069,0.004173493,0.019204699
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
