abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,7.592992783,27.61645317,13.94560623,59.88085556,10.11574745,27.38924217,6.703564167,19.91579247,15.62025738,34.20544434,8.647668839,19.59848595,5.609055519,17.54491615,1.743446827,3.128639936,9.26367569,2.174802065,2.998443127,0.377047569,1.946999192
0.05,7.336108685,26.71337128,13.49569893,57.58708954,10.01339817,27.09938622,6.632718563,19.69967079,15.46477699,33.94812393,8.58190918,19.44882965,5.56196022,17.39245987,1.736003041,3.111799002,9.21975708,2.164912939,2.980329275,0.375381261,1.945927978
0.1,6.980916977,25.40911484,12.84449673,54.35786438,9.855036736,26.7171154,6.532316208,19.39812088,15.25777531,33.5778389,8.478589058,19.17766953,5.489712715,17.08625221,1.71813333,3.078750134,9.116755486,2.146230459,2.947284937,0.372378677,1.934204102
0.15,6.587979794,23.96866798,12.12498951,50.8102951,9.664253235,26.25764084,6.410482883,19.030056,15.00543594,33.10789108,8.349596977,18.83821106,5.401710987,16.70778465,1.694788456,3.036694527,8.986018181,2.122446299,2.90620327,0.368802637,1.92162621
0.2,6.194356441,22.52972031,11.40552902,47.28842926,9.456535339,25.75644302,6.2766366,18.62088203,14.72193527,32.56245804,8.203926086,18.45421982,5.30395937,16.29200745,1.668212533,2.989501476,8.839136124,2.094337463,2.859820127,0.364919782,1.909614444
0.25,5.799135685,21.08589363,10.6827755,43.77541351,9.225260735,25.19365692,6.12474966,18.1537075,14.39507198,31.92453384,8.039284706,18.01838493,5.192664623,15.82084274,1.635334253,2.933248043,8.661512375,2.061538219,2.809253216,0.360845357,1.895360231
0.3,5.434454441,19.75362587,10.01571655,40.56222916,8.991463661,24.62627983,5.970209599,17.67402458,14.054286,31.24245262,7.86659956,17.56821823,5.078508854,15.34698009,1.601061583,2.874714613,8.475846291,2.027213335,2.757516384,0.356665462,1.882568359
0.35,5.035216331,18.29877281,9.28657341,37.08556366,8.712273598,23.94110107,5.781085014,17.08405304,13.62876034,30.39627457,7.655925274,17.01988602,4.939785957,14.77445316,1.55473721,2.79758358,8.23323822,1.985031724,2.693132162,0.35105589,1.862458825
0.4,4.638895988,16.85366058,8.56180191,33.67954254,8.406199455,23.18261528,5.569067478,16.42253304,13.14612484,29.42922211,7.417279243,16.41584015,4.789103985,14.15465355,1.497386575,2.704943657,7.946106434,1.937220097,2.617216587,0.343759567,1.827753663
0.45,4.239321709,15.39808178,7.830418587,30.28697586,8.060213089,22.31563568,5.326421261,15.66790771,12.58729553,28.2964859,7.139161587,15.73391247,4.618685722,13.45946789,1.426739693,2.592426062,7.610048294,1.880700707,2.529881716,0.335941553,1.788245797
0.5,3.871198654,14.055439,7.154850006,27.18999672,7.701962948,21.4049015,5.073759079,14.88984776,11.9992218,27.09113312,6.840781689,15.03197861,4.438960552,12.74208641,1.345054984,2.458043814,7.230568886,1.818021894,2.439139843,0.326748788,1.741125584
0.55,3.472846985,12.60437393,6.422894478,23.88092995,7.268101215,20.30006981,4.767462254,13.94137859,11.26867676,25.60255241,6.473028183,14.21173096,4.22467804,11.89866066,1.241233706,2.285240412,6.762262344,1.740593433,2.333632231,0.315406144,1.675717235
0.6,3.072489977,11.14838982,5.687619209,20.6213398,6.781248093,19.06252098,4.4220891,12.86449909,10.42397118,23.9390564,6.06798315,13.35825348,4.00324297,11.03723717,1.139253616,2.109957933,6.307107925,1.659283042,2.22440815,0.3026115,1.595048904
0.65,2.673666,9.696184158,4.953957558,17.45319176,6.236514568,17.65032005,4.034643173,11.6577549,9.463961601,22.07697868,5.625482559,12.47524071,3.77208066,10.16333485,1.042743802,1.943688273,5.840481281,1.565842628,2.108072042,0.286717772,1.493201852
0.7,2.305568933,8.356890678,4.280172825,14.64398098,5.678335667,16.13378716,3.636801481,10.40842056,8.454606056,20.06044579,5.137357235,11.5487566,3.524337053,9.326815605,0.951394081,1.77284205,5.381639004,1.462743163,1.967701435,0.266180694,1.352458358
0.75,1.905975223,6.904102325,3.547458649,11.71952629,4.989112377,14.2208519,3.16577816,8.935091019,7.249345779,17.57745171,4.524450302,10.36887169,3.193198442,8.363501549,0.839754999,1.559681773,4.79884243,1.312971473,1.747175932,0.233996883,1.121202588
0.8,1.506769657,5.450609684,2.815567255,8.933349609,4.191905022,11.93923855,2.647626638,7.323659897,5.932425022,14.75614548,3.814184189,8.965220451,2.776353121,7.300325394,0.710500658,1.318407297,4.060201645,1.110018492,1.456084251,0.191778019,0.861898482
0.85,1.107667565,4.000117779,2.0774436,6.320385933,3.273001432,9.267681122,2.082108736,5.623091221,4.545640469,11.65553474,3.027603388,7.287944794,2.258358479,6.104931355,0.562436938,1.05182445,3.191293955,0.86097157,1.155831695,0.145403549,0.596404552
0.9,0.737571716,2.657675266,1.388948202,4.107824326,2.315881252,6.465630054,1.497178197,3.936187983,3.166003227,8.278777122,2.158407688,5.283530712,1.631060958,4.615307808,0.395614475,0.743687868,2.26778841,0.600601315,0.886067152,0.101567678,0.372997195
0.95,0.338521361,1.219609618,0.640298545,1.891535521,1.142915606,3.102047205,0.74438256,1.918745279,1.535504818,3.889100075,1.015174747,2.485268354,0.763429821,2.244846582,0.181873992,0.340566516,1.070028782,0.277334452,0.473078519,0.047309309,0.162180319
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
