abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,7.238609791,26.85883141,13.36396885,29.88060188,8.554841042,18.89373207,4.307731628,11.57537365,8.592440605,18.16833878,5.152283669,12.1201067,3.613638163,11.51062679,1.11396873,1.992085934,6.723899364,1.777750015,3.115302563,0.214839995,1.074704051
0.05,6.939296246,25.73081398,12.80570698,28.95126915,8.380988121,18.59023285,4.204742432,11.29845524,8.37143898,17.64711189,4.980524063,11.72452259,3.483498335,11.08508492,1.053598404,1.888660192,6.354975224,1.67856431,3.051853418,0.202314228,0.998070657
0.1,6.603155613,24.4601059,12.17696667,28.03004074,8.160890579,18.18601799,4.06931591,10.96345901,8.114480972,17.06613541,4.787914276,11.21449089,3.319567204,10.6067009,0.987985373,1.776224256,5.977196693,1.575371623,2.928251743,0.188734189,0.921041727
0.15,6.224624157,23.05411148,11.48175716,27.17281151,7.896293163,17.68780708,3.902004242,10.55296803,7.807077408,16.40543938,4.561711788,10.56896019,3.111592531,10.05175972,0.915664852,1.651766062,5.510923386,1.456117153,2.722184181,0.171331435,0.837178648
0.2,5.84386158,21.64666176,10.78604317,26.46232414,7.608006954,17.14654922,3.719638109,10.09313774,7.459219933,15.70597458,4.30842495,9.819470406,2.876909018,9.41488266,0.837686479,1.514152884,4.956489086,1.320173621,2.491933823,0.152773917,0.751899302
0.25,5.459973812,20.22550774,10.08256531,25.84225464,7.284199715,16.57484245,3.52927804,9.572005272,7.070273399,14.9395647,4.029284954,8.918577194,2.602806568,8.610976219,0.745292306,1.354361892,4.274168968,1.149758458,2.194253206,0.132243812,0.639763117
0.3,5.104142189,18.91174889,9.432857513,25.2914238,6.94783783,16.01801682,3.361598492,9.10959053,6.725347042,14.27721119,3.78236866,8.06349659,2.341349125,7.671000957,0.661019444,1.198203802,3.609823227,0.981640756,1.839870691,0.110768199,0.514121652
0.35,4.718410969,17.48731422,8.730523109,24.67968941,6.571767807,15.37691975,3.20196557,8.661473274,6.371067047,13.75220394,3.576770782,7.397250652,2.113089085,6.512269974,0.585349858,1.046059132,2.965051889,0.811675012,1.454363704,0.091378346,0.412460297
0.4,4.333184719,16.06645775,8.032580376,24.12135696,6.210091591,14.79448509,3.094756603,8.360425949,6.114023209,13.62042427,3.482793093,7.31375742,2.00958395,5.504239082,0.534183383,0.933995903,2.544249773,0.68686223,1.1795156,0.080854818,0.377229482
0.45,3.946923018,14.64049435,7.340258121,23.68166733,5.912439346,14.37249088,3.060821533,8.244849205,5.993099213,13.81222725,3.498768091,7.662945271,2.034007072,5.237030029,0.519019961,0.890378654,2.517247915,0.671471238,1.093393207,0.079794019,0.367432356
0.5,3.590534687,13.32912922,6.6953578,23.1973381,5.639270782,14.02433491,3.065036535,8.227965355,5.950063705,14.20386696,3.593850851,8.226306915,2.136327028,5.615852833,0.53083235,0.909539878,2.709216356,0.718809664,1.128692746,0.084738076,0.367173642
0.55,3.204764843,11.90620708,5.987044811,22.38915253,5.282135963,13.47642899,3.028239965,8.130536079,5.867721081,14.56671906,3.692672968,8.76110363,2.257012129,6.337096214,0.554891527,0.95860523,2.97120595,0.788932741,1.22375977,0.092901416,0.382411093
0.6,2.818574667,10.4827137,5.276539803,21.21023178,4.830456257,12.64636803,2.906742334,7.866229057,5.679944515,14.56203556,3.689328909,8.938601494,2.304138899,6.945603371,0.558581054,0.974644899,3.076904774,0.818488955,1.259679675,0.095782891,0.385465056
0.65,2.419880152,9.033050537,4.54945612,19.484375,4.262385368,11.4365406,2.679662943,7.367925644,5.323361874,14.07839584,3.552499294,8.701968193,2.261289835,7.196599007,0.540431023,0.950750768,2.99415493,0.798490942,1.216317296,0.09224838,0.371470094
0.7,2.075698376,7.745595932,3.900265932,17.31614685,3.637914181,9.867574692,2.32478714,6.535347462,4.732645035,12.8544035,3.223513603,7.818483353,2.059978724,6.671258926,0.48625052,0.857683122,2.668251991,0.711960077,1.061321259,0.08092621,0.328775495
0.75,1.689986825,6.325605392,3.184489727,14.56474495,2.914263964,7.981403351,1.885789394,5.435252666,3.947604418,10.92976475,2.720283508,6.49687624,1.743588328,5.698610306,0.405448049,0.723762274,2.203093767,0.587708354,0.862022758,0.065390289,0.270017713
0.8,1.307516098,4.913793564,2.474007607,11.57842064,2.208309412,6.060689449,1.43225193,4.220135212,3.070008516,8.54054451,2.11626029,4.974031925,1.357374549,4.434545994,0.312089771,0.562315762,1.688042402,0.450968474,0.657340288,0.048688225,0.202275977
0.85,0.929709494,3.51175189,1.768166542,8.433940887,1.540382385,4.204603195,0.99165386,2.982281685,2.173110247,6.020461082,1.48993504,3.448421001,0.953787982,3.078673124,0.217192948,0.394958824,1.156194925,0.309706032,0.454956532,0.03275948,0.135671496
0.9,0.591699183,2.239738226,1.129368544,5.453136921,0.973517179,2.61918211,0.615453541,1.876792192,1.369447827,3.723963022,0.922714889,2.101509333,0.588281095,1.84824276,0.133251712,0.246360838,0.699380994,0.187631622,0.281592667,0.020031691,0.083635956
0.95,0.263715565,0.969925225,0.489798009,2.263692141,0.45735243,1.159018993,0.271972895,0.825676084,0.604131401,1.481982827,0.370643646,0.823339164,0.236248642,0.658027768,0.052705284,0.098808616,0.257412493,0.067321159,0.10262543,0.007051544,0.031177014
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
