abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,6.995840549,21.18849945,10.51963139,21.42565536,4.261331558,12.11343384,3.33284235,8.124513626,5.894298077,13.47716427,3.263492346,9.02550602,2.329100609,8.929710388,0.697188675,1.551300049,5.334305286,1.417878747,2.114810467,0.210951969,0.762186825
0.05,6.645746231,20.16013145,10.01907158,20.37534714,4.145445824,11.92366695,3.292255402,8.03222847,5.823333263,13.43236256,3.254425764,9.042406082,2.335476637,8.993264198,0.698077798,1.554705024,5.356508732,1.423982024,2.122371674,0.211730987,0.765289068
0.1,6.331398964,19.18551064,9.544848442,19.45568657,4.032421112,11.71361637,3.246566296,7.937132359,5.749977112,13.34738636,3.232373476,9.001817703,2.329762697,8.96090889,0.695348024,1.547997832,5.326386929,1.415504456,2.10940361,0.210549369,0.762546003
0.15,6.017148972,18.14200592,9.035872459,18.47775459,3.886795521,11.35081863,3.154771805,7.743690014,5.607385159,13.07471275,3.159949303,8.797281265,2.282701492,8.721047401,0.682744741,1.521024585,5.223751068,1.389026642,2.071932554,0.206830978,0.756484389
0.2,5.620330334,17.0135231,8.489351273,17.48148918,3.745019436,11.14016533,3.112691879,7.6617589,5.542378426,13.00774384,3.145575523,8.780042648,2.281091452,8.727359772,0.680655956,1.516755939,5.204242706,1.380683661,2.057421923,0.205390185,0.748679101
0.25,5.265921593,15.92964172,7.962188244,16.53481102,3.576074123,10.75505066,3.016206741,7.458407879,5.392494202,12.69246197,3.06677556,8.549519539,2.226112843,8.469991684,0.666231155,1.486147285,5.09398222,1.352352738,2.016931534,0.20158574,0.740791857
0.3,4.896750927,14.84136581,7.433359146,15.66187954,3.401952505,10.43080139,2.938691616,7.294141769,5.269586086,12.43354416,3.003059149,8.378311157,2.184178352,8.296192169,0.654735982,1.463203788,5.025468349,1.333081007,1.987662315,0.198721603,0.732232809
0.35,4.546106815,13.765975,6.909147263,14.79303265,3.209751368,9.941825867,2.809199572,7.012131214,5.068357944,11.96644402,2.887649298,8.030670166,2.098923922,7.895593643,0.632918596,1.416000128,4.854290485,1.289554,1.927425385,0.193182215,0.721771717
0.4,4.188812733,12.67513466,6.376633167,13.92883682,3.009333372,9.416161537,2.666953087,6.697062492,4.842311382,11.43645287,2.756421089,7.634677887,2.001498938,7.443254471,0.607432783,1.361656189,4.663199425,1.242042422,1.864231825,0.187774807,0.711158335
0.45,3.839689016,11.60118675,5.85240078,13.08598137,2.808765173,8.845602989,2.509386301,6.340975761,4.5867939,10.81671524,2.601112843,7.170452118,1.888788223,6.917890549,0.578259826,1.299206614,4.434993267,1.186236262,1.791686773,0.181692094,0.69953531
0.5,3.498644829,10.57021999,5.350808144,12.30089569,2.619942188,8.323652267,2.365285873,6.013136864,4.348018169,10.244627,2.456927776,6.747348785,1.785193563,6.437973022,0.550400674,1.237789869,4.219154835,1.132367611,1.721812367,0.175673038,0.684551716
0.55,3.133439541,9.462930679,4.810509682,11.43147659,2.412078142,7.721565247,2.1990273,5.627991676,4.06718111,9.577583313,2.290483475,6.265408993,1.667940974,5.906975746,0.518703461,1.163811445,3.96263361,1.067561626,1.63657558,0.167856812,0.664704859
0.6,2.771895409,8.364797592,4.266444206,10.50224686,2.19088459,7.036973953,2.009398937,5.181887627,3.744909525,8.832222939,2.108283997,5.738214016,1.539486647,5.355895519,0.483589232,1.078117132,3.672218561,0.993812203,1.541343808,0.158479974,0.641055465
0.65,2.420009375,7.288330078,3.728432417,9.5043993,1.957006216,6.261150837,1.792741299,4.665960789,3.375189543,8.005916595,1.911460042,5.168747425,1.398945093,4.777957916,0.44341585,0.977201998,3.333041668,0.903484046,1.425091743,0.146823853,0.613795161
0.7,2.079327583,6.259283543,3.209220409,8.490371704,1.720221996,5.47018671,1.57090342,4.127147675,2.987365246,7.153921127,1.708903909,4.5901618,1.25524509,4.218857765,0.401759088,0.873607218,2.987416983,0.80866009,1.302404523,0.134344593,0.579107165
0.75,1.713442922,5.152199268,2.6434412,7.278469563,1.4454211,4.543156147,1.309250832,3.475374222,2.515565872,6.108142853,1.4596802,3.884522915,1.075936317,3.562535286,0.347567409,0.746578574,2.568681479,0.692698181,1.148647189,0.117389955,0.524410903
0.8,1.349861264,4.051133156,2.079371452,5.950135231,1.158067346,3.584283113,1.035976648,2.784881115,2.017859221,4.994800568,1.192864776,3.136842966,0.882299781,2.874537945,0.286551416,0.609259844,2.117796898,0.56808579,0.974622369,0.098787196,0.460186213
0.85,0.985186338,2.951188087,1.51589334,4.492057323,0.855828106,2.611144304,0.757460952,2.070713758,1.501931429,3.815282106,0.911077261,2.364997387,0.675366998,2.181900501,0.220260799,0.464402318,1.642402649,0.4365848,0.777815461,0.07717862,0.374662876
0.9,0.642389059,1.929845452,0.990907073,3.036228657,0.566417873,1.705744028,0.496137291,1.376219511,0.99920851,2.593438148,0.621854126,1.601372004,0.463063717,1.480895042,0.151749849,0.317738295,1.14516902,0.300429761,0.551766157,0.05348786,0.274205178
0.95,0.283400297,0.871580362,0.447563261,1.415626526,0.266379595,0.783772469,0.226907238,0.637470663,0.463772058,1.199969888,0.291035354,0.737209618,0.214934781,0.667581022,0.071042776,0.147245452,0.541814506,0.139711156,0.26477015,0.024967059,0.134954467
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
