abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,4.670806885,10.1140337,5.017450809,9.369887352,2.25438261,5.738959312,1.530169606,3.808552265,2.801609993,7.150576115,1.715319157,4.976740837,1.120008469,4.197624207,0.282292515,0.829051077,3.005337954,0.799223423,1.046754837,0.134984091,0.446404696
0.05,4.448265553,9.644140244,4.789225578,9.067675591,2.217057228,5.720984459,1.52717042,3.787744761,2.787776232,7.189572811,1.721786618,5.026071072,1.130364537,4.254450798,0.283789277,0.836332917,3.024951458,0.804762423,1.050149679,0.136029318,0.447910607
0.1,4.225090027,9.157793999,4.552942276,8.784694672,2.178313971,5.725259304,1.52881515,3.778775454,2.781634808,7.250392437,1.732848048,5.088646889,1.144475937,4.326630116,0.28589797,0.846333623,3.049856901,0.811169386,1.052639246,0.136535481,0.447286218
0.15,3.984513521,8.634183884,4.299369812,8.508928299,2.132299662,5.727530479,1.528924823,3.769292116,2.773053169,7.289002895,1.739329696,5.126328945,1.154310107,4.365824699,0.28740111,0.853539526,3.061208487,0.814736843,1.0506984,0.136435419,0.442620814
0.2,3.742106438,8.107343674,4.044201851,8.255817413,2.08362174,5.713322163,1.523810625,3.751858473,2.756842375,7.28383255,1.736129642,5.120868206,1.157240272,4.361332417,0.288444579,0.858268023,3.058480263,0.816019952,1.046561956,0.135650516,0.433490813
0.25,3.500249147,7.580927372,3.790216446,8.019499779,2.029866934,5.681927204,1.511861205,3.726632118,2.734117746,7.24586916,1.723953009,5.077477455,1.153483391,4.313322544,0.288205385,0.857353508,3.039900541,0.813385129,1.038442969,0.134150326,0.423911184
0.3,3.27747488,7.096295834,3.555984259,7.806334972,1.975136995,5.639260769,1.494136572,3.695758581,2.705324173,7.190855503,1.709715366,5.020125389,1.146832466,4.249865055,0.287670076,0.855160236,3.013716459,0.809581041,1.031856179,0.132826671,0.416505843
0.35,3.035746813,6.569482327,3.300151825,7.567167282,1.904395103,5.562835217,1.467737913,3.64646244,2.661046982,7.10051775,1.689017653,4.926187038,1.134601831,4.146598339,0.286132663,0.851252139,2.984849453,0.805697203,1.03019321,0.132597312,0.414753765
0.4,2.794199944,6.044899464,3.041209936,7.311057568,1.81934607,5.453187466,1.440319538,3.580193996,2.607575178,6.993562222,1.668571591,4.820372105,1.120595098,4.016161442,0.28563866,0.84899807,2.960921764,0.798839152,1.041508436,0.134936854,0.424910098
0.45,2.553093195,5.519728661,2.782719135,6.978764057,1.698315978,5.164527416,1.368261456,3.440872192,2.501865149,6.775828838,1.615833759,4.633473396,1.086378813,3.832951546,0.278962165,0.828124702,2.887048244,0.782281697,1.025957584,0.133097783,0.422790825
0.5,2.33031249,5.035360813,2.541793108,6.574809551,1.554494739,4.705442429,1.25263989,3.206605911,2.32798481,6.349177837,1.512001753,4.315982342,1.017634511,3.557636023,0.26188767,0.783918083,2.733768702,0.746864259,0.979484677,0.125802681,0.40449059
0.55,2.088092804,4.50835371,2.281447411,6.078674316,1.385103226,4.165350914,1.117531419,2.908782721,2.10760498,5.778582096,1.376067281,3.932410002,0.930177331,3.239745378,0.241283938,0.725496233,2.555799246,0.703779519,0.937395573,0.118622825,0.392369181
0.6,1.846125484,3.982132435,2.021408081,5.521215916,1.207383156,3.599769354,0.973621666,2.571533442,1.859554172,5.118207455,1.222211599,3.510112762,0.83193326,2.897614002,0.219796538,0.660188317,2.354097843,0.652729511,0.892426133,0.110132508,0.376667708
0.65,1.604740381,3.457428455,1.759729981,4.91416502,1.031377077,3.048945904,0.831834853,2.224912405,1.600690365,4.444155216,1.067097664,3.080237865,0.732988834,2.548913479,0.198382854,0.594473004,2.13095355,0.59611851,0.84066397,0.100062415,0.355523854
0.7,1.382192492,2.974211693,1.516547441,4.319767475,0.87385565,2.560663939,0.704285085,1.900998116,1.360196233,3.805841208,0.918992519,2.657170534,0.635640562,2.188148975,0.175655842,0.52500844,1.878811359,0.528837502,0.770279229,0.088349931,0.320692956
0.75,1.140264034,2.449437141,1.250455141,3.640387535,0.707751513,2.049750328,0.568996429,1.549427629,1.102233291,3.107403517,0.756147265,2.190440893,0.526258945,1.792259455,0.148460999,0.441457212,1.577629209,0.445049196,0.66958046,0.074493788,0.272645235
0.8,0.899001837,1.92688036,0.984901428,2.924568415,0.545988798,1.554159641,0.434932351,1.194642663,0.844934762,2.39075017,0.585905969,1.699511647,0.409262955,1.37519002,0.116825908,0.34529078,1.23516655,0.350627929,0.541621149,0.058653302,0.215370834
0.85,0.657629669,1.407383204,0.718980074,2.177507877,0.392528713,1.098269224,0.308563739,0.849023759,0.596425414,1.674368262,0.414130956,1.206244707,0.291642666,0.97023201,0.08373969,0.246934757,0.876015067,0.251714587,0.391515225,0.042022467,0.153985977
0.9,0.434803694,0.931534946,0.475348026,1.458848715,0.257739544,0.709080577,0.199752286,0.546609342,0.381465435,1.046620607,0.261178821,0.761213899,0.184429526,0.605776548,0.053147491,0.155544028,0.558804214,0.162051395,0.255770385,0.026939422,0.097665854
0.95,0.196711242,0.435881317,0.221754819,0.683653474,0.12426547,0.334505409,0.094031118,0.253721088,0.176025361,0.452129632,0.113767728,0.32476595,0.078111686,0.246509597,0.02202582,0.064231522,0.231013238,0.066457182,0.105910152,0.011336026,0.039535843
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
