abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,7.281026363,26.91470337,13.60948181,32.05512619,6.628677845,14.23640823,3.544881105,9.304624557,7.329393387,15.02270699,4.120816708,9.331367493,2.56724453,7.01679945,0.897673547,1.667195559,4.617669106,1.073969364,1.577633142,0.272263497,0.992654562
0.05,6.988517761,25.89141846,13.09621906,30.47100449,6.500489712,13.99189186,3.4923141,9.146222115,7.218635082,14.87175465,4.084265709,9.305179596,2.566234112,7.001467705,0.890660763,1.654931188,4.589706421,1.074979782,1.57922864,0.274953753,0.999691725
0.1,6.668050766,24.64793015,12.47068119,28.68384552,6.345917225,13.76932049,3.445981979,9.004012108,7.117862225,14.74667931,4.055465698,9.307747841,2.568038464,6.985124111,0.885181129,1.650942326,4.589315891,1.079316258,1.585309863,0.278913766,1.006495714
0.15,6.288484573,23.237257,11.76218033,26.76424026,6.162005424,13.57639122,3.40899086,8.888941765,7.038275242,14.66986465,4.042542934,9.343146324,2.585113049,7.004964352,0.878463089,1.646109939,4.57754755,1.082887173,1.5906955,0.283686489,1.012304664
0.2,5.904163837,21.8132534,11.04521942,24.97467041,5.974226475,13.45314789,3.389304876,8.821165085,6.993247032,14.6495533,4.048873901,9.405155182,2.61934042,7.050862312,0.872466385,1.6394099,4.568243027,1.082890391,1.592659473,0.287564695,1.010230064
0.25,5.517501354,20.38492584,10.3263073,23.34560013,5.780083656,13.41593933,3.390491724,8.809113503,6.988484383,14.70109749,4.077955246,9.507697105,2.668939829,7.126162052,0.869867444,1.636539936,4.570782661,1.083151937,1.598786354,0.289942592,1.002748489
0.3,5.158842564,19.0624218,9.66091156,21.96408653,5.594248772,13.43627739,3.405357838,8.844488144,7.017015934,14.81048584,4.12285614,9.620482445,2.721598625,7.20521307,0.872099102,1.636626244,4.614355087,1.086250067,1.612111688,0.291139632,0.997965217
0.35,4.769896507,17.63025093,8.9426651,20.59796143,5.384008884,13.51099491,3.433325052,8.932759285,7.082313061,15.00068855,4.198051929,9.781672478,2.78488636,7.303257942,0.881567597,1.640508175,4.695804596,1.089369655,1.628834486,0.2883977,0.97863996
0.4,4.381312847,16.19927025,8.226527214,19.35427856,5.165304184,13.647192,3.476066113,9.082384109,7.193540573,15.27686691,4.292541981,10.00018215,2.858522654,7.438589096,0.902850151,1.668919086,4.862562656,1.105937004,1.664755464,0.288260072,0.973072767
0.45,3.99074316,14.76460743,7.508341312,18.25863838,4.936407089,13.80421066,3.525503159,9.257958412,7.323904514,15.60291862,4.388735294,10.2502985,2.932696342,7.594239235,0.933032453,1.713800073,5.098592281,1.137464643,1.71677351,0.290460438,0.982755482
0.5,3.630861521,13.44325256,6.845671654,17.32230949,4.710000992,13.89393139,3.559309721,9.379277229,7.412763596,15.85219479,4.457643986,10.44477463,2.985556364,7.717457771,0.961441934,1.758529067,5.335253239,1.176254988,1.766136408,0.29482618,1.010267258
0.55,3.241935015,12.01424026,6.124743462,16.30616379,4.432264805,13.77706909,3.542515278,9.376413345,7.409969807,15.90528965,4.473276138,10.49359989,2.989238024,7.745102882,0.977346301,1.780656815,5.499411583,1.207351804,1.800143123,0.299297124,1.038937688
0.6,2.852458477,10.58348465,5.38815546,15.08870029,4.078808784,13.13050461,3.386693716,9.040694237,7.149102688,15.41429329,4.333860397,10.12320709,2.871659756,7.448653221,0.946616113,1.718627095,5.315376759,1.165757656,1.754704952,0.291255534,0.997788131
0.65,2.465317249,9.158604622,4.657628059,13.56282139,3.635396242,11.89322758,3.076220989,8.327495575,6.590733051,14.27546597,4.002548695,9.293751717,2.619996786,6.786222935,0.865992904,1.567823291,4.767894745,1.049595594,1.607186913,0.265386999,0.877009332
0.7,2.107906818,7.843562126,3.987598896,11.9590559,3.170380592,10.43776703,2.709339857,7.439301491,5.889993191,12.84320927,3.586186409,8.290640831,2.322870016,6.003712177,0.765842497,1.381146073,4.094049454,0.911006629,1.422485709,0.235023856,0.758364081
0.75,1.725157976,6.427181244,3.26642704,10.09063816,2.637078047,8.689837456,2.267910004,6.332744122,5.013340473,11.03384972,3.068415403,7.071183205,1.972167134,5.086306095,0.645036519,1.167956114,3.374127626,0.765489876,1.201254606,0.198331535,0.646530688
0.8,1.348949194,5.018563271,2.551165104,8.098758698,2.082444906,6.820219994,1.79253602,5.079613209,4.015785217,8.933660507,2.478309393,5.689495564,1.58169198,4.087224483,0.509975016,0.936536789,2.66146183,0.616037488,0.96263212,0.158698276,0.532405555
0.85,0.9813115,3.628550291,1.846332192,6.027969837,1.527134895,4.908390522,1.299066544,3.725016832,2.937365532,6.565909863,1.81743288,4.16673851,1.15096426,2.998259068,0.364477694,0.681954563,1.926992178,0.450862378,0.705092072,0.115254834,0.394364387
0.9,0.652946234,2.380928993,1.215119958,4.085394382,1.03514719,3.193425417,0.849904358,2.457607985,1.932189226,4.306698322,1.183086395,2.712208748,0.741020203,1.954245448,0.228378549,0.434192985,1.213234067,0.28692019,0.444988489,0.071903996,0.249757558
0.95,0.322200447,1.16329217,0.597425938,2.113273382,0.577631295,1.607693195,0.423052996,1.225779533,0.96370405,2.061117172,0.557548225,1.287858486,0.34080416,0.906888187,0.098462313,0.190552428,0.48346439,0.114762254,0.161611855,0.025424173,0.083370328
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
