abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,7.454999447,27.27987862,13.67105865,34.92746353,7.005124569,14.44168854,3.794172287,9.591488838,7.375819206,14.22642899,3.783882618,9.203638077,2.414637089,6.556753159,0.905144572,1.654476047,5.010816097,1.410234094,2.515318394,0.216115803,0.949085534
0.05,7.221267223,26.40970039,13.24117184,33.33362961,6.903487682,14.1754837,3.736336946,9.425398827,7.241695404,13.98493004,3.726236343,9.065558434,2.378526211,6.442507267,0.89197588,1.632590771,4.920831203,1.397953987,2.478834867,0.214055046,0.962728441
0.1,6.86648941,25.10181046,12.59168911,31.04032326,6.732585907,13.89434147,3.687074423,9.256792068,7.100413799,13.77442741,3.673561573,8.944499969,2.34621048,6.353403091,0.881568134,1.616710782,4.866428375,1.405982733,2.477654696,0.217026204,1.010870814
0.15,6.478507042,23.67296791,11.88288784,28.70922661,6.538125515,13.64336491,3.651797533,9.09973526,6.962753296,13.62278461,3.637927055,8.855690002,2.325998783,6.30406189,0.874319971,1.608727932,4.867722511,1.432176232,2.502095461,0.223718971,1.092638969
0.2,6.086714745,22.23560524,11.16924477,26.5638237,6.339377403,13.46654797,3.643035889,8.981870651,6.851719379,13.56925774,3.62834549,8.830191612,2.327743053,6.327047825,0.872162044,1.612108111,4.946273327,1.481340647,2.553429604,0.234699547,1.202303052
0.25,5.695110321,20.79772377,10.45524979,24.60407829,6.133617878,13.37417793,3.659000874,8.904411316,6.770249367,13.61890411,3.644165516,8.88522625,2.356502533,6.427605152,0.874078155,1.626424313,5.122661114,1.559939384,2.636464357,0.24986285,1.337246895
0.3,5.342311859,19.49059677,9.806426048,22.96549416,5.943145275,13.36394882,3.692559242,8.868403435,6.721579075,13.72760105,3.673412085,8.976551056,2.399271011,6.560427189,0.875333548,1.639373779,5.329960823,1.643965483,2.72725153,0.263132602,1.454375267
0.35,4.945900917,18.04200745,9.087947845,21.28366089,5.724626541,13.44864559,3.755592823,8.883970261,6.712666512,13.97403336,3.731618166,9.15805912,2.470474958,6.782228947,0.878432035,1.657823682,5.604341507,1.74578917,2.846376181,0.278921902,1.578662395
0.4,4.552206993,16.60203171,8.375416756,19.75009346,5.498176098,13.59200191,3.830225468,8.923607826,6.723413467,14.24961662,3.802140951,9.372817993,2.544106483,7.014347076,0.879254103,1.676384211,5.850625992,1.830325842,2.945277929,0.29257971,1.68539691
0.45,4.159010887,15.16183567,7.665399551,18.31358147,5.239338875,13.6970644,3.894600153,8.957139969,6.723806858,14.47415352,3.867409229,9.561485291,2.597572088,7.198021889,0.877626061,1.687966824,6.034507751,1.889052987,3.0157125,0.300455332,1.755163193
0.5,3.795487404,13.83086395,7.004729748,17.101614,4.972750187,13.69137669,3.925616741,8.956958771,6.698221207,14.58274269,3.911563396,9.685329437,2.622350216,7.304881573,0.871093452,1.686500072,6.147283077,1.922148943,3.068949223,0.305264086,1.795395374
0.55,3.40170908,12.39113331,6.286439419,15.88546467,4.654840469,13.52239132,3.90718627,8.863395691,6.604691029,14.4937706,3.908580065,9.692094803,2.608192205,7.283547878,0.855838776,1.665164471,6.168000221,1.927422166,3.071046352,0.306145728,1.807100415
0.6,3.009328127,10.952281,5.566142559,14.66602707,4.29186964,12.99593544,3.76762557,8.552318573,6.35949564,14.05086136,3.813062906,9.460974693,2.533909798,7.099379063,0.829538643,1.619058371,6.066750526,1.900876522,2.996418238,0.301707953,1.78130734
0.65,2.615698576,9.513104439,4.849879265,13.29158497,3.850979328,12.00248241,3.482488871,7.96931839,5.921052933,13.15495872,3.584931612,8.874558449,2.374671936,6.679512501,0.77786541,1.526401997,5.77057457,1.815846324,2.828508854,0.288220972,1.700687289
0.7,2.252356291,8.182479858,4.18179512,11.78814697,3.371415377,10.653965,3.093746424,7.182580471,5.337305069,11.88702583,3.249261618,8.003458977,2.149443626,6.065973759,0.707338333,1.389865279,5.239770889,1.65004909,2.569504023,0.263931692,1.551515937
0.75,1.859140754,6.742453575,3.452101946,9.984014511,2.808755636,8.920072556,2.591958046,6.140034676,4.5664711,10.16096783,2.782893181,6.824174404,1.843302965,5.236360073,0.610920668,1.198582768,4.451956749,1.397168279,2.179461479,0.224390164,1.319929719
0.8,1.466410518,5.30670023,2.72241044,8.050532341,2.226098299,7.05247736,2.051509619,4.965015888,3.696218252,8.238500595,2.252602339,5.498772621,1.49467659,4.253921986,0.497097135,0.975865483,3.59589529,1.124062896,1.761801362,0.180739135,1.064486027
0.85,1.072612882,3.868236065,1.986119986,5.997087002,1.634237051,5.143315792,1.494804263,3.686555147,2.747373581,6.148118973,1.675591469,4.063372612,1.11215198,3.156379223,0.369720489,0.716303587,2.61673665,0.816233337,1.291395545,0.132601395,0.780745387
0.9,0.708895326,2.54771328,1.308610797,4.023899078,1.090853095,3.384337187,0.980083466,2.449914932,1.82908833,4.107230663,1.114670992,2.677348614,0.74033314,2.082668781,0.244662493,0.469027311,1.700650811,0.528419197,0.843652725,0.086566955,0.511041522
0.95,0.3087129,1.119040132,0.576147258,1.811334729,0.501132667,1.514386058,0.433953881,1.109743595,0.832615316,1.86973989,0.503507197,1.183411002,0.332678109,0.916264176,0.110836066,0.211346,0.741526663,0.227017611,0.360373855,0.036304895,0.207274526
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
