abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,43.48445129,74.7186203,37.19004822,86.78015137,17.29272461,29.88240814,6.901489258,16.93541336,13.07513046,23.5692749,7.126899719,16.20060921,4.62348938,14.37032795,1.667978883,2.707005501,8.825709343,2.05915451,5.932935238,0.246063247,1.171532989
0.05,41.51481628,71.48407745,35.60899734,82.52552032,16.98068047,29.29178429,6.786995411,16.69531441,12.86392689,23.31740761,7.020409584,15.98335075,4.549638271,14.26784515,1.652940512,2.690920353,8.874343872,2.069254398,6.049368382,0.245844617,1.166821122
0.1,39.4720192,67.94425964,33.87846756,77.5371933,16.57931328,28.55927467,6.644996166,16.37062263,12.60629368,22.98041534,6.885551929,15.63473606,4.447408676,13.96030807,1.638709068,2.680539131,8.979550362,2.080302238,6.211986065,0.247893244,1.166016698
0.15,37.23461151,64.08167267,31.99072647,72.23049164,16.10705757,27.70872498,6.479316711,15.99230194,12.30534172,22.62271881,6.751437187,15.23758602,4.345173836,13.56824398,1.629225731,2.679114342,9.129623413,2.102377176,6.378765583,0.249875516,1.159329534
0.2,34.99071884,60.21243286,30.10062599,67.08295441,15.59594727,26.8268528,6.315110683,15.61925793,12.00160313,22.3270607,6.642803669,14.86507416,4.263245106,13.16373444,1.622496486,2.673666239,9.262524605,2.122055769,6.530653,0.250195324,1.136952758
0.25,32.74427414,56.33763123,28.20817757,62.12311554,15.04263973,25.92853355,6.154513359,15.27919579,11.71255493,22.12374496,6.564072132,14.53369713,4.205016136,12.74743748,1.613458633,2.662941217,9.32973671,2.133831024,6.604577541,0.247074932,1.092548251
0.3,30.6690731,52.76372528,26.46552086,57.74380112,14.49548149,25.09778214,6.012077808,15.00589275,11.47680187,22.05873871,6.521041393,14.30301666,4.175287724,12.41989422,1.599772215,2.646373034,9.286108017,2.130149364,6.585023403,0.243217722,1.041136146
0.35,28.42056656,48.88859558,24.57855415,53.23671722,13.8618269,24.21403503,5.865239143,14.75413036,11.25274372,22.1415062,6.502462387,14.13639545,4.170021534,12.14043999,1.58783412,2.632357597,9.108632088,2.116589069,6.490258217,0.239765137,0.989528418
0.4,26.170681,45.01194,22.692276,48.99554443,13.19060421,23.36606789,5.727031231,14.55313301,11.06292057,22.35195923,6.500095844,14.0507412,4.187779427,11.93938255,1.58125186,2.628123522,8.822107315,2.093654871,6.307936668,0.234690085,0.931519151
0.45,23.91971588,41.13617325,20.80581665,45.030159,12.48441792,22.56960487,5.590308189,14.36976147,10.89517593,22.58547783,6.488352776,13.9947443,4.208395481,11.78141212,1.579856038,2.628289223,8.569337845,2.080273151,6.106737137,0.231619015,0.884705901
