abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,30.36833572,21.77041626,10.89864159,21.78541946,6.736772537,14.91148281,3.037760973,7.793444633,6.19047451,14.58014297,4.121179104,9.36559391,2.537914515,6.310079575,0.755520523,2.578965187,5.210531712,0.618118525,0.928312302,0.309508055,0.996824741
0.05,29.55056381,20.95483398,10.50703526,22.30000496,6.843598366,15.48166752,3.146084547,8.047159195,6.406449318,15.34960175,4.312823772,9.75299263,2.649361372,6.575645924,0.808142781,2.723434925,5.494828701,0.664823413,1.038110018,0.337042361,1.092592239
0.1,28.44997978,19.98873138,10.04947472,22.48669052,6.822386265,15.64351559,3.183199167,8.155581474,6.505972862,15.78912735,4.424521446,10.04472828,2.709606647,6.776629925,0.825942338,2.763213873,5.564437389,0.680687129,1.083036065,0.350792795,1.144090176
0.15,26.86357117,18.84195137,9.504758835,22.37798691,6.738149166,15.56941223,3.1810987,8.192656517,6.535642147,16.0807457,4.514397621,10.26916695,2.754243135,6.958963394,0.823423862,2.759726286,5.572268486,0.690140724,1.10118866,0.360494375,1.161506295
0.2,25.19994545,17.67099953,8.938199043,22.07170677,6.52750206,15.16376781,3.113907576,8.087391853,6.451742649,16.07497025,4.505728245,10.31331635,2.761372089,7.021100044,0.817632735,2.743436813,5.521216393,0.687215865,1.093420982,0.361395001,1.147639275
0.25,23.52812958,16.51296234,8.366369247,21.35656929,6.076882839,14.23029613,2.954591751,7.748055458,6.182002544,15.65064335,4.370733738,10.13559818,2.731316566,7.013883591,0.836695313,2.808104515,5.674609184,0.701188862,1.102550983,0.363866061,1.173412085
0.3,21.9450798,15.4416666,7.834930897,20.52902222,5.663858414,13.33849621,2.812925339,7.405442238,5.904855251,15.13151741,4.22268343,9.899040222,2.682305336,6.963645935,0.84733212,2.83709693,5.741171837,0.693605006,1.0706563,0.358876467,1.162317872
0.35,20.2231369,14.28676891,7.260637283,19.50105286,5.246783257,12.44121838,2.670514107,7.064863205,5.622361183,14.55879021,4.056970119,9.624629021,2.612443447,6.874874115,0.840904176,2.816173553,5.671292782,0.664830923,0.997650683,0.34251523,1.058249474
0.4,18.49019051,13.14007854,6.700793743,18.37097549,4.821735382,11.59268665,2.522520542,6.691606522,5.318632603,13.91457272,3.879607201,9.335855484,2.528304338,6.714818954,0.820010483,2.767880917,5.506348133,0.639817238,0.924842656,0.315565497,0.877669394
0.45,16.7495594,12.0077877,6.147013664,17.12378502,4.363354206,10.7418766,2.379817486,6.311556816,5.007462502,13.20086288,3.68960762,9.051152229,2.440798998,6.516207218,0.787974775,2.69015193,5.287299633,0.623133957,0.863931835,0.288568914,0.760306835
0.5,15.15571785,10.99997044,5.652673244,15.88768482,3.937863827,9.933059692,2.242093086,5.912013531,4.688082218,12.36832428,3.475844383,8.636968613,2.325359344,6.214552879,0.744767785,2.547261238,4.996776581,0.601241171,0.815848708,0.270428658,0.716818273
0.55,13.49240208,9.973166466,5.15388298,14.48367977,3.501045942,8.87275219,2.04010129,5.331949234,4.216444969,11.02339935,3.131880045,7.851254463,2.109178782,5.723365784,0.681182563,2.355726004,4.655642509,0.56088227,0.763900936,0.249916852,0.636905313
0.6,11.90017319,9.033299446,4.689462662,13.04398441,3.100281239,7.817770004,1.835487723,4.765046597,3.758518219,9.656977654,2.773267031,6.952127457,1.870086074,5.12239933,0.607853532,2.144378424,4.31129837,0.522235096,0.729563773,0.235139892,0.589389086
0.65,10.39251709,8.170770645,4.248855591,11.63008404,2.733457565,6.807504654,1.62601912,4.204133511,3.305226088,8.368670464,2.425181866,6.044523239,1.625243902,4.451095104,0.529396594,1.88984704,3.890910149,0.472673506,0.678281724,0.214423314,0.549710155
0.7,9.078829765,7.490785122,3.89676404,10.44159412,2.457087755,6.02277565,1.449954152,3.738483191,2.929056168,7.30189085,2.13047266,5.286808491,1.421718717,3.865983009,0.461333156,1.648536086,3.467480659,0.427364528,0.622853696,0.194400623,0.508534551
0.75,7.715344906,6.844490051,3.558452129,9.244093895,2.211705685,5.308787346,1.278378606,3.283086777,2.568591118,6.288729668,1.843263149,4.55298996,1.228061557,3.293776274,0.397133321,1.426142931,3.036817551,0.38313815,0.559477627,0.175331756,0.473647773
0.8,6.424169064,6.307697773,3.269714355,8.190547943,2.015039682,4.687581539,1.120517254,2.864267826,2.238800287,5.399595261,1.586877465,3.879195929,1.049708724,2.758713245,0.338402152,1.224383354,2.644474506,0.341212898,0.502942085,0.157939717,0.438535064
0.85,5.215781212,5.906653881,3.054039001,7.373060226,1.872465491,4.236161709,0.999320149,2.535505533,1.986165762,4.722203732,1.388801932,3.345623255,0.909300268,2.336539745,0.291986108,1.064224839,2.290427208,0.299597174,0.444608361,0.139869526,0.402740419
0.9,4.183954716,5.667443752,2.926187515,6.885505199,1.792567015,3.981215954,0.922461808,2.335375547,1.838078618,4.288396358,1.259430408,2.977598667,0.81932652,2.049940109,0.261731803,0.955107689,2.051663399,0.270628393,0.395243496,0.1261767,0.375295132
0.95,3.157755852,5.533423901,2.851882219,6.602290154,1.751457453,3.860616684,0.878514588,2.234894276,1.765203714,4.068109989,1.190770626,2.766062737,0.776468217,1.909345984,0.246629074,0.892485321,1.9085536,0.253966004,0.366441548,0.118573464,0.36790064
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
