abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,16.04348946,36.10326767,17.92766953,33.4994812,8.105494499,17.68275642,3.346667051,8.22869873,6.732936859,15.46563816,5.219106197,10.91903496,3.540331364,8.360707283,1.393344402,4.052513123,6.718429089,0.887086213,1.383264661,0.289972097,1.046497345
0.05,16.18683243,35.93792343,17.84989548,34.18574905,8.30247879,18.1603241,3.446303844,8.441502571,6.892095089,15.79753017,5.293544292,11.02347565,3.565426111,8.388915062,1.386641145,4.055756569,6.78869009,0.890034676,1.373986244,0.286899567,1.054940462
0.1,15.50411701,34.3455658,17.07543755,33.75660324,8.251338005,18.20672607,3.46984911,8.506869316,6.934147835,15.94875526,5.316515923,11.0482645,3.573546648,8.398129463,1.386816502,4.05395174,6.8087883,0.890347183,1.377140522,0.289893359,1.055289865
0.15,14.64192963,32.41337967,16.13463402,33.17041779,8.134618759,18.14281464,3.480956316,8.560722351,6.96692276,16.08945465,5.340284824,11.05539608,3.57319808,8.38970089,1.384921312,4.039178848,6.818765163,0.88428992,1.387210488,0.293110996,1.052587986
0.2,13.72377396,30.3944931,15.14993954,32.4754715,7.950803757,17.88439369,3.455444574,8.529150963,6.934655666,16.11183929,5.335462093,11.01703548,3.562958717,8.350652695,1.374216795,4.011075974,6.77417469,0.872658134,1.406324267,0.293900788,1.053334355
0.25,12.75469494,28.28771019,14.12029171,31.56394386,7.646786213,17.30629349,3.356130123,8.332193375,6.784294605,15.815485,5.245297432,10.8241787,3.508952379,8.210945129,1.346130252,3.937594175,6.673280716,0.856444716,1.402166367,0.292335063,1.039146185
0.3,11.83756065,26.31209755,13.15344143,30.52085876,7.277475834,16.48442268,3.207891226,7.995334625,6.521609306,15.26148605,5.0843606,10.5048275,3.419489861,8.037216187,1.322086453,3.861855745,6.599181175,0.840154827,1.379248738,0.29048726,1.02481544
0.35,10.8381815,24.16856194,12.10194969,29.15547562,6.81650877,15.44305134,3.020367146,7.568637371,6.176280975,14.52270412,4.850587845,10.04658413,3.287046671,7.780167103,1.291629434,3.767634392,6.498620987,0.825893462,1.356541038,0.283895254,0.995467663
0.4,9.829112053,22.01011086,11.03911972,27.54141235,6.310365677,14.27063942,2.817510843,7.10367012,5.800693035,13.75576496,4.602252483,9.556384087,3.140944481,7.442653179,1.245723605,3.6332829,6.338228226,0.806677401,1.308144689,0.270948797,0.945702374
0.45,8.812778473,19.85222054,9.975539207,25.7006855,5.756430626,12.9983387,2.598265648,6.593897343,5.389008522,12.87425804,4.311925888,8.992442131,2.96499753,7.025556564,1.184206963,3.458745003,6.10520649,0.782427907,1.247956634,0.259206384,0.901558697
0.5,7.878314495,17.86946678,8.996237755,23.84315681,5.22591114,11.78392887,2.384093523,6.084004402,4.976493835,11.95449543,4.012166023,8.410565376,2.779209614,6.57498312,1.112678528,3.252311945,5.825741291,0.755363762,1.194537759,0.2501477,0.86235863
0.55,6.901078224,15.7719593,7.959297657,21.6861515,4.642724514,10.43595314,2.141466856,5.49883604,4.501216888,10.88230705,3.662508011,7.724598408,2.551908731,6.052161694,1.022512674,2.992951393,5.455110073,0.724325657,1.12995255,0.238580853,0.809206545
0.6,5.963004589,13.73271751,6.946925163,19.39934158,4.057728767,9.072779655,1.891404629,4.877087116,3.993710756,9.716421127,3.281668901,6.968061924,2.304267883,5.490748882,0.924714684,2.716205597,5.035905838,0.684069812,1.057659507,0.225894764,0.754739642
0.65,5.081475258,11.79931164,5.976693153,17.03547859,3.492896318,7.743043423,1.640488386,4.249726772,3.474640369,8.500394821,2.884636641,6.147262096,2.034154415,4.878069878,0.817121446,2.402014017,4.530855179,0.626168132,0.961667478,0.205711231,0.680026174
0.7,4.328624249,10.15771103,5.145096779,14.83353233,3.005003929,6.567708492,1.409032702,3.672956944,2.995004416,7.348940849,2.495928288,5.32292223,1.757468224,4.222798347,0.704880595,2.075598955,3.966073275,0.556735218,0.854230821,0.181463569,0.584733188
0.75,3.59722352,8.5838871,4.343494892,12.50850105,2.541082144,5.41899538,1.170231819,3.069807291,2.490249634,6.090261459,2.06990242,4.417363167,1.454801559,3.496198416,0.581205428,1.707105756,3.26070714,0.462738454,0.721338868,0.151332662,0.473564178
0.8,2.974745512,7.28999567,3.680440426,10.36317825,2.169601679,4.463650227,0.960675597,2.519597054,2.039867163,4.916705132,1.669178367,3.562966347,1.166050196,2.797979116,0.465196788,1.364606261,2.559567928,0.367856711,0.589002073,0.12127842,0.367302805
0.85,2.49203372,6.408151627,3.222296,8.573233604,1.927862525,3.780068159,0.798463762,2.092080116,1.695990205,3.956715822,1.344137549,2.852585316,0.924735308,2.207309008,0.366593659,1.081836581,1.900888085,0.274870723,0.461302459,0.092462167,0.275237232
0.9,2.22143507,6.156986237,3.078722954,7.54120779,1.862879872,3.493947506,0.715257287,1.863030076,1.518823981,3.400801897,1.154822946,2.415082693,0.774889052,1.838590145,0.300839454,0.885240316,1.430890083,0.211102918,0.381029546,0.07132864,0.215606332
0.95,2.179691792,6.640406609,3.306634426,7.560669422,1.994288921,3.674743176,0.734346688,1.884598732,1.554080248,3.359071493,1.137100935,2.319710732,0.745110452,1.756923199,0.280175716,0.818760395,1.171533704,0.174207315,0.336781502,0.060366679,0.199602962
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
