abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,7.389353752,18.00568008,9.031292915,17.06633759,4.576981544,10.10619354,2.200581074,5.030992508,4.031635284,9.464851379,3.066608667,6.677412987,2.110573053,5.057915211,0.732158184,2.119342566,3.788022995,0.439778596,0.74096626,0.182909161,0.603452682
0.05,7.274311543,17.60256767,8.834401131,16.81344223,4.55883646,10.12545586,2.209448814,5.051995754,4.044847965,9.526837349,3.079755783,6.689558029,2.117545605,5.068034172,0.733705461,2.118910074,3.754282713,0.438500583,0.735522389,0.183216646,0.609361768
0.1,6.995905399,16.87348938,8.47605896,16.23083496,4.482516289,10.01346302,2.191238403,5.007294655,4.006548882,9.475426674,3.054928064,6.635670185,2.102308035,5.029369831,0.728044748,2.10033989,3.689623117,0.431805223,0.722638071,0.180927187,0.602369785
0.15,6.62240696,15.95132446,8.021994591,15.4999752,4.369476318,9.827104568,2.157315969,4.926978588,3.938990116,9.369628906,3.012434006,6.543932915,2.077369928,4.966358662,0.719792128,2.075132132,3.609995365,0.423258334,0.707107842,0.177659974,0.591906667
0.2,6.217741489,14.97188377,7.540507793,14.74113369,4.239068985,9.605264664,2.113483191,4.825249672,3.855369091,9.225811958,2.9610641,6.434043884,2.045191765,4.891831398,0.708535433,2.045879841,3.525337696,0.412941515,0.686768889,0.173250124,0.574032903
0.25,5.79669714,13.9684782,7.04450798,13.99139404,4.093863487,9.34590435,2.059865952,4.701320171,3.754703999,9.029829979,2.894813299,6.295017719,2.001680374,4.792172909,0.692102671,2.004179478,3.421806574,0.401321679,0.664363086,0.167681053,0.549139082
0.3,5.392109394,13.0096283,6.567859173,13.28618145,3.936990976,9.060048103,2.000515699,4.565810204,3.643906355,8.809993744,2.821029186,6.145267963,1.955395818,4.684969425,0.674622774,1.959785223,3.328829765,0.39134869,0.638778865,0.162531331,0.516398549
0.35,4.951580524,11.97451401,6.052634239,12.50906754,3.739309072,8.66587925,1.915308714,4.373086452,3.493789911,8.499249458,2.720561981,5.944804192,1.889506459,4.534979343,0.651991904,1.900833964,3.219284773,0.37954101,0.613954306,0.157273024,0.484636784
0.4,4.507132053,10.93291855,5.530601978,11.71489525,3.515900373,8.192165375,1.81313467,4.147734165,3.315644503,8.110773087,2.601315498,5.704596043,1.810674429,4.356039047,0.627174497,1.838224888,3.103818178,0.364596277,0.585942566,0.151502758,0.451877952
0.45,4.057850838,9.88466835,5.003891468,10.89138603,3.267003775,7.642063618,1.693044543,3.887938261,3.112159491,7.634230614,2.45784831,5.406960487,1.713941693,4.139583111,0.59478265,1.755734324,2.977962494,0.350338757,0.5599792,0.147274852,0.431299388
0.5,3.644685507,8.920492172,4.518709183,10.11278057,3.020291328,7.095186234,1.573530912,3.640951157,2.915449858,7.150819778,2.311971188,5.100204945,1.616250396,3.920908451,0.560250998,1.664950371,2.839841843,0.334644049,0.535023451,0.143387914,0.415678233
0.55,3.202856541,7.881038189,3.99513936,9.222556114,2.73342824,6.434942245,1.429462075,3.334815025,2.67307806,6.547128677,2.12714529,4.714123249,1.492753506,3.639590263,0.518217862,1.550126433,2.673112392,0.314677656,0.504714251,0.137107342,0.398463994
0.6,2.767567873,6.852453709,3.479372978,8.275560379,2.426890373,5.721494198,1.273265839,2.997210503,2.404098511,5.881994247,1.920180321,4.270510197,1.353429437,3.316534042,0.467240781,1.412127137,2.459334612,0.292475075,0.470398784,0.129300103,0.375311106
0.65,2.341613531,5.834537029,2.96771574,7.244157791,2.100973845,4.938191414,1.103386402,2.621001005,2.101880074,5.138575554,1.684639812,3.752574921,1.190302014,2.924933195,0.409347445,1.245211124,2.195783854,0.262335062,0.423921317,0.117067993,0.334526569
0.7,1.963011146,4.921367168,2.50682044,6.256623268,1.795707822,4.195762157,0.942166448,2.253132105,1.807187438,4.43129015,1.457106233,3.247241259,1.029418588,2.536987782,0.352642894,1.083339453,1.93890202,0.233337551,0.379560798,0.104662985,0.29567349
0.75,1.576063991,3.970919371,2.026051044,5.159966469,1.468634367,3.387405634,0.764902771,1.842878938,1.478456259,3.654999971,1.201467514,2.675822973,0.846452475,2.090959072,0.286684036,0.885896981,1.590073705,0.194292918,0.32041803,0.087539047,0.245121911
0.8,1.228453875,3.091203928,1.578944802,4.064997196,1.15527916,2.603310108,0.590516686,1.442584038,1.155694485,2.866913795,0.936348557,2.084561825,0.655927479,1.625186205,0.219370306,0.676809371,1.209679127,0.149896368,0.256461889,0.068535931,0.189661056
0.85,0.941023529,2.36922431,1.206847906,3.088745832,0.898429751,1.919285178,0.435395211,1.081548929,0.866246164,2.101427794,0.68277353,1.516276121,0.477027863,1.175218463,0.159253716,0.485983968,0.836546421,0.10644085,0.179987013,0.04834136,0.130152434
0.9,0.770129442,1.95008862,0.984466553,2.391609907,0.738485634,1.469505191,0.326380104,0.815045357,0.656791389,1.548506379,0.503610313,1.107746959,0.352008164,0.844115734,0.117538169,0.349885672,0.555290341,0.072118767,0.11743138,0.031030273,0.08098989
0.95,0.734809518,2.009455204,1.013833284,2.209060907,0.741048455,1.392789245,0.293898016,0.722152591,0.592903018,1.333985686,0.433934331,0.944918096,0.306298018,0.704164565,0.106129281,0.307105154,0.462280244,0.059596777,0.093885355,0.023114119,0.061929584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
