abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,29.1642189,32.12467575,16.0604496,26.20305061,7.360421181,13.96556187,3.263105154,6.745365143,5.466924191,12.65970898,4.460165501,9.058835983,3.17746973,7.01429081,0.98018688,2.505522251,4.396698952,0.548606992,0.824272156,0.172913551,0.440537006
0.05,29.85681915,31.41763115,15.69812012,26.59410858,7.629827023,14.65371323,3.420523405,7.077052593,5.732061863,13.3004446,4.65680933,9.459584236,3.303261995,7.274657249,1.012987971,2.610826492,4.668062687,0.580609024,0.873472035,0.178698421,0.444981992
0.1,28.35754585,29.86207962,14.94330597,25.28964043,7.480697155,14.44148159,3.37853384,6.97166729,5.648542881,13.14644432,4.603302956,9.368264198,3.275032997,7.185528278,1.002795219,2.576909065,4.653677464,0.587525249,0.901177764,0.180149138,0.446926117
0.15,26.99435234,28.24263954,14.15372372,24.26489258,7.382470608,14.37151146,3.370215654,6.935692787,5.620333195,13.13966465,4.597224236,9.369748116,3.27730155,7.164849758,0.999145806,2.562917948,4.706376553,0.605383277,0.95520407,0.184287027,0.454948246
0.2,25.3543644,26.51273918,13.31239319,23.11610413,7.223651409,14.19819832,3.339985847,6.850274086,5.551465988,13.07282734,4.571578503,9.338878632,3.267671585,7.112408161,0.990611613,2.534503937,4.729901791,0.622469902,1.011261702,0.189113095,0.470217615
0.25,23.69745255,24.79050064,12.47373009,22.09187889,7.062048435,14.02674866,3.31102705,6.77772665,5.488193989,13.04001808,4.556303501,9.334523201,3.270030737,7.090152264,0.984034359,2.510411024,4.767998219,0.641105056,1.069988728,0.194849178,0.491747916
0.3,22.14112473,23.18985558,11.69452858,21.2273922,6.909763336,13.8734808,3.287493229,6.725294113,5.434269428,13.03851795,4.554080009,9.34628582,3.279743671,7.087272167,0.982707918,2.49813962,4.79981041,0.653075278,1.120305419,0.198252738,0.503087223
0.35,20.45209503,21.45580673,10.84570122,20.30307198,6.739198685,13.62997818,3.249548912,6.621235847,5.344732761,12.95211315,4.522077084,9.296186447,3.267271757,7.032407761,0.972979963,2.464784861,4.794604301,0.661406159,1.173512578,0.202583686,0.514423847
0.4,18.74208641,19.71706009,9.998048782,19.31836319,6.524985313,13.24943733,3.181637049,6.457857609,5.216077328,12.71160316,4.447448254,9.166992188,3.224354506,6.918496609,0.956860065,2.41618371,4.730163097,0.666220486,1.190866828,0.205575585,0.52926141
0.45,17.01901817,17.97548294,9.15030098,18.19669151,6.182262897,12.6539402,3.048192501,6.178837299,5.000355244,12.23979378,4.319544315,8.900366783,3.139210939,6.739727497,0.936935961,2.357108593,4.625049114,0.657935143,1.149024606,0.205145657,0.528303206
0.5,15.41714382,16.3692627,8.363915443,17.06481934,5.781754017,11.99763966,2.894105196,5.87484026,4.765730381,11.73332214,4.177763462,8.626088142,3.050844193,6.571461678,0.918684125,2.308659077,4.545589924,0.648387671,1.094340324,0.205627248,0.52872777
0.55,13.68509007,14.6294899,7.504492283,15.77789593,5.322268486,11.27071571,2.721338987,5.537972927,4.505938053,11.1829567,4.018079758,8.313699722,2.949604273,6.387319565,0.896657288,2.250241518,4.414844513,0.631180584,1.023443103,0.20163238,0.521624267
0.6,11.9388504,12.891716,6.636815548,14.43868542,4.870270729,10.51632118,2.529931545,5.166651726,4.220342159,10.55234432,3.82176137,7.899154663,2.812721968,6.125431061,0.859803677,2.146197081,4.212786198,0.603210807,0.965268731,0.19529587,0.507332265
0.65,10.19169807,11.16655731,5.761807919,12.97015476,4.371976376,9.633101463,2.299967051,4.707030296,3.867444992,9.740312576,3.555119514,7.341050148,2.627490997,5.740876675,0.810613394,2.028986931,3.974932194,0.571501672,0.918336093,0.18661502,0.487198979
0.7,8.45407486,9.56606102,4.943044662,11.45417023,3.833043575,8.580606461,2.033956289,4.163405895,3.432027817,8.688071251,3.196897745,6.608744144,2.374246359,5.231388092,0.738161087,1.857882619,3.625455379,0.529354632,0.84140116,0.173244029,0.454966724
0.75,6.760678291,7.881773472,4.075347424,9.712896347,3.171510458,7.171576977,1.689117908,3.461347342,2.863092661,7.268005848,2.696172714,5.615177631,2.009217978,4.507736683,0.630261302,1.597414732,3.146166801,0.470080197,0.749902904,0.154294804,0.411324888
0.8,5.120844364,6.243397713,3.224914789,7.893113136,2.506340742,5.672300816,1.329568624,2.728265524,2.25991869,5.709210396,2.125864983,4.434668541,1.574939013,3.609383583,0.49323824,1.263029218,2.53180027,0.386689037,0.629717946,0.128907889,0.341916144
0.85,3.613712549,4.692445755,2.417383671,6.044272423,1.889984846,4.207194805,0.98659569,2.025120735,1.672482848,4.133052349,1.540462971,3.213880301,1.13182044,2.647662878,0.359911084,0.921913028,1.865878582,0.286868244,0.462148905,0.096160598,0.261332959
0.9,2.441169024,3.458703518,1.773866177,4.432957649,1.412419677,3.016015053,0.705842555,1.455702782,1.19376123,2.903974533,1.078387856,2.224110365,0.778007329,1.820202708,0.246865898,0.636669636,1.239514709,0.189758152,0.297413588,0.063548207,0.180776134
0.95,1.591317534,2.629743338,1.340865374,3.093139887,1.070636272,2.066775084,0.467974007,0.992573559,0.8116166,1.882477164,0.690468073,1.37248826,0.473280936,1.053262591,0.13788642,0.361820996,0.593902051,0.087686628,0.133173659,0.02852243,0.082945921
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
