abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
0,91.07872772,76.00273132,38.09913254,77.32601166,21.17151451,43.97557831,9.02723217,19.98944664,15.53930092,31.70212746,8.539440155,17.80213165,5.433720589,12.47478676,1.390244722,2.990321398,6.36836338,1.143596172,1.566765308,0.25115788,0.742763162
0.05,86.74420166,72.66979218,36.50468445,74.27603149,20.82884789,43.59046173,8.99969101,19.94840622,15.48843575,31.83722878,8.569963455,17.84140778,5.426418304,12.42256165,1.38044548,2.991621733,6.313521385,1.130883336,1.545725703,0.250638723,0.715516746
0.1,82.43503571,69.06797791,34.77197647,70.83016205,20.39648056,43.19132233,9.018988609,20.00153923,15.50258923,32.25111389,8.657619476,18.03923607,5.455972195,12.42069912,1.371989012,2.996691704,6.257534981,1.130958557,1.546425581,0.252416044,0.710870028
0.15,77.78714752,65.16548157,32.89182663,67.1763382,19.88209343,42.80745316,9.081217766,20.16467857,15.58314514,32.95723724,8.821382523,18.43123245,5.53050518,12.50897408,1.370758772,3.019001245,6.266092777,1.151583195,1.577948213,0.257522315,0.728956223
0.2,73.11804962,61.25795364,31.00450134,63.60852432,19.3003788,42.4739418,9.192935944,20.46223259,15.76185036,34.01512146,9.084487915,19.11933327,5.67110157,12.76653194,1.379558682,3.070832491,6.400254726,1.205190897,1.678533435,0.269505769,0.77961719
0.25,68.44806671,57.33331299,29.10239029,60.11796951,18.63809967,42.25763702,9.374566078,20.93755531,16.0793705,35.60223007,9.500707626,20.30480194,5.916040421,13.33888054,1.408322573,3.177978516,6.621092319,1.282279372,1.827941775,0.291065753,0.846531749
0.3,64.15927887,53.73556519,27.35011292,56.92958069,17.92765045,41.72436523,9.49197197,21.26807022,16.29503441,36.64228439,9.815732956,21.2741642,6.102408409,13.91893959,1.427878618,3.250781536,6.829308987,1.344664574,1.955090523,0.30925113,0.898018837
0.35,59.46836472,49.80501938,25.4315815,53.05400848,16.85801888,39.06093979,9.02249527,20.27417946,15.49412346,34.50984192,9.227791786,19.87186241,5.781022072,13.00580883,1.367481589,3.12108469,6.430212975,1.233572602,1.713259578,0.282871515,0.808088005
0.4,54.80760193,45.88932419,23.54559517,49.07497406,15.81645966,36.48034668,8.558490753,19.21151161,14.65474033,32.17589188,8.585889816,18.45807648,5.450387955,12.24436283,1.302139163,2.986146688,6.0519557,1.12479353,1.527847409,0.264592856,0.746969521
0.45,50.15612411,41.98760986,21.66565704,45.06387711,14.81761837,34.18366241,8.148091316,18.22265434,13.89979267,30.17993355,8.021696091,17.27708054,5.14717865,11.64510727,1.24373138,2.859619856,5.709408283,1.04226625,1.405737162,0.249912277,0.713487566
0.5,45.84148026,38.36899185,19.90168381,41.25403214,13.85841846,32.10774612,7.758666039,17.27797127,13.19349194,28.39130402,7.516111374,16.21831894,4.863423347,11.08826542,1.177571893,2.711197853,5.403996944,0.982181787,1.325549126,0.235638067,0.704162598
0.55,41.17315292,34.45144653,17.96571541,37.07826233,12.77518749,29.81254196,7.315830231,16.2118969,12.40782928,26.50292969,6.99552536,15.12341404,4.57192421,10.50069237,1.105048418,2.548739195,5.065750122,0.920214891,1.24714303,0.222463787,0.694878519
0.6,36.48545456,30.5033226,15.97045612,32.86289597,11.62243176,27.27625656,6.754837036,14.90282059,11.46053505,24.43698502,6.452219963,13.95893669,4.26678896,9.825230598,1.032751322,2.377435207,4.757965088,0.870424986,1.181294322,0.212120116,0.693714857
0.65,31.82668686,26.5875206,13.96951389,28.64690781,10.43340397,24.64892578,6.139552116,13.48706913,10.43409824,22.234375,5.878827095,12.73253155,3.938836098,9.077920914,0.959727108,2.20784235,4.447622776,0.821998954,1.126284361,0.203121156,0.698711574
0.7,27.51831627,22.9734211,12.11382198,24.73450661,9.291859627,22.12770271,5.540452957,12.12109089,9.437214851,20.07229042,5.310257912,11.52784252,3.604169846,8.312753677,0.889454424,2.048770666,4.140041351,0.770236433,1.074934006,0.19488892,0.692645967
0.75,22.84409332,19.04994011,10.08518696,20.49805641,7.99732542,19.17525101,4.821269989,10.51614475,8.242945671,17.44865608,4.613839626,10.06891727,3.181743383,7.359883308,0.797790706,1.855032563,3.785116911,0.714584529,1.030109525,0.184362561,0.658342123
0.8,18.16551781,15.13995171,8.038314819,16.26247025,6.616900921,15.88423538,3.999470949,8.710141182,6.875814915,14.44351959,3.813211918,8.38132,2.667142868,6.195113659,0.678527176,1.615641832,3.361520767,0.642514408,0.964651644,0.170883745,0.612480342
0.85,13.5132513,11.24187183,5.989088535,12.05371571,5.134475708,12.42378235,3.125036478,6.779814243,5.40099287,11.18734264,2.952383995,6.619579315,2.104018927,4.922416687,0.543252647,1.3174088,2.758320093,0.530766726,0.819551051,0.146137357,0.530931652
0.9,9.182492256,7.603777409,4.062561989,8.149677277,3.623598099,8.929686546,2.215823889,4.7883811,3.854413748,7.723844051,2.052684307,4.696064472,1.466462612,3.467530012,0.37787959,0.921842992,1.912315249,0.362947494,0.56150645,0.099175915,0.371487796
0.95,4.503243923,3.716097593,1.989920855,3.994649172,1.847279191,4.714814186,1.135089278,2.508581877,2.026182175,3.730769396,0.993043065,2.192023516,0.661427855,1.611914515,0.166737154,0.403278589,0.799355984,0.146150216,0.214580789,0.03694284,0.138018683
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
