abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,10.21018028,13.3816824,6.629195213,13.27897453,3.300178051,6.519817352,3.070565939,8.042922974,1.906074524,1.471402764,3.474531412,7.105900764,4.284046173,5.147360325,4.004108906,4.633347511,7.545555115,4.974866867,13.60642242,6.094976902,9.931261063,4.502393246,9.530200958,4.524123669,5.419503212,10.60756969,4.950348377,8.787308693,5.257136822,9.44717598,8.863611221,1.971890926,13.04804707,2.178143263,12.17654896,1.914108992,14.4692421,2.691291094,2.13875556,5.566044331,14.29137802,7.986982346,10.35832882,7.395844936,11.19608021,10.95561409,3.006929159,17.93787384,3.043246984,12.27130222,2.917548656,19.70123863,3.453320265,3.069099903,2.320264816,3.465797901,0.776701212,1.48808217,0.467932165,0.694094777,7.169631958,4.398873806,9.384002686,6.785651207,7.859104633,7.177631855,3.782267809,7.611624718,3.423600674,13.2057848,3.865502834,14.426507,5.208355427,3.814012289,7.863814831,4.333318233,9.931740761,6.398687363,6.660101414,8.467728615,3.777307034,9.260391235,2.770510197,12.78645039,4.139669418,10.92533398,2.60977149,3.173255444,7.647089005,3.371494293,7.443027973,4.530039787,5.804703712,7.119832993,2.602336168,8.716306686,2.124920368,10.48084736,3.184992313,10.81713104,2.908411503,2.449650288,2.027979374,2.745132208,1.07171464,1.526219368,0.418220192,0.680458248,4.086580753,2.406751394,4.865097523,3.613226175,4.770790577,3.950518131,1.075116992,4.237512112,0.613414824,4.745271206,0.826048255,6.658959389,1.09741652,0.862651229,1.834437609,2.921444178,1.831947923,4.706188202,3.092362642,3.478523016,3.419745922,1.3912642,3.078428745,0.863685191,4.43104744,0.913896263,7.321688175,2.771221876,1.327209234,3.080640793,0.948842168,3.167649746,1.433268666,2.276486635,2.388807774,0.473163277,2.193882704,0.620166838,2.328046799,0.496899933,3.452926636,0.526836812,0.537965715,0.412202954,0.924744129
0.05,9.98349762,13.00579357,6.445001602,13.60592461,3.381246805,6.667950153,3.179320574,8.290466309,1.967973113,1.507813931,3.567838669,7.357105255,4.423017979,5.307607651,4.146127701,4.827771187,7.782732487,5.140423298,14.15007687,6.322843552,10.26252651,4.638487339,10.02857971,4.829522133,5.630008698,11.06657028,5.151519299,9.231590271,5.495417595,9.826786995,9.16769886,2.038498163,13.53987503,2.262173414,12.77455616,2.015326738,14.91404533,2.750473261,2.218264103,5.786578655,14.88631725,8.348413467,10.91404724,7.753511429,11.62773705,11.37619781,3.13143754,18.65718651,3.182535172,12.62856007,2.98553443,20.59323883,3.752587557,3.216158152,2.454608917,3.971973896,0.855316043,1.730523825,0.527814686,0.775840819,7.492920399,4.596395969,10.02269363,7.217774868,8.135364532,7.573787212,3.973718405,8.023645401,3.611533403,14.10800266,4.101646423,15.12308502,5.500156879,4.02204752,8.348609924,4.574557304,10.30783939,6.647321224,6.991199493,8.952090263,3.953161955,9.961503983,2.921447039,13.23904705,4.240220547,11.33129978,2.680741072,3.314138412,8.054569244,3.540386915,7.724815369,4.690114021,6.036254883,7.467136383,2.654604912,9.471977234,2.286507845,10.99303913,3.327567577,11.3333807,3.048645258,2.583158255,2.188761234,2.944803476,1.147988796,1.734916568,0.462310284,0.762381911,4.302849293,2.531865835,5.18764019,3.870845795,5.033715725,4.163720131,1.138443589,4.456660748,0.655148089,5.166631699,0.904346645,7.108531952,1.191279411,0.924672484,1.963699102,3.121153116,1.961660147,5.174674988,3.409432173,3.766392231,3.649392605,1.47695148,3.286377192,0.921709895,5.031241417,1.036762357,7.945347786,2.96382761,1.424424767,3.288554668,1.003917575,3.431889534,1.516706467,2.454792023,2.555592537,0.502005517,2.341813803,0.667092323,2.536496639,0.532026589,3.811141968,0.570361316,0.576209247,0.452694237,1.005790591
0.1,9.573820114,12.43451309,6.16970396,13.70082283,3.421866894,6.718539715,3.237576962,8.414492607,2.004043341,1.525375724,3.641929626,7.611165524,4.586177826,5.441333771,4.280360699,4.965503216,7.908195496,5.214913845,14.74554539,6.592110157,10.69698906,4.804405212,10.10558701,4.845620632,5.806020737,11.40233994,5.251635551,9.442487717,5.589609146,10.14806271,9.400981903,2.053108215,13.73759556,2.264797211,13.07030582,2.012242794,15.216362,2.688939571,2.214383602,5.84598875,14.85996819,8.306677818,10.7117281,7.50941515,11.73570347,11.33295345,3.072833538,18.42202759,3.156788588,11.89444065,2.851874828,21.06702614,3.846220016,3.182888031,2.423133612,3.933204412,0.836375535,1.702461481,0.531229019,0.805597007,7.393676281,4.565589905,9.867173195,7.095376968,8.075447083,7.439679146,3.952638149,7.973005772,3.592526436,13.5150013,3.957989454,15.15458202,5.613657951,4.003371716,8.295070648,4.549907207,10.03120804,6.416628361,6.944218159,8.911160469,3.908272028,9.929659843,2.942114115,12.54419708,4.026159286,11.21247196,2.682080984,3.286659002,8.012670517,3.485589504,7.622658253,4.655106068,5.993728161,7.420752048,2.632572651,9.283646584,2.255547285,10.96955967,3.25410533,11.30863857,3.030168295,2.550457001,2.177343607,2.88792181,1.15986228,1.755692124,0.468053758,0.76671046,4.257611752,2.521763086,5.18582201,3.87569809,5.001584053,4.070471287,1.120205045,4.405928135,0.663201034,5.147480011,0.905884266,7.036383152,1.199031472,0.923586667,1.969753385,3.109820604,1.960203052,5.154235363,3.429253817,3.80451417,3.612163067,1.468984604,3.266684771,0.916145444,5.101974964,1.06470716,7.913707733,2.952504396,1.422388554,3.25936532,0.996587217,3.415625095,1.506225228,2.465245247,2.541907549,0.506615579,2.331026793,0.668411553,2.58101511,0.545067489,3.861699343,0.57790941,0.581005573,0.459226221,1.011279464
0.15,9.055285454,11.74533558,5.839511395,13.62007141,3.390048504,6.609814167,3.189074755,8.241844177,1.982827067,1.502999902,3.612733126,7.671315193,4.632312775,5.484908104,4.330021858,4.931399345,7.840832233,5.167785168,14.97190475,6.716418266,11.07215977,4.976873398,9.751390457,4.637548447,5.851920128,11.48680401,5.225561619,9.33509922,5.471984386,10.24897385,9.454066277,2.023598671,13.58087063,2.171943426,12.77126789,1.870279789,15.083395,2.512946606,2.117514133,5.725883007,14.33278561,7.998592377,10.37112808,7.234332085,11.60967541,10.98875999,2.883524656,17.6339016,2.948612213,11.44638062,2.787319899,21.0781002,3.670855761,2.999356747,2.252392769,3.330893755,0.768179774,1.462061405,0.475249171,0.780661464,6.983246326,4.341270447,9.005444527,6.526431561,7.763344765,6.954335213,3.759964943,7.388747215,3.317174196,11.80616093,3.57844615,14.35407352,5.318178654,3.738331079,7.662827015,4.231767178,9.306040764,5.976562023,6.497357845,8.273799896,3.674922943,8.929281235,2.785766363,11.38712502,3.613018513,10.51076698,2.559964657,3.083244562,7.492478848,3.245048761,7.252667427,4.527918816,5.663387775,6.965777397,2.529181719,8.227015495,2.017207861,11.00517941,3.133888006,10.42824364,2.769407034,2.352336645,1.960170627,2.495808125,1.07399404,1.5635885,0.405081481,0.658255219,3.985441208,2.400807858,4.786353111,3.580203533,4.630512714,3.760746956,1.026564598,4.275454521,0.63635993,4.619115353,0.7878263,6.589993954,1.101896882,0.851348042,1.815641642,2.842800856,1.802616119,4.616565228,3.172839165,3.517655134,3.246483564,1.362541676,2.935153246,0.81052494,4.704257488,0.98861593,7.074775696,2.731161833,1.303256154,3.053941488,0.930447221,3.110718012,1.398019552,2.262302399,2.346717358,0.481389403,2.146532536,0.599866688,2.503163815,0.540541708,3.596628189,0.545252621,0.541195214,0.419204861,0.926416814
0.2,8.492904663,11.01609802,5.487602234,13.20230007,3.153113604,6.107795715,2.875156879,7.405358315,1.780976772,1.36839509,3.331001043,7.186770916,4.343354225,5.320550919,4.18017149,4.638159275,7.34145546,4.849191666,13.9488821,6.308001995,10.73792458,4.894846439,9.002037048,4.20554018,5.503816605,10.94644642,5.021005154,8.776452065,5.16431284,9.705901146,8.91944313,1.904448271,13.19068718,2.128550291,11.85531616,1.742169023,14.22798729,2.381242275,2.025194645,5.510571957,13.75646019,7.74145031,9.932193756,7.073040009,11.15578461,10.46524906,2.737863779,17.21249008,2.849903345,11.31976128,2.726112127,19.33166313,3.270486832,2.84885788,2.083930016,2.85507679,0.702894747,1.259273291,0.41335234,0.681338429,6.738220215,4.190940857,8.434064865,6.146368027,7.430222034,6.606820107,3.56569767,7.075095177,3.178010464,11.0874157,3.371686935,13.64588642,4.925210953,3.541770458,7.143324852,3.938679695,8.848935127,5.757210255,6.210280895,7.778999805,3.517015934,8.071291924,2.552111626,11.17434978,3.50268364,9.990715027,2.380766869,2.890742302,7.056289196,3.078984499,6.882557869,4.312239647,5.308959484,6.577405453,2.449419737,7.564709663,1.854411244,10.48621368,2.989318609,9.620343208,2.477351189,2.193696976,1.746754408,2.177186489,0.946810246,1.291122556,0.340508521,0.564188242,3.778589725,2.288192987,4.45121336,3.341151237,4.298873901,3.54588294,0.959758341,4.098567963,0.606020808,4.242938042,0.709414899,6.123851776,0.986582518,0.789319456,1.674593091,2.607421875,1.648762822,4.199523926,2.878629208,3.186944962,2.940555573,1.227733612,2.664510965,0.739498079,4.264740467,0.897586107,6.299013615,2.44920373,1.177075982,2.793873072,0.85035634,2.714879513,1.222579241,2.022827625,2.114415169,0.435547709,1.926579475,0.531271994,2.104133129,0.449147075,3.136401415,0.484175205,0.479221463,0.358771265,0.790840507
0.25,7.909379005,10.27193451,5.12583971,12.64031506,2.879654169,5.536549568,2.576520681,6.639303207,1.599243164,1.241758227,3.056833744,6.63376379,4.014226913,5.097869396,3.987633467,4.284780979,6.834334373,4.512571335,12.90697479,5.875952721,10.35511971,4.797355652,8.302799225,3.906667709,5.154109955,10.33762455,4.781928062,8.151303291,4.792434692,9.116044044,8.403000832,1.781990886,12.66551113,2.074224472,10.75148106,1.575825214,13.41596222,2.303384781,1.927167416,5.269824028,13.20020008,7.45987463,9.516968727,6.900954723,10.69954681,10.05771065,2.667559624,16.69999313,2.750054121,11.33941746,2.694503546,18.02765656,2.850974321,2.726525068,1.983773708,2.547068357,0.652084947,1.123558283,0.370923847,0.600048661,6.535767555,4.05443716,8.067074776,5.910218239,7.171457291,6.35499239,3.436453819,6.852992535,3.074929476,10.6400671,3.233463287,13.03733826,4.609663486,3.399563313,6.808538914,3.739456892,8.620998383,5.648429871,6.00455761,7.446504593,3.419435263,7.559596539,2.412176609,11.16019821,3.489953518,9.624903679,2.274466991,2.781503439,6.82511282,2.990603924,6.686680794,4.182995796,5.108000755,6.335929871,2.403276443,7.197444916,1.735868335,10.05844402,2.861872196,9.370902061,2.362539291,2.089887619,1.599099874,2.019267797,0.86906755,1.095887184,0.299947798,0.517184913,3.610292912,2.185450077,4.176704407,3.122104168,4.076328278,3.385932684,0.918542147,3.84548521,0.574985027,3.819404364,0.639413357,5.730945587,0.916433454,0.743138015,1.575196505,2.448842764,1.543849945,3.924270868,2.668718576,2.962557554,2.759309769,1.151638985,2.474842072,0.692986727,3.87341094,0.824465632,5.855290413,2.286102533,1.099433661,2.603157043,0.787818968,2.459161758,1.106368542,1.876171112,1.974713206,0.402966857,1.760677218,0.476017118,1.81573832,0.380420297,2.837507248,0.441265315,0.432329297,0.312970936,0.693480253
0.3,7.358179092,9.572340012,4.784754753,12.02804661,2.632453203,5.016510487,2.332123995,6.021363735,1.459053874,1.138312459,2.83052063,6.193125248,3.754790545,4.869060516,3.778656244,3.994126081,6.410691738,4.224007607,12.06259918,5.523983479,9.988937378,4.654098988,7.762260437,3.702702999,4.862582684,9.799884796,4.564448833,7.662471294,4.490126133,8.652954102,7.986757755,1.684158921,12.15312672,2.010416031,9.887404442,1.458961129,12.79140091,2.254698515,1.845692515,5.070284367,12.76995182,7.201520443,9.224448204,6.710964203,10.35332203,9.727867126,2.59481883,16.23983955,2.656937838,11.40010643,2.674492836,17.26951408,2.665210962,2.636321306,1.920513272,2.413460016,0.624690831,1.041009068,0.347156614,0.540305614,6.350158691,3.938606739,7.745843887,5.686876297,6.970263481,6.151666164,3.323411703,6.644060612,2.975079775,10.15684319,3.090808153,12.58743,4.445890427,3.282247782,6.561069965,3.591347456,8.404301643,5.523106098,5.840014458,7.207317829,3.334870338,7.204101086,2.322103024,10.91205692,3.424668312,9.42862606,2.234092951,2.702106953,6.61853075,2.899719954,6.518196583,4.077231884,4.980014801,6.147243977,2.357573271,6.89027071,1.64020896,9.768848419,2.778216362,9.195694923,2.2898283,2.009056091,1.512799501,1.940373778,0.843923986,1.006569386,0.287920445,0.507104337,3.477590322,2.104099989,3.990169048,2.968039989,3.92151618,3.2695117,0.884484053,3.655327559,0.546604037,3.528102875,0.592356443,5.514649868,0.886185884,0.709849298,1.500912309,2.338593245,1.475799322,3.75032568,2.560278177,2.810062647,2.6391747,1.10284853,2.361822367,0.663556576,3.667951822,0.773337245,5.56073761,2.216578007,1.054541945,2.478826761,0.743781865,2.317993879,1.038277149,1.796939373,1.893274188,0.380089164,1.663442612,0.441659331,1.631759524,0.33647579,2.697526693,0.416319132,0.402255893,0.284535676,0.636650264
0.35,6.758569717,8.81989193,4.416241169,11.28882122,2.377539396,4.488744259,2.091969252,5.417299271,1.320741773,1.032822847,2.599801302,5.727823257,3.478766441,4.570076942,3.522279501,3.691987514,5.957171917,3.922282219,11.16378117,5.127557278,9.512104034,4.451683998,7.315293312,3.490480423,4.537110806,9.184197426,4.305338383,7.139533997,4.167109013,8.13802433,7.517539501,1.57658577,11.53032494,1.922213793,9.117495537,1.355528712,12.06750488,2.178075314,1.750818729,4.840360641,12.27088261,6.902720928,8.867582321,6.471049309,9.897914886,9.281384468,2.472301483,15.72684765,2.568058252,11.27119923,2.612768173,16.37055588,2.54740572,2.533756733,1.843964219,2.307041883,0.600511551,0.966967106,0.325525582,0.494458199,6.121300697,3.797638416,7.478929996,5.497412205,6.733397961,5.892615795,3.17385745,6.419263363,2.86951685,9.740158081,2.985742092,12.13277721,4.305034161,3.158593655,6.320469856,3.455564499,8.185119629,5.377017021,5.646297455,6.902665138,3.206438065,6.875004292,2.232068539,10.6018362,3.328229666,9.204633713,2.192268133,2.607709408,6.368693352,2.787746191,6.322501183,3.944691658,4.818526268,5.906924248,2.273416519,6.542208195,1.562698245,9.378862381,2.670285225,8.923994064,2.198954582,1.924830794,1.439970374,1.870544195,0.820984125,0.958758712,0.28098318,0.498594612,3.338344574,2.018621922,3.82207942,2.829763412,3.754261255,3.143367529,0.852046788,3.473069191,0.519889891,3.32221818,0.561357498,5.314016342,0.852594078,0.679656446,1.43715167,2.231009245,1.407997608,3.616823673,2.464677095,2.681801796,2.535815954,1.058689713,2.248226643,0.633044422,3.444635391,0.723270893,5.330760002,2.144290924,1.010392427,2.372838974,0.713811934,2.234101057,0.997183859,1.714963675,1.82660675,0.362824202,1.591737151,0.418172479,1.514641762,0.306519657,2.588023186,0.402033389,0.381444335,0.265820861,0.599530876
0.4,6.157067299,8.074522972,4.048844814,10.49466896,2.13955617,4.010549545,1.879248619,4.890883446,1.198803902,0.936914444,2.385944605,5.287309647,3.223734856,4.282811165,3.283210516,3.405938148,5.528676033,3.647481203,10.34284115,4.758640766,9.063529968,4.253700256,6.908436775,3.280786991,4.232984066,8.605024338,4.054186821,6.652744293,3.869012833,7.642653942,7.082961559,1.478175163,10.9259758,1.829710245,8.409158707,1.25710988,11.32790375,2.084789038,1.655449867,4.588963032,11.73220444,6.578309536,8.474411964,6.183953762,9.376080513,8.800584793,2.345056057,15.10589695,2.478764057,10.82702446,2.481589556,15.42660809,2.430524111,2.422860384,1.762444615,2.210441113,0.577842593,0.90024966,0.303880125,0.447796643,5.878051281,3.646321774,7.253266811,5.330154896,6.468836784,5.625900745,3.030241966,6.174956799,2.750829697,9.445094109,2.88901186,11.57568741,4.115876198,3.026051044,6.070595264,3.314852715,7.947510719,5.224930763,5.431853771,6.599360466,3.076260567,6.568171501,2.136777401,10.25786686,3.227230787,8.881328583,2.118277788,2.505647421,6.124446392,2.682235003,6.091611385,3.791367292,4.628645897,5.657242775,2.182761669,6.237360001,1.507595301,8.915325165,2.54122901,8.629157066,2.116500854,1.849907398,1.389017582,1.818760514,0.797261477,0.934890687,0.280430138,0.505645573,3.199002981,1.929626226,3.655098677,2.697210789,3.609194994,3.024155617,0.822202981,3.29437232,0.495555222,3.166719913,0.536690176,5.110365868,0.829803944,0.653812468,1.386518121,2.137822151,1.345468163,3.510236979,2.378456831,2.578308344,2.460538864,1.025641084,2.130214691,0.602216065,3.257183075,0.68051672,5.187030792,2.099340439,0.974873722,2.288971186,0.692878425,2.17630434,0.973411798,1.646466374,1.774656177,0.352001071,1.539285183,0.398498029,1.466611385,0.293412536,2.491687536,0.394039929,0.36736843,0.254390478,0.574583352
0.45,5.554747105,7.336464882,3.68294549,9.65165329,1.915072083,3.582302094,1.689919949,4.431292534,1.089836955,0.850347996,2.192015409,4.879430294,2.99394393,4.030463219,3.083833456,3.156257391,5.143167973,3.400736809,9.601176262,4.417308807,8.636087418,4.05092907,6.610648632,3.121728659,3.955409765,8.062134743,3.808753729,6.246064663,3.634655714,7.192443848,6.671187878,1.382446647,10.33187389,1.731491804,7.881068707,1.177515507,10.65985966,1.983487964,1.561212063,4.34593153,11.17924309,6.246150494,8.030382156,5.827404499,8.890709877,8.319238663,2.21087575,14.42778492,2.368566036,10.04884529,2.307745934,14.60682487,2.340728045,2.300246477,1.678181291,2.091358185,0.556496322,0.838172674,0.280156881,0.398789942,5.609918594,3.477041483,6.981323242,5.12735033,6.149767876,5.32832098,2.877408028,5.882047176,2.608499765,9.143300056,2.805984497,10.98955345,3.924949408,2.881769657,5.794055939,3.162395239,7.669903755,5.049356461,5.19573307,6.268681049,2.922724247,6.248578548,2.038715363,9.914691925,3.121687174,8.528084755,2.036274672,2.394774199,5.833938599,2.553954601,5.809026718,3.605265141,4.435733795,5.381431103,2.090454817,5.901879787,1.440215707,8.412416458,2.395705223,8.287403107,2.023872614,1.764710665,1.32563293,1.746667027,0.762275577,0.892788291,0.274125487,0.4987652,3.04363656,1.833382964,3.462972164,2.562680483,3.44334197,2.886235237,0.78539145,3.119939089,0.470013499,3.016267776,0.511591971,4.885030746,0.794447005,0.623363435,1.325119138,2.029582024,1.276218295,3.372815609,2.28370142,2.458383083,2.361404896,0.985509753,2.015196562,0.5712322,3.0929389,0.652115583,4.990436554,2.024007082,0.934648216,2.178003073,0.664748609,2.091034412,0.943061173,1.572308302,1.706069827,0.338368416,1.469433308,0.380284518,1.399832249,0.28006047,2.378656387,0.386669129,0.352835685,0.242055595,0.547319233
