abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,122.378746,80.84786224,40.11584091,68.64900208,17.28827858,31.68819237,18.2493,41.95064926,9.107868195,6.194127083,14.13117123,37.03647232,23.3288269,34.16187668,29.89702415,32.9525032,39.58475494,25.55596542,73.90345764,30.00602722,64.04533386,29.43004799,60.35150909,34.43388367,29.37506485,64.18623352,23.80129623,74.82122803,37.92727661,62.20287704,52.97101212,6.042109489,67.11657715,3.677863836,110.3226776,5.85330534,114.7756958,13.9620285,6.114645958,16.47881508,50.87603378,29.943964,51.45803452,36.70791245,35.97291565,49.5884285,8.339696884,81.4420166,3.298556089,45.72130966,7.430426598,105.585968,11.50931454,6.602694988,6.021438122,11.01487064,1.391489983,4.10944128,1.318110824,1.874457359,19.60747337,12.69044495,21.93000793,17.33434677,15.91754913,20.95686722,11.61901283,23.71175385,10.70185661,26.2563076,6.182285786,38.90342331,13.0177412,10.71303749,23.38344574,11.96347809,23.37818527,12.90944672,18.03717041,24.2280674,10.26782799,32.47940826,8.834475517,23.3090744,10.47469997,32.031147,8.361813545,9.33873558,24.8942337,6.535221577,18.59845161,8.323529243,14.59214783,27.04893112,5.058537006,30.06777954,2.307130337,28.10582924,1.684892178,37.58222198,1.078240395,2.666383982,2.552586317,4.379056931,1.520932674,2.352441788,1.370330215,1.775833488,5.684632301,4.017509937,7.645420074,6.095839977,4.442543983,6.274445057,1.21009326,7.288160801,1.616145253,8.102882385,1.835775137,10.97618961,2.157984972,1.608352065,2.562955618,5.435726166,3.899707317,8.40501976,5.584220409,3.683403254,5.599461555,2.525559664,6.885486126,2.117972851,8.737016678,1.857910633,8.292802811,3.413972139,2.402763844,5.27882719,1.44098556,5.418182373,2.173655272,3.357328415,4.338842869,0.634041369,3.73964262,0.90167892,5.04336071,1.282109141,4.899027348,0.851675451,0.842617452,0.803535104,2.059090614
0.05,116.5503845,77.68959045,38.56972885,66.54473877,17.14823341,31.65843391,18.15960312,41.81367493,9.093201637,6.162205696,14.1883688,37.11370087,23.2911129,34.45744705,30.0486145,33.18772507,39.59664917,25.44578743,73.88722992,29.96050453,64.64268494,29.72463226,60.96781158,34.29804993,29.34460258,64.29723358,23.73170853,75.40313721,37.9770546,62.24026489,52.61187744,5.987313271,67.020401,3.673705339,110.4869003,5.771284103,114.597496,13.67688274,6.04392004,16.34218979,50.75244141,29.90838623,51.28543854,36.68556595,35.7899704,48.89125443,8.306930542,81.29022217,3.299668312,45.81309128,7.404023647,104.3853836,11.29647732,6.561787605,5.961844921,10.8409214,1.403841972,4.174943447,1.335866332,1.885231256,19.54330254,12.63959694,21.66531563,17.16804123,15.85282516,20.78290367,11.53916073,23.60154343,10.64207745,25.84068108,6.0815382,38.80072784,13.04927826,10.6532402,23.40837669,11.99936962,23.23646355,12.89265442,17.94931793,24.07512093,10.28786278,32.5857048,8.870509148,23.36190796,10.50310802,31.90882111,8.400486946,9.370155334,24.89208221,6.580328465,18.60779572,8.353123665,14.60865784,26.89963531,5.088383675,30.25572205,2.341096401,28.0019722,1.704592466,37.58652878,1.072297812,2.692914963,2.583494663,4.411806107,1.539176464,2.392124414,1.370904922,1.768996596,5.737637043,4.053333282,7.645777702,6.108711243,4.477452278,6.306148052,1.213172555,7.327794552,1.649811625,8.065813065,1.830931067,10.99688053,2.152647257,1.620682836,2.577270985,5.446787357,3.910969257,8.389341354,5.555094719,3.687994719,5.610240936,2.530508995,6.921940327,2.124294996,8.73460865,1.865781665,8.274640083,3.378867865,2.402527809,5.281940937,1.439435959,5.448406219,2.179903269,3.348987341,4.327956676,0.634759247,3.754513741,0.900015354,5.061233521,1.290452957,4.86323595,0.849806309,0.843074322,0.805100024,2.056443691
0.1,110.7979126,73.91244507,36.71484756,63.25027847,16.95159531,31.56468201,18.02928734,41.67110443,9.074516296,6.137053967,14.19874668,37.13403702,23.20023918,34.63502884,30.15447617,33.29480362,39.34912491,25.13042068,73.77160645,29.9031601,65.18468475,29.93174934,61.21617508,34.23330688,29.25487709,64.27519226,23.64395142,75.48801422,37.87934113,62.08835983,52.30656433,5.944180965,66.89334869,3.643047333,110.0721359,5.690975189,114.2338943,13.43732357,5.972180367,16.16142845,50.41031265,29.72142029,50.94660187,36.3779068,35.39000702,48.19815826,8.20411396,80.73429871,3.271180153,45.43563461,7.353064537,103.1852951,11.1609211,6.489927769,5.889457226,10.67559052,1.404660344,4.177361488,1.339420915,1.891682744,19.32405853,12.49414349,21.39669609,16.96186638,15.68398094,20.50823784,11.40493298,23.3121376,10.51331997,25.42863655,5.990436077,38.46151352,12.96721077,10.53328896,23.23909378,11.93326473,23.02154541,12.80796814,17.75118256,23.82579994,10.21382809,32.30487061,8.821536064,23.20482826,10.37714386,31.60733414,8.358181953,9.306090355,24.60479736,6.554897308,18.44098473,8.315141678,14.52168369,26.50003052,5.066551685,29.95466423,2.343668699,27.54899216,1.703644753,37.17594528,1.076651096,2.690097332,2.58408618,4.404190063,1.550023913,2.408632517,1.36606729,1.756504178,5.736356258,4.057762146,7.558677673,6.038868904,4.479607582,6.257641315,1.215410471,7.310762405,1.665604591,7.950042725,1.805100322,10.93243885,2.148818493,1.622886062,2.582949877,5.446922302,3.913636208,8.367560387,5.519035339,3.702615738,5.61220026,2.536907911,6.941775799,2.127360821,8.729621887,1.86725378,8.289297104,3.385011911,2.406843424,5.289979458,1.440296769,5.472319126,2.188776255,3.359326601,4.338894367,0.635878146,3.76301837,0.89847976,5.110975742,1.299071193,4.866954327,0.848368645,0.843815267,0.80581671,2.060688972
0.15,104.5445633,69.70928192,34.66042709,59.51945496,16.69798851,31.41132164,17.85679245,41.51645279,9.071770668,6.12347126,14.2301445,37.19891357,23.11950493,35.11433411,30.53699684,33.42239761,39.06450653,24.74535561,73.62596893,29.83765984,66.05052185,30.29027557,61.5304985,34.18643188,29.16493416,64.27749634,23.54665565,75.61160278,37.77885818,61.93707657,52.04911041,5.90417099,66.84981537,3.59815526,109.6979904,5.601807117,113.8623047,13.1926527,5.893083096,15.9596405,50.02745438,29.51161003,50.55224991,35.96545029,34.9270668,47.4938736,8.066709518,80.19226074,3.232453346,44.99185944,7.292516232,101.8518448,10.99973011,6.396838188,5.794864655,10.45727825,1.403045177,4.179258347,1.343768477,1.895161033,19.03465462,12.2992239,21.05958176,16.69837379,15.45716286,20.15762329,11.22919083,22.95010757,10.34767723,24.91170883,5.860296249,37.98308945,12.86060905,10.3763628,23.02577019,11.84331036,22.76085854,12.69765282,17.48599625,23.51407814,10.11374187,31.9107666,8.752877235,22.98253059,10.22635269,31.21537018,8.304203033,9.221166611,24.21780205,6.523814678,18.20218658,8.259707451,14.39625263,25.95949745,5.041447163,29.55367851,2.353979349,26.91803169,1.705470085,36.61845016,1.089686751,2.6921978,2.589224339,4.400818825,1.565194249,2.438497305,1.363179564,1.744423151,5.74306345,4.070846081,7.449266911,5.948705673,4.487645149,6.200732708,1.220728159,7.304541111,1.692121267,7.809957504,1.775264025,10.85173035,2.144447088,1.629456997,2.593204737,5.450499058,3.918193102,8.361176491,5.482140541,3.722868681,5.622479439,2.54701829,6.970929146,2.132240057,8.746208191,1.873015881,8.30533123,3.391852856,2.41376543,5.301704884,1.442849636,5.504196644,2.202592611,3.37150526,4.354291439,0.637213647,3.779726267,0.898282826,5.190840244,1.31125927,4.87180233,0.845855534,0.84544915,0.807843447,2.069931507
0.2,98.29878998,65.5672226,32.62156677,55.85808945,16.40576172,31.21074295,17.66359329,41.38728333,9.125442505,6.154516697,14.29923534,37.32168579,23.06732178,35.80001831,31.0741806,33.57027054,38.91693878,24.43932152,73.48446655,29.76801872,66.95670319,30.69902992,61.81268311,34.06935883,29.09000587,64.2751236,23.45510483,75.78793335,37.72414017,61.78589249,51.82531357,5.867077827,66.75369263,3.553941488,109.5072327,5.518983841,113.4711685,12.95205593,5.816864491,15.76224232,49.64641953,29.30413628,50.17617798,35.58119583,34.50213242,46.77529144,7.926797867,79.6596756,3.196367025,44.59803009,7.22919178,100.4697342,10.83372021,6.303039074,5.701598644,10.21741867,1.40535152,4.194147587,1.351533294,1.903652906,18.72954178,12.09344387,20.73138809,16.43458176,15.24130154,19.78749466,11.04549313,22.56020164,10.17180061,24.38586235,5.733304501,37.45811081,12.73364353,10.21025658,22.81225777,11.76269054,22.50061035,12.59777355,17.21923637,23.18256187,10.01631641,31.50395393,8.681189537,22.76396561,10.06724453,30.81804276,8.230726242,9.131933212,23.80689812,6.491562366,17.94826698,8.204227448,14.27342129,25.36411858,5.009938717,29.10539818,2.367134333,26.3075676,1.705387473,36.01808548,1.112253785,2.695414543,2.592155218,4.38925457,1.580900431,2.467128754,1.35964632,1.732897878,5.748968124,4.083339691,7.337414742,5.857035637,4.502487659,6.144452095,1.226866484,7.291466713,1.717041254,7.657394886,1.741113901,10.76673698,2.139285326,1.634883642,2.604017973,5.449080944,3.920382977,8.338700294,5.434643269,3.744944811,5.628796101,2.558048725,7.000559807,2.137856483,8.742203712,1.877441049,8.323677063,3.393316746,2.420228481,5.307926655,1.445960164,5.528418541,2.215594769,3.384747982,4.357468605,0.637854934,3.793077946,0.899815679,5.260250568,1.323178291,4.870844841,0.844003737,0.847525477,0.81040132,2.082241774
0.25,92.01179504,61.37111282,30.53986168,52.08572006,16.06611443,30.94939995,17.46809578,41.25756073,9.196463585,6.207080364,14.35668468,37.42666626,23.01208305,36.37086105,31.4669838,33.6440773,38.8568573,24.21847534,73.30874634,29.68749237,67.6137619,30.98606491,61.99869919,33.92737961,29.01258278,64.23390198,23.36329079,75.82686615,37.63166809,61.57614136,51.67626953,5.840729237,66.59395599,3.504127979,109.1703644,5.431379318,113.0688705,12.7512989,5.745616913,15.55437088,49.18494797,29.03614998,49.78645706,35.20069504,34.02190018,46.0725174,7.781598091,78.9463501,3.150154352,44.17107391,7.148831844,99.05446625,10.68081951,6.203157902,5.605863571,9.999664307,1.408325911,4.209368229,1.360029221,1.913479209,18.39781761,11.8774271,20.39140892,16.16005707,14.99691105,19.41518974,10.86566544,22.14872169,10.00314617,23.88525963,5.613026619,36.91212463,12.57367229,10.0452528,22.57885742,11.67615032,22.25701904,12.50250912,16.93706703,22.85588264,9.919840813,31.03602791,8.599177361,22.57577133,9.913896561,30.39773178,8.116173744,9.033312798,23.39811325,6.461753368,17.67888641,8.146232605,14.13706017,24.76374817,4.966750145,28.67013359,2.385319948,25.67967224,1.696724296,35.36505508,1.120812416,2.696159124,2.59173131,4.372051239,1.591573954,2.488542557,1.356058359,1.720941901,5.745183945,4.088685513,7.222304344,5.761467934,4.516919136,6.080613613,1.229779005,7.26559639,1.739997745,7.509581089,1.713141441,10.66568089,2.130444288,1.638941646,2.613481045,5.438317299,3.916262388,8.29174614,5.375,3.767891169,5.626173496,2.566612959,7.019592762,2.142220974,8.720199585,1.882366419,8.342985153,3.3919034,2.42507863,5.311385632,1.447896481,5.547983646,2.231123209,3.39765954,4.356320858,0.636541009,3.80327034,0.902085304,5.33015728,1.333127499,4.86605835,0.844382226,0.849172473,0.812825799,2.093868732
0.3,86.22584534,57.46873093,28.62606049,48.62560272,15.70388699,30.67520905,17.31414604,41.1255188,9.24967289,6.247537136,14.39487362,37.48071671,22.95177841,36.86270523,31.76103592,33.67718124,38.78752899,24.00828552,73.12394714,29.60884666,68.12065887,31.20311928,62.11483002,33.80016327,28.93185043,64.18327332,23.28181267,75.87909698,37.54956436,61.36642838,51.56805038,5.818009377,66.46876526,3.470048189,108.9933472,5.364685059,112.7451096,12.62244511,5.695410728,15.39435577,48.80399323,28.81048965,49.51559448,34.88106155,33.61246872,45.52517319,7.659080029,78.35028839,3.110476971,43.75575256,7.075563908,97.94382477,10.57664013,6.121195316,5.527468204,9.844347,1.410964012,4.233208179,1.368044615,1.92450285,18.13616371,11.70480061,20.10406494,15.92670918,14.7746582,19.11449623,10.71371174,21.84770393,9.883832932,23.46858978,5.504199982,36.42848969,12.41081524,9.911587715,22.39385605,11.58902073,22.05311394,12.40966225,16.68741035,22.60255814,9.828068733,30.64693069,8.532905579,22.3991394,9.78222084,30.04795074,8.012452126,8.947769165,23.07549477,6.432630539,17.44974899,8.078309059,13.99390411,24.30797386,4.913393974,28.36329842,2.400316477,25.14827347,1.693154335,34.8031044,1.117061615,2.692135572,2.58551383,4.349755287,1.588855147,2.492531538,1.351170778,1.71239388,5.725096226,4.082446575,7.111091614,5.664134026,4.517206192,6.021979332,1.227634907,7.226515293,1.751882911,7.374222279,1.681288481,10.55585194,2.116120577,1.63574636,2.609183073,5.402529716,3.893046856,8.216864586,5.305755615,3.771589756,5.601285934,2.561611414,6.998565674,2.136008978,8.673071861,1.883295774,8.331147194,3.371593952,2.418169022,5.284921169,1.444048762,5.536380768,2.236240149,3.392295599,4.327498913,0.634327352,3.784440517,0.901213467,5.357816219,1.336337924,4.82638073,0.843525231,0.848311126,0.813079596,2.100165606
0.35,79.96253204,53.3312149,26.57614136,44.96982193,15.22400379,30.37123108,17.16833687,40.97212601,9.290952682,6.27774477,14.41148186,37.44039154,22.84097862,37.31375122,31.99794006,33.666008,38.61904144,23.75201988,72.85870361,29.50407982,68.55200195,31.38578224,62.02528,33.59255981,28.81227875,64.08834076,23.18500328,75.99772644,37.49214172,61.09272766,51.38282776,5.782671452,66.34538269,3.440363169,109.0270767,5.307140827,112.4066086,12.54491425,5.65227747,15.24253273,48.43891907,28.57960892,49.26532745,34.59290695,33.21077728,44.98744583,7.537273884,77.74967957,3.061603069,43.32065964,7.005472183,96.82141113,10.43825531,6.031807423,5.438340664,9.67533493,1.40753758,4.241000175,1.374284625,1.93473959,17.85754204,11.5299778,19.77885056,15.68683529,14.53786945,18.80400658,10.55188751,21.54226112,9.773118973,23.01928902,5.385027885,35.91359711,12.20956993,9.772559166,22.1791172,11.4854002,21.84023666,12.32707882,16.42386436,22.35265541,9.727739334,30.19496918,8.452567101,22.24400139,9.670543671,29.67667007,7.916079998,8.856550217,22.74497032,6.397600651,17.2109108,7.996532917,13.83162022,23.87453461,4.837255001,28.09757233,2.413375139,24.50549889,1.695359826,34.24670792,1.104413986,2.681842327,2.573852539,4.318400383,1.572373986,2.476041794,1.340454698,1.700843453,5.689119816,4.064063549,6.997499943,5.565907955,4.505746841,5.955125332,1.221250772,7.16549778,1.751992583,7.244263172,1.648108482,10.42950916,2.097406387,1.62585032,2.596142054,5.347696304,3.853182554,8.093856812,5.204000473,3.764198065,5.559294224,2.544662714,6.947632313,2.121277809,8.584703445,1.877753019,8.309490204,3.334805012,2.400780916,5.235906601,1.433931351,5.492818356,2.227854729,3.373982906,4.27646637,0.629402339,3.749785662,0.897043884,5.350879669,1.334421635,4.769621372,0.841329277,0.844388306,0.8102597,2.094435215
0.4,73.71276855,49.17799377,24.51258087,41.28943253,14.62231445,30.14569283,17.13467979,40.95301819,9.292273521,6.28006649,14.37900734,37.22165298,22.65267563,37.61304855,32.13033295,33.55758286,38.26183701,23.40228844,72.46869659,29.37084198,68.92132568,31.52527809,61.72531128,33.41098785,28.65292168,63.91845703,23.07860756,76.15691376,37.46687698,60.75499344,51.10322571,5.735746384,66.21411133,3.422012329,109.3613586,5.275208473,112.0067978,12.60281849,5.633756638,15.14428902,48.21897507,28.40780067,49.16197968,34.30247879,32.90228653,44.65464783,7.435739517,77.43073273,3.01608181,42.82998276,6.982187748,96.25575256,10.37275696,5.964864731,5.368703365,9.570680618,1.397150993,4.247891426,1.378960729,1.948516011,17.63368607,11.40128994,19.50340843,15.49891567,14.34760666,18.55561638,10.41343307,21.33172607,9.706173897,22.65745163,5.276012421,35.43217468,12.00534153,9.660814285,22.00030899,11.38993359,21.71934891,12.28796005,16.19611549,22.1672287,9.656208992,29.80741882,8.388114929,22.17001343,9.629477501,29.37080956,7.871310711,8.795682907,22.48814201,6.378087521,17.02748299,7.926193714,13.69538021,23.55789185,4.77625227,27.97061539,2.440402746,23.93365288,1.710253239,33.81846619,1.089886069,2.683684826,2.574443579,4.318448067,1.561959147,2.475536346,1.335326314,1.697716951,5.686711788,4.071502686,6.920230865,5.493488312,4.508983135,5.928529739,1.219874978,7.152240753,1.762243152,7.164957047,1.62454319,10.36471653,2.090132475,1.624620199,2.592490673,5.315720558,3.828040123,8.010569572,5.131092072,3.768062115,5.547516346,2.538641691,6.913779259,2.111641884,8.563272476,1.88477838,8.326907158,3.318221807,2.393747091,5.213922977,1.428566456,5.477181911,2.228453159,3.371341228,4.258553505,0.625352979,3.728438377,0.892075956,5.376131535,1.332983375,4.743788242,0.841109276,0.840797365,0.807430029,2.086951494
0.45,67.44690704,44.9852066,22.4619236,37.64215851,13.86333275,30.13470268,17.40791321,41.29185104,9.259174347,6.242136955,14.2978487,36.7790947,22.34837532,37.78077316,32.14645386,33.35113907,37.71902466,22.9562664,71.82915497,29.17695618,69.12963104,31.55233574,60.94487762,32.99419785,28.39590836,63.44324875,22.90734673,76.20630646,37.51259232,60.23400497,50.37429428,5.656030655,65.48136902,3.419727802,109.7248993,5.26201582,111.2533646,12.80352402,5.635695457,15.08499432,48.01222229,28.18803406,49.03798676,33.9506073,32.68009567,44.29547119,7.357863426,76.96809387,2.964701414,42.09189606,7.02010107,95.96169281,10.41860294,5.924062252,5.323815346,9.59386158,1.38087678,4.278883457,1.381859541,1.965587974,17.4760437,11.33366871,19.21933556,15.30825043,14.20088196,18.37148094,10.28369808,21.26844215,9.709285736,22.33200455,5.175841331,34.85918808,11.73478603,9.575327873,21.89769554,11.30052853,21.73420143,12.28707409,15.97389698,22.04120827,9.595583916,29.53619766,8.361021996,22.22543335,9.694768906,29.05648613,7.833913326,8.770479202,22.36079597,6.376632214,16.96401978,7.859119415,13.57472992,23.37453079,4.690255642,28.16267776,2.494682789,23.44503021,1.748573303,33.60001755,1.052128434,2.695120335,2.591021061,4.366810799,1.549431324,2.490048885,1.329650164,1.695267916,5.704547882,4.095791817,6.875583172,5.445570469,4.510382652,5.930149555,1.219154119,7.179911137,1.788186431,7.159605026,1.623351097,10.31265545,2.097918272,1.635390401,2.595788479,5.285591602,3.802927494,7.930407524,5.06134367,3.768447399,5.55248785,2.529349566,6.874611855,2.10284853,8.582211494,1.906486154,8.341193199,3.271196127,2.383607864,5.187842846,1.420782328,5.449172974,2.237295151,3.359314919,4.219842911,0.619637966,3.693162203,0.882965505,5.43130064,1.331006527,4.705661774,0.84489584,0.835462689,0.802542686,2.068609715
