abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,11.10602665,28.42978668,14.20852184,27.63300133,3.738617659,6.655306339,3.244621515,8.21427536,1.711658955,1.408346415,3.434858799,6.544146061,4.04729414,7.403477669,6.251639843,4.549974442,8.021143913,5.222655296,11.34192562,5.043655872,14.24605274,6.968430042,9.664217949,4.824529171,5.301599503,9.639029503,4.423901081,9.569141388,5.855038166,8.797546387,8.713684082,1.768916845,10.78733253,1.379266381,12.80722809,1.595696211,13.23458099,3.055745363,1.749984741,4.566202164,10.86953831,6.176437855,10.46368027,7.825630188,9.615958214,9.559453011,2.792509556,12.70050335,2.01780653,13.70875359,2.601238728,16.41497993,2.804510832,2.461355925,2.114757299,3.096155882,1.181081414,2.181741238,0.768437028,1.080091476,5.630992889,3.49474597,7.568547249,5.510196209,6.910116196,6.065665722,3.350281,5.892491817,2.529949188,10.65220547,3.513526201,11.88716698,4.855700016,3.19995904,6.541444302,3.700077057,7.86775732,5.041006088,6.225965977,7.630527973,3.704774857,7.117761612,2.593609333,10.7576704,3.043917894,10.17967892,3.003512383,2.978920221,6.983219624,2.857919931,6.54998827,4.213765621,6.031079292,6.58939743,2.377246141,7.445808887,1.756615281,10.03537655,1.587982774,10.89230537,2.247621775,1.927337646,1.758366704,2.83862114,1.255166292,1.985670686,0.795339167,1.220818877,3.253361225,1.929334402,4.06125927,3.020320892,4.510722637,3.507293463,0.900004566,3.449980974,0.508606076,4.003746033,0.821969926,7.434125423,1.12259388,0.771705329,1.841859579,2.863148451,1.86754477,5.135108948,3.953347683,4.109952927,3.658992529,1.508082032,3.025969982,0.782598138,5.958343983,1.441398263,9.677680969,4.126853466,1.621680379,4.139780998,1.244798541,3.868026972,1.773954034,3.038643122,3.305799723,0.65309763,3.107341051,0.772560477,3.358213663,0.570552886,5.253159046,0.772223115,0.702470183,0.600320518,1.192363381
0.05,10.70996094,27.53581429,13.76651478,26.4900322,3.693314552,6.585226059,3.207148314,8.138287544,1.685976386,1.387887955,3.397615194,6.463058949,3.991282463,7.313415527,6.178771496,4.50028038,7.919185162,5.152096272,11.20393562,4.987148285,14.15926361,6.934484959,9.564342499,4.772771835,5.245005608,9.539437294,4.383305073,9.514701843,5.830108166,8.698815346,8.600435257,1.745373726,10.68715382,1.368132949,12.78311157,1.596300602,13.06978893,3.033238649,1.736375928,4.528093338,10.84607506,6.159750938,10.38452435,7.771205902,9.529459953,9.490635872,2.776102781,12.68471432,2.014165401,13.62632656,2.582423687,16.22973442,2.774573803,2.448216915,2.101110935,3.084946394,1.181011796,2.187483788,0.770000815,1.082378626,5.603458881,3.479955912,7.504837036,5.465487003,6.876855373,6.038404942,3.336444855,5.867259502,2.522548676,10.56187248,3.479984522,11.81802845,4.819132805,3.183644295,6.524912357,3.689013481,7.84718895,5.0379076,6.199766159,7.600297451,3.687939405,7.109712601,2.590339899,10.75966835,3.043434381,10.16121197,3.005278826,2.973242283,6.962069511,2.848596096,6.528831482,4.20825243,6.026021004,6.565648079,2.380725384,7.414110661,1.748384833,9.982409477,1.575475454,10.85256004,2.246986628,1.921995521,1.756382346,2.845961571,1.257785439,1.976048827,0.791332126,1.212985277,3.244354963,1.922355652,4.044557095,3.010807514,4.499105453,3.490966082,0.897239745,3.418297052,0.507781684,3.9773314,0.820603848,7.423240662,1.122287154,0.770279944,1.838193774,2.855079412,1.859587908,5.130260944,3.948023319,4.099563599,3.656708002,1.511353135,3.013661861,0.775612772,5.957446575,1.430584669,9.673167229,4.144181252,1.621007085,4.128113747,1.25145781,3.85596776,1.765118599,3.036416531,3.30213356,0.658294916,3.124891758,0.787311196,3.349195719,0.580490828,5.224900246,0.778495073,0.711975515,0.608590245,1.215412617
0.1,10.1980629,26.21385193,13.11140251,24.84502602,3.631018877,6.484845638,3.150832176,8.021583557,1.649353266,1.358482718,3.343952417,6.347550869,3.908038616,7.151349545,6.039720058,4.42953825,7.758047104,5.042851925,11.00646973,4.903710842,14.01751995,6.875561237,9.408085823,4.681034088,5.157142639,9.387467384,4.320743561,9.396304131,5.759798527,8.537027359,8.420817375,1.707476258,10.54327106,1.353781343,12.65673351,1.584953904,12.79893303,2.983577251,1.711634755,4.466764927,10.78569317,6.125645638,10.2272892,7.653882027,9.399745941,9.368185997,2.743421793,12.62363911,2.003602028,13.41044712,2.533931732,15.92504597,2.723240852,2.420710325,2.070932865,3.048456669,1.172262192,2.177471876,0.766427577,1.076902747,5.545994759,3.444776773,7.391755104,5.381677628,6.802717686,5.975942612,3.30320859,5.796360016,2.496799946,10.40823936,3.427411795,11.69332409,4.742371082,3.145826578,6.457788467,3.645694256,7.783323765,5.007488728,6.136423111,7.5145998,3.645243645,7.037982464,2.561501026,10.70957375,3.024876118,10.05815315,2.977271318,2.942327976,6.896831989,2.81831336,6.471333981,4.186010361,5.977787018,6.501171112,2.366902828,7.325779438,1.730814576,9.87643528,1.555178761,10.70963669,2.221854925,1.903971076,1.742286086,2.834906816,1.259777784,1.970039845,0.7893911,1.203758597,3.212717533,1.901936293,3.998799801,2.978208303,4.466785908,3.45206213,0.887491047,3.352665901,0.50454253,3.908228874,0.810902834,7.394587517,1.120683312,0.764295757,1.824996233,2.831357479,1.841916561,5.097684383,3.921380997,4.068811417,3.645176172,1.512791634,2.983074188,0.763731241,5.917079449,1.397154331,9.601372719,4.136026382,1.610476375,4.10180521,1.257111669,3.810505867,1.73799336,3.013834953,3.290362597,0.663862765,3.142583132,0.807691395,3.319837093,0.590071201,5.171110153,0.783735216,0.723558784,0.619901359,1.247959137
0.15,9.625916481,24.73307037,12.37829304,23.06527328,3.554962873,6.36011076,3.081362009,7.871935844,1.605230689,1.322672963,3.276475906,6.209174156,3.807288647,6.973624229,5.880834579,4.338571548,7.56362915,4.913030148,10.75785255,4.793212414,13.86109734,6.811937809,9.216872215,4.571430206,5.047768593,9.197980881,4.23797226,9.249396324,5.669554234,8.339613914,8.20414257,1.661968589,10.35990906,1.334697723,12.51108456,1.57354486,12.46413708,2.914033175,1.6803087,4.393567085,10.71574306,6.088448048,10.03373909,7.507889271,9.254797935,9.211274147,2.698426723,12.57176781,1.994284153,13.1474514,2.479725838,15.59984589,2.665832758,2.387791634,2.036556959,2.993603468,1.154949427,2.144454718,0.755469382,1.061353207,5.492559433,3.416660786,7.268455982,5.293478966,6.719606876,5.890812874,3.258870602,5.728076935,2.472142935,10.24661922,3.3629601,11.5652504,4.667266846,3.103724241,6.371984959,3.593070507,7.699206352,4.959201336,6.063035488,7.405032635,3.590679646,6.938853264,2.52347064,10.6053257,2.988082647,9.934994698,2.93685174,2.900023699,6.800004959,2.778733969,6.398108482,4.156311989,5.904590607,6.417621613,2.349430561,7.207950115,1.70901525,9.747116089,1.528636336,10.50667191,2.187001705,1.880935192,1.722837925,2.813920975,1.257751107,1.950203896,0.781044543,1.182687998,3.170161963,1.877429962,3.945662737,2.941220045,4.422776699,3.403367996,0.873766243,3.282225609,0.499742985,3.833729267,0.80099088,7.343766689,1.112500191,0.755443752,1.806935549,2.795839787,1.816423774,5.034683704,3.869195223,4.029864311,3.62425065,1.509598136,2.934414864,0.747283518,5.808579445,1.343689442,9.457731247,4.094830036,1.588607788,4.038764954,1.253781557,3.748651743,1.706274271,2.968672276,3.252309084,0.666956544,3.129556656,0.823906064,3.252058744,0.595095336,5.072220325,0.793201685,0.732610345,0.626719832,1.271178126
0.2,9.055026054,23.24782181,11.6431303,21.35746765,3.476142168,6.229235649,3.0069561,7.711618423,1.559724927,1.285205722,3.204918623,6.07541132,3.709706783,6.790266991,5.710381508,4.243598461,7.368017197,4.782952785,10.51266575,4.678942204,13.68593884,6.738257408,9.039244652,4.460803986,4.935072422,9.024140358,4.159183025,9.112305641,5.582906246,8.135809898,7.994971275,1.617186904,10.18688107,1.314406991,12.38536358,1.564612389,12.12955666,2.838001251,1.648326755,4.318353176,10.60859966,6.029224873,9.80023098,7.318923473,9.10151577,9.056415558,2.641648769,12.4687624,1.976771355,12.81320667,2.410331964,15.29882145,2.606986761,2.345522404,1.994537234,2.916676044,1.124823093,2.078005075,0.736276984,1.036420107,5.416247845,3.377603054,7.103787899,5.172109127,6.611284733,5.777470589,3.201210499,5.628748417,2.435881853,9.942728043,3.246599436,11.42095852,4.595083237,3.04627347,6.248972893,3.519269705,7.538933754,4.861921787,5.955274105,7.26035738,3.512072802,6.792872906,2.470898628,10.27832603,2.911389828,9.764726639,2.890485287,2.838704348,6.648366451,2.721836567,6.268519402,4.094368935,5.784939289,6.283368111,2.318105936,7.039850712,1.680533051,9.537503242,1.499454141,10.18119621,2.132834673,1.848655105,1.69132328,2.764034748,1.244353652,1.910127044,0.766295433,1.153965354,3.109594822,1.844819069,3.87072444,2.885750294,4.353546619,3.339138985,0.855324507,3.204131365,0.49248448,3.740930319,0.786331236,7.243332386,1.094032645,0.741880894,1.777858257,2.748822451,1.784092069,4.91549778,3.771504402,3.968597174,3.574745417,1.492432237,2.868784428,0.727822661,5.632205963,1.276631832,9.201880455,3.992001534,1.549704313,3.934342384,1.233013391,3.64607501,1.65403235,2.895568609,3.169228792,0.660273552,3.060541153,0.824620306,3.13634944,0.593907654,4.917500019,0.790353596,0.729867578,0.621589005,1.266138911
0.25,8.476223946,21.75342369,10.90329933,19.71813393,3.388562918,6.08197403,2.925631046,7.528310299,1.511253119,1.244897485,3.126765966,5.936289787,3.608747244,6.614406109,5.546671867,4.142871857,7.175336361,4.658349037,10.25571156,4.558045864,13.49680519,6.64569664,8.868871689,4.355816364,4.818789959,8.865847588,4.088574409,8.97500515,5.490138531,7.924912453,7.796132565,1.574244022,10.03467846,1.292131186,12.27799416,1.555809021,11.80472469,2.768106222,1.616891265,4.239198208,10.47922516,5.951940536,9.589280128,7.14730978,8.936542511,8.912229538,2.586147785,12.33565998,1.953459978,12.45941544,2.341542244,15.06222057,2.551564693,2.30186224,1.950929523,2.826833248,1.084744215,2.000295162,0.717841446,1.003995538,5.337108612,3.335616112,6.933238029,5.044401646,6.491071224,5.664516926,3.145065546,5.515143871,2.393556356,9.575982094,3.10589838,11.27913666,4.531509876,2.984696388,6.101689339,3.433470726,7.304511547,4.714601517,5.826191902,7.087247849,3.416036129,6.618065834,2.413666964,9.740771294,2.79355669,9.577684402,2.83778286,2.764757395,6.461350918,2.655561209,6.079911709,3.989734888,5.62774992,6.12037468,2.281895399,6.830796719,1.651132822,9.176699638,1.46868217,9.771981239,2.0666008,1.813179135,1.658931613,2.706412554,1.229628921,1.86928916,0.747126222,1.118561745,3.034877062,1.807364464,3.7880404,2.820414066,4.267393589,3.260470867,0.83736819,3.116787672,0.484037668,3.634721756,0.771925688,7.099752426,1.074675918,0.727912188,1.747445583,2.697814226,1.751344681,4.779853344,3.661476851,3.905766726,3.52395153,1.47740376,2.785194159,0.705957711,5.455183983,1.219104171,8.909884453,3.879011154,1.510435939,3.822591543,1.208581805,3.531825781,1.600235343,2.821204424,3.071203709,0.650719225,2.979458094,0.815306127,3.022854567,0.593338072,4.745658875,0.789917171,0.722667456,0.613872349,1.242180109
0.3,7.940629005,20.36779785,10.21825409,18.2736187,3.29932332,5.929466248,2.84126091,7.333024502,1.463162184,1.204943657,3.047985792,5.802172184,3.514634371,6.445023537,5.387650967,4.046085358,6.99220562,4.539785385,9.999801636,4.440872669,13.299263,6.544418812,8.723218918,4.268671513,4.707009315,8.724321365,4.026145458,8.832204819,5.393743992,7.732478142,7.622376919,1.540799856,9.908289909,1.273792982,12.13904667,1.539758086,11.51387405,2.696568489,1.587889671,4.169021606,10.35146236,5.872306824,9.424166679,7.002378464,8.791343689,8.776890755,2.540006638,12.20312881,1.932306767,12.12513924,2.272676945,14.82129669,2.5120368,2.264570475,1.913349032,2.753958225,1.055084348,1.934809089,0.703364313,0.980617881,5.26689291,3.299229622,6.802186966,4.945044518,6.389965057,5.56769228,3.091829777,5.429391384,2.362852573,9.273735046,2.981707811,11.12828922,4.466437817,2.930959225,5.974457264,3.364238501,7.073121548,4.565621376,5.709209442,6.933670521,3.335007906,6.478196144,2.3680439,9.267990112,2.690835238,9.427962303,2.789601803,2.702832699,6.320356369,2.606553555,5.929333687,3.903212547,5.496873379,5.996127129,2.250619411,6.661882401,1.629601598,8.90802002,1.459057808,9.469202995,2.027653217,1.788908839,1.636921883,2.653252602,1.21843636,1.856286407,0.736402571,1.101256013,2.980259657,1.776877522,3.733842134,2.774329424,4.211476326,3.201483011,0.820224047,3.050202131,0.475908071,3.573415756,0.76350826,7.017672062,1.0648911,0.716711521,1.723912597,2.658391953,1.727976322,4.686360359,3.586412668,3.855151892,3.48809433,1.465227842,2.722536802,0.688958824,5.365703583,1.186995625,8.672604561,3.792817831,1.481950998,3.745254993,1.188693404,3.443715334,1.560088754,2.764316797,3.001158953,0.642585397,2.919572353,0.807902396,2.945507526,0.596108139,4.648120403,0.791492224,0.71738404,0.609342813,1.228254557
0.35,7.36154747,18.86682701,9.475684166,16.7889595,3.192688704,5.749905109,2.742058039,7.094988346,1.409104586,1.160188437,2.956289291,5.645751953,3.408394814,6.248888493,5.207421303,3.922095776,6.785793781,4.402682781,9.715799332,4.309604645,13.0255785,6.399701118,8.509689331,4.16123867,4.57558012,8.55730629,3.944437504,8.677324295,5.278159618,7.511792183,7.425056458,1.497716784,9.750678062,1.248991013,11.95501614,1.513923287,11.18615627,2.603363752,1.548881054,4.077589989,10.17111301,5.773348331,9.229674339,6.838305473,8.594091415,8.600323677,2.485151291,12.00955105,1.90475142,11.7622366,2.196241379,14.56001759,2.478026628,2.221387386,1.870913386,2.677090406,1.031323671,1.882063389,0.692051649,0.961844623,5.181857109,3.251374722,6.627097607,4.812083721,6.282601357,5.45353651,3.030837297,5.329182148,2.32695961,8.919944763,2.838882208,10.92446613,4.376202583,2.867063046,5.842720985,3.285954952,6.824552536,4.413763046,5.579588413,6.774080753,3.251011133,6.319142818,2.309362411,8.842121124,2.590152502,9.306609154,2.745613575,2.634402752,6.171876431,2.55573225,5.770635605,3.80046463,5.357531071,5.875716209,2.220200539,6.479070187,1.605502129,8.648677826,1.444892764,9.217935562,2.015058756,1.766067028,1.617017031,2.594735622,1.209641814,1.864610791,0.731544256,1.097417474,2.93292594,1.74668014,3.683990717,2.727999687,4.163906574,3.150705814,0.802795708,2.986538172,0.4648166,3.511491776,0.749700248,6.98444891,1.067010164,0.705285072,1.701474667,2.623035669,1.706488609,4.589538574,3.506092072,3.804023027,3.460190535,1.458385825,2.672259569,0.671895504,5.26679945,1.152350426,8.457017899,3.724727631,1.457478046,3.680114031,1.170289397,3.366989136,1.528367758,2.715417624,2.936929226,0.633262575,2.870470285,0.801273823,2.888971329,0.605564892,4.578889847,0.790477753,0.712456822,0.605410159,1.215721011
0.4,6.777523041,17.36206055,8.729257584,15.37928486,3.072873116,5.544835091,2.633130074,6.825963974,1.351996541,1.112515807,2.855857849,5.473593712,3.293093204,6.016251564,4.991103172,3.785326004,6.576631069,4.256683826,9.413969994,4.170714378,12.62865829,6.197804451,8.263703346,4.047739029,4.430212975,8.364958763,3.846451759,8.490998268,5.142472744,7.276130676,7.214038372,1.450438261,9.56022644,1.215138316,11.73674297,1.480190754,10.84039688,2.507959843,1.503268719,3.96425128,9.920426369,5.631735802,8.96739769,6.632112026,8.342431068,8.383286476,2.412270546,11.71056271,1.863430738,11.30992699,2.109536886,14.17829609,2.417468309,2.161573648,1.811219573,2.586737156,1.004002333,1.819022894,0.676540554,0.944974303,5.045073986,3.168821096,6.426337719,4.654195786,6.119199753,5.286958694,2.936964035,5.184257984,2.267593861,8.522626877,2.681467772,10.58533192,4.23823595,2.774832487,5.662378311,3.17866993,6.540035725,4.224116325,5.396655083,6.560023308,3.134817362,6.118016243,2.230692625,8.332018852,2.470098734,9.068429947,2.64296484,2.538184404,5.957838535,2.47020483,5.545533657,3.64417696,5.170287132,5.691916466,2.155790806,6.218719959,1.557254076,8.268177986,1.40651381,8.88596344,1.973910093,1.71645081,1.575261474,2.497057676,1.182437778,1.848679543,0.714186311,1.071318626,2.845315695,1.693079352,3.58263588,2.646785736,4.048425674,3.058603764,0.778238475,2.886968613,0.447014183,3.410852194,0.723945022,6.830841541,1.052241087,0.684646308,1.656956911,2.548228502,1.658911109,4.437718868,3.384342432,3.702521324,3.38525486,1.430124283,2.578953028,0.64795053,5.111317158,1.115575671,8.177030563,3.613303423,1.416773319,3.571373701,1.134344697,3.246736765,1.477068782,2.637218952,2.839727402,0.61285454,2.786177635,0.778596818,2.806439161,0.601141155,4.441344738,0.779263854,0.694347918,0.591334999,1.178944349
0.45,6.195432186,15.855546,7.98037672,14.04402733,2.938882351,5.314893246,2.511399984,6.518713951,1.289788604,1.06038785,2.741211414,5.267508507,3.15989995,5.769663334,4.768344402,3.634603739,6.357767582,4.101906776,9.066257477,4.012607098,12.09006214,5.93547821,7.997513294,3.92124939,4.263866425,8.129508972,3.722171307,8.24489975,4.969101429,7.013771534,6.966495514,1.398055434,9.310161591,1.170374632,11.41713047,1.430525661,10.4279089,2.382986546,1.444797039,3.814238548,9.545580864,5.414057255,8.555508614,6.302099705,8.019637108,8.076843262,2.30322361,11.20395279,1.784017205,10.67056179,1.975424647,13.60679913,2.327591658,2.064609528,1.716968298,2.456612349,0.952526152,1.713695049,0.647641122,0.912580431,4.79881382,3.015625715,6.089650154,4.390878677,5.848999023,5.043721676,2.804218292,4.893804073,2.138196707,7.90003252,2.454782486,10.03326607,4.03926754,2.623534441,5.382090569,3.018139839,6.103832245,3.928386211,5.091515541,6.219356537,2.949022293,5.808152676,2.112348795,7.58097887,2.293064833,8.645600319,2.485163689,2.3907094,5.620172977,2.320919991,5.1695714,3.369326591,4.876227379,5.416371346,2.044684172,5.785514832,1.463452101,7.505477428,1.305130959,8.393918991,1.880714893,1.61813128,1.489000201,2.321257114,1.115021944,1.765083671,0.678444266,1.008726716,2.677856922,1.597991705,3.359236002,2.474633932,3.808454275,2.880102158,0.736793339,2.707325935,0.418857902,3.172807455,0.668070972,6.421513081,1.002940297,0.644883931,1.562677026,2.388754606,1.558012009,4.157898426,3.167981863,3.487700701,3.197200298,1.357335448,2.394407749,0.604112148,4.783604622,1.058817148,7.644933701,3.384192944,1.33353579,3.352187872,1.06171906,3.042791843,1.384819746,2.482690334,2.656462193,0.572095215,2.608314991,0.724088013,2.645200253,0.573129773,4.155760765,0.7415362,0.650401235,0.556099892,1.088138223
