abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,32.82638931,53.25774765,26.4076004,47.75839996,9.52808094,18.41875648,8.989737511,22.87945366,5.597823143,4.14685297,8.854514122,17.99861526,11.24431038,13.07718849,9.607266426,11.40024853,20.37491226,13.45645332,32.51020432,14.7911253,21.52206802,9.878563881,25.94004059,12.20323181,13.51985168,25.99119568,12.03645897,20.98237419,11.61621857,22.85884666,23.07824135,5.146752834,30.47369003,5.099476337,24.23439217,3.359489918,36.54032898,5.59248209,4.829811096,13.03379154,31.15447998,18.88071251,22.8678112,17.01975632,23.84141922,25.09960747,8.278437614,37.99435043,6.519386292,24.95480347,5.032928467,40.4851532,6.772212029,7.071268082,5.56021452,7.693876743,1.96707809,2.828697681,0.663731813,0.968639255,15.31818867,9.676712036,20.32216263,14.6703043,18.04545784,17.09264374,9.751384735,15.74456215,6.897304535,24.52936172,9.179625511,29.35930061,9.149878502,8.356078148,16.09412575,8.746285439,19.07331467,10.76030064,15.182271,19.058321,9.594675064,16.80012321,6.486753464,19.76218414,7.433784485,25.3923111,8.539260864,7.638689518,17.2472744,7.282071114,14.89262199,8.414039612,13.60786819,16.99072838,5.691745281,17.07964897,3.593536615,16.31762886,3.16170311,22.95241165,2.982594967,3.912226439,3.336425543,4.262314796,1.422489047,1.827965975,0.684174776,1.066150546,6.775176048,4.400592804,8.068268776,5.831671715,8.279006958,6.95563221,2.082366228,7.1165061,1.212771297,6.527202606,1.442828774,12.40106106,3.08431983,1.803663015,3.670394897,5.240650177,3.54796195,8.829348564,5.981970787,6.448679924,6.431523323,2.682263374,5.148592472,1.579978943,7.90775156,2.204759359,11.52103138,3.191342831,2.263171434,4.780247688,1.190548182,4.922103882,2.369055748,3.937766314,3.794889927,0.565275311,2.538085938,0.493495554,3.764971018,0.615003288,5.136435509,0.68224442,0.559195042,0.42821303,0.912890792
0.05,31.77945709,51.51907349,25.55230331,48.14959717,9.555651665,18.48076439,9.013001442,22.85498238,5.586693287,4.131120205,8.866800308,18.12196922,11.28945541,13.44484997,9.878147125,11.42064285,20.49241829,13.53579426,32.77312851,14.9102087,21.92890549,10.09339523,25.824543,12.23040867,13.62950897,26.33556938,12.172822,21.49812889,11.85281944,23.10031128,23.18458557,5.181587219,30.89605331,5.165188313,24.75184441,3.438070536,36.76289749,5.567013264,4.877702236,13.20645332,31.90182304,19.32603264,23.25145912,17.34773254,24.25964546,25.57982254,8.432625771,39.00205612,6.693628311,25.46510124,5.095829964,41.28448486,6.904779434,7.222342491,5.702086926,7.962367535,2.001842022,2.923232079,0.665403247,0.993180871,15.6420145,9.891363144,20.94053078,15.07684135,18.48742676,17.50913239,9.99933815,16.1104908,7.063546181,25.24096107,9.454444885,30.08350182,9.354971886,8.566263199,16.46520996,8.937685966,19.4771862,10.99592209,15.5460825,19.49675179,9.811920166,17.08131027,6.614406586,20.30003929,7.63842535,26.20402908,8.70624733,7.80325985,17.71525574,7.441446781,15.06844616,8.458287239,13.91235352,17.34382629,5.772433281,17.52477646,3.704935074,16.38262177,3.10533309,23.4636364,2.978635311,3.982779503,3.405801058,4.355237484,1.459340572,1.842467189,0.684387922,1.068874121,6.879146576,4.467282295,8.172185898,5.923404217,8.443235397,7.104962826,2.112375021,7.255881786,1.240913272,6.635400772,1.466008067,12.63197899,3.109280586,1.831127882,3.739513397,5.313082218,3.602423191,8.915163994,6.06182003,6.603033543,6.525248051,2.7188375,5.196453094,1.602119684,7.965656281,2.214980364,11.7372427,3.2648592,2.295813799,4.841903687,1.206015825,4.997078419,2.426661491,3.998033047,3.87009263,0.569389045,2.562708616,0.486791015,3.8845191,0.640426397,5.203660488,0.69527936,0.563032329,0.426332593,0.890932918
0.1,30.4419651,49.26441956,24.4476738,48.67113876,9.583735466,18.61396599,9.091323853,23.07192612,5.628820896,4.148470879,8.964635849,18.46243668,11.4546423,14.08281136,10.32915974,11.56735516,20.83489037,13.76856136,33.45118332,15.21011066,22.88578224,10.5314703,26.12462425,12.51146698,13.9275322,27.02152443,12.46421814,22.435606,12.32697678,23.58883476,23.57172585,5.276725292,31.85606384,5.281850338,25.76621056,3.588247299,37.41795731,5.602007389,4.984431267,13.52971935,32.95459366,20.00019264,24.04595566,17.99609566,24.93353462,26.23530388,8.627880096,40.5320282,6.921047211,26.56464577,5.312713623,42.49668503,7.132228374,7.436724186,5.885214329,8.291208267,2.047932386,3.03646493,0.668783724,1.026647925,16.0958271,10.18992519,21.75149536,15.62101078,19.07725525,18.04011154,10.31683064,16.55293274,7.264529705,26.36299896,9.930470467,30.94315338,9.584229469,8.841569901,17.00030708,9.211064339,20.11970711,11.37755489,15.96466446,20.06127548,10.06159973,17.53702545,6.801596642,21.19392776,7.952559471,27.11656952,8.950200081,8.029029846,18.32714081,7.599389553,15.42104626,8.589381218,14.32675266,17.82976532,5.825677395,18.02426147,3.807959318,16.66091919,3.075759172,23.97172165,2.9224751,4.039877415,3.450550795,4.421560764,1.47603631,1.849798918,0.697223425,1.090606809,6.973637581,4.535123825,8.30357933,6.053887367,8.579499245,7.234966278,2.125247002,7.414334774,1.250020981,6.74534893,1.482848525,12.884305,3.127595663,1.844001412,3.770596027,5.350550652,3.624196529,8.977136612,6.122735023,6.691764355,6.584588051,2.741639853,5.155054092,1.588729024,7.980224609,2.235287905,11.84057522,3.265709639,2.300941706,4.83141613,1.2087816,5.02930069,2.468321323,4.018594265,3.881951332,0.568423331,2.549114943,0.477993548,3.99417305,0.657120764,5.215129852,0.712209225,0.56357342,0.422047913,0.866837323
0.15,28.92012024,46.71973038,23.20825386,49.23418045,9.620008469,18.79541588,9.200174332,23.48649406,5.724301338,4.198554039,9.15435791,19.02078056,11.73338699,15.05336571,11.03184414,11.81031704,21.30252838,14.08556843,34.49871445,15.64269733,24.47198677,11.25263977,26.37384987,12.73485661,14.34111214,27.96465874,12.85235119,23.86504173,13.04823875,24.24979019,24.18983459,5.418519497,33.10652542,5.414647102,27.60455132,3.831453323,38.2843895,5.622755527,5.126775742,13.94335556,34.20717621,20.79160118,25.11666107,18.82640076,25.74575806,26.92016029,8.803413391,42.19560623,7.143493176,27.58896255,5.486929417,43.81126404,7.359384537,7.637654305,6.055308342,8.349271774,2.066724062,3.058763742,0.655064285,1.020586491,16.52313232,10.49065399,22.37552643,16.12788391,19.66314888,18.43048286,10.55788517,16.96222496,7.413997173,27.52367973,10.41172981,31.81709671,9.848143578,9.075460434,17.49066544,9.478581429,20.75991249,11.78473377,16.36216354,20.48074341,10.26043224,18.02261925,7.001049519,22.09088516,8.247426987,27.81867981,9.188755989,8.245166779,18.81526375,7.759383202,15.85369873,8.785045624,14.72285843,18.23332977,5.874435902,18.46380997,3.881824255,16.94285202,3.050208569,24.36817169,2.873693705,4.081495762,3.477739573,4.518331051,1.497882128,1.870610118,0.718004942,1.117053628,7.062430382,4.600304604,8.461437225,6.214727402,8.703027725,7.353707314,2.137695074,7.570055485,1.247303128,6.87719965,1.508751512,13.17271328,3.158079386,1.855463386,3.786975145,5.419500828,3.674667835,9.080206871,6.188561916,6.736155033,6.612607479,2.738618612,5.125866413,1.568406224,7.917197227,2.213307858,11.85596466,3.299256563,2.293973684,4.790441513,1.208745003,5.053034782,2.495890617,4.008612633,3.856539249,0.565224707,2.533769369,0.477262229,4.037051678,0.652692616,5.203538418,0.726731181,0.563362598,0.418765873,0.845931053
0.2,27.31491089,44.07373428,21.92355347,49.53714752,9.640719414,18.88017273,9.266900063,23.81756973,5.835110664,4.267068863,9.36072731,19.67148399,12.02708721,16.12461853,11.86495018,12.06003571,21.68769646,14.36244392,35.60370636,16.09080124,26.94635391,12.3817625,26.36556244,12.80342197,14.78404903,29.04051399,13.2716465,25.70670319,14.00725842,24.8665123,24.73842812,5.519754887,34.41297531,5.53990984,30.18074799,4.132658958,38.82567978,5.566471577,5.256613731,14.33060932,35.17903519,21.4219265,25.84593773,19.42674446,26.38871765,27.28061867,8.887273788,43.31528473,7.294997692,27.82472038,5.566530704,44.72006607,7.361652374,7.738397598,6.117384911,8.160942078,2.019232273,2.987585545,0.649779916,0.990198791,16.79314613,10.67856407,22.60997391,16.37508965,19.9828701,18.43660927,10.60993671,17.16679382,7.469427109,27.89152718,10.54105759,32.14870071,9.941061974,9.143745422,17.64167976,9.571586609,21.11207962,12.13489437,16.49740982,20.54845047,10.21104622,18.22447777,7.044700623,22.66789818,8.467638969,27.63842583,9.177505493,8.280769348,18.73239899,7.769407272,16.00696564,8.879598618,14.79409218,18.18700409,5.879417419,18.40736008,3.879485369,16.78833008,3.036375284,24.09589005,2.844092607,4.076021671,3.462101936,4.607105255,1.512044668,1.878958941,0.726052999,1.132473469,7.096037865,4.618034363,8.576838493,6.316746235,8.674377441,7.384252548,2.148921967,7.590445042,1.2376436,6.983856201,1.544217587,13.23802948,3.260378361,1.876395822,3.815126181,5.519112587,3.741107225,9.123893738,6.190295219,6.784034729,6.660976887,2.740009785,5.183479309,1.578296661,7.90672636,2.180431128,11.98258781,3.396634579,2.308132648,4.832348824,1.236039877,5.115602016,2.492450237,4.051592827,3.856743336,0.568326533,2.637571335,0.517653108,4.023283482,0.622143865,5.184795856,0.745593846,0.578211308,0.427564174,0.852058887
0.25,25.66234779,41.35479736,20.60247993,48.78394699,9.204615593,17.85428238,8.691433907,22.30992317,5.48631382,4.009616852,8.884356499,18.93661308,11.62723446,15.83315277,11.6078043,11.57771492,20.71720886,13.70419884,34.3212738,15.59008789,26.09369469,12.03570557,24.87800598,11.98342609,14.22343254,28.14565277,12.9157753,24.53674889,13.45722771,24.11369896,23.8477211,5.308691978,33.25839996,5.433737278,28.46241951,3.919133425,37.00227737,5.394175053,5.092177391,13.91652584,34.39766693,20.98234367,24.80574417,18.60620117,25.72973442,26.57274055,8.761173248,42.53976822,7.220592022,26.67358971,5.393566132,43.21525574,7.082839012,7.609802246,5.991243362,8.308477402,2.012381077,3.003403664,0.66666162,1.044564366,16.4649868,10.46850109,22.30057526,16.15792656,19.58557701,18.26039124,10.47247219,16.97181511,7.455384254,27.58839607,10.36665726,31.51291466,9.780378342,9.052733421,17.50386429,9.484107971,20.81848145,11.9713068,16.33241081,20.37294197,10.13253689,18.12239456,6.985404015,22.4747467,8.428284645,27.28006363,9.134840965,8.22122097,18.62712097,7.782043934,15.78243732,8.749180794,14.71188927,18.07140923,5.925971508,18.40153885,3.90095973,16.61422729,3.012520552,24.03416634,2.988366842,4.112198353,3.549200058,4.605885029,1.515752435,1.927272677,0.719157338,1.120056272,7.176775455,4.653417587,8.673595428,6.359940052,8.727703094,7.411677837,2.185947657,7.724176884,1.258325338,7.191365242,1.593812585,13.26621437,3.323967457,1.913150311,3.897124767,5.594593048,3.810370684,9.281966209,6.344209194,6.959305763,6.826741695,2.789521217,5.438287258,1.670853615,8.291889191,2.281364679,12.37636566,3.497994661,2.390088558,4.987611294,1.249076366,5.186287403,2.483553886,4.199189186,4.033163071,0.585344791,2.721018076,0.519555092,3.956265926,0.628108561,5.210915565,0.706907868,0.581215382,0.434839576,0.873573184
0.3,24.09779549,38.79944611,19.35816765,47.24500656,8.602149963,16.44215393,8.005343437,20.36820412,5.061125278,3.703609943,8.278644562,17.83257675,10.99793434,15.09526634,10.99697399,10.96641445,19.55467987,12.89599228,32.34044266,14.73696613,24.14571762,11.26828289,23.44542885,11.31360817,13.41517448,26.75881195,12.35746193,22.74399185,12.4901123,22.95073318,22.63713264,5.056892872,31.77812767,5.288176537,26.19669533,3.657520533,34.87993622,5.271407604,4.898136616,13.36804008,33.47557449,20.37864494,23.84971428,17.87883186,24.77479744,25.64228821,8.54556179,41.60293961,7.128210068,26.37193489,5.470136166,40.9586792,6.780265808,7.460772038,5.88000536,8.524870872,2.008745432,2.993080378,0.682036877,1.105244637,16.16422653,10.25801086,22.13193512,16.00989532,19.18062401,17.97685242,10.25533581,16.76814461,7.393281937,27.33278275,10.24460125,30.65412712,9.537844658,8.912160873,17.26995659,9.3428545,20.50130272,11.76523018,16.10411263,20.13327408,9.989097595,17.82197571,6.877046108,22.11962128,8.292087555,26.92878151,9.045191765,8.102970123,18.31421089,7.66315794,15.61436653,8.707771301,14.51135731,17.77469635,5.861151695,18.00764465,3.839640379,16.72901154,3.102518559,23.92113686,3.073539019,4.086236954,3.559246778,4.589534283,1.49402678,1.967295885,0.723582923,1.123402715,7.164979935,4.643521786,8.657737732,6.326772213,8.633824348,7.369781971,2.183432579,7.71603632,1.257820725,7.217810154,1.59690249,13.08942604,3.348168135,1.916389704,3.893674374,5.608001232,3.79895401,9.346974373,6.424042225,6.961569309,6.929711819,2.832450628,5.558669567,1.694479823,8.570462227,2.379861116,12.34332752,3.419409513,2.415443182,5.072214603,1.241250277,5.210564613,2.471437931,4.228497028,4.102484226,0.58446908,2.72002387,0.507610559,3.971687078,0.635484517,5.264052868,0.689952314,0.575209796,0.438122332,0.897564232
0.35,22.39686394,36.01692581,17.99647713,45.02891922,7.981298923,15.08503532,7.3079772,18.5011158,4.669427395,3.422971725,7.676803589,16.63658714,10.27366829,14.28220081,10.35537052,10.29001713,18.39005852,12.09985447,30.05327415,13.71815586,22.54008102,10.57536697,22.08774948,10.64360046,12.53634357,25.16031837,11.67327213,20.97595024,11.53412819,21.67943764,21.34375,4.770026207,30.08685493,5.044253349,24.19152641,3.383666992,32.95264816,5.181116104,4.657240868,12.70203018,32.06994629,19.49150467,23.00814438,17.17457581,23.57249069,24.47822189,8.208283424,39.89998245,6.836047649,25.91165161,5.414041519,38.73420334,6.289877892,7.149027824,5.632470608,8.290165901,1.966286659,2.958458424,0.673968196,1.098338127,15.55102634,9.868605614,21.24887657,15.40756035,18.40530396,17.26504517,9.830996513,16.11387825,7.099852085,26.17152405,9.801602364,29.38979721,9.133582115,8.545283318,16.6266861,9.008245468,19.80375862,11.36727333,15.44289494,19.44069862,9.662096024,17.17039871,6.636776447,21.37834167,7.914910316,25.77142906,8.647104263,7.804149628,17.63944626,7.418624878,15.1558075,8.50113678,14.01672649,17.06448936,5.630391598,17.41179848,3.742671013,16.59373283,3.105709553,23.12474251,2.976093531,3.972978115,3.461179972,4.434671402,1.4377321,1.90927279,0.710054636,1.108377814,6.958852291,4.512141228,8.413025856,6.160487175,8.371702194,7.152377605,2.109602213,7.463346004,1.219787836,7.050580502,1.564243913,12.68315029,3.248520851,1.858687401,3.778732777,5.470861435,3.713089466,8.96857357,6.125087261,6.759779453,6.713787556,2.771270037,5.506353855,1.686347127,8.222394943,2.320037842,11.89911747,3.267616987,2.360936165,4.939031601,1.211531758,5.117225647,2.436572313,4.12893486,4.022757053,0.573597491,2.636438847,0.493443549,3.936487198,0.622818291,5.201658726,0.682956457,0.56336242,0.4316127,0.897390366
0.4,20.67679787,33.21588898,16.61887932,42.43878937,7.338159561,13.89677334,6.674769878,16.89428139,4.313166142,3.16115737,7.139263153,15.49834728,9.585757256,13.51575089,9.710194588,9.641059875,17.34947777,11.3830843,27.92083359,12.76448154,21.32135582,10.00504112,20.72329712,9.91660881,11.71820068,23.60117912,10.97768116,19.51775932,10.74591541,20.45723343,20.14289474,4.508887291,28.31331635,4.78817749,22.60938644,3.151927233,31.13006973,4.976018906,4.411488056,12.06578445,30.47733688,18.52412224,22.34553146,16.5673027,22.4252739,23.27840233,7.833480358,37.91093826,6.485355377,25.1279335,5.301251888,36.92338562,5.897920132,6.806457043,5.350090981,7.824433327,1.896929622,2.845061302,0.653878033,1.068336725,14.82037544,9.413067818,20.12337303,14.67176914,17.51200104,16.43539619,9.352348328,15.30456257,6.727069378,24.78885078,9.292847633,28.02088928,8.665860176,8.11055851,15.81381035,8.588104248,18.97722626,10.92197227,14.71549416,18.5218029,9.214065552,16.30640602,6.33621645,20.57559967,7.531550884,24.34581184,8.200535774,7.438143253,16.82611465,7.131631851,14.58688545,8.255382538,13.41362858,16.2226162,5.366846561,16.68199348,3.6060431,16.17363167,3.043056011,22.13611794,2.871233463,3.82224226,3.319267511,4.224752426,1.369088411,1.831318855,0.691886961,1.0857265,6.681547642,4.330245018,8.117357254,5.959597111,8.052308083,6.878033638,2.017564058,7.147996426,1.174709558,6.794535637,1.511696696,12.16566467,3.107373953,1.783231139,3.625300407,5.252552509,3.572697401,8.589474678,5.822938442,6.492345333,6.443778515,2.675231218,5.31884861,1.639853477,7.878841877,2.234178543,11.37871647,3.113996744,2.276653767,4.75368166,1.165977478,4.985973358,2.372309208,3.98819685,3.875276566,0.553935111,2.521287918,0.471933335,3.873291969,0.612902105,5.075731277,0.67250973,0.545378327,0.41744718,0.877709091
0.45,18.94042969,30.38762856,15.21775055,39.55539322,6.658585072,12.72557259,6.082983971,15.42844868,3.967503071,2.906945229,6.639437199,14.42525291,8.927918434,12.75704765,9.096924782,9.017596245,16.33229446,10.69919872,25.92064857,11.86284637,20.08947563,9.416550636,19.43806076,9.229669571,10.93695354,22.09923553,10.30339718,18.17593384,10.02074718,19.26031685,18.96993637,4.251698494,26.59785843,4.527032852,21.04739189,2.926204443,29.31597328,4.703379154,4.156945705,11.3912096,28.81302452,17.51419449,21.50555038,15.87558174,21.20043755,22.00481224,7.407196045,35.84962082,6.113695621,24.09809875,5.096607685,34.9740715,5.513848305,6.428431988,5.045506954,7.331635952,1.82036221,2.710494518,0.626686335,1.04199779,14.0708704,8.947556496,19.04624367,13.90882683,16.58586311,15.52868557,8.844853401,14.5155735,6.365800858,23.44500923,8.810479164,26.560606,8.226788521,7.678712368,15.03832722,8.176660538,18.20722961,10.48598289,13.98737431,17.51165962,8.723684311,15.51972103,6.046185017,19.75504112,7.170688152,23.05968475,7.806064129,7.076106071,16.00797462,6.813400269,13.93297005,7.937727928,12.79781151,15.3663559,5.088835716,15.88836288,3.434945107,15.59441853,2.932111263,21.12049866,2.743013382,3.640943766,3.148363829,4.00284481,1.299300194,1.733013034,0.670455933,1.061275125,6.360668659,4.120886326,7.757788658,5.713010311,7.704212189,6.56861496,1.915695548,6.823423862,1.119545817,6.483801842,1.450844884,11.67586613,2.954258919,1.69774735,3.457391024,4.989823341,3.401782513,8.241587639,5.567128658,6.201477528,6.132860661,2.560030699,5.073009491,1.563034654,7.560212612,2.140537739,10.90439892,2.987252712,2.177767754,4.526646614,1.119139314,4.81527853,2.290691137,3.824807167,3.688259363,0.532356858,2.406215191,0.453505963,3.77608633,0.593102992,4.902742863,0.664417088,0.526889622,0.401811302,0.849275649
