abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
Task 1,73.82427979,91.41246796,45.88186264,83.31893921,17.89679527,31.68901062,16.07194138,36.6059227,9.629860878,6.475893974,13.69251442,27.64673615,16.87965012,23.57548904,18.28022575,21.10010147,33.8618927,22.28422737,48.19137573,19.42533493,36.32237625,17.57548523,59.88125229,31.24171829,21.38588715,41.14455032,16.70004272,33.8751564,16.01509094,38.34971237,39.06281281,7.20101881,43.33630371,5.388926029,34.37734604,3.328642607,75.16395569,16.87800407,6.991957664,17.78582954,37.74743652,21.52453613,28.55838013,13.19982243,34.54668427,39.7890625,8.801401138,43.63334274,3.586090088,15.72552109,4.676468372,63.76492691,20.3223114,7.736092567,6.529785156,10.35247707,1.303247571,4.354332447,0.802169681,1.040005803,17.23057938,10.54595852,19.43593979,12.2345705,16.02218628,20.3352108,9.303917885,20.8944397,9.365421295,21.20029449,6.368750572,32.59159851,12.67747784,9.385615349,18.73731422,8.039442062,14.44084454,6.145980835,14.92143917,20.4876461,7.04540062,18.77299309,6.150935173,10.8158493,5.859033585,32.28939819,9.841456413,6.799367905,14.40579128,4.342659473,12.3811779,4.904749393,10.2703743,15.94129848,3.148046494,15.26519012,1.819339514,10.86682224,2.139326572,19.7865715,0.763315558,2.011967659,1.696648002,2.575360298,0.758538604,1.344018459,0.512883723,0.708861411,3.416284084,2.353318453,5.115703583,4.026141167,3.142310619,3.931295872,1.090735555,4.281991482,1.001034498,5.019880295,1.049284577,6.423033237,2.154319525,1.213483334,1.710838437,2.838884354,1.999435186,4.174722672,2.622214794,2.209065199,3.237735987,1.331351876,3.400699854,1.089211702,3.863363266,0.975704789,4.545544147,1.838582516,1.261541724,2.475130081,0.727043748,2.355103731,0.884365141,1.678791761,1.968340993,0.306910425,1.727856636,0.376884192,1.62019825,0.34329617,2.23504591,0.275173694,0.33373189,0.298791349,0.728866398
Task 2,70.37922668,87.20808411,43.80809402,79.77067566,17.67414665,31.3924427,15.88234997,36.13027954,9.425257683,6.337638378,13.50441074,27.350811,16.67506599,22.64662361,17.60787964,20.86097527,33.23068237,21.80059433,47.94190979,19.31991959,35.52528763,17.13381958,58.72732544,30.50893402,21.06539917,40.77791977,16.5077858,33.32193756,15.76987457,37.93912888,38.61045456,7.119949818,42.99832535,5.384664536,33.74648666,3.265511751,74.18199158,16.52455521,6.908882141,17.64856148,37.54466248,21.3805809,28.09691811,13.06390762,34.38275146,39.42373657,8.707609177,43.27232742,3.546164513,15.54504681,4.613232613,63.13320923,20.2470932,7.669351578,6.46135664,10.30346775,1.28794384,4.371082783,0.796924412,1.034446359,16.96713638,10.37596512,19.19334412,12.14898205,15.93880749,20.19775009,9.229048729,20.61354256,9.194033623,21.23155403,6.337296009,32.15814209,12.40505695,9.249252319,18.46292877,7.923360348,14.24610519,6.027828693,14.71940994,20.26239967,6.97698164,18.65398026,6.10637188,10.64755058,5.7750144,31.9668541,9.650121689,6.725588322,14.38998413,4.318984032,12.24186325,4.874339104,10.15193558,15.87393951,3.1174438,15.46698856,1.817109346,11.00741291,2.170531511,19.80812836,0.755075097,2.007040739,1.700134039,2.601406097,0.734376729,1.291872621,0.493137628,0.683110893,3.419307709,2.362608433,5.163427353,4.08215189,3.120188951,3.903323412,1.081825376,4.326905251,1.010645509,5.184315681,1.067856193,6.342376232,2.128842592,1.213378668,1.704618573,2.786578178,1.958764553,4.198863506,2.650076628,2.198665142,3.230941534,1.326567054,3.30724144,1.060146809,3.903274775,0.991297126,4.42848444,1.789835572,1.243784904,2.442387104,0.709875345,2.339757681,0.886833787,1.655131221,1.919391632,0.298739254,1.685619712,0.367007732,1.634480119,0.335331768,2.227454901,0.275587291,0.32602039,0.291717231,0.702412248
Task 3,66.86236572,82.8687439,41.65186691,75.88376617,17.45375252,31.16363335,15.71623421,35.77776718,9.275795937,6.232270718,13.37163067,27.15354538,16.5022583,21.85292244,16.99176598,20.69592094,32.71942139,21.40483284,47.76847839,19.23313713,34.91559601,16.75842094,58.0781517,29.99949265,20.81249428,40.43323898,16.32563591,32.87564468,15.57740498,37.5731163,38.26821899,7.060854435,42.62521744,5.349540234,33.43569565,3.213530064,73.44071198,16.27417946,6.83531189,17.48933792,37.20111465,21.13406944,27.6693821,12.90350246,34.11361694,39.07039642,8.587133408,42.62002563,3.489859104,15.37714863,4.569826603,62.75244522,20.32286644,7.606701851,6.400770187,10.29326534,1.276870608,4.361704826,0.79140681,1.027866364,16.69707489,10.20205307,19.0489254,12.07842064,15.7766161,20.01623917,9.12181282,20.31729317,9.020303726,21.40178871,6.340946198,31.62397766,12.18991756,9.113293648,18.19865608,7.794053555,14.13878155,5.90175724,14.47912312,20.00477791,6.879656315,18.48128128,6.044308186,10.44638252,5.659684658,31.62935448,9.483455658,6.634961128,14.27860832,4.27079916,12.05342102,4.818944454,9.985128403,15.70690346,3.071031809,15.33815956,1.789873242,11.0401125,2.167448997,19.55273819,0.742781162,1.98047781,1.679079413,2.568385601,0.713101745,1.238170266,0.476804614,0.664881885,3.373865604,2.334184408,5.092262745,4.028188705,3.069793224,3.823871136,1.070769668,4.257879257,1.007335782,5.187512875,1.069288969,6.198706627,2.106336117,1.205460787,1.691459775,2.727718592,1.912715197,4.189359188,2.649947166,2.184346437,3.204488754,1.319302201,3.216060162,1.029284716,3.892630816,0.98818022,4.341457367,1.755763173,1.223958015,2.407111168,0.697044015,2.313234568,0.8832196,1.629258633,1.866308093,0.291941345,1.651592016,0.359171212,1.61991477,0.328405768,2.205004454,0.277538329,0.319910765,0.284366459,0.678175569
Task 4,63.04663467,78.15874481,39.30875397,71.71903992,17.17379189,30.85408783,15.49222755,35.29945374,9.091225624,6.103834152,13.19620323,26.86480904,16.25530815,21.03836441,16.36051559,20.48017311,32.03738403,20.88473511,47.44662857,19.07481575,34.15389633,16.27529716,57.04936218,29.28241539,20.45332527,39.9159317,16.06684875,32.3249321,15.35579109,37.01078033,37.76106644,6.983085632,42.0831871,5.284599304,33.11450577,3.151178837,72.32210541,15.89895535,6.726097584,17.23330116,36.69799805,20.78726768,27.1257,12.72750568,33.66578293,38.46273422,8.395139694,41.58813095,3.414948225,15.18902969,4.523481846,62.24643707,20.45005417,7.515821934,6.314041138,10.22898102,1.27063024,4.362799644,0.787770152,1.021833658,16.33037186,9.967904091,18.7377224,11.88241577,15.53989983,19.75855827,8.98277092,19.89518356,8.782140732,21.3243885,6.253370762,30.88231659,11.90258312,8.918785095,17.80581284,7.627586365,13.95499516,5.760573864,14.1367836,19.61416245,6.744081974,18.21854019,5.969421864,10.23023319,5.519946575,31.05503845,9.262516022,6.518530369,14.1048727,4.212005615,11.82804775,4.761994839,9.769168854,15.44544029,3.021448851,15.17142963,1.771463394,11.08465958,2.169996738,19.15750504,0.727150023,1.9583354,1.666318178,2.554922342,0.696919024,1.186834931,0.461796701,0.655423343,3.337137699,2.310616493,5.031946659,3.979634762,3.021607161,3.7499125,1.062946796,4.19422245,1.009737968,5.211703777,1.077600479,6.058591843,2.089440584,1.202655911,1.68649435,2.684303284,1.875628233,4.179044724,2.644846678,2.181416512,3.193132639,1.316814065,3.14475894,1.007484555,3.887763262,0.984006464,4.254009724,1.722991586,1.209125161,2.382027149,0.685400248,2.300563335,0.881627321,1.611955762,1.818746805,0.286751568,1.623997688,0.351331711,1.603771567,0.319027334,2.197971106,0.28270635,0.314498693,0.276276231,0.657572746
Task 5,59.24346161,73.47255707,36.97871017,67.5740509,16.84335709,30.48803711,15.23368359,34.77439499,8.917161942,5.985551357,13.01133347,26.56871033,16.00733376,20.3978653,15.79319572,20.23490334,31.36771584,20.38995743,47.16775131,18.94063187,33.37805557,15.78742981,55.98300171,28.52824974,20.10733986,39.34869766,15.78353977,31.7359066,15.11910915,36.44699478,37.25682068,6.908524513,41.55589676,5.216511726,32.77494049,3.0761621,71.18390656,15.51129532,6.612289429,16.96159172,36.18863678,20.4191761,26.52850914,12.56261539,33.16876221,37.79366302,8.186732292,40.45029449,3.340204716,15.0063839,4.487576962,61.79788589,20.59373093,7.421905041,6.229937077,10.17043018,1.274021864,4.404836178,0.788128197,1.020627975,15.97306633,9.730213165,18.37270355,11.65800667,15.28991699,19.51257896,8.843904495,19.49696159,8.551895142,21.23624611,6.124144077,30.06658554,11.52601433,8.711416245,17.40653229,7.466920376,13.74482059,5.611559868,13.77812099,19.20953178,6.593153954,17.95991516,5.91245985,10.03052711,5.384442329,30.43696404,9.019013405,6.404962063,13.97625446,4.176075935,11.59963226,4.707195759,9.558506012,15.17646599,2.969747305,15.154109,1.778055787,11.10705471,2.189186335,18.82232094,0.710978866,1.951334,1.671454072,2.583077192,0.685456276,1.149404287,0.450518608,0.653011143,3.335075378,2.311135769,5.02761364,3.978110075,2.991530418,3.708942652,1.061135292,4.184440613,1.022215009,5.296191216,1.095922232,5.956833839,2.077570677,1.207888961,1.69102335,2.661778927,1.853889465,4.159943581,2.634830475,2.193397999,3.195277214,1.318455338,3.095249653,0.994421721,3.888361931,0.983362675,4.175505161,1.693778396,1.200017929,2.367516994,0.677393913,2.307871103,0.885452449,1.605679035,1.784267068,0.283073753,1.606706738,0.343810558,1.586622596,0.31160149,2.212958574,0.292012483,0.310534447,0.270542055,0.641089916
Task 6,55.42398834,68.73195648,34.63739777,63.44782257,16.45812035,30.02234077,14.92608929,34.1849556,8.750656128,5.876010418,12.81055832,26.22813606,15.72296333,19.82904053,15.2103796,19.94692612,30.67710495,19.90275192,46.811306,18.77208138,32.24986267,15.12200928,54.67585754,27.58530045,19.70016098,38.69569778,15.48012257,31.07079506,14.86567688,35.75219727,36.68359756,6.843925476,41.02468109,5.160200596,32.28026962,2.985762596,69.69208527,14.94987297,6.479593754,16.67732239,35.79916382,20.12726021,26.04660034,12.45864105,32.64704514,37.03185272,7.982627869,39.43149185,3.308802128,14.87949944,4.458246231,61.37154388,20.7678299,7.35161972,6.175596714,10.19701481,1.289940834,4.516257763,0.792709589,1.025730848,15.72891712,9.560385704,18.04717255,11.46121693,15.13218212,19.33297539,8.723358154,19.30361366,8.417984009,21.16739845,6.020000458,29.32887268,11.13862324,8.553726196,17.21927261,7.381321907,13.67164516,5.467177391,13.52698898,18.96174049,6.450964451,17.83299828,5.901436806,9.853942871,5.284313679,30.0338707,8.864358902,6.332046032,14.00861835,4.169030666,11.51837158,4.701915741,9.418925285,15.03965855,2.924504757,15.37955379,1.797767639,11.25277615,2.25646019,18.85479164,0.705382884,1.959960461,1.694116592,2.670302153,0.681383312,1.140249968,0.442243636,0.654264748,3.374940395,2.341148615,5.125399113,4.057034492,2.984081507,3.705838919,1.06633842,4.245301723,1.042893529,5.48190546,1.127444625,5.886593342,2.066727638,1.220631838,1.705197692,2.661567211,1.846670985,4.162014484,2.649682522,2.215392113,3.221475363,1.325976491,3.059889555,0.988882363,3.969592571,1.007429242,4.133146763,1.682658792,1.202191234,2.379344702,0.673304558,2.337190866,0.894533932,1.611762404,1.775770307,0.280976027,1.60227406,0.336981833,1.586437583,0.309033573,2.248279572,0.303462446,0.30829674,0.268202454,0.631949902
Task 7,51.89518738,64.33638763,32.47655487,59.58090591,16.02610016,29.42650795,14.55059147,33.49041748,8.576637268,5.769397736,12.58671188,25.81108856,15.42580605,19.46252632,14.74644279,19.63950348,29.98892212,19.4339447,46.35900497,18.57859039,31.40750313,14.62397099,53.33033752,26.70540428,19.31392288,37.96303558,15.15910149,30.39323997,14.63733196,35.05299377,36.08868408,6.764870167,40.43057632,5.099919319,31.7726078,2.895976782,68.05200958,14.42051125,6.345880985,16.35697746,35.38607788,19.82925415,25.56074905,12.34887695,32.04551315,36.25271225,7.774950504,38.57823944,3.276947021,14.73435497,4.423886776,60.8141098,20.88079643,7.271693707,6.122182846,10.26642418,1.305775166,4.627724648,0.795020342,1.029037118,15.53115463,9.417257309,17.84679413,11.35172558,14.9302578,19.12513351,8.592032433,19.16527748,8.305145264,21.30460358,5.952909946,28.58791351,10.72941113,8.403779984,17.09854507,7.312746048,13.68276024,5.342071056,13.29075432,18.72553444,6.299505711,17.75566483,5.904716015,9.676062584,5.174297333,29.70802307,8.748505592,6.267586708,14.08288383,4.165467739,11.49656868,4.701157093,9.290128708,14.93258476,2.864562511,15.64025879,1.816670895,11.38937283,2.321845293,18.9740715,0.699915767,1.964817524,1.716596603,2.772574425,0.685381591,1.145174265,0.439794242,0.663466334,3.406325817,2.365505695,5.220070362,4.131079674,2.968183279,3.712050438,1.074569106,4.306008816,1.057695508,5.656028748,1.155537724,5.820542812,2.057498932,1.231755495,1.717339158,2.669327736,1.848830342,4.177187443,2.677313328,2.233026505,3.238361359,1.333995223,3.051156759,0.993021429,4.06205225,1.031587362,4.109734058,1.679603219,1.209495902,2.395432949,0.676995039,2.359351873,0.900009274,1.625197053,1.77605617,0.280852467,1.620440602,0.3360385,1.572378516,0.306925476,2.279910803,0.313821137,0.308928728,0.26969865,0.63203615
Task 8,48.09129715,59.62356567,30.18958855,55.49372864,15.47074699,28.60313225,14.04776573,32.58249664,8.361375809,5.641265392,12.30197144,25.23875427,15.05931282,18.99906158,14.11188126,19.21952438,29.09249878,18.82573128,45.71430588,18.3149128,30.07435799,13.92362022,51.35941315,25.52748108,18.79528236,36.99793625,14.7424345,29.58908844,14.36677265,34.12460709,35.24243164,6.655222893,39.73448944,5.058701515,31.15447998,2.7995193,65.58405304,13.70173359,6.185013294,16.00356293,35.04480362,19.6077137,25.08632278,12.28609943,31.44794273,35.45185471,7.61375618,38.35858536,3.285687923,14.56206799,4.322424889,60.46373749,21.08174515,7.230410099,6.119473934,10.50680161,1.326389194,4.769505024,0.793872774,1.030057192,15.5731411,9.400733948,17.77094269,11.30436802,14.84253025,18.99194527,8.483733177,19.29125977,8.32738018,21.62449455,5.970545769,28.11505318,10.33603382,8.332692146,17.30284691,7.353535652,13.87167358,5.226881027,13.21003914,18.71656799,6.167669773,18.03634453,5.980504036,9.464458466,5.063290119,29.87903023,8.789963722,6.26382637,14.41132355,4.184588432,11.65754414,4.748434067,9.256149292,15.11413288,2.802977562,16.16427803,1.828510642,11.66695118,2.437029362,19.77238464,0.694842696,1.971558571,1.741919637,2.894429684,0.685525358,1.158453465,0.439758062,0.680990577,3.444484472,2.395405531,5.377320766,4.247850895,2.961030006,3.730938435,1.084740639,4.396870136,1.065236807,5.895721436,1.186036348,5.77323246,2.047593832,1.240954399,1.728431344,2.677241802,1.853928566,4.232180595,2.738623381,2.249033689,3.255751848,1.335720181,3.03687048,0.99291575,4.19664526,1.060945988,4.078581333,1.671704292,1.213288188,2.410570145,0.684428751,2.373447895,0.894990385,1.634905934,1.773917437,0.281326801,1.651968718,0.339241743,1.546597838,0.304920614,2.301153898,0.3220191,0.311081529,0.273599237,0.637201786
Task 9,44.28844452,54.87406158,27.86813927,51.42471313,14.78792381,27.54615021,13.44428825,31.42012024,8.099152565,5.481037617,11.95962429,24.46513939,14.64015675,18.39653969,13.31829357,18.66575241,27.99304199,18.09251595,44.88476563,17.99372673,28.03160286,12.9312706,48.80347824,24.13321304,18.15311813,35.89002991,14.29541779,28.56342125,13.9825573,32.93071747,34.29318619,6.554993153,39.04239655,5.029876709,30.1557312,2.686265707,62.57983017,12.85265732,6.010890961,15.61844158,34.80285645,19.47313881,24.62643051,12.26291943,30.82323074,34.6369133,7.508650303,38.30278397,3.327660799,14.41795254,4.162635803,59.93205261,21.16774368,7.203827381,6.128935814,10.73202324,1.357202053,4.935733318,0.795433402,1.03583765,15.72291279,9.454139709,17.7287941,11.24389362,14.87713242,18.90091896,8.407654762,19.54799652,8.435698509,21.83665276,5.989698887,27.99910545,9.98621273,8.314973831,17.64172935,7.458580971,14.06783295,5.090575695,13.27661991,18.8099308,6.071468353,18.55965996,6.11938858,9.249868393,4.939151764,30.28546333,8.856744766,6.302066803,14.85014153,4.22587204,11.93129158,4.862285614,9.316120148,15.45048809,2.760137081,16.90036201,1.8567909,12.22190475,2.569360733,21.0165844,0.691918194,1.993585467,1.781668067,3.031960249,0.685447752,1.195831895,0.451276869,0.720646501,3.521434307,2.457659245,5.554677963,4.388616562,2.990638018,3.785785913,1.104081869,4.543581486,1.082446098,6.145112514,1.211606264,5.788318634,2.042717218,1.256706834,1.750145793,2.714632273,1.882390141,4.348484993,2.848269701,2.279569387,3.304033041,1.348548412,3.063497782,1.00587213,4.398838043,1.081370354,4.055522919,1.674368262,1.22577095,2.441178083,0.696209669,2.390662432,0.901215017,1.659037352,1.793605208,0.285379559,1.687020898,0.347823769,1.571545482,0.309086919,2.352689981,0.333491236,0.317774802,0.28191939,0.655250013
Task 10,40.4858284,50.17293167,25.54692459,47.42242813,13.97163963,26.28885841,12.77393913,30.12490082,7.794019222,5.286922455,11.53348637,23.47847748,14.15175247,17.62745476,12.45698261,17.98418617,26.70473671,17.19358826,43.59505463,17.49998665,25.85888672,11.90893936,45.90517426,22.7318058,17.37852287,34.66256714,13.84905148,27.16983223,13.29720592,31.56175804,33.10813522,6.426213264,38.50217819,5.080806255,28.36770821,2.57656455,59.0933876,12.00329876,5.861734867,15.34075165,35.12513733,19.71418762,24.45055962,12.11667919,30.47004128,33.88994217,7.469510555,40.02594757,3.517328501,14.08909321,3.964102268,59.1967392,21.27359962,7.260809898,6.218938351,11.25159454,1.41769278,5.264032841,0.808079183,1.057534099,16.22042656,9.729540825,18.02794266,11.41501808,15.24117851,19.15732574,8.484192848,20.31617928,8.764060974,22.16067886,6.131776333,29.04486656,9.982471466,8.499834061,18.65488625,7.831419468,14.59506416,5.059545994,13.80699062,19.4375515,6.078112125,19.70565605,6.430854797,9.2691679,5.049803734,31.68873024,9.147914886,6.509664059,15.8043232,4.421071529,12.68466473,5.172883034,9.717992783,16.19140625,2.783973217,18.55201149,1.961618662,13.09782791,2.873225212,23.54382896,0.724535704,2.096608162,1.886202812,3.314189911,0.711700618,1.286581159,0.469922662,0.759289563,3.780576944,2.642115831,6.16354847,4.898695469,3.154909372,4.024513245,1.139298558,5.002257824,1.130939245,6.790137291,1.293267727,6.123670101,2.087381601,1.305631161,1.82161057,2.841109991,1.970562458,4.597630024,3.059979439,2.373248577,3.476801395,1.373357177,3.151943207,1.029026985,4.86730814,1.188041806,4.189117432,1.69628644,1.262091517,2.515550375,0.706028998,2.460490465,0.931254148,1.716617465,1.848924041,0.290927529,1.6877774,0.353623897,1.653458238,0.314195931,2.458941936,0.346282035,0.324267119,0.290923476,0.68081367
