abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,26.88644028,43.1268425,21.41049004,32.6546936,8.412687302,15.72434235,7.363116741,18.68985176,4.405593872,3.449337959,8.192564964,14.92179489,9.265014648,11.05533981,7.894143105,10.01107311,17.31547546,11.31436729,25.16599083,11.43330574,17.8269043,8.334456444,23.42247581,10.8951931,10.94894886,20.46889877,9.680793762,18.48075867,10.73434353,18.65234375,18.75562096,4.280403137,23.11997032,3.36513257,22.70648575,2.771589518,31.30083084,4.132864952,3.592843771,10.38571262,23.79129601,13.8418932,18.80996704,13.06632805,21.53194809,20.2526226,5.247900963,27.47831345,4.334981441,21.2048893,4.551179886,36.99472427,4.664325714,4.738760471,4.434129715,5.052472591,1.482593656,1.915496588,0.812568724,1.084427476,10.34068966,6.59012413,13.13038063,9.654507637,13.64286995,11.36747169,6.748095989,10.35550594,4.215736389,16.6180191,5.667243958,22.56626129,7.562678337,5.606880188,10.92375946,5.860383511,12.16819096,7.235706806,10.80914783,12.13187981,5.735662937,11.65048122,4.363408566,12.92227077,3.780994892,16.86961174,4.924673557,4.70384264,10.76603794,4.620441914,9.5314188,5.898412704,9.443380356,9.908690453,3.480225563,11.40069771,2.584378481,13.21118259,2.063270092,15.7091217,2.373449564,2.685678482,2.621148586,3.222927332,1.195348382,1.359616041,0.639572382,0.850388348,4.477813244,2.93727088,5.554864883,4.080951691,5.999196529,4.570137024,1.299573421,5.010206699,0.851182222,5.249491215,0.943086445,8.673728943,1.453467965,1.095948339,2.568603039,4.019957066,2.726184368,6.757031918,5.000168324,5.602526188,4.457316399,1.934080005,4.441750526,1.359813333,8.177898407,1.977541447,10.0744381,4.551650524,2.122596264,4.69487524,1.523109794,4.540198326,2.127531528,4.133312702,3.40109849,0.705534458,3.027563572,0.784756482,3.690990925,0.555862367,5.18556881,0.925497651,0.744029045,0.576258183,1.099676132
0.05,26.10702324,41.56843185,20.64055824,32.07735443,8.419208527,15.82017326,7.370845795,18.72703743,4.408203125,3.447653532,8.201746941,14.99999046,9.285381317,11.1109457,7.905688763,9.99169445,17.28614426,11.28022766,25.27032661,11.48078251,17.89775276,8.350613594,23.09433746,10.74332809,10.94716358,20.55034447,9.714708328,18.52976227,10.73843575,18.61585617,18.69984627,4.273114204,23.19880676,3.384012461,22.73205566,2.785773516,31.08364105,4.04539156,3.589629173,10.37987518,23.88619804,13.89513302,18.87067986,13.1653614,21.49335098,20.22377968,5.252385139,27.67134476,4.354516983,21.50183678,4.586510181,36.54409409,4.662273407,4.751425743,4.447950363,5.112691879,1.482065439,1.969888568,0.843086779,1.14464426,10.38047314,6.623606205,13.20563412,9.707420349,13.67613983,11.42031574,6.786436558,10.40723896,4.245516777,16.83410645,5.730356216,22.51219368,7.555297375,5.63888979,10.96946144,5.88297987,12.28935146,7.286241531,10.86537647,12.22327518,5.780639172,11.70931911,4.384365559,12.91241074,3.770391703,16.92038918,4.908874035,4.722249985,10.80311871,4.630684376,9.560570717,5.918693066,9.470858574,9.978600502,3.517584085,11.40011501,2.59530139,13.12772655,2.026556969,15.7148695,2.346921444,2.691895723,2.625940323,3.208747387,1.200568914,1.379893661,0.65183121,0.873190403,4.483128548,2.95050025,5.562595844,4.114339828,6.012784004,4.580104828,1.31011951,5.011172295,0.859728932,5.309119225,0.95389837,8.633276939,1.463094115,1.105625272,2.589309454,4.0413661,2.738793135,6.856554508,5.076572418,5.64572382,4.485516071,1.948455334,4.457670689,1.365221262,8.464360237,2.001208782,10.14560604,4.558389187,2.133779049,4.715153217,1.537469745,4.569531918,2.150714397,4.159553051,3.400778294,0.700855613,3.044463634,0.791844785,3.737470388,0.575629413,5.281123161,0.94532162,0.749881744,0.576871634,1.092642069
0.1,24.89271736,39.54780197,19.64135933,31.15113068,8.39942646,15.90281296,7.364821434,18.7531662,4.405862808,3.439806938,8.196125984,15.04024315,9.278923035,11.25231838,7.970358849,9.964267731,17.23652458,11.22881317,25.37881088,11.53536701,18.07592201,8.439275742,22.83782578,10.63919163,10.95966911,20.67160416,9.763098717,18.60120583,10.74726677,18.62318802,18.65601349,4.269629002,23.34357071,3.40277648,22.70416641,2.797888279,30.82207298,3.966585159,3.588117123,10.3763895,24.02437592,13.97765732,18.9392662,13.22659588,21.48838234,20.23002625,5.272256851,28.01865959,4.413044453,21.68222237,4.617072582,36.31667709,4.686942101,4.788608551,4.499005795,5.271701813,1.50256145,2.082105637,0.893729985,1.257318497,10.46585846,6.682837963,13.43495083,9.881599426,13.7497263,11.54428673,6.862493515,10.50776386,4.302893162,17.45024109,5.956105709,22.75293159,7.629981041,5.725305557,11.13961983,5.974776745,12.58891964,7.40940237,11.0294838,12.38344669,5.842474461,11.97242737,4.457680225,13.06499863,3.793170452,17.16776657,4.91464138,4.777945518,10.96439648,4.679123878,9.648716927,5.974504948,9.57667923,10.1359005,3.563512564,11.56108284,2.631338596,13.20646477,1.998125076,15.86252785,2.329824686,2.715761662,2.667861462,3.25758481,1.220251322,1.420863628,0.677757382,0.922018349,4.515472412,2.976874352,5.609638214,4.162704945,6.068294048,4.613407135,1.326894522,5.052841187,0.878974438,5.404270649,0.976290405,8.617032051,1.478188992,1.123957515,2.626816511,4.125254154,2.793735743,7.008854389,5.155908585,5.740017414,4.54414463,1.974038601,4.56379652,1.404865026,8.91470623,2.026796103,10.43637562,4.655858994,2.175836563,4.801515579,1.575013757,4.682413101,2.202020407,4.252929211,3.456026793,0.710006118,3.124922037,0.816691756,3.86422658,0.616855681,5.444966316,0.976045489,0.77162528,0.596657217,1.138090611
0.15,23.51574516,37.32182693,18.54081345,30.2884388,8.381072044,15.99169159,7.359458923,18.79858208,4.411967278,3.435420275,8.190853119,15.12196541,9.291945457,11.47729397,8.082895279,9.931670189,17.19501686,11.19646072,25.55724144,11.61482811,18.28607368,8.559577942,22.54143333,10.55710793,10.99614525,20.84166908,9.833930016,18.67769432,10.74399471,18.66437721,18.6630764,4.278675556,23.52608109,3.420794725,22.5991993,2.794384718,30.56362152,3.873996019,3.584694624,10.36305809,24.13484573,14.05868816,18.94455147,13.22715378,21.44336891,20.20889664,5.288053989,28.38775444,4.465351105,21.55250931,4.582629681,35.97566223,4.697916031,4.81392765,4.547068119,5.434426308,1.525847793,2.222028971,0.958850741,1.408495903,10.52688217,6.732254028,13.62432194,10.02188396,13.78684235,11.66297913,6.933631897,10.59370518,4.359015942,17.98316002,6.183553696,22.937397,7.684318066,5.807299614,11.31561661,6.073406219,12.97532368,7.582977295,11.19326019,12.51535225,5.912007332,12.24094963,4.535595894,13.37160492,3.857092381,17.38712692,4.914635658,4.842271328,11.168787,4.738584042,9.762687683,6.031178474,9.69675827,10.34383011,3.624968052,11.72711372,2.66200161,13.37928009,1.981166482,16.0838623,2.315637589,2.741760015,2.706593513,3.320432901,1.253975749,1.473417044,0.71200949,0.993929505,4.537689686,2.996385574,5.675717831,4.225970745,6.127502918,4.656892776,1.353228688,5.077017307,0.893120289,5.538328648,1.00799191,8.597387314,1.497683883,1.145376325,2.66843009,4.208126068,2.853725195,7.156888962,5.257763386,5.847204208,4.618993759,2.007868052,4.68149519,1.443234086,9.362998009,2.036300182,10.82726955,4.801170349,2.22481823,4.90104866,1.612844229,4.78951025,2.240041733,4.356155396,3.541755199,0.725878716,3.199298859,0.836975813,3.952086687,0.643756032,5.618023872,1.010427952,0.792842448,0.616272628,1.197933555
0.2,22.1055088,35.06951904,17.42845345,29.59336662,8.366834641,16.07119179,7.358214855,18.86777306,4.430698872,3.440154791,8.207324982,15.28215981,9.353178024,11.79798317,8.2611866,9.926202774,17.22713661,11.21480846,25.89154434,11.76416874,18.58880424,8.746674538,22.33000565,10.52255344,11.09438801,21.13069153,9.961461067,18.8061676,10.76678562,18.79392624,18.77107239,4.319689274,23.81646347,3.448158741,22.53103256,2.786869526,30.42607689,3.791553736,3.59408617,10.38298893,24.25316429,14.14129734,18.9337616,13.15166759,21.46619987,20.26502991,5.303889275,28.72925377,4.507749557,21.21758652,4.488655567,35.77616501,4.757268906,4.835699081,4.593814373,5.646064281,1.57917428,2.380224228,1.038946509,1.563640237,10.57466221,6.770000935,13.8178072,10.16131306,13.80452728,11.77011108,6.99239254,10.66674995,4.408967018,18.55695724,6.426091194,23.17966461,7.775400639,5.889216423,11.47568035,6.160252571,13.37011528,7.784272671,11.34795761,12.6382513,5.963133335,12.49008942,4.608182907,13.73980808,3.920295238,17.6597538,4.926516533,4.900718689,11.32794666,4.79379034,9.80580616,6.032655239,9.815497398,10.52573967,3.694327116,11.84523106,2.669196606,13.37339783,1.938603759,16.29924011,2.31749177,2.755459547,2.725976706,3.351089001,1.288475037,1.541162133,0.749544382,1.064626932,4.553379059,3.006205559,5.701539516,4.273647308,6.161427021,4.693863869,1.374216318,5.094622135,0.898449898,5.669822216,1.024030685,8.576469421,1.519845605,1.159760237,2.696673155,4.249099731,2.884141207,7.09191227,5.194465637,5.92881155,4.667181015,2.023975849,4.739048481,1.464521289,9.314816475,1.97255671,11.07746506,4.922124863,2.246756315,4.964540482,1.631181002,4.810852051,2.232842922,4.396248341,3.600232601,0.73439759,3.25873661,0.856797636,3.961795092,0.639941573,5.707355499,1.021537423,0.804382384,0.628332376,1.245813131
0.25,20.67139626,32.79176712,16.30509377,29.04830551,8.356940269,16.12797737,7.360082626,18.95928955,4.469618797,3.459335566,8.252660751,15.50797558,9.455088615,12.20470238,8.504254341,9.955633163,17.34018517,11.29595947,26.3271637,11.94314003,19.06939125,9.013982773,22.17215729,10.51465607,11.2366333,21.47728539,10.09747696,18.95709801,10.78954697,18.97348976,18.97787666,4.377696037,24.14048576,3.475365877,22.39954567,2.773908377,30.4321022,3.706913471,3.60656023,10.4326992,24.33701515,14.23936558,18.8860302,13.07554245,21.54033852,20.38147354,5.311758518,28.99228859,4.543889999,20.80437469,4.393718719,35.7068367,4.802747726,4.85011673,4.63011694,5.841032028,1.633689165,2.505239725,1.105712175,1.678443432,10.60927963,6.791728973,13.97834301,10.27976513,13.8174696,11.85355377,7.049123764,10.6985569,4.440048695,19.17038727,6.660621643,23.40439415,7.827775478,5.956418514,11.57976055,6.211562157,13.70186138,8.019932747,11.46554661,12.73687363,5.995922089,12.62339306,4.651778221,14.14505482,3.998588324,17.83865929,4.897681713,4.936899662,11.36571693,4.826674461,9.795348167,6.010598183,9.876022339,10.62177658,3.745064259,11.90438461,2.669280052,13.29356194,1.90645504,16.3686924,2.326923847,2.763514757,2.735004425,3.364793062,1.311258197,1.586382627,0.771338046,1.105510831,4.575109959,3.015715122,5.724068165,4.32303524,6.181112766,4.724114418,1.387082934,5.123097897,0.896562994,5.763102055,1.023782134,8.576450348,1.538992286,1.165901661,2.705721378,4.24427557,2.888555765,6.925510883,5.051990986,5.961303234,4.70962286,2.028410673,4.725184441,1.46738553,8.831159592,1.870685697,11.16991043,4.970421791,2.240984201,4.982086658,1.632125854,4.733530045,2.188744783,4.382762909,3.645563126,0.743985832,3.276996374,0.863378942,3.879640818,0.610877693,5.784816742,1.040428519,0.809175134,0.631443024,1.252159238
0.3,19.3381691,30.68927383,15.26900578,28.66274452,8.347553253,16.13185883,7.349504948,19.02100182,4.513288975,3.486735821,8.317640305,15.78310871,9.585236549,12.57885647,8.773650169,10.02128983,17.53311539,11.4318552,26.82028198,12.14036083,19.73679352,9.359851837,22.07500648,10.49243069,11.40966511,21.85660934,10.25299644,19.13870239,10.8530035,19.21213531,19.26843071,4.436183453,24.53563881,3.510556698,22.34062958,2.766247749,30.57971382,3.638665915,3.625600815,10.50575733,24.49267387,14.34012794,19.0584507,13.14064026,21.62485313,20.53166771,5.322493553,29.32888222,4.602454662,20.63635254,4.337742805,35.73205948,4.810508728,4.873655319,4.659468174,5.962983131,1.65286231,2.558174133,1.130277514,1.71824944,10.65822697,6.820412159,14.01937675,10.29028511,13.88780022,11.88361931,7.083822727,10.76586246,4.471488476,19.39358902,6.729894638,23.64408112,7.90882349,5.99981451,11.60980511,6.233588219,13.85603237,8.17420578,11.53333282,12.81658268,6.022502899,12.58607292,4.651996136,14.50968552,4.083346844,17.91293907,4.871377945,4.950960159,11.36131382,4.866775036,9.759317398,5.990154266,9.890909195,10.67179489,3.795508385,11.96231842,2.690339804,13.08178043,1.887322307,16.35665131,2.351088762,2.786311626,2.747733831,3.38068223,1.333212376,1.616321802,0.778999627,1.129668593,4.634862423,3.046164274,5.783656597,4.381219387,6.220922947,4.775206089,1.405618787,5.144785881,0.898333848,5.806821346,1.003615379,8.643071175,1.582577944,1.17588985,2.733299494,4.270497799,2.904760361,6.808343887,4.948410511,6.02453804,4.8010149,2.062861919,4.702504635,1.46866107,8.395798683,1.827916503,11.3016386,4.978219986,2.24669385,5.017298222,1.657735467,4.764965534,2.202566862,4.411124706,3.702731371,0.763019562,3.313045502,0.884262383,3.914970636,0.614196777,5.8898983,1.08009553,0.829517603,0.645395279,1.240345478
0.35,17.88893127,28.40614128,14.14776134,28.26233673,8.302686691,15.99573708,7.277828217,18.89721107,4.516502857,3.493117571,8.374059677,16.07534218,9.737744331,12.90419102,9.067325592,10.06219101,17.703825,11.54677391,27.39268112,12.37537861,20.75353432,9.884813309,21.99239159,10.45541477,11.61685944,22.32136917,10.43081856,19.51427269,11.03121758,19.5410614,19.58395576,4.450659275,25.05809975,3.546129227,22.58176613,2.784563065,30.79564667,3.614278316,3.644101381,10.60672474,24.73736763,14.43417168,19.14093781,13.21184921,21.78925514,20.56296921,5.300663948,29.62838554,4.630010605,20.48185158,4.320515156,36.02759933,4.698807716,4.861088753,4.652691841,5.896276474,1.642706275,2.577267647,1.14473331,1.730851293,10.70654964,6.826726437,13.88032055,10.16061783,13.9129343,11.81330299,7.075207233,10.86978531,4.495882511,19.39750862,6.690212727,23.57998276,7.917636395,6.003931046,11.5956192,6.228122711,13.99724483,8.361964226,11.54340076,12.80544567,6.008189201,12.36731815,4.591535091,15.34503937,4.284039497,17.89319038,4.875864983,4.94280386,11.35358524,4.902628899,9.859031677,6.096842289,9.876384735,10.73741627,3.846025467,12.05244637,2.728838444,13.10923767,1.911119103,16.35980034,2.384316206,2.824935436,2.753259659,3.431156397,1.371452093,1.646738768,0.78234297,1.133968592,4.73081255,3.0960536,5.864118099,4.446547985,6.274219513,4.82762146,1.416623473,5.16840744,0.900904179,5.835650444,1.00075984,8.79798317,1.649944544,1.190184355,2.775890112,4.358706951,2.961851597,6.936873436,5.016762257,6.125329018,4.895803452,2.103567362,4.729645729,1.497290611,8.59663868,1.901604772,11.47546291,4.971030712,2.280465603,5.074164867,1.68808651,5.007820606,2.322131634,4.486757278,3.735167742,0.782955587,3.369074345,0.905404031,4.294086456,0.676009297,6.00813961,1.077395439,0.852310598,0.663963914,1.242190838
0.4,16.42932892,26.12051582,13.02996445,27.67300797,8.100928307,15.47336578,7.006738663,18.21982765,4.369521618,3.395397425,8.234730721,16.04746246,9.733914375,13.08713245,9.237411499,9.921802521,17.39849281,11.35946369,27.41369057,12.40142155,21.40787506,10.17028427,21.68262672,10.30649948,11.60017204,22.39254761,10.44657135,19.68335915,11.08461571,19.60253143,19.43658257,4.330037594,25.26478767,3.571210146,22.71883774,2.763937712,30.57892799,3.659358978,3.623856068,10.61416721,24.95810127,14.52778339,19.35007095,13.34677219,21.89143753,20.45817566,5.256108284,29.92431831,4.693685055,20.99472237,4.434562206,35.93632889,4.575668812,4.86554575,4.653530121,5.691579819,1.6141783,2.514333248,1.103869677,1.650335312,10.82244682,6.894946098,13.90340424,10.12262058,13.97945976,11.71691513,7.020194054,11.07914352,4.571483135,19.57240295,6.649066448,23.33329201,7.86016655,6.007472515,11.52792263,6.152146339,14.20275593,8.564728737,11.58033752,12.72885799,6.004412174,11.98858929,4.477479458,16.21689224,4.428033829,17.81761169,4.932361126,4.90987587,11.35431576,4.924971104,9.873227119,6.081387997,9.782302856,10.7530365,3.868896484,12.00001144,2.71171236,12.84250164,1.915154576,16.34845543,2.333703518,2.814813375,2.697784424,3.399411678,1.380251408,1.667500854,0.780076444,1.110051751,4.736637592,3.079539776,5.86283493,4.434600353,6.233056068,4.845674038,1.432281852,5.075608253,0.865811944,5.768584728,0.996605217,8.752923012,1.65053606,1.180961728,2.75640583,4.317250252,2.941178799,6.756223679,4.867267609,6.064530849,4.880379677,2.102576494,4.618737221,1.479042649,8.231684685,1.816239834,11.24093437,4.879663944,2.245948792,4.985854149,1.654467225,5.017402172,2.330668926,4.418916702,3.670900106,0.770581067,3.277554035,0.856297493,4.386590481,0.715290546,5.897528172,1.041224599,0.829642534,0.654327154,1.208087564
0.45,14.96181488,23.82677269,11.90862656,26.68595123,7.611619473,14.38681602,6.487181187,16.88758659,4.042333603,3.158809662,7.774032116,15.32303333,9.325926781,12.84710407,9.117659569,9.552605629,16.50525856,10.78858376,26.31260681,11.95441341,20.77310944,9.806153297,20.56062508,9.750108719,11.1188364,21.6856823,10.15724182,19.14038849,10.77581787,18.96522522,18.51534271,4.091412067,24.63822365,3.536645889,22.11787605,2.658967972,29.30075455,3.645555973,3.523556471,10.35769272,24.6486721,14.29833126,19.10655785,13.20772743,21.37415314,20.10200691,5.13187027,29.7770195,4.670641899,21.04293442,4.482782841,34.28390503,4.305075645,4.780295849,4.55345583,5.478778839,1.594077468,2.455949306,1.062481046,1.570527554,10.68550301,6.835002422,13.690732,9.948825836,13.79321957,11.38256359,6.81961441,10.91356468,4.4930439,19.29972076,6.63006115,22.74507141,7.747133255,5.893984318,11.28429508,6.004716396,14.09694862,8.56375885,11.37116623,12.40462971,5.892135143,11.57888699,4.351150036,16.42340469,4.412070751,17.56761169,4.964122772,4.82063961,11.14721298,4.84814167,9.807518959,5.995818615,9.568867683,10.54614162,3.820027113,11.65429211,2.639087439,12.5164423,1.91211617,15.94199371,2.233809471,2.75233984,2.620611429,3.319802046,1.340594172,1.627085686,0.752214491,1.040984392,4.666040421,3.040056944,5.706667423,4.326150894,6.08429718,4.766685486,1.404042959,4.993405342,0.856786668,5.602566242,0.976726353,8.588196754,1.64272368,1.16453886,2.718649387,4.285840034,2.907655239,6.49973011,4.67974472,5.976847649,4.788180828,2.058767557,4.56568861,1.457701325,7.932591438,1.779018283,11.08029079,4.818632126,2.209148407,4.877496243,1.620996833,4.857268333,2.250390291,4.354066849,3.58476162,0.740829647,3.232531071,0.85627538,4.126294613,0.695069611,5.657839298,0.995202899,0.810198009,0.640138745,1.185526371
