abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,9.55715847,20.70814323,10.30206585,19.55549431,4.497575283,9.053184509,4.344856739,12.32598495,3.181086779,2.405598879,5.62735939,11.27421951,6.930418968,8.488071442,5.934177876,6.435370922,11.91168213,7.79373312,20.88217926,9.508719444,14.82844257,7.213735104,16.09135437,6.333051205,8.396095276,16.55577087,7.694684505,14.4112196,8.609716415,14.2804966,13.72172165,3.361799479,18.74736595,3.317656755,17.87061501,2.111052513,20.87021637,2.039252758,2.91763854,8.518222809,19.65991592,11.78626633,15.12402248,10.28016281,15.06779194,16.03423309,4.826471806,23.14456177,3.892282248,16.63848305,3.529901505,23.58623695,2.88384366,4.082576752,3.261441946,4.12024641,1.566545248,2.209629059,0.551022232,0.853215933,9.326162338,5.897604465,11.2424345,8.284953117,10.75349903,9.959793091,5.849353313,9.127074242,3.805991888,13.75570107,4.963692665,16.70142555,4.604104996,4.689004898,8.935045242,4.875711441,9.888922691,6.637134552,8.708768845,10.68379307,6.014752865,9.012690544,3.637311935,10.97046375,3.62439537,13.59102345,3.697037697,4.237518787,9.840636253,4.433390141,8.766242027,5.801405907,7.753320694,9.546629906,3.887730598,9.987492561,2.800706148,12.17396355,2.63402009,12.67530441,1.948982716,2.907838106,2.570700645,3.371008158,1.483310223,2.056569338,0.7206164,1.303649902,5.061061382,3.274988174,5.630057335,4.120483875,6.394164085,4.87619257,1.4169631,5.640895844,1.144677162,5.203571796,1.117365837,9.235164642,2.023276329,1.359424829,3.099503279,4.659809589,3.265037298,7.998303413,5.952484131,5.95442915,5.279862881,2.482539892,5.677372932,1.531951785,8.758314133,2.253682137,10.0835886,3.840749741,2.290680408,4.818558216,1.783132911,5.35973978,2.675184488,4.365598202,3.489124537,0.603611052,3.571848392,0.941078961,4.5925107,0.867152154,5.223154068,0.769509077,0.783843577,0.633634627,1.415111065
0.05,9.18112278,19.90918922,9.908964157,19.35462379,4.481913567,9.059890747,4.338770866,12.35747147,3.179615736,2.402327776,5.633818626,11.32885933,6.951988697,8.585507393,6.013963223,6.413110256,11.90358162,7.801194191,21.00847054,9.569070816,15.09303284,7.345629692,15.96843815,6.364008904,8.448521614,16.67853737,7.734500885,14.55471325,8.664938927,14.28534794,13.7344923,3.345038652,18.90452576,3.329863787,18.00663757,2.128227949,20.73607254,2.027787924,2.919967651,8.540471077,19.77010345,11.83033848,15.01709366,10.04447746,15.11457253,15.92371368,4.774041653,23.27382469,3.899588823,15.87842941,3.469633341,23.3524971,2.915976048,4.0642519,3.212871313,4.001155853,1.487342596,2.051919937,0.522163868,0.806191862,9.301622391,5.89725399,11.20913506,8.254397392,10.69151306,9.844912529,5.783415318,9.13105011,3.798203468,13.54256916,4.87120676,16.64034271,4.576767445,4.650022507,8.869926453,4.818480968,9.874557495,6.62757349,8.647358894,10.5606451,5.911044598,8.875833511,3.59213233,10.85286522,3.62944746,13.5076046,3.680878401,4.187628746,9.730748177,4.364069939,8.609307289,5.685756207,7.644021034,9.424491882,3.81748414,9.789094925,2.761131048,11.74545097,2.527525902,12.61243057,1.933315516,2.856552839,2.497196198,3.302732944,1.48163116,2.053476334,0.708744466,1.299359918,4.977390289,3.220728397,5.552901745,4.068234444,6.267704964,4.749630451,1.396870494,5.509259224,1.128673077,5.119579315,1.108819127,8.962702751,2.015492916,1.344576001,3.059426308,4.542120934,3.177665472,7.96571064,5.918435097,5.842060566,5.194499969,2.44694972,5.433837891,1.473957419,8.530116081,2.180722713,9.878955841,3.759975195,2.233765125,4.679098129,1.734955192,5.310923576,2.664016247,4.251673698,3.396863222,0.594776392,3.41158843,0.890001595,4.594115257,0.900226593,5.020485401,0.747454286,0.762750924,0.61016506,1.371207237
0.1,8.737224579,18.94175339,9.43356514,19.12768364,4.453893661,9.067051888,4.340028286,12.43402863,3.192509651,2.407583475,5.659598351,11.42956638,6.997191429,8.772968292,6.14099884,6.397302151,11.94569206,7.839003563,21.21714973,9.662930489,15.42621708,7.504847527,15.93560123,6.446799755,8.535149574,16.86790085,7.808569908,14.78023338,8.767148018,14.34470749,13.80626106,3.346604586,19.14703941,3.341124773,18.25288773,2.154003382,20.75765991,2.035608768,2.931077719,8.60077858,19.91817474,11.91393471,14.97806835,9.874710083,15.23074818,15.89145851,4.736837864,23.44724464,3.900465012,15.17544365,3.418997049,23.38626862,2.959741116,4.051383972,3.172965765,3.873685122,1.398112893,1.85031116,0.483088344,0.72644347,9.273982048,5.900769234,11.1917057,8.237711906,10.64069271,9.724849701,5.712880135,9.196565628,3.807649612,13.20620155,4.710122108,16.59868431,4.538626194,4.607213497,8.777288437,4.739291668,9.771847725,6.564954281,8.561056137,10.42285252,5.800521374,8.685758591,3.527334213,10.68356133,3.609773636,13.28567982,3.645282269,4.120686531,9.509018898,4.241593361,8.342699051,5.488512993,7.490189552,9.239843369,3.712342501,9.486666679,2.692826271,11.03197384,2.335633039,12.35920525,1.850567102,2.763701677,2.38310051,3.149507284,1.413472891,1.939365745,0.666101933,1.229292631,4.815617561,3.114167929,5.384352684,3.932754517,6.023446083,4.585747242,1.363532543,5.28602457,1.094244719,4.879141808,1.073952913,8.543358803,1.98681581,1.311299205,2.975361347,4.329425335,3.018545866,7.690755844,5.733716011,5.642724991,5.036933899,2.381962299,5.017605305,1.370197415,8.042285919,2.036242247,9.493929863,3.619063139,2.129959583,4.436356544,1.643674374,5.098301411,2.559859514,4.039374828,3.277001619,0.583983123,3.15353179,0.817972183,4.32328701,0.863347828,4.721060276,0.718098402,0.7234146,0.57364887,1.282812238
0.15,8.248166084,17.87600136,8.913583755,18.86972427,4.403128624,9.026228905,4.317588806,12.42264557,3.184431553,2.397471428,5.663545132,11.50171852,7.015111923,8.95432663,6.256813049,6.357015133,11.89999866,7.808869839,21.33680916,9.703870773,15.66089535,7.611641407,15.65726376,6.437856197,8.560304642,16.94752884,7.831703186,14.94549942,8.822024345,14.34004021,13.817976,3.331525564,19.29812431,3.329190254,18.43221283,2.175412893,20.71121216,2.027974367,2.92555213,8.59783268,20.01579857,11.93998337,14.98670292,9.835850716,15.22099781,15.80285931,4.697386742,23.48840523,3.883660555,14.78529263,3.403470993,23.26079941,2.952713728,4.027422905,3.126750469,3.755758524,1.332747936,1.666330338,0.440134168,0.63220942,9.218628883,5.871827602,11.10479546,8.19230938,10.56391621,9.572665215,5.625911236,9.200016975,3.793109655,12.77955818,4.508119106,16.52996635,4.514782906,4.545434952,8.620222092,4.641490936,9.626832008,6.473186016,8.431360245,10.24069023,5.667164803,8.382923126,3.42445159,10.52396965,3.554801464,13.02191162,3.60697341,4.024232388,9.211193085,4.099638939,8.02493763,5.267676353,7.275167465,9.001790047,3.603004217,9.059350014,2.577614069,10.31423092,2.161312819,11.97411346,1.749388456,2.644266129,2.236405849,2.920595884,1.294698715,1.733147621,0.592034996,1.072638988,4.587860107,2.963201523,5.128114223,3.72888422,5.717894077,4.402706146,1.312288761,4.998048306,1.031402707,4.548820019,1.006864786,8.129928589,1.903850436,1.24827683,2.830060244,4.06499052,2.832461119,7.263700008,5.435019493,5.335948944,4.788605213,2.271237612,4.634820461,1.25963366,7.451346397,1.910307407,8.990842819,3.41533637,2.002643347,4.174571514,1.527135849,4.755741119,2.382361174,3.786884308,3.154201269,0.564759791,2.881696463,0.736695647,3.875714779,0.760242164,4.481226921,0.668687642,0.666662157,0.526275456,1.13399446
0.2,7.752810001,16.79662132,8.388708115,18.49825478,4.279474735,8.817989349,4.193347454,12.0256567,3.08477354,2.327679873,5.56047678,11.38025188,6.912320614,8.966594696,6.24600172,6.273928165,11.70362473,7.679168701,21.06619263,9.592521667,15.54127979,7.556579113,15.32937813,6.359883785,8.4556036,16.85504913,7.800496101,14.82729816,8.763226509,14.22587967,13.7123003,3.292735815,19.25303841,3.317940474,18.30384636,2.152153015,20.54640579,2.02485013,2.90563941,8.537331581,19.90797424,11.84783745,14.85564327,9.806465149,15.10622883,15.69527054,4.655965805,23.30744934,3.838743687,14.69862938,3.410646677,23.04670143,2.91774106,3.989947796,3.083479881,3.643455744,1.30184567,1.618532896,0.418062359,0.593331337,9.11934948,5.796718597,10.97700405,8.071242332,10.45709896,9.462582588,5.561057091,9.106786728,3.74347043,12.36927509,4.310428619,16.36775017,4.490771294,4.475746632,8.463356018,4.55956459,9.465014458,6.351399422,8.308249474,10.08111858,5.558862209,8.145397186,3.326662064,10.40896606,3.47873807,12.69227314,3.542970896,3.930767536,8.964323997,3.986284018,7.722576618,5.048090935,7.102380753,8.793006897,3.517403126,8.75156498,2.496315718,9.612942696,2.006718159,11.65252018,1.628885031,2.548416615,2.122839451,2.728109121,1.191536546,1.54503715,0.540083647,0.926067054,4.404809952,2.847477674,4.935484409,3.580491304,5.483413696,4.258789539,1.267907977,4.7423563,0.972334266,4.302083969,0.963781953,7.845600128,1.841712475,1.195715308,2.714943409,3.917696714,2.732477665,6.854135513,5.16160059,5.123295307,4.591598988,2.173204899,4.470226765,1.205743909,7.12427187,1.842212319,8.614729881,3.279095173,1.920320868,3.970345259,1.433830261,4.458887577,2.235765934,3.644108772,3.080703974,0.545883775,2.682427168,0.671252668,3.454203606,0.639760137,4.406572342,0.675247133,0.62080121,0.482719511,1.005707979
0.25,7.255560398,15.71565056,7.860609531,17.96896553,4.075015068,8.424384117,3.993599176,11.38785267,2.93229413,2.221391916,5.37485981,11.09777355,6.730049133,8.906758308,6.209005356,6.149512768,11.44678402,7.519431114,20.52514458,9.372712135,15.3435173,7.480576038,14.93141365,6.171005726,8.272632599,16.65929604,7.728886127,14.62484455,8.67168808,14.0138073,13.51700783,3.243932247,19.09229088,3.319528103,18.19358444,2.144734859,20.31856155,2.023874044,2.891652346,8.495288849,19.80373383,11.7771225,14.67137909,9.778414726,14.96497917,15.76750374,4.686083317,23.09989166,3.804890633,14.81179905,3.429346323,22.93581009,2.893956661,3.986268282,3.058838129,3.567188263,1.282954216,1.610696435,0.419731826,0.609444559,9.096940041,5.779893875,10.95301914,8.06003952,10.43020248,9.48401165,5.564946175,9.060658455,3.718286991,12.49032879,4.332002163,16.34407043,4.516409874,4.471837997,8.458292007,4.575825691,9.460829735,6.343430519,8.297056198,10.07658386,5.58233881,8.184783936,3.312119484,10.25379658,3.453093767,12.42374802,3.472280025,3.917315722,8.941972733,3.983446121,7.594422817,4.961166859,7.108862877,8.754817963,3.512770653,8.813739777,2.528221607,9.246961594,1.880357862,11.64209938,1.559080005,2.541060686,2.114824772,2.690814972,1.14094758,1.451537251,0.522411406,0.855413437,4.380186558,2.827325344,4.96581316,3.598122835,5.479050636,4.2828269,1.273192406,4.655856609,0.940567672,4.250298977,0.946852148,7.931572914,1.858255029,1.185061812,2.692535162,3.980546951,2.7771101,6.806189537,5.163433075,5.087181091,4.615422249,2.164534092,4.657420158,1.267446518,7.399287224,1.892013669,8.593260765,3.298995972,1.952110887,3.985851049,1.446561456,4.416129589,2.18398428,3.728272915,3.14419961,0.548276782,2.72936058,0.671655059,3.280990839,0.581726432,4.612102985,0.733791411,0.621913552,0.484739959,0.977755904
0.3,6.795659065,14.71361446,7.37229681,17.37450218,3.863694191,7.989888191,3.791987181,10.79306602,2.791590452,2.120151043,5.181127548,10.74404144,6.506837845,8.790855408,6.106112957,6.005366325,11.22330761,7.388051033,19.80449867,9.064445496,15.14406776,7.389972687,14.45487022,5.951961517,8.046952248,16.33260727,7.57828331,14.37193966,8.530817986,13.69373512,13.27906418,3.183398724,18.75651741,3.290360451,18.02058792,2.137097597,19.87811852,1.994595528,2.858407736,8.406451225,19.59066772,11.63933372,14.61527252,9.810201645,14.76893616,15.75205231,4.723756313,22.67289734,3.716377974,15.08801651,3.504794836,22.81102943,2.823503733,3.962705612,3.0415802,3.602853298,1.324698091,1.67028439,0.437856436,0.634724677,8.996286392,5.717146397,10.84271336,8.000164032,10.32176495,9.454126358,5.526731014,8.949472427,3.660593987,12.49918556,4.354437828,16.31030464,4.473662376,4.432124138,8.3772192,4.550551891,9.358257294,6.247220993,8.213492393,10.04632187,5.603882313,8.126494408,3.277983665,10.01446438,3.383352757,12.12517166,3.423817158,3.890851974,8.966663361,4.017136574,7.562278271,4.938629627,7.063352108,8.736139297,3.516816854,8.978475571,2.584738493,9.097103119,1.853768587,11.5497179,1.515071988,2.564198017,2.145077944,2.755924463,1.136251926,1.462956905,0.528963923,0.844374239,4.388532639,2.82427454,5.051254272,3.656466722,5.539999962,4.363520145,1.288698316,4.606400013,0.909823239,4.288965702,0.952499151,8.085600853,1.872855067,1.18112433,2.685324907,4.081541061,2.854998112,6.915957928,5.294421196,5.074659824,4.690757751,2.193002462,4.924739838,1.33355391,7.784506798,1.993756294,8.632650375,3.304972649,2.0028615,4.055577755,1.480282068,4.390808582,2.140713692,3.854793549,3.230081797,0.555795729,2.82233429,0.689354479,3.089807034,0.509517252,4.852830887,0.781949103,0.628363907,0.492478967,0.957078397
0.35,6.297931194,13.63124275,6.841813087,16.60756683,3.61907959,7.497189999,3.55279851,10.13446236,2.633885384,2.00469017,4.947676659,10.26917553,6.207238197,8.588372231,5.950747967,5.790444851,10.89426708,7.190212727,18.85924721,8.632588387,14.78156662,7.200293064,13.85694695,5.708220959,7.727385998,15.82562542,7.330440044,13.99172401,8.316205978,13.25482082,12.92906475,3.093353987,18.15116119,3.21239686,17.63563728,2.086642265,19.26478004,1.93864727,2.785661936,8.212526321,19.05123138,11.29150295,14.22772694,9.552017212,14.44994926,15.49462891,4.664299011,21.96757507,3.583899021,14.86120319,3.441453934,22.43385315,2.74195981,3.870453119,2.993898392,3.630933285,1.350901008,1.721925378,0.450207055,0.683359504,8.806459427,5.592321396,10.63007641,7.841663361,10.09251976,9.267749786,5.408848763,8.785069466,3.58223629,12.34940147,4.348963261,16.06901932,4.360224724,4.346138,8.2502985,4.496471882,9.165121078,6.095409393,8.057594299,9.863433838,5.536705017,8.058433533,3.26052618,9.769523621,3.295383692,11.78997326,3.319992781,3.841360807,8.938075066,4.041295528,7.546616554,4.925308704,6.999529362,8.639701843,3.493150949,9.146263123,2.645525217,9.071065903,1.85571599,11.44444084,1.482458115,2.588604689,2.195246696,2.916730642,1.184187412,1.559197903,0.566579103,0.912373304,4.425489902,2.842242002,5.110486984,3.699802399,5.611582279,4.450478554,1.304694653,4.632791042,0.903551161,4.298715591,0.948339105,8.240480423,1.897075295,1.186718822,2.711302996,4.18891716,2.927598953,7.031060219,5.405724525,5.142156124,4.800828457,2.242702007,5.107252121,1.375540018,7.94206953,2.01693821,8.8913908,3.396139145,2.051903009,4.205529213,1.533040166,4.453685284,2.16581893,3.968708515,3.351380348,0.566847742,2.965781212,0.722379506,3.120633125,0.497551948,5.040122032,0.812527955,0.647219896,0.515544713,0.989951432
0.4,5.798030853,12.54220486,6.302146912,15.69634914,3.33385849,6.93233633,3.276871681,9.399058342,2.45331049,1.868711114,4.659732819,9.705691338,5.859611034,8.231155396,5.698095798,5.519790649,10.43299484,6.903468132,17.81731796,8.132886887,14.24671936,6.929181099,13.16320515,5.452305317,7.339967251,15.14563942,7.002010345,13.38541603,7.96487093,12.70758915,12.45876026,2.974920988,17.29764557,3.082977533,16.9531498,2.013895273,18.43586922,1.851082206,2.676081181,7.894058228,18.28031921,10.78926945,13.6185112,9.159018517,13.97747135,14.96354198,4.512798786,21.05582428,3.445926189,14.21614552,3.287582874,21.85738182,2.670285225,3.734204769,2.883647203,3.56764698,1.332996845,1.715912104,0.453001052,0.697128713,8.539577484,5.414618015,10.28361988,7.565796852,9.742736816,8.958230019,5.237030029,8.512105942,3.487269402,12.02090931,4.243591785,15.59076881,4.155144215,4.212100983,7.995219231,4.374165535,8.851294518,5.885763168,7.843357563,9.57149601,5.390325546,7.89046669,3.21105957,9.438796997,3.177806377,11.45445251,3.176072359,3.74735117,8.717655182,3.95767498,7.368320465,4.829335213,6.853989601,8.414745331,3.40056181,9.053707123,2.624374628,9.019910812,1.823118091,11.14671612,1.444698691,2.54891181,2.191941738,2.968834162,1.187104821,1.572853088,0.575125039,0.932604253,4.397931576,2.814230919,5.062016487,3.659456491,5.553324223,4.41442728,1.285378456,4.626063347,0.893865466,4.157217503,0.914717674,8.1977005,1.879538298,1.16918087,2.681183577,4.167042732,2.917813063,6.977377892,5.353045464,5.097159386,4.775005341,2.223496675,5.12377739,1.396067023,7.787471771,1.955376625,8.895785332,3.405241251,2.045811415,4.231535912,1.527067184,4.405945778,2.146728516,3.949221134,3.350507498,0.558090746,2.994530439,0.720560551,3.173433304,0.508406699,4.917196274,0.778226972,0.640323699,0.511138499,0.990035474
0.45,5.298469543,11.45473957,5.758366108,14.65655613,3.025598526,6.314881802,2.972296238,8.577522278,2.250786781,1.711639047,4.318405151,8.99976635,5.446453094,7.817965984,5.393577099,5.190829277,9.786354065,6.476525784,16.58663559,7.551941395,13.66091633,6.635632038,12.32307625,5.128559113,6.865615368,14.26647472,6.587992668,12.54890156,7.501912594,12.03313065,11.78246307,2.811919451,16.25671005,2.910506725,16.03792,1.906782746,17.45759964,1.743204713,2.527821779,7.488300323,17.36034584,10.22700787,12.94134808,8.703732491,13.41562271,14.22089863,4.299479008,19.96222687,3.273953438,13.56823254,3.125869036,20.97941017,2.57781744,3.557625294,2.752611637,3.414539576,1.274087667,1.659876466,0.435464889,0.660252512,8.209726334,5.197946072,9.784435272,7.183177948,9.283295631,8.581263542,5.015878201,8.202323914,3.379346371,11.43293762,4.028912544,14.89706135,3.903292894,4.037453175,7.667030334,4.194950104,8.457496643,5.647089958,7.551174164,9.168217659,5.160823822,7.630940437,3.109632254,9.144780159,3.067668915,11.05809307,3.020095825,3.605989695,8.368452072,3.786637783,7.079222202,4.627164841,6.613741398,8.093255043,3.256608963,8.722189903,2.521473408,8.609204292,1.706377268,10.66759777,1.370071888,2.439044476,2.104223967,2.875547171,1.145608425,1.492695689,0.551709592,0.894589424,4.232437611,2.71313858,4.909955502,3.559396744,5.328793049,4.21650219,1.234094977,4.466967106,0.86985755,4.053961277,0.901570857,7.859777927,1.831943393,1.134821653,2.599010944,4.035405636,2.836215973,6.749082565,5.140372753,4.936907768,4.597499371,2.14228344,4.971561432,1.371305704,7.376347542,1.850783706,8.588492393,3.289450884,1.977395296,4.086301804,1.466130853,4.236643791,2.067278147,3.794198751,3.168550253,0.524884164,2.879889488,0.702243686,3.126116753,0.517501891,4.613934517,0.738838911,0.617216289,0.492903501,0.953068495
