abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,16.98557091,72.10645294,35.76832962,63.54515076,13.77965832,24.04447365,11.02572441,25.69451332,3.726645947,3.2203722,9.76187706,17.64652634,10.32567596,21.06114197,19.42238235,13.14598942,21.79923439,12.97477341,24.96860123,10.68899059,34.00632858,15.20350647,25.06010056,14.63141632,12.3174963,21.99467087,11.03105354,25.44104576,17.62919807,17.30946159,19.77672005,3.677792072,26.26962852,0.783698678,33.2453804,1.759030104,25.43461227,9.873487473,2.962493658,5.398120403,13.11248589,6.749110222,11.93646145,8.502928734,8.669231415,13.67007542,2.208030462,12.48011875,1.025314927,10.45713711,2.098100901,16.60513687,2.997590303,1.815940976,1.116739988,1.787192106,0.463943064,0.66333276,0.344144255,0.472147912,4.03937006,2.707821369,5.060880661,4.068688393,3.35205698,4.803376198,2.69823122,3.748325109,1.529752374,5.664915562,1.75990212,6.818414211,3.668876886,2.191057682,4.026145935,2.189096451,4.146083832,2.263164282,2.99964118,4.996675014,2.473030806,3.970274687,1.63903892,4.146862984,1.793107629,5.19481802,2.2441113,1.942431211,4.370082378,1.706044674,3.574142218,1.857593298,2.653901815,4.275028706,1.439033389,4.026575089,1.068118095,3.607367277,0.767981768,4.367562294,0.494445056,1.040878654,0.768252552,1.026733994,0.316658556,0.442573756,0.250439882,0.374848098,1.545445085,1.095435262,2.03243947,1.576817989,1.541902184,1.781434178,0.527627349,1.672588706,0.376042604,1.79231739,0.335810453,2.533528328,0.824396074,0.485472113,0.699047863,1.023022175,0.687783957,1.792580128,1.147219539,0.959053934,1.412372947,0.673274755,1.003598452,0.365405858,1.484697342,0.36664775,2.102351665,1.045387506,0.564938903,1.116748095,0.352582306,1.133122563,0.585220754,0.760635912,0.919795454,0.188131213,0.725034952,0.277171642,0.912780464,0.172004372,0.994629502,0.183094457,0.218876332,0.170242369,0.356560707
0.05,16.61192513,70.13123322,34.79726791,61.53722382,13.54837227,23.64785957,10.82934284,25.24383163,3.650634766,3.156802654,9.602259636,17.38841057,10.14200878,20.71121597,19.08320808,12.97159481,21.36807251,12.69941807,24.55632591,10.50996876,33.53434753,14.98386955,24.43572617,14.28768253,12.08876038,21.65121078,10.86407948,25.13409805,17.40247154,16.98916817,19.36726189,3.600108624,25.94256973,0.772204518,32.79598236,1.734803915,24.78787231,9.701406479,2.909380198,5.292737484,12.91932774,6.649575233,11.81466389,8.389162064,8.488790512,13.37850666,2.162149906,12.31758404,1.017249823,10.29544449,2.067200661,16.23857117,2.900463104,1.780423164,1.079830885,1.740618348,0.454599649,0.651783049,0.337041199,0.459131181,3.985617399,2.672133446,5.005131721,4.036617279,3.279283524,4.711190224,2.644318104,3.716985464,1.519335985,5.627425671,1.734185696,6.635677338,3.562214136,2.153108835,3.968162298,2.156089544,4.103617668,2.244714022,2.937063694,4.906707287,2.426408768,3.942327023,1.627049923,4.115479946,1.782987952,5.046539307,2.180235624,1.915528297,4.313258648,1.68827343,3.524183989,1.835397363,2.618884563,4.209494114,1.419065475,4.025956154,1.067888141,3.530675411,0.760109246,4.290615559,0.484007537,1.0343014,0.76140815,1.023292422,0.313898981,0.440316588,0.248030752,0.369200438,1.537454009,1.08901751,2.022572041,1.565639257,1.532772779,1.769361377,0.528467059,1.671769381,0.376571178,1.771066427,0.333713025,2.507422686,0.809086442,0.483255178,0.695024788,1.011004925,0.681271434,1.753492236,1.114128947,0.948090911,1.405966043,0.666282475,0.982188046,0.35863024,1.401318312,0.346779972,2.062367201,1.023866773,0.553812087,1.09979713,0.347546726,1.120760202,0.5829916,0.745382667,0.906924009,0.184490457,0.715088189,0.275159836,0.903000712,0.173527285,0.972955763,0.177502558,0.216247261,0.170288771,0.353237003
0.1,15.94923878,67.12910461,33.31283569,58.38694763,13.20254421,23.05274391,10.53342628,24.57268715,3.540678024,3.065578699,9.371462822,17.02127838,9.885698318,20.2154808,18.59469986,12.69225121,20.74986839,12.30959415,24.00556374,10.27045631,32.94366455,14.71748352,23.51502991,13.76363087,11.77275944,21.17264938,10.62799931,24.69718361,17.07762337,16.54329491,18.77888107,3.488131046,25.41856003,0.753642142,32.21366119,1.701392412,23.87068939,9.435707092,2.829993725,5.149824619,12.68698883,6.51607275,11.63505173,8.242620468,8.241490364,12.98260307,2.100964546,12.1202116,0.996847272,10.13743782,2.042623043,15.77150726,2.792006731,1.73332715,1.024938226,1.660462856,0.438699812,0.625393569,0.321686924,0.435065776,3.907183886,2.624361992,4.942238808,3.992744207,3.184125662,4.588316917,2.577821732,3.664448261,1.506896257,5.574273109,1.703966737,6.379837513,3.423848152,2.105817795,3.891003609,2.114569902,4.071688175,2.224813461,2.866186619,4.797489166,2.378458738,3.891116142,1.609248519,4.086640835,1.771691322,4.887114048,2.108411551,1.884254575,4.255310059,1.674588084,3.454146624,1.815861464,2.577641964,4.130000114,1.397351027,4.027097702,1.069711924,3.457485914,0.747125983,4.220026016,0.4785797,1.028458238,0.752670467,1.008110523,0.307326913,0.430300683,0.238287032,0.347992241,1.530554056,1.083688617,2.01702714,1.556817532,1.527622581,1.758902431,0.530671895,1.664206147,0.37651059,1.772734523,0.337592453,2.487871647,0.794100523,0.48220101,0.692447662,1.001870394,0.676678896,1.715084434,1.081233859,0.933421969,1.400733113,0.658250213,0.957327664,0.352317721,1.312795162,0.327094227,2.000903368,0.989196599,0.540552139,1.076285958,0.33711943,1.089321136,0.574780703,0.724711537,0.890065491,0.179048598,0.690079629,0.267944515,0.865600109,0.167281479,0.951542377,0.167630821,0.209486276,0.162824363,0.340161413
0.15,15.09227562,63.44347,31.49085808,54.58520126,12.76664925,22.30606842,10.16637516,23.74568367,3.411170959,2.958049774,9.098193169,16.58096313,9.583203316,19.64963722,18.03870583,12.3567543,20.05474663,11.87388992,23.35429764,9.99044323,32.23599243,14.4033556,22.58566284,13.19288635,11.41325569,20.6176815,10.35319328,24.16250801,16.68952751,16.05572128,18.12778473,3.366308928,24.81978798,0.732353985,31.45750046,1.660258412,22.94043732,9.157996178,2.743737698,4.997580051,12.41640186,6.365475178,11.39328671,8.065821648,7.97382164,12.58117867,2.036365986,11.86384583,0.968602717,9.932347298,2.012312174,15.31623459,2.695796013,1.6827631,0.968894422,1.582012653,0.421793461,0.583539248,0.301428944,0.40215537,3.814929962,2.568018675,4.867909908,3.939290762,3.083964348,4.451116085,2.50330925,3.601207018,1.490691781,5.537538052,1.674387097,6.132533073,3.29497695,2.055629492,3.794695377,2.05685091,4.056311607,2.208405256,2.793339252,4.678008556,2.319452286,3.809081316,1.578960061,4.059098721,1.76238358,4.713321686,2.025862217,1.842873096,4.171841621,1.647945166,3.361782074,1.78832531,2.524200201,4.027354717,1.365754366,4.009032249,1.06305635,3.382682562,0.731724858,4.141758442,0.471120834,1.015354991,0.737582207,0.989953935,0.302113533,0.415046573,0.225006223,0.323080093,1.517181039,1.07473433,2.007478714,1.549015164,1.512295246,1.743082047,0.529208899,1.65087533,0.375777781,1.788402677,0.345113784,2.452860355,0.768138587,0.478632033,0.687137365,0.993763328,0.673266113,1.663390636,1.042773247,0.915206432,1.39246273,0.648612738,0.93574971,0.346243054,1.231912851,0.312050581,1.922902346,0.939464152,0.525283754,1.045042634,0.321966797,1.051198244,0.562332332,0.701066673,0.867346287,0.172361001,0.656610906,0.254865497,0.834388494,0.160884231,0.928301275,0.154985949,0.199693426,0.150297225,0.319617152
0.2,14.17863083,59.59564209,29.59013367,50.75535583,12.29253483,21.50212288,9.771780014,22.86592865,3.279205322,2.84808445,8.815047264,16.14192963,9.289357185,19.10306549,17.49934196,12.01168346,19.39341927,11.46626854,22.73065758,9.720639229,31.46603203,14.04893303,21.86168098,12.72610664,11.0737381,20.09216118,10.09080315,23.61110115,16.2949791,15.61939335,17.5357399,3.253681183,24.28814125,0.715291202,30.70515442,1.627391577,22.21876526,8.926952362,2.669500828,4.869611263,12.20225906,6.245913982,11.13004875,7.855193615,7.756334305,12.3019371,1.981892109,11.68739033,0.941856027,9.704125404,1.974592328,14.97627258,2.637712717,1.640669584,0.924089313,1.511817217,0.403456837,0.529321015,0.27663821,0.365602136,3.733678818,2.52026248,4.81466198,3.896787405,3.001033783,4.339625359,2.445095539,3.549260855,1.480467081,5.494042397,1.65165627,5.973792076,3.210853338,2.019613504,3.730588913,2.016999483,4.059267998,2.193436623,2.744554281,4.587141514,2.276734114,3.735093117,1.553271055,4.014046669,1.742612362,4.575577259,1.952029586,1.807653308,4.101500511,1.629699588,3.270223618,1.762446523,2.483018875,3.941014767,1.347073197,3.979809999,1.0562464,3.323665619,0.718200505,4.074192047,0.469366938,1.005825758,0.729409635,0.975167453,0.300056368,0.401413858,0.214448303,0.308549941,1.514911532,1.074283123,2.000627279,1.542683482,1.503664374,1.734322071,0.527700663,1.652091384,0.381195784,1.808646798,0.350915939,2.423921585,0.744401455,0.477492481,0.688522577,0.997787416,0.677563608,1.639518857,1.032689452,0.911633253,1.390730143,0.642406881,0.939133525,0.353932261,1.200816751,0.308490217,1.854480982,0.894637823,0.518889427,1.036007404,0.315420747,1.022218704,0.549070537,0.690251708,0.853963256,0.167391986,0.646796882,0.248599097,0.80447942,0.152828336,0.916355193,0.143267751,0.193008915,0.138886273,0.301693887
0.25,13.2349329,55.65839386,27.64620018,46.98685455,11.7835083,20.64375877,9.358146667,21.95044136,3.14792037,2.738163233,8.530063629,15.68828869,9.000577927,18.57739067,16.98213959,11.67938328,18.77242661,11.08530426,22.11957359,9.458123207,30.61525154,13.65105343,21.3156662,12.33918381,10.74920654,19.58641434,9.837656021,23.0266819,15.88861847,15.2221632,17.00752831,3.14728713,23.81382942,0.703857541,29.91964531,1.593145609,21.59747124,8.692466736,2.598443747,4.748027802,11.98225498,6.121140003,10.8912878,7.660051823,7.561043739,12.09858131,1.927885771,11.4953022,0.916584194,9.509419441,1.947449327,14.73427868,2.621586323,1.605590701,0.889920235,1.463464379,0.38809216,0.479414254,0.252840132,0.332833081,3.662098646,2.4778409,4.775922775,3.858214855,2.939722776,4.254048824,2.39739418,3.517184973,1.479067564,5.467069149,1.633194089,5.89279747,3.158206463,1.995204091,3.685638428,1.983168602,4.054573059,2.183084488,2.716034889,4.51279974,2.240643978,3.662369013,1.527789116,3.973229885,1.723442912,4.486159325,1.908960819,1.778113246,4.031707287,1.6079036,3.196112394,1.745333791,2.454379082,3.86618185,1.329770327,3.924647093,1.041309834,3.285344124,0.709894359,4.047787666,0.469132066,0.992971361,0.717668831,0.957614839,0.295597285,0.386890292,0.204439446,0.304768503,1.51212883,1.073530674,1.997040391,1.540524721,1.491885662,1.716858506,0.520406127,1.653177738,0.387170553,1.830243826,0.35416919,2.390109777,0.722893596,0.474737763,0.68806088,1.003917098,0.68268019,1.646924973,1.049773812,0.911483884,1.38218224,0.63625896,0.952228785,0.364262462,1.213557839,0.312934667,1.799922705,0.861281157,0.516522706,1.037494898,0.315626353,1.002909541,0.537515044,0.686955512,0.844041169,0.164127797,0.652071357,0.246574059,0.775697112,0.14472276,0.908645809,0.135313943,0.189017847,0.130965829,0.289623022
0.3,12.33358574,51.9417305,25.80961037,43.57757568,11.28201103,19.79347038,8.954697609,21.0537262,3.02292347,2.632737398,8.252734184,15.2302084,8.722121239,18.06043625,16.48250008,11.35448933,18.19172668,10.73694134,21.51758385,9.202274323,29.68318558,13.23257542,20.85393715,11.99627972,10.4389658,19.09475327,9.590986252,22.44247055,15.46355438,14.85094738,16.54037094,3.053866625,23.38731575,0.694067001,29.11232185,1.560261369,21.04294968,8.45786953,2.531766891,4.636160851,11.75652218,5.993190289,10.64377117,7.455662727,7.415174484,11.91187668,1.872132421,11.33119583,0.891783893,9.291407585,1.901225209,14.49710655,2.584877014,1.565689087,0.860082746,1.413354158,0.372894704,0.434379846,0.233917668,0.307276249,3.58240962,2.423415184,4.713319302,3.801856995,2.87253809,4.15309906,2.344290495,3.458489418,1.46227622,5.385306358,1.61112535,5.798973083,3.094775677,1.960571885,3.619612932,1.938366294,3.997231483,2.144597769,2.674542427,4.404569149,2.187046051,3.555462599,1.483648539,3.883868694,1.671248794,4.379673481,1.85923624,1.729896069,3.917375803,1.562453389,3.092327595,1.703095675,2.402861834,3.750771999,1.295544624,3.79090929,1.009434462,3.211530924,0.690221429,3.991737127,0.467515051,0.965744793,0.691270888,0.920595169,0.286044717,0.361989766,0.190836981,0.297268003,1.487950563,1.058226228,1.966792226,1.521700978,1.458432078,1.673459291,0.502572834,1.632777452,0.389364064,1.823994637,0.346001059,2.322674751,0.692906916,0.464224786,0.677259326,0.995449245,0.677342355,1.634278536,1.048305154,0.901396871,1.350082397,0.623288274,0.950615704,0.368689656,1.219983578,0.314084202,1.731549025,0.823392808,0.508580804,1.025582075,0.312296271,0.975948811,0.518741369,0.675537586,0.824969947,0.160035312,0.652514279,0.242616922,0.74825722,0.142424822,0.891421854,0.129792199,0.185021669,0.125104696,0.276439071
0.35,11.35413361,47.90086746,23.81232643,40.02576065,10.71135998,18.82591248,8.500691414,20.04550362,2.884977341,2.515992641,7.948997974,14.72808552,8.423544884,17.44329643,15.8931694,11.00652027,17.57150269,10.35815144,20.86408806,8.92617321,28.54606056,12.7173624,20.44915009,11.69856644,10.1046505,18.54846764,9.310632706,21.76116371,14.97758102,14.46845818,16.05482483,2.958411455,22.86205864,0.681676567,28.24927521,1.524797201,20.49344254,8.213957787,2.461736441,4.52576685,11.51194191,5.844736576,10.42747593,7.278991222,7.292684555,11.7299614,1.826560497,11.11851025,0.860437214,9.079277039,1.843689561,14.24549866,2.546405315,1.525661826,0.832295001,1.370760798,0.359866619,0.398082942,0.220110476,0.288219154,3.498134375,2.364455462,4.633919239,3.729349375,2.808799028,4.05718565,2.29156971,3.381223202,1.432353854,5.247516155,1.585211635,5.743770123,3.053263426,1.922578573,3.554661751,1.895484447,3.900195122,2.080704451,2.628950834,4.299965858,2.134534836,3.456389427,1.445216179,3.74591279,1.599880576,4.289669037,1.812243462,1.682758212,3.807986975,1.515895009,2.977171898,1.647657752,2.353073835,3.648713589,1.264460444,3.645406485,0.97392422,3.105254889,0.658812702,3.940843582,0.468665421,0.936114252,0.664456069,0.890662551,0.279918522,0.342559814,0.181110695,0.291819274,1.460363626,1.039962649,1.928282857,1.493596911,1.422479868,1.625974894,0.483973473,1.615083933,0.394143462,1.780355692,0.331623971,2.256069422,0.668416619,0.454361171,0.667373896,0.994705141,0.678610325,1.606749415,1.033030152,0.893768668,1.32277894,0.617242336,0.957351446,0.37804231,1.174812078,0.303623497,1.682742357,0.798279524,0.504846573,1.028628349,0.313291609,0.958070636,0.503805637,0.670895159,0.823128819,0.158763751,0.663289845,0.240767479,0.762438536,0.148948342,0.888330877,0.128318354,0.184482843,0.122636229,0.264752626
0.4,10.36605167,43.84420013,21.80924606,36.60519409,10.1071043,17.79648209,8.023490906,18.97278023,2.739863396,2.392285824,7.617004871,14.15566063,8.087431908,16.74194527,15.23305511,10.62666893,16.90101624,9.954691887,20.09339905,8.602006912,27.28773689,12.13143158,20.04112625,11.39087391,9.729944229,17.91306305,8.989351273,20.94380569,14.38401413,14.02731419,15.52895355,2.858328104,22.19270515,0.664839923,27.18807793,1.483066201,19.90287781,7.936971664,2.383035183,4.409291744,11.21736813,5.681363583,10.20278168,7.127490044,7.1582551,11.48703957,1.770837665,10.85524273,0.828850031,8.888960838,1.786610484,13.93525505,2.480672836,1.47836113,0.804275393,1.310786963,0.351039618,0.37396878,0.210622355,0.280220389,3.392174959,2.291160583,4.495511532,3.61015892,2.741419554,3.938046932,2.228951931,3.275725603,1.386673689,5.047122478,1.543929577,5.685054302,3.021895409,1.873947263,3.458265543,1.843359232,3.776923895,2.010520458,2.576016903,4.164621353,2.070977211,3.352561235,1.403628469,3.603063822,1.527227402,4.18080616,1.761349916,1.63063395,3.692711115,1.470140696,2.859983683,1.587600708,2.29622364,3.548235893,1.233545303,3.502342224,0.942768514,2.975954056,0.628176272,3.862963915,0.47004348,0.909014523,0.641096056,0.863415003,0.277323931,0.330810547,0.175540298,0.286063224,1.430862665,1.018409133,1.87992239,1.458485007,1.38909626,1.582792163,0.467559308,1.593724847,0.39432165,1.729977012,0.314718008,2.199692965,0.652269125,0.444292635,0.657343626,0.988279462,0.673846006,1.575200915,1.014824986,0.886664987,1.29938066,0.612310529,0.948958278,0.375851512,1.152429819,0.296818137,1.650525808,0.782627702,0.49902913,1.029030681,0.313592523,0.940309882,0.490985125,0.663680732,0.819478333,0.157350913,0.664103806,0.236498207,0.770251513,0.153551757,0.880346,0.129481897,0.183072463,0.12390779,0.258588612
0.45,9.367366791,39.75337601,19.78877258,33.28639603,9.459326744,16.69599915,7.516200066,17.84286308,2.588487387,2.262510061,7.26502943,13.55004597,7.73595953,15.95110703,14.49515057,10.22714424,16.17422676,9.51998806,19.27971458,8.254916191,25.8499279,11.48589706,19.50095367,11.01238251,9.31974411,17.20350647,8.630355835,20.05082321,13.73813534,13.54859924,14.94284725,2.751681805,21.3859272,0.643033683,26.06342506,1.442422271,19.2768116,7.631885052,2.297070742,4.288959503,10.888731,5.495688915,9.912136078,6.923165321,7.006910324,11.1643877,1.710396051,10.54412365,0.788401961,8.639719963,1.726871967,13.59449196,2.39404726,1.422840357,0.769892871,1.240154624,0.338735938,0.35943228,0.20437263,0.274630964,3.275349617,2.212696791,4.327332973,3.461107969,2.664251566,3.79962039,2.153185606,3.150038004,1.33225596,4.790973186,1.488651633,5.566650867,2.955008268,1.811185241,3.333904028,1.776918054,3.619233608,1.922300577,2.504965067,4.00210762,1.993118167,3.214276075,1.345087767,3.424387455,1.436469913,4.043467999,1.695485592,1.562314272,3.547418833,1.412808061,2.73217845,1.516459107,2.214708805,3.42771697,1.197008014,3.340176105,0.906993091,2.819044113,0.59790951,3.754189253,0.467289358,0.877749741,0.615233421,0.834220052,0.276369661,0.324174404,0.172745317,0.282179624,1.391692877,0.990965009,1.794285655,1.393049717,1.347865701,1.531273007,0.453193784,1.555696487,0.38830775,1.626817226,0.294447422,2.1322124,0.638787806,0.432368785,0.645999134,0.977719426,0.66499728,1.554350615,1.006737709,0.874699831,1.28404355,0.610375464,0.929775417,0.367606431,1.144491792,0.293907732,1.640440941,0.782228529,0.494754136,1.027907133,0.313168347,0.938298225,0.488676995,0.655977249,0.811990619,0.155653298,0.667858422,0.237729236,0.77985096,0.153366297,0.874018788,0.129864886,0.182922691,0.125206977,0.253660798
