abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,60.65302277,52.50483322,26.21055603,43.55381393,12.8232336,23.58122826,12.00056934,27.93544769,7.247195721,5.128468513,11.64547253,24.02913475,15.08867455,13.3207531,9.819023132,16.43858528,22.17408943,13.66354465,48.30208206,20.82255554,22.60774612,11.11898518,28.93317795,13.7113266,16.93085289,31.72973633,12.1653471,24.18605232,11.48073864,28.95245171,29.01672363,4.926609516,31.74758911,3.183146238,25.37706184,1.968080521,43.2025528,6.124688625,3.797267675,9.864336014,24.8473053,13.45830059,18.78193283,11.65244675,13.85330009,21.469244,5.100378513,25.43528366,2.37662673,15.33819485,3.642716408,24.80831146,3.996390104,3.719201565,1.81600523,2.724446535,0.510004818,0.867795229,0.186827093,0.324046791,9.021320343,5.471342087,12.00350571,8.947152138,7.094564438,10.42153645,5.900668621,8.24365139,3.942326307,12.87114143,4.028087139,13.09535599,4.979169369,4.69464159,9.061189651,4.375697136,9.426620483,5.211741447,6.146893978,11.42674255,4.73237896,8.357806206,2.756005526,8.382367134,3.614711523,9.96968174,3.101762533,3.400656462,8.52794075,2.839154482,6.876428127,3.427829266,4.468400478,8.758487701,2.597937584,6.866234303,0.992446005,6.490023136,0.989613175,7.73803854,0.496059299,1.272493958,0.759552836,1.369547009,0.520938277,0.895948827,0.32761544,0.515022576,2.770450115,1.857909203,3.551520586,2.839266062,1.78335166,2.898728132,0.750925362,2.626400471,0.787554443,3.211544752,0.73860085,3.589853764,0.886165321,0.783924699,1.047091961,1.725425959,1.101477265,3.311625242,2.148719549,1.358787775,1.932728529,0.790981054,1.568517208,0.511297405,3.305836201,0.792409539,2.708342314,0.989445567,0.714164674,1.489877343,0.395576715,1.429821014,0.605622172,0.921258688,1.133207202,0.170283392,0.845032752,0.180101871,1.300897598,0.252084762,1.276770592,0.193394288,0.187079668,0.109585352,0.20665428
0.05,57.77347565,50.31942749,25.13772011,41.9078598,12.65664577,23.37529373,11.83882523,27.6645546,7.17543602,5.066577911,11.53072834,23.87680054,14.93836403,13.41664505,9.86350441,16.37229538,21.97294998,13.49410534,47.88950729,20.59972763,22.92638588,11.28345013,28.95628929,13.78138447,16.80643082,31.71499252,12.15341377,24.41015434,11.56887913,28.75967026,28.70101738,4.905242443,31.87709999,3.172653913,25.66838264,1.98342669,42.69741058,6.058754444,3.781652689,9.799675941,24.93666077,13.51199722,18.83638382,11.60490322,13.6496706,21.32557487,5.108800411,25.58085632,2.402765036,15.29774666,3.636120558,24.24780464,3.97519803,3.729709625,1.805446506,2.653774261,0.490422249,0.808937669,0.177475721,0.304162681,9.061737061,5.502787113,11.89352131,8.857783318,7.096332073,10.41115189,5.891914368,8.278119087,3.965306759,12.58268738,3.929727316,13.07319641,4.964577198,4.68782711,9.038627625,4.36603117,9.436785698,5.231461525,6.129345417,11.47986221,4.740904331,8.268855095,2.731721878,8.375786781,3.61397934,9.955062866,3.088003159,3.388834953,8.544945717,2.857067347,6.864328861,3.403345108,4.443498135,8.726262093,2.57307291,6.874625206,1.000198364,6.421952248,0.968614161,7.736228943,0.507221401,1.270256877,0.745244384,1.356657863,0.51273948,0.85687393,0.311501056,0.488327384,2.767232656,1.852734566,3.535403728,2.828927755,1.77445209,2.89401269,0.747274458,2.610525608,0.782392859,3.117749691,0.714612484,3.582015038,0.881751955,0.776445746,1.034406424,1.693160772,1.082733393,3.18065691,2.050879717,1.332299113,1.906121731,0.784253001,1.542294264,0.503435016,3.037641287,0.725976229,2.643653631,0.970175922,0.69588393,1.456910849,0.388208687,1.403524637,0.589624882,0.889311135,1.101959825,0.166809812,0.824884117,0.171351433,1.230194211,0.236475244,1.235954404,0.189029694,0.179998517,0.104060814,0.201845512
0.1,54.91204834,47.84027863,23.91583061,39.94392395,12.47687531,23.23130417,11.72677326,27.53633499,7.138978958,5.035559177,11.48690891,23.81128502,14.82958698,13.6349659,10.03991413,16.36082268,21.87651062,13.38462639,47.53522491,20.42228317,23.58433151,11.5951004,29.0186615,13.82960606,16.73530769,31.7305336,12.15180206,24.81871796,11.75263119,28.68822289,28.41512299,4.881582737,32.08068085,3.1704638,26.27997971,2.02451992,42.35519791,6.013415337,3.776639223,9.788500786,25.07229805,13.5897789,19.00642395,11.68931198,13.56149197,21.22901917,5.100614071,25.80021095,2.432825804,15.47134876,3.682758331,23.96935272,4.003716469,3.746791363,1.822597265,2.658923388,0.490608662,0.820029557,0.181031778,0.305300206,9.100933075,5.531938076,11.89161587,8.851449013,7.131856918,10.39193153,5.877497673,8.295984268,3.982675552,12.41154766,3.873335838,13.14925861,4.995668411,4.687767982,9.031637192,4.371295929,9.444970131,5.230115414,6.128035545,11.50683594,4.75099659,8.215083122,2.723436356,8.328606606,3.602241039,9.93414402,3.063882828,3.382733345,8.540800095,2.863326073,6.879234314,3.413371086,4.436574459,8.668156624,2.551746368,6.847620487,1.001477718,6.457994938,0.96514231,7.799318314,0.522207737,1.267824411,0.744792461,1.371698976,0.516462207,0.847127616,0.305422813,0.473851174,2.763149738,1.849155068,3.515394211,2.813615561,1.776729107,2.887879133,0.745007277,2.609337568,0.781747222,3.047968626,0.696967542,3.593899488,0.884623885,0.773228407,1.034049153,1.69171977,1.081373692,3.12247014,2.010314941,1.332198977,1.905535698,0.787779808,1.55003953,0.502286732,2.90144825,0.692636788,2.639981747,0.971868575,0.69165808,1.458386064,0.388643771,1.405000806,0.586129427,0.88052392,1.099073648,0.165540829,0.82805711,0.170847699,1.225625992,0.236749962,1.241225362,0.190290898,0.179525837,0.104769588,0.210281655
0.15,51.79623795,45.11360931,22.57013321,37.8272171,12.24773502,23.0097084,11.59375763,27.45661163,7.119270325,5.016694546,11.4774065,23.84305,14.75137711,14.19868851,10.47810555,16.41173744,21.89863968,13.34665108,47.26995087,20.2944603,24.86312485,12.19352913,29.25488281,13.98160934,16.75578499,31.99282074,12.2530098,25.69662476,12.17513847,28.80753326,28.22752953,4.867313385,32.66770172,3.206505537,27.56907272,2.120454788,42.29822159,5.995334625,3.804023743,9.889852524,25.4993,13.85117245,19.46385956,12.02291107,13.61379147,21.28693008,5.131342888,26.50020218,2.510244608,16.10727119,3.834842205,23.96347618,4.083951473,3.814049006,1.872606874,2.679626226,0.497532159,0.881111205,0.195384905,0.32294482,9.266762733,5.640626907,12.07751846,8.970892906,7.282374382,10.46613216,5.916391373,8.429727554,4.064981461,12.34416103,3.854930639,13.44643879,5.112960815,4.748297691,9.124713898,4.432631969,9.551775932,5.300213337,6.191915512,11.63983154,4.802620411,8.251689911,2.76146102,8.368253708,3.610468864,10.03320313,3.067710638,3.416147947,8.612744331,2.897279263,6.981336117,3.47010231,4.48105526,8.673930168,2.550299883,6.847982407,1.013565183,6.624902248,0.972834289,7.922124863,0.539065719,1.277087569,0.750891864,1.398682117,0.520515442,0.826689124,0.296489567,0.447447747,2.774438858,1.857028246,3.520147324,2.812661409,1.798015475,2.90312767,0.748499632,2.610390186,0.779141188,2.972619534,0.677465618,3.639575958,0.903854609,0.773259163,1.041176558,1.701973319,1.086534381,3.102666378,1.997223377,1.341391325,1.911700487,0.794872105,1.572799087,0.504565656,2.781065226,0.656024158,2.669979572,0.9898175,0.691845536,1.469019055,0.392207026,1.418197155,0.583898246,0.876831651,1.111246109,0.164881408,0.841355145,0.173183829,1.214480042,0.236005008,1.265542507,0.193190902,0.180423737,0.107769631,0.227208063
0.2,48.68257904,42.389328,21.2245121,35.79579544,11.96351051,22.69599342,11.43785,27.4562645,7.127771854,5.014047623,11.49359989,24.16458893,14.83455563,15.33497334,11.36983299,16.5332222,22.20236969,13.47685814,47.58559036,20.43182564,27.3357563,13.34510231,29.92481232,14.33596039,17.04515648,32.97904205,12.6465292,27.82055473,13.2429657,29.38008118,28.30440903,4.882423401,34.12840652,3.337372065,30.90539551,2.415096045,42.85805511,6.076611042,3.930169106,10.30746937,27.20121574,14.8579483,20.83731079,13.07800579,14.15812874,21.86468315,5.287156582,28.54884338,2.764547825,18.24901962,4.365911961,24.81435585,4.431652069,4.069036484,2.043204784,2.87122798,0.541867852,1.081490278,0.239895418,0.37172389,9.928752899,6.060490608,13.07070923,9.678121567,7.856963634,10.8971014,6.158409595,9.114853859,4.426087856,13.29282951,4.108792305,14.61190605,5.6121068,5.076043129,9.772140503,4.773272038,10.22609329,5.757557392,6.676865101,12.128829,5.003292561,8.834572792,2.979925871,9.418201447,4.021453381,10.96825695,3.308512449,3.657033443,9.085897446,3.05312109,7.706614017,3.851634979,4.863149166,9.019163132,2.661590576,7.227318287,1.077930212,7.42893219,1.077052116,8.400947571,0.583035409,1.353765249,0.808612764,1.487561703,0.540385842,0.846552134,0.290983379,0.417143345,2.896129608,1.955163121,3.725446939,2.958121777,1.921922445,3.038440228,0.778779089,2.758492708,0.814617991,3.144156218,0.728590727,3.859530926,0.958523512,0.812496543,1.102924228,1.810085654,1.153018832,3.363855839,2.164146423,1.423197031,1.99547863,0.831306875,1.706358194,0.55181241,3.017873764,0.7012164,2.882190704,1.046365023,0.736880779,1.563425064,0.411129892,1.530253172,0.611156642,0.934653401,1.206258178,0.170843765,0.905131102,0.185803086,1.267358303,0.235039383,1.402718663,0.211192533,0.189521402,0.122412398,0.248697266
0.25,45.57320404,39.66436768,19.8780365,33.79583359,11.60369968,22.22923088,11.19272041,27.19587898,7.081931591,4.971557617,11.44704247,24.36995888,14.85313892,16.31730652,12.10226345,16.63092995,22.42766762,13.59571457,47.6749649,20.48215294,29.52262497,14.3474617,30.11000061,14.44003868,17.23838997,33.86260986,12.95047188,29.770998,14.13842869,29.87690735,28.30984497,4.887327671,35.25727081,3.403831005,33.71843338,2.648906469,43.66920853,6.224676609,4.024550915,10.64229488,28.23042297,15.45638561,21.92130661,13.85016537,14.71668816,22.27658653,5.341300964,29.95369911,2.862391233,19.17678833,4.513377666,25.77416229,4.573473454,4.160643101,2.15611887,2.99373126,0.567877412,1.100416541,0.235983536,0.359060049,10.21879292,6.239722729,13.33133125,9.889436722,8.061264038,11.02848911,6.228019238,9.466576576,4.592204571,13.64314079,4.227571011,14.89399338,5.726727486,5.19963789,10.0392704,4.894618034,10.46651745,5.841893673,6.805686474,12.34447575,5.079586983,9.095293999,3.074496746,9.423656464,4.035134315,11.05787373,3.322552681,3.726863384,9.322898865,3.146920681,7.787308216,3.866244555,4.917516708,9.172676086,2.655967712,7.588650227,1.109836102,7.514814854,1.082852125,8.625191689,0.601462603,1.372909069,0.831539035,1.489292502,0.548192739,0.780163169,0.275309056,0.403325945,2.924397469,1.96291554,3.701807976,2.935003281,1.944730043,3.04191494,0.784982741,2.738003731,0.817621112,3.119695902,0.744254053,3.855048656,0.939498484,0.81504333,1.105618834,1.790334821,1.140419364,3.28990674,2.136770248,1.413972735,2.005885363,0.830693603,1.648332238,0.529896498,2.902188301,0.660295308,2.846983194,1.056168437,0.723474503,1.545799375,0.408492863,1.499596357,0.612500727,0.909081459,1.178262591,0.168661565,0.896041691,0.186724871,1.200913906,0.238966644,1.304063797,0.197796315,0.187865376,0.115029387,0.248480648
0.3,42.69714737,37.15281296,18.63691139,31.93804359,11.17785168,21.5488205,10.83248806,26.49525642,6.935120106,4.865943432,11.15337467,23.76096725,14.38451958,16.37690544,12.07078362,16.23989677,22.01202583,13.29230118,45.96175385,19.69668007,29.53559303,14.39664745,29.76806641,14.17684269,16.74305916,33.22262573,12.72130585,29.38677025,13.95057106,29.16845703,27.69091225,4.829372406,34.84019852,3.36942625,33.46056747,2.593609571,42.47488785,6.04561615,3.960400105,10.55024529,28.35891724,15.48484325,22.09223938,13.89796448,14.85928726,22.19356155,5.344764709,30.22223091,2.887939692,19.4839344,4.609313488,25.95981598,4.620197296,4.187146664,2.227861881,3.14008379,0.615544856,1.200357914,0.255264342,0.396990508,10.32011032,6.336099148,13.31968594,9.839715958,8.212000847,11.06366634,6.249504566,9.763380051,4.73833847,13.8112278,4.296080589,15.4546957,6.128676414,5.329093456,10.28435516,5.035885811,10.56947899,5.855453491,7.031616211,12.53037548,5.163219929,9.43036747,3.222169876,9.382894516,4.117067814,11.58420944,3.521505833,3.856711864,9.51065731,3.247197151,7.989017487,3.932465553,5.11832428,9.345733643,2.672572613,7.918553829,1.156608343,7.546198845,1.086839557,9.004386902,0.626582623,1.405473351,0.879398346,1.596195579,0.572174013,0.754592896,0.268884987,0.366606295,2.964232922,1.989546061,3.721046925,2.958513021,2.008286953,3.084473372,0.800075948,2.809984446,0.83294642,3.111400604,0.780099213,4.022372723,0.988231182,0.838593364,1.143971562,1.829571486,1.1727314,3.358489275,2.212327003,1.468860984,2.094336987,0.85528481,1.730754495,0.546964526,2.986096859,0.680916846,2.930966854,1.101168871,0.747701526,1.618741035,0.430392534,1.530438423,0.610454202,0.946674943,1.223893881,0.176791281,0.980898499,0.208207011,1.237215638,0.255700976,1.402733207,0.212332025,0.202878699,0.131122589,0.286198139
0.35,39.58543777,34.43048096,17.28999901,29.90141678,10.63299942,20.68202209,10.42063332,25.64206505,6.733965397,4.726761818,10.82330036,23.11299515,13.92758846,16.31057739,11.98929596,15.89557076,21.65869904,13.05920696,44.36339188,18.97551155,29.24905396,14.22329903,29.1848278,13.81732655,16.25761604,32.45459366,12.44274616,29.20493126,13.82635784,28.52957153,26.95558167,4.727023125,34.13465881,3.27767396,33.12042618,2.536870003,41.51687622,5.951861382,3.872564554,10.32677269,27.65849113,15.07930756,21.66594887,13.48520565,14.65025806,21.59224319,5.189280987,29.64398575,2.81559968,18.52243614,4.280146122,25.43311882,4.445549011,4.046771526,2.194450617,3.106093884,0.585009158,1.107402325,0.236791655,0.35743764,9.982518196,6.100635529,12.50855923,9.282424927,7.958389759,10.69929504,6.035580635,9.459141731,4.60436058,12.88424778,3.992116451,15.02779865,5.844660759,5.130113602,10.01122952,4.909665585,10.09711933,5.505206585,6.795116425,12.09263802,4.992008209,9.40293026,3.204557419,8.86730957,3.817349434,11.19943333,3.364563704,3.748012304,9.335353851,3.191941261,7.830151081,3.871448755,4.967077732,9.085770607,2.587489367,8.032314301,1.210283518,7.653338909,1.106703877,8.887180328,0.601741612,1.41609931,0.916677415,1.679928303,0.580936134,0.741725147,0.281350344,0.354396313,3.002287388,2.007975578,3.663178205,2.896867752,2.040583611,3.112699747,0.809072554,2.89504981,0.881162584,3.105458736,0.765452087,4.079304695,0.98809582,0.857631922,1.161062837,1.830734134,1.160049558,3.207914352,2.115549088,1.492207289,2.120225906,0.872035384,1.684996486,0.534379005,2.844968557,0.628661215,2.916567087,1.123311877,0.743383706,1.618991852,0.432375371,1.570831895,0.64441359,0.943505466,1.224349499,0.179322585,0.984647989,0.210622832,1.295654178,0.274804711,1.335877419,0.200501144,0.205642894,0.130562574,0.29555282
0.4,36.46841049,31.6827774,15.92872334,27.82504272,9.980416298,19.71112633,9.991186142,24.76250839,6.520613194,4.576954842,10.39854717,22.1465168,13.27121258,16.04071236,11.76288605,15.08287525,20.94199181,12.61170197,42.12343597,18.04276085,28.87040329,14.07055378,28.04088593,13.27413273,15.59239197,31.31084633,12.07466507,28.61157227,13.63010979,27.38882446,25.96700668,4.592237473,33.02581406,3.205704689,32.60902405,2.508868456,39.70689392,5.810556889,3.783399105,10.10329819,27.28810501,14.905509,21.43713379,13.46549797,14.52333641,21.02173996,5.08748436,29.63445282,2.791250944,18.72625732,4.253448486,25.50133705,4.557682991,4.010228157,2.252364159,3.226140738,0.606739402,1.152779937,0.251644611,0.384961158,9.89258194,6.032313347,12.69767666,9.404568672,7.933587551,10.62086582,5.966042519,9.527620316,4.613790512,13.33455753,4.165915012,15.26739407,5.91126442,5.142561436,10.05781651,4.919748306,10.09820747,5.435151577,6.857757092,11.88591576,4.853334904,9.603507996,3.263326645,8.754213333,3.753991842,11.45755291,3.339954853,3.731744289,9.159115791,3.12589097,7.714359283,3.786084175,4.956583023,8.972633362,2.552646637,7.79486227,1.182951093,7.553515911,1.06922853,8.87531662,0.58878094,1.387687802,0.89283371,1.657268047,0.580884576,0.772505403,0.280918181,0.347780824,2.935001612,1.969518781,3.594218969,2.833823442,1.998120427,3.055625439,0.801640987,2.815602064,0.851993918,2.952917337,0.723237336,4.063042641,0.996032715,0.838854253,1.130556703,1.808737278,1.144669056,3.189498186,2.079757214,1.436234117,2.072711468,0.855625451,1.671436191,0.541431844,2.772758245,0.614239931,2.836809158,1.089658499,0.733648598,1.581287384,0.415699154,1.551012039,0.624634147,0.929110408,1.212559581,0.177435249,0.949434876,0.198827118,1.232862473,0.249243215,1.305096269,0.193012089,0.19637987,0.124568827,0.282437205
0.45,33.35716248,28.9658947,14.57906151,25.76228714,9.241814613,18.8277092,9.68490696,24.07586288,6.308759212,4.417573452,10.04078102,21.46835327,12.83703899,16.03063202,11.74204159,14.44171333,20.43836403,12.30596828,40.71237183,17.4487896,28.90032387,14.03939629,27.22606468,13.0030098,15.18114853,30.74178314,11.93450165,28.94695663,13.81523037,26.60534096,25.06639862,4.425678253,32.56572342,3.197978497,33.46832657,2.623283863,38.64826965,5.737075329,3.748972178,10.009902,27.4739933,15.11185837,21.58666801,13.75686073,14.56612492,20.66641617,5.003891468,29.90755653,2.911249876,19.71492767,4.448241711,25.62709045,4.673161507,4.060321331,2.300446987,3.27801013,0.634829164,1.26500833,0.273673028,0.427980602,10.09682465,6.174116611,13.19718361,9.803037643,8.066548347,10.57002735,5.920314312,9.913537025,4.830827236,14.17896366,4.339068413,15.27616692,6.007833004,5.256946564,10.27816486,5.033740997,10.35882282,5.71678257,7.026660919,11.96030331,4.930602551,9.655934334,3.291991949,9.321527481,3.876536131,11.55279446,3.406813383,3.789066792,9.286534309,3.158680677,7.812635899,3.851325512,5.056258678,9.068377495,2.576046228,7.831927299,1.203928709,7.327992439,1.053124905,8.718899727,0.597707689,1.40322125,0.904985845,1.665550709,0.58777976,0.75300467,0.276946664,0.377462834,2.944296598,1.979302764,3.618109941,2.848502398,2.043138504,3.058448315,0.80621922,2.845543385,0.884175003,2.997175217,0.724724352,4.036172867,0.983249068,0.850903213,1.160097718,1.85678339,1.178493381,3.20100379,2.117100477,1.462842822,2.133525372,0.88094312,1.709355831,0.546797276,2.893241405,0.645864964,2.921126604,1.128298879,0.75431633,1.621642351,0.428271055,1.641285539,0.674218655,0.945066154,1.234191179,0.180413052,0.965092123,0.203759849,1.390139222,0.286636382,1.326513052,0.202951029,0.205263779,0.123772539,0.279555857
