abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,6.439997673,20.03926849,10.05038357,16.7407074,3.188824654,6.208632469,3.277658224,10.5275898,3.037852287,2.233361721,5.173687458,10.66280746,6.86063385,10.93467522,8.483336449,8.92370224,12.93577194,8.18075943,20.97622871,8.884684563,22.49408913,12.02834129,28.03971863,16.67101097,10.07491112,21.7466774,9.402190208,22.49081421,11.11184883,17.90369415,18.87161827,3.875963449,24.49316025,3.00873208,32.54307938,2.33390975,29.97708321,6.052089214,3.510806322,9.362106323,23.29410553,12.71210194,17.67528915,6.154757023,14.10159683,23.07471466,5.661387444,30.91769218,2.32274437,8.401350021,2.502910137,35.21709442,9.356061935,4.470790386,4.313200951,8.080316544,1.005509973,2.675724506,0.643355846,0.993200243,11.38608837,6.798556328,12.76485443,6.413956165,7.43817997,12.96641636,5.90380764,15.98711967,7.704467297,11.26833916,4.304948807,17.92226219,6.854768753,6.6106143,14.80205822,5.762189388,10.95623207,3.503075123,8.85283947,17.66703415,6.930018902,15.60973358,4.372926235,7.205317974,3.599371672,18.94005013,6.852235317,5.225414753,10.73865128,3.703086615,8.994678497,3.769736767,7.054912567,12.23940182,3.018904209,10.62857151,1.858067274,9.249638557,2.504813671,13.69474316,1.133211851,2.09483552,2.040154934,3.540806293,1.294265747,2.530962944,0.948499262,1.287944317,3.710586309,2.556567669,4.325880527,3.230522394,2.818108797,3.577360392,1.047209501,4.286401272,1.041924119,4.639426708,1.070036173,5.558809757,1.685300708,1.1468575,1.547439694,2.483857155,1.734616995,3.823537111,2.529478788,1.984072208,3.244703054,1.432046652,2.692001581,0.815338016,4.585565567,0.974659979,4.687277317,2.167910099,1.23769474,2.851692438,0.834701478,2.515875578,1.184112549,1.605939269,2.57429719,0.345133483,2.308948994,0.435280263,2.986432791,0.405860662,3.056556225,0.50159061,0.406086177,0.384189993,0.902821064
0.05,6.254477501,19.51616859,9.792459488,16.2865715,3.140341997,6.13491869,3.234600067,10.39500713,2.996659994,2.205453157,5.120504856,10.55998707,6.783791065,10.89707947,8.465257645,8.845053673,12.83543777,8.110298157,20.73955345,8.779251099,22.53030586,12.03052711,27.73548889,16.47783852,9.980697632,21.50431442,9.313236237,22.2812748,10.99438953,17.75701523,18.70451927,3.845410347,24.25495911,2.970932007,32.21434784,2.301784277,29.59877777,5.971978188,3.470434189,9.266227722,23.06773758,12.57937145,17.58335304,6.072664738,13.95184326,22.79115868,5.593102932,30.67973709,2.31320858,8.264574051,2.471277237,34.9886055,9.330223083,4.435111046,4.284751415,7.995422363,0.991161644,2.63882041,0.636318088,0.98463124,11.24614811,6.712879181,12.66591644,6.363256931,7.383774281,12.84493923,5.85076952,15.76799202,7.592085361,11.23410702,4.303951263,17.71142387,6.750844002,6.531762123,14.62810516,5.685787678,10.82543945,3.455697298,8.743494987,17.41633797,6.799769878,15.38926697,4.331048012,7.095601559,3.542952299,18.70255089,6.779274464,5.1557374,10.60604572,3.653156519,8.887598991,3.72619915,6.957085609,12.08375359,2.979071617,10.48704529,1.83317399,9.160230637,2.490282059,13.4772253,1.111414313,2.068407059,2.014998198,3.491361141,1.272865534,2.491155624,0.934082747,1.271951318,3.667508841,2.527824879,4.287052631,3.201439381,2.782682419,3.537865162,1.031237602,4.240852356,1.026596308,4.606899261,1.056880116,5.489148617,1.660131693,1.130150557,1.524877429,2.445133448,1.70884645,3.764685154,2.493590593,1.954375744,3.194457293,1.406714797,2.650807142,0.802994013,4.525826454,0.961112201,4.601841927,2.132136822,1.217566013,2.802229643,0.819783032,2.471438885,1.162137747,1.57856214,2.535263062,0.339081466,2.270455599,0.425341427,2.942278862,0.397497773,3.009121656,0.494458258,0.398153156,0.376419097,0.885684013
0.1,5.947956562,18.55476379,9.317032814,15.47655487,3.054693222,6.015337944,3.168657064,10.22272778,2.944461823,2.169125557,5.062090874,10.475914,6.723454475,10.82975006,8.426218987,8.766648293,12.7413559,8.033638,20.69418716,8.753155708,22.50299454,12.01757431,27.6259613,16.23921776,9.917054176,21.32667542,9.262091637,22.30368614,10.98861885,17.67681885,18.57647133,3.810694456,24.20722389,2.927094221,32.38933563,2.290311337,29.22454262,5.987052917,3.443356991,9.204898834,23.18191338,12.6546793,17.66706276,6.00959444,13.87245655,22.75109863,5.587217808,31.14393616,2.345690966,8.121789932,2.443262339,35.36036301,9.631986618,4.481199741,4.348951817,8.071490288,0.989746749,2.618232489,0.634611011,0.98522383,11.23004055,6.711659431,12.72490788,6.416811943,7.462878227,12.892869,5.854223728,15.70509911,7.541499615,11.38675976,4.366075039,17.69039917,6.781765461,6.522343159,14.50827122,5.621463776,10.87471008,3.459866285,8.719872475,17.34664917,6.733984947,15.25397015,4.295486927,7.086849213,3.536889553,18.84739304,6.818210602,5.125627041,10.56609154,3.626270533,8.853204727,3.722972393,6.910212994,12.04854298,2.951165915,10.39091969,1.820364833,9.145962715,2.498677969,13.33773899,1.096955538,2.054766893,2.00028038,3.443184614,1.251470089,2.451319218,0.919884026,1.256041884,3.644540071,2.509026051,4.247949123,3.172802687,2.768211126,3.510044336,1.019439459,4.204982281,1.016162157,4.569292545,1.045302153,5.454445362,1.644093394,1.118260503,1.508375764,2.426968098,1.698902726,3.723291397,2.472178459,1.93682003,3.155647516,1.388278842,2.645770788,0.801009297,4.480808258,0.951013625,4.540094376,2.10481596,1.205372572,2.768857479,0.807678282,2.432134628,1.139922857,1.562933087,2.512292385,0.333623677,2.241967678,0.417512655,2.889900923,0.388626009,2.985000849,0.490928411,0.391620934,0.370212734,0.870273352
0.15,5.608624458,17.49333572,8.792141914,14.66267204,2.955564022,5.87178421,3.090233088,10.00766182,2.881547451,2.124534607,4.9872365,10.36266899,6.640127182,10.72163486,8.340945244,8.65666008,12.59803772,7.925346375,20.59181595,8.701306343,22.33310509,11.92877197,27.44213104,15.91447258,9.812380791,21.01958084,9.158342361,22.18603706,10.91647434,17.53250694,18.37249184,3.761580706,24.04730606,2.863516569,32.35813522,2.257021427,28.70019531,5.950628281,3.393317461,9.095287323,23.2141304,12.66351128,17.6815815,5.922872066,13.73025322,22.63601303,5.562324524,31.45944405,2.368266821,7.974054813,2.412968159,35.63847351,9.969758034,4.520420074,4.40655899,8.099373817,0.980088174,2.582917452,0.629910052,0.978965104,11.14817142,6.670538902,12.73003674,6.453044891,7.526053429,12.89296913,5.832194328,15.51488781,7.42276907,11.52745628,4.412513733,17.57758522,6.784039497,6.469577312,14.25096035,5.505681992,10.87441826,3.447375059,8.638035774,17.14044571,6.605743408,14.95703411,4.224903107,7.037758827,3.515743971,18.88635063,6.822900295,5.056207657,10.44954205,3.574270248,8.765017509,3.696440935,6.809242249,11.90149021,2.901199102,10.21654415,1.793434978,9.062649727,2.489292622,13.06799793,1.066187978,2.024615288,1.967792153,3.362569571,1.218782902,2.389444351,0.897580802,1.2300843,3.588878155,2.468434811,4.180663109,3.123838425,2.732266426,3.458062649,1.000356555,4.128593445,0.995229423,4.50042963,1.026227117,5.377022266,1.615404606,1.096988082,1.479863405,2.386244059,1.674124599,3.653750896,2.432005882,1.904499412,3.091982365,1.358471513,2.613827229,0.791301668,4.395492077,0.932334125,4.447602272,2.064556122,1.1833992,2.711801291,0.788921058,2.368482828,1.105819106,1.534223437,2.471141338,0.325815439,2.192342043,0.404911339,2.804272175,0.376119375,2.937237263,0.483903676,0.381525427,0.360702783,0.847824454
0.2,5.268003464,16.4308033,8.266304016,13.91791153,2.850967407,5.712716103,3.002657175,9.751214027,2.808118343,2.071965456,4.890201092,10.20681381,6.528120041,10.55818558,8.19820118,8.49268055,12.40134335,7.78288126,20.38395882,8.603625298,22.01179504,11.76096058,27.09264374,15.51044178,9.65648365,20.55920982,8.987206459,21.88719749,10.75743103,17.29959679,18.07474899,3.695569992,23.72239304,2.784808636,31.99643898,2.203388929,27.99981308,5.841473579,3.318934679,8.936544418,23.0895195,12.56479359,17.58018494,5.80515337,13.50460148,22.38567162,5.495562077,31.46520805,2.369000673,7.855915546,2.379184961,35.58979416,10.20008659,4.521299839,4.420956135,8.013895035,0.95484966,2.520260572,0.618228436,0.961822629,10.95870209,6.560321331,12.60890388,6.414205551,7.523387909,12.76942158,5.759542465,15.12617302,7.206389427,11.50732136,4.394925117,17.32410049,6.733901501,6.343735218,13.81537247,5.328785896,10.75390911,3.397283554,8.458745003,16.72594261,6.395632267,14.45417023,4.105887413,6.900254726,3.453403711,18.65541077,6.736053944,4.925525665,10.20616913,3.487616539,8.571983337,3.612890959,6.62624073,11.58837605,2.831077814,9.946775436,1.747041941,8.862513542,2.441128969,12.6197319,1.015188456,1.972408295,1.913101196,3.247155666,1.172629952,2.30349493,0.866627157,1.194566011,3.494293928,2.403828859,4.08958292,3.057079792,2.665569067,3.377200603,0.973488092,4.01183176,0.962738216,4.405897617,1.002319217,5.244089603,1.571264744,1.065752387,1.437974453,2.319342613,1.631448507,3.565439939,2.379113197,1.854530334,3.003871918,1.315385818,2.543253183,0.771687925,4.277142048,0.906280756,4.326113224,2.012220383,1.150540471,2.628588676,0.764369488,2.284265757,1.063606977,1.490571737,2.409505606,0.316363662,2.11753726,0.387917429,2.690714598,0.362038851,2.866867781,0.473624796,0.368564188,0.348306417,0.81986624
0.25,4.927043438,15.36664581,7.737839222,13.2347374,2.741033792,5.538452625,2.90578723,9.453558922,2.72482276,2.012068033,4.777921677,10.01011944,6.391315937,10.35312653,8.018864632,8.311722755,12.12564659,7.597424984,20.07782555,8.464920044,21.59503746,11.54658222,26.49681282,15.0306139,9.453909874,19.98349571,8.759612083,21.42286873,10.5229044,16.966465,17.69829369,3.615566254,23.25204659,2.702557564,31.35510254,2.142655373,27.18655777,5.658726692,3.228199482,8.738511086,22.82606888,12.37560177,17.38794518,5.672819138,13.20873833,22.02133179,5.389733315,31.17376328,2.354625702,7.766867161,2.347853899,35.2036705,10.27396107,4.482074261,4.386709213,7.8341465,0.9205935,2.43323946,0.598810673,0.932840765,10.69439602,6.404323101,12.39478683,6.323366165,7.462260246,12.53986931,5.645439148,14.6355114,6.940732002,11.35137653,4.314327717,16.93182945,6.651562214,6.171500206,13.26441669,5.115654469,10.57889366,3.338168621,8.223881721,16.16737747,6.131005764,13.80913448,3.954607487,6.749438286,3.386862278,18.23153305,6.588253021,4.756954193,9.873177528,3.37808466,8.309836388,3.492648363,6.392105579,11.16772366,2.745368481,9.614483833,1.688358903,8.585427284,2.361676931,12.06637764,0.951022863,1.904814959,1.842145324,3.112384319,1.120367885,2.206992865,0.831830025,1.157013297,3.371695995,2.321485758,3.974454403,2.972439528,2.575514793,3.277062178,0.942233801,3.862358809,0.922324002,4.289237022,0.975773692,5.070750237,1.516708732,1.028116465,1.387572765,2.237619877,1.578607202,3.466488361,2.323351383,1.792660594,2.898951292,1.263553977,2.451591492,0.747396946,4.143144131,0.879756451,4.179354191,1.948888302,1.111421585,2.528268099,0.736334801,2.193731308,1.018056035,1.439181805,2.3314147,0.305923194,2.027177334,0.369138151,2.559636593,0.34635675,2.781103134,0.460331619,0.353984535,0.334105521,0.788506925
0.3,4.610172272,14.38091946,7.245355129,12.63806152,2.63307023,5.355687141,2.802940845,9.126223564,2.632951975,1.945575714,4.653077602,9.775669098,6.23464632,10.10370636,7.807645321,8.138088226,11.78110504,7.379858494,19.67157936,8.28662014,21.08000183,11.27446651,25.66514206,14.49912167,9.209920883,19.35332489,8.500807762,20.84786415,10.25065422,16.55209351,17.24897575,3.521437645,22.67310143,2.624038696,30.54958534,2.082928419,26.33598328,5.444678307,3.131206036,8.523488045,22.44318199,12.11579037,17.11708832,5.534549713,12.88657951,21.56287766,5.253772736,30.65778923,2.324399948,7.655695438,2.312314034,34.59913254,10.23213577,4.410244942,4.31630373,7.606962681,0.879708469,2.334695339,0.575189829,0.89559114,10.40418339,6.228898048,12.14334583,6.207438469,7.345944881,12.24709988,5.509324551,14.13502312,6.674388885,11.13143826,4.199574471,16.46992874,6.528647423,5.982738495,12.70996189,4.900856972,10.36167812,3.267875671,7.974607944,15.5680418,5.854330063,13.15002537,3.801683903,6.572758198,3.306475163,17.70863152,6.410066128,4.578987122,9.514439583,3.262331486,8.013645172,3.362490892,6.146201611,10.71420574,2.653881311,9.26760006,1.627121806,8.303685188,2.274951696,11.50572395,0.89119184,1.834240198,1.766812921,2.978276014,1.069503188,2.114245176,0.800060689,1.121471643,3.244398117,2.236165524,3.856165409,2.883980036,2.479086876,3.173309326,0.911358953,3.7087605,0.882128894,4.171487331,0.951103628,4.886896133,1.460723996,0.990745664,1.337954283,2.156142235,1.526483059,3.368642092,2.266952038,1.730764389,2.791841269,1.211674213,2.362170935,0.723635614,4.004286766,0.85438025,4.023079395,1.881343722,1.072027802,2.427280426,0.708211839,2.106284142,0.973360538,1.387302399,2.248731852,0.295776904,1.934512019,0.350847214,2.429066181,0.330549598,2.686292648,0.445658356,0.339509368,0.320118845,0.757144392
0.35,4.266242981,13.31074333,6.708877087,12.00918484,2.504094601,5.122383595,2.671816349,8.701322556,2.513662815,1.858582139,4.483193398,9.443284988,6.020941257,9.700357437,7.479095936,7.862736702,11.28312969,7.06178236,19.06962967,8.031175613,20.21754456,10.81158829,24.32710266,13.74656296,8.850788116,18.51519394,8.151063919,20.03867531,9.883854866,15.95872021,16.56732559,3.381097794,21.83025932,2.530448198,29.45124245,2.018922567,25.2362709,5.186089993,3.009064436,8.244008064,21.87407684,11.75798702,16.69216347,5.38042593,12.47162247,20.91505814,5.076415539,29.92608452,2.267465353,7.471856594,2.264432669,33.66334915,10.04978371,4.293320656,4.202428818,7.337152004,0.830957234,2.232969761,0.549664259,0.849662542,10.05897045,6.014466286,11.83663464,6.060732841,7.158392429,11.86886978,5.342363358,13.60857391,6.396149635,10.87106228,4.052979469,15.9103384,6.363075256,5.769817829,12.14741898,4.674519539,10.04505253,3.158908844,7.690469742,14.91474533,5.549181461,12.49006081,3.643858671,6.320599556,3.177564144,17.05917168,6.170068741,4.37766552,9.104531288,3.125098705,7.656154156,3.198415041,5.868663788,10.22627831,2.542295694,8.868725777,1.555398464,7.955507278,2.163623333,10.93175793,0.837319195,1.751425266,1.680067897,2.832615614,1.015245557,2.014953613,0.767343938,1.080251217,3.092420816,2.131327868,3.701619625,2.76576972,2.365285158,3.047751188,0.876046956,3.51782155,0.835042715,4.009729385,0.921153247,4.667012691,1.397603512,0.947453439,1.279010534,2.058970928,1.462998152,3.238104343,2.190823317,1.655213833,2.658226252,1.149616361,2.260109186,0.695491076,3.835685968,0.821784139,3.83311367,1.798199534,1.024298072,2.309072256,0.676217556,2.006042957,0.923485875,1.325484633,2.14464283,0.284053057,1.827384114,0.331386954,2.28290534,0.313244402,2.569767952,0.428458959,0.323502362,0.305052638,0.721163392
0.4,3.92269206,12.24352551,6.175872326,11.39447689,2.364187479,4.84943819,2.521135092,8.220333099,2.378210068,1.75942266,4.277018547,9.052828789,5.774075031,9.183265686,7.060306549,7.504050732,10.67008018,6.673202038,18.31735611,7.720211506,19.02834129,10.17445183,22.68087006,12.84178925,8.405426979,17.52497673,7.736658096,19.07339478,9.443403244,15.2365694,15.69057178,3.203617334,20.80145264,2.425400257,28.13346672,1.942685485,23.94793129,4.906035423,2.867122412,7.90423727,21.13317871,11.31966305,16.08590889,5.172016144,11.97338581,20.08286667,4.866600037,28.99105072,2.185872555,7.180564404,2.192546368,32.53633118,9.74389267,4.13653183,4.050767899,7.021344185,0.782120764,2.122274637,0.520594299,0.799713671,9.672140121,5.771247864,11.442029,5.877684116,6.904211044,11.4174099,5.149711609,13.0474472,6.104202271,10.56562996,3.891757011,15.26235485,6.145891666,5.534577847,11.58256531,4.436766624,9.627663612,3.015519381,7.376448631,14.22422028,5.225988865,11.82172966,3.473894119,6.000875473,3.003161669,16.30404282,5.883065224,4.154231548,8.651423454,2.975913048,7.253894329,3.010354996,5.560961723,9.705289841,2.414151669,8.435829163,1.477567554,7.554782391,2.03523469,10.34910583,0.790558815,1.66055572,1.587092638,2.681219101,0.957553923,1.909702301,0.732610345,1.03389585,2.92164135,2.011404514,3.519131422,2.625164986,2.240611315,2.906061888,0.837279975,3.303159237,0.783699453,3.813867331,0.886964679,4.425704479,1.331011415,0.900276721,1.215508699,1.95051682,1.391007781,3.083429813,2.094144821,1.572027922,2.510975838,1.08272922,2.143481493,0.661294997,3.626637459,0.778768361,3.627521038,1.706127882,0.969784915,2.179730654,0.641303599,1.888571143,0.865883708,1.254373789,2.02583456,0.271382779,1.710909486,0.311884284,2.120720625,0.292562515,2.432945728,0.408101767,0.306308776,0.288667023,0.681487858
0.45,3.577978849,11.17090607,5.643516064,10.75610733,2.211795807,4.534597397,2.351310253,7.679676533,2.226346016,1.646606326,4.032334328,8.599926949,5.485613346,8.560157776,6.558095455,7.060721874,9.927083969,6.206105232,17.40014839,7.342397213,17.55932617,9.381620407,20.8059597,11.76660442,7.866259575,16.35115814,7.244504452,17.9095726,8.903727531,14.36759377,14.62788773,2.987470865,19.56027031,2.305751562,26.50771713,1.84563601,22.43060112,4.570484161,2.697492838,7.490237713,20.15488243,10.75513172,15.28346634,4.897290707,11.37324047,19.00958252,4.604816437,27.64274025,2.079308271,6.790873051,2.091581345,31.08495331,9.301158905,3.930252314,3.853363752,6.635159016,0.730376363,1.989836097,0.485488504,0.738067448,9.194583893,5.470313549,10.92987537,5.639734745,6.572631836,10.85406685,4.911952972,12.3577013,5.751119614,10.16945839,3.691958666,14.43203545,5.83438921,5.241900921,10.91397572,4.156477451,9.089635849,2.833195448,6.988744736,13.39626503,4.846589088,11.03162384,3.266033173,5.611024857,2.786565781,15.37499905,5.527701378,3.883948565,8.09762764,2.795802832,6.777978897,2.790425777,5.19192028,9.080270767,2.257037163,7.923279285,1.384429336,7.083303452,1.888282299,9.673591614,0.737474263,1.552186966,1.477391005,2.500827789,0.890521586,1.788432956,0.690673649,0.97811234,2.716556549,1.866598129,3.298464298,2.456062794,2.09144187,2.731692791,0.789857447,3.049269438,0.724612474,3.565217257,0.841327488,4.128030777,1.250751376,0.843587101,1.138634324,1.819704413,1.302171707,2.893246412,1.972208619,1.470006704,2.334348679,1.004520416,1.998653173,0.616953433,3.373841524,0.72727865,3.372555733,1.591361523,0.90308702,2.024561167,0.598019063,1.745224118,0.795963526,1.168443561,1.880094767,0.255668491,1.570278645,0.288930595,1.933735728,0.266597241,2.269264936,0.382222652,0.285326391,0.268520415,0.632069528
