abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
Task 1,3.747300386,9.83658123,4.937262535,9.478491783,1.8832587,3.998837948,2.105803728,7.118489742,2.080747366,1.493714094,3.508525848,7.814702034,5.010369301,6.28111124,4.689842224,5.794320583,8.067424774,5.063423634,16.027174,6.805063725,11.28232574,6.033695221,18.06184959,9.754494667,6.641911507,14.1233778,6.224144936,15.19983292,7.394071579,12.1968174,11.94461632,2.398008347,17.3767395,2.052215576,21.50776482,1.514101982,20.33675003,4.656700611,2.38406539,6.289156914,18.27104187,9.681757927,11.65189743,4.175349236,9.563185692,16.90091896,4.252320766,23.81559753,1.699986458,5.515305519,1.6993469,26.38961411,7.146502495,3.337866306,3.27986908,5.762071609,0.659946918,1.601220846,0.375608236,0.576080441,7.908725739,4.810687542,9.400140762,4.907220364,5.617521763,9.254595757,4.16426897,10.4441576,4.948997974,8.407027245,2.948467731,12.1610918,5.006950378,4.460950375,8.756483078,3.511810303,7.865721703,2.616815567,6.026534081,11.49178314,4.229034901,9.268824577,2.646264553,5.476490021,2.814003468,13.42052555,4.367747784,3.278107643,6.761449337,2.335779905,6.07775259,2.5524652,4.413063526,7.610193729,1.757896185,6.543288231,1.125447512,6.028635502,1.650168896,8.466784477,0.600142062,1.25952816,1.179353118,2.000198364,0.68998152,1.354394555,0.509177387,0.737146497,2.231142759,1.553369761,2.696178436,2.048619032,1.717897296,2.143909454,0.644517243,2.552941561,0.659877121,2.908470631,0.667350709,3.336789608,1.056805253,0.717367947,0.960502028,1.617508173,1.153381586,2.526508093,1.680545449,1.241214037,1.942196012,0.844225287,1.878947616,0.582964957,3.141706467,0.666989684,2.751133442,1.28971827,0.785011828,1.776582718,0.507749677,1.547253013,0.713191748,1.027814031,1.59401834,0.201614097,1.389730453,0.257352322,1.647675037,0.238771066,2.007279634,0.30622381,0.240236387,0.226046145,0.527156591
Task 2,7.958964348,21.10601616,10.5444746,18.63916588,3.723674536,7.653443813,4.037336349,13.48135567,3.873913765,2.788800001,6.488359451,13.92700291,8.938554764,11.50506878,8.60250473,10.74905777,15.54777145,9.767004967,27.92656517,11.80074978,21.28102493,11.50524426,36.58074951,19.55950546,12.22519684,26.4490242,11.47779083,27.9281559,13.66961288,21.79032326,22.61453247,4.492457867,31.00788307,3.693548679,40.50399017,2.833264589,37.81118393,8.883058548,4.426466942,11.28734589,31.43994713,16.96942329,20.30784225,7.501079559,16.95388031,30.15117836,7.474102974,42.00111008,2.902861118,9.974444389,3.051763535,45.31646729,11.94787693,5.761662006,5.662418365,10.54611111,1.226127744,2.933173656,0.697350502,1.079832554,14.18270302,8.63344574,16.11458588,8.320315361,9.612078667,16.43674088,7.304697037,19.57291412,9.421539307,14.40058899,5.277461052,21.81361198,8.889183044,8.175474167,17.15279007,6.821055412,13.92558765,4.704202175,10.9797287,21.76309204,8.453000069,18.74783516,5.11677599,10.06715965,5.187508106,24.76793671,8.308997154,6.358707428,13.13903904,4.429883957,11.2229929,4.697042465,8.594276428,15.08036137,3.419359207,12.47173214,2.197675228,11.1995163,3.080200195,16.70370865,1.247647882,2.448643208,2.348949432,3.913486958,1.403851867,2.744027376,1.010406613,1.411727667,4.374119759,3.021106482,5.101759434,3.881178856,3.336602926,4.11797905,1.222879887,5.005114555,1.307394743,5.456928253,1.229878068,6.426819324,1.991011381,1.374637604,1.838868141,3.108433723,2.187012434,4.798496246,3.123360157,2.374798298,3.803643465,1.690426588,3.62573576,1.097373366,5.879032612,1.255129695,5.419146538,2.486501217,1.517830968,3.483076572,0.989473403,2.988441706,1.399697185,1.995934844,3.073453188,0.39064312,2.790318251,0.521163285,3.316470146,0.479550928,3.751626492,0.581997633,0.474621683,0.451362759,1.047148228
Task 3,7.714352131,20.44284439,10.21423721,18.19279671,3.678006649,7.626153469,4.019976616,13.50340843,3.882691145,2.791260481,6.50302124,13.9736557,8.961280823,11.58399391,8.673148155,10.78294086,15.60877323,9.794346809,28.08276939,11.86055374,21.44319725,11.57346058,36.4672966,19.3909359,12.24938488,26.45425034,11.48917103,28.04253197,13.6763401,21.89192963,22.60201073,4.483535767,31.17868423,3.68759346,40.48135376,2.820104837,37.90499115,8.940590858,4.426741123,11.28390694,31.67901611,17.06494904,20.37276459,7.505675793,16.95922089,30.32614517,7.535303116,42.41893387,2.938032866,9.960205078,3.067876816,45.78124619,12.22199249,5.834671974,5.748124123,10.66018391,1.224271536,2.922320604,0.690725744,1.071874499,14.26674652,8.69349575,16.30225182,8.437080383,9.725097656,16.56775093,7.343687057,19.61227608,9.423890114,14.66565323,5.361349106,21.91124916,8.97614193,8.21003437,17.11072731,6.800748348,13.96274948,4.706460476,11.02758026,21.75737953,8.416852951,18.73588753,5.108565807,10.06641293,5.178775311,24.93384552,8.33878994,6.348191738,13.17481041,4.421490192,11.22699356,4.689874649,8.573719025,15.15098286,3.422367573,12.41389656,2.18176055,11.14261532,3.067692995,16.63814926,1.223709226,2.436184883,2.33457613,3.87644124,1.386988044,2.712219,0.996821702,1.392085314,4.376152515,3.027138948,5.103113174,3.885421991,3.319587231,4.103363991,1.213023543,5.017897606,1.307055116,5.478794575,1.228607535,6.404899597,1.984228492,1.370235801,1.83427453,3.115742922,2.195545912,4.807934284,3.133705378,2.371083498,3.802737236,1.687337399,3.651346445,1.105923057,5.909208298,1.251440883,5.406394958,2.483020544,1.519073367,3.483973503,0.984053135,2.979861975,1.387685537,1.997311354,3.085301161,0.388338268,2.786582947,0.515730679,3.292724371,0.4730362,3.764980316,0.580515563,0.470720887,0.447599441,1.039600134
Task 4,7.364430428,19.49620628,9.741863251,17.59909058,3.612814665,7.587143421,3.993217707,13.52166748,3.893322229,2.793130398,6.516029358,14.02843285,8.984872818,11.70001125,8.777775764,10.81584358,15.67079639,9.823849678,28.28783226,11.93508148,21.6859951,11.67436981,36.26916504,19.14835548,12.27634239,26.41607285,11.48556805,28.15122032,13.65666485,22.02562714,22.55636215,4.467236996,31.38669205,3.671921968,40.34365845,2.788615704,38.00665283,8.978354454,4.414853573,11.26181698,31.95319557,17.15621376,20.41608238,7.485830307,16.94859886,30.53524017,7.608355999,42.86760712,2.983443499,9.909762383,3.083714962,46.35289764,12.59062958,5.928080082,5.858972073,10.77424717,1.215893149,2.903660774,0.681844532,1.05845511,14.33905792,8.749675751,16.51470375,8.573284149,9.87537384,16.70972443,7.380120277,19.59197807,9.387457848,14.96597958,5.462894917,22.0085907,9.072622299,8.230236053,16.96925545,6.743585587,13.99429321,4.697763443,11.05412674,21.64745331,8.324806213,18.61159325,5.075385094,10.03227234,5.151562691,25.05750275,8.351034164,6.306713581,13.17235088,4.399698734,11.19977665,4.671482086,8.507205009,15.17027187,3.425431013,12.29562759,2.153669834,11.03866482,3.042491674,16.44753456,1.179059267,2.413040638,2.30919838,3.819147825,1.360166192,2.659069538,0.974164844,1.360998988,4.374394417,3.035161257,5.103271961,3.891450644,3.289046288,4.078372955,1.197212696,5.038470745,1.305719972,5.516237259,1.225889683,6.366119385,1.972406626,1.362622976,1.825990915,3.121837378,2.204716921,4.823876858,3.148014307,2.363404751,3.800447226,1.680684566,3.678708553,1.115436316,5.958703041,1.248778343,5.381652355,2.474238634,1.518920422,3.482407808,0.974929631,2.964733124,1.367708564,1.997275591,3.097715616,0.384026825,2.777611256,0.50610894,3.255005121,0.463686645,3.783974886,0.578071237,0.464020431,0.441131353,1.026119947
Task 5,6.934051991,18.33234978,9.16094017,16.93442154,3.53199935,7.537499428,3.956342936,13.50657845,3.89770627,2.78894496,6.519827366,14.08961582,9.007441521,11.809268,8.881727219,10.84479618,15.69378757,9.836125374,28.49936295,12.01129246,21.91956139,11.75948811,36.06325912,18.95134163,12.30350876,26.28005981,11.44385242,28.15442848,13.56902218,22.16979218,22.46611023,4.446145535,31.55930519,3.645656109,39.88391495,2.72890234,38.07581329,8.972128868,4.385960579,11.21719265,32.19260025,17.18872643,20.33123589,7.445034504,16.91447449,30.70745659,7.6704216,43.1216774,3.029188871,9.825968742,3.082068682,46.76060867,12.96039963,6.016002655,5.968017578,10.80693245,1.197913408,2.873404026,0.668611407,1.036975026,14.35572624,8.77038002,16.62749672,8.649511337,10.0159235,16.79531479,7.388261795,19.42388153,9.272091866,15.10340977,5.504104137,22.0064888,9.11862278,8.193212509,16.63878441,6.621487141,13.93905163,4.659656525,11.00455284,21.3368187,8.132258415,18.22916031,4.986578941,9.921949387,5.085168839,24.976408,8.313289642,6.201159954,13.03331089,4.335494518,11.08041954,4.602108479,8.347110748,15.00479603,3.404252768,12.04529953,2.102310181,10.80178356,2.976839066,16.0221653,1.110053182,2.364210606,2.258142471,3.727356195,1.319333196,2.576628208,0.941030324,1.316405416,4.332082748,3.018253088,5.075730801,3.881023169,3.223347664,4.027934074,1.171425819,5.019919395,1.294062138,5.537880421,1.218946815,6.262629509,1.938255191,1.343879104,1.802721977,3.104297876,2.198838234,4.819692612,3.152373314,2.336245537,3.764549971,1.657564878,3.683992863,1.121388555,5.985778809,1.234491348,5.31135273,2.446791172,1.507673979,3.4574368,0.958605111,2.929191828,1.337290645,1.982520223,3.090912342,0.37666437,2.745955467,0.489943743,3.184227467,0.45107311,3.781317472,0.571311474,0.452775747,0.430003941,1.005252004
Task 6,6.432982445,16.98055077,8.485926628,16.23458481,3.428967476,7.451348782,3.893033504,13.37835693,3.872625828,2.763703108,6.486102104,14.10082722,8.994527817,11.84444427,8.924740791,10.8371706,15.59719658,9.787405968,28.5983181,12.04215622,22.01888847,11.76213455,35.62229538,18.74301529,12.28106022,25.9860363,11.33007336,28.01393127,13.41275692,22.2323494,22.29433823,4.416285992,31.60632515,3.614354134,39.07171631,2.650815487,38.09326172,8.91160202,4.341792107,11.13845253,32.31072617,17.13694382,20.09909058,7.349572182,16.83762932,30.71398354,7.673822403,43.10447693,3.0702281,9.699670792,3.05243659,46.81736374,13.22248173,6.063937664,6.036715031,10.70639992,1.169279456,2.826828003,0.654041708,1.011572123,14.27028751,8.714229584,16.56557846,8.620175362,10.09598541,16.74505615,7.339986801,19.04647636,9.043291092,14.97533512,5.443897247,21.85673523,9.081996918,8.065924644,16.07150269,6.413602352,13.7615242,4.584686756,10.83930206,20.76997185,7.815258503,17.50468254,4.82452774,9.720147133,4.965482235,24.56745529,8.190081596,6.01051569,12.70076656,4.217036247,10.8317194,4.469723225,8.06897831,14.58218479,3.34475565,11.64550591,2.023122311,10.36246586,2.850520611,15.34361649,1.021403551,2.282337427,2.170029163,3.596744299,1.262593269,2.459300756,0.894438982,1.258065462,4.23521328,2.966962337,4.998173237,3.833812714,3.113430977,3.942507744,1.134887934,4.938410759,1.2654742,5.508989811,1.200415969,6.076920033,1.879021525,1.309678912,1.75937891,3.050661564,2.168458462,4.76690197,3.125515461,2.280907393,3.678600788,1.609014869,3.647686958,1.11886394,5.951150894,1.202835917,5.166104794,2.388663054,1.477956414,3.390114784,0.931158662,2.867559433,1.295360565,1.944145322,3.049914837,0.365470171,2.678771734,0.466002434,3.075833797,0.433706671,3.737914801,0.556792617,0.43561399,0.413178533,0.975841582
Task 7,5.871818066,15.4685154,7.734018803,15.5074091,3.297775507,7.275201797,3.776980639,13.02252769,3.783012629,2.69557333,6.386623859,13.97398281,8.89161396,11.69392586,8.815899849,10.76586246,15.27897263,9.61101532,28.39196587,11.96040821,21.74165726,11.56144714,34.79082489,18.41762924,12.13036633,25.44850159,11.1122551,27.56600952,13.1478548,22.06300354,21.94107246,4.351023674,31.33400345,3.571802139,37.87006378,2.562057257,37.85268402,8.758172989,4.269171715,11.00616264,32.15427399,16.96457291,19.67336464,7.151609898,16.67003059,30.38386536,7.576967239,42.74467087,3.084699154,9.479804993,2.980788708,46.42563248,13.27240276,6.033013821,6.011433125,10.46485043,1.125362754,2.753302097,0.634952784,0.965068936,14.07160378,8.572745323,16.31236839,8.483182907,10.05484104,16.52482605,7.225262165,18.50343132,8.725275993,14.62790203,5.271465778,21.54867935,8.969909668,7.855356693,15.34760189,6.142978668,13.47692394,4.502336025,10.56051922,19.98330116,7.379836082,16.51430321,4.604816437,9.481422424,4.834134102,23.82263184,7.966925144,5.747489929,12.1831665,4.045519829,10.46721935,4.289773941,7.698431969,13.93840122,3.240313053,11.11253643,1.917916536,9.812538147,2.681089163,14.48548031,0.922397196,2.17026329,2.048961878,3.431218624,1.196893454,2.319965363,0.841718674,1.19241631,4.078477859,2.87344718,4.865376472,3.742771387,2.964918137,3.818143368,1.08961165,4.772157669,1.219355464,5.406989098,1.174214363,5.812496662,1.797300696,1.261409402,1.697369456,2.956026316,2.10906291,4.667596817,3.065083504,2.200110674,3.539815426,1.537872195,3.558931112,1.103556514,5.82256031,1.151610613,4.960296154,2.309782267,1.430156827,3.278415442,0.897299647,2.778576136,1.242972612,1.882725358,2.967267752,0.352088451,2.575011492,0.439250499,2.911977291,0.412822366,3.644363403,0.537374556,0.415526241,0.393608123,0.939937115
Task 8,5.279821873,13.87434769,6.949374676,14.63240242,3.110794067,6.905686855,3.55791831,12.25549412,3.573649883,2.548676491,6.118101597,13.52941227,8.582772255,11.10064793,8.341506958,10.3831377,14.47408962,9.109974861,27.51022911,11.60856533,20.47813416,10.83708382,32.91642761,17.53146362,11.62779522,24.32354164,10.65679073,26.47225571,12.63798428,21.28079414,21.00588226,4.165370941,30.28698921,3.482643604,36.05529022,2.46259737,36.56703568,8.369606972,4.112298489,10.69093704,31.43488312,16.54096985,19.1109848,6.880780697,16.24204445,29.42558289,7.302872181,41.8037262,3.031965017,9.163657188,2.877640486,45.26794815,12.95237541,5.859138489,5.81975174,10.00536633,1.069405198,2.646296263,0.604441643,0.903782487,13.65388012,8.287667274,15.83673286,8.227007866,9.78096962,16.00848007,6.993561745,17.74853325,8.320932388,14.18453407,5.012016296,20.87044525,8.703701973,7.540349007,14.54769325,5.822855473,12.99586964,4.358882427,10.13811302,18.97119904,6.83527565,15.40601063,4.361796379,9.116959572,4.637588978,22.72673225,7.595148087,5.418812752,11.4949522,3.817955494,9.962346077,4.045193195,7.241754055,13.12630939,3.053747892,10.46702957,1.796603322,9.234744072,2.48968482,13.55845833,0.83883518,2.031184912,1.897374988,3.21342206,1.116652489,2.161019325,0.788105488,1.123851776,3.831288815,2.705537081,4.613516331,3.550329685,2.779198408,3.611416817,1.029650569,4.464502811,1.148991346,5.121749401,1.123810887,5.447483063,1.690216899,1.19166708,1.605742693,2.790813446,1.997004628,4.449687958,2.923470974,2.07822156,3.318999529,1.432710767,3.370198488,1.052925825,5.518658638,1.078204989,4.657970905,2.191362858,1.348821044,3.086601496,0.848852336,2.629596233,1.170777559,1.775301337,2.80252409,0.333099693,2.41244936,0.409107864,2.692163467,0.384877026,3.456685543,0.508458793,0.389995039,0.368399978,0.884204984
Task 9,4.670898438,12.24174404,6.152833939,13.50111961,2.840415478,6.285223484,3.221872807,11.01970196,3.23183322,2.311746597,5.624041557,12.63252449,8.002011299,10.11916161,7.550815105,9.546553612,13.05741119,8.216679573,25.71987152,10.89001942,18.37804031,9.655263901,29.50839043,15.85098743,10.68745995,22.35861206,9.841916084,24.47681999,11.76432037,19.72979546,19.24588776,3.822924852,28.07251549,3.288489342,33.3313179,2.314140797,33.68447876,7.551567078,3.804552555,10.02736664,29.68325806,15.59882832,18.43260574,6.532221794,15.29278183,27.41637611,6.762189388,39.55296707,2.863708973,8.789406776,2.743993521,42.64612961,12.1482954,5.474981785,5.410485268,9.24392128,0.994817197,2.488461018,0.563731313,0.837418079,12.79800701,7.737781525,15.00751686,7.785784721,9.176760674,14.98613548,6.569461346,16.49447441,7.694763184,13.49571609,4.61853981,19.53940964,8.161363602,7.01690197,13.45103264,5.365218639,12.17163372,4.064898014,9.437964439,17.5133152,6.135129929,14.00250244,4.04984808,8.426115036,4.274548531,20.9807682,6.940458298,4.960578918,10.48842716,3.494281769,9.16653347,3.697661638,6.615158558,11.92847633,2.752747297,9.604632378,1.636963129,8.527668953,2.263251066,12.40330505,0.757589161,1.84296453,1.698424101,2.904630423,1.007057667,1.95553112,0.72355181,1.04940486,3.441083193,2.421375036,4.171163559,3.198545218,2.519562244,3.287406206,0.945841432,3.953183889,1.026029348,4.558134556,1.028180003,4.921729088,1.536166549,1.080173373,1.456045628,2.497051716,1.79197824,4.007363796,2.647934675,1.878493309,2.948779345,1.262538195,3.010889769,0.944596767,4.893261909,0.962662756,4.18218708,1.989539504,1.205967665,2.74767971,0.767123997,2.373103619,1.058534503,1.581537008,2.496830463,0.301304311,2.13913703,0.366260856,2.359651327,0.343806952,3.101025581,0.457199812,0.350462854,0.329079628,0.786756873
Task 10,3.118223906,8.099685669,4.128353596,9.72237587,1.927401662,4.208227158,2.174192667,7.267871857,2.153358936,1.555068612,3.892956495,9.180943489,5.815672874,6.962180614,5.05780983,6.572758198,8.478653908,5.301715374,18.80829048,8.023539543,11.83750916,6.075468063,18.23304367,9.873730659,7.330835342,15.52793694,6.906702042,16.84854889,8.30343914,14.11789703,13.0016737,2.603197098,19.84354782,2.401624203,22.82469559,1.699433088,23.15056229,4.737734318,2.626425505,7.303892136,21.83685303,11.35384941,15.09827805,5.051563263,11.27846622,19.29925537,4.684782982,28.01921272,2.06535697,7.098392963,2.165286064,31.28186607,8.542678833,3.866677523,3.727104425,6.237327576,0.738646328,1.875470996,0.429700255,0.654719353,9.147746086,5.474403858,11.03219032,5.782995701,6.655827522,10.64076519,4.823644638,11.26324272,5.164525032,10.23820686,3.13998127,14.0420599,5.792030334,4.883375168,9.10000515,3.639388084,9.044095039,2.931794643,6.648954868,11.97804737,3.954801321,8.93721962,2.823983431,5.875463963,3.016577482,14.28487015,4.565551281,3.348461866,6.802201271,2.400802851,6.444553375,2.664228201,4.496693611,7.491399765,1.818621159,6.788430691,1.11276865,6.516019821,1.719605923,8.408564568,0.586466432,1.272256374,1.124166369,1.919749975,0.653598726,1.307798982,0.519996405,0.799464285,2.226104259,1.510935903,2.803178549,2.160396576,1.735833764,2.2824049,0.685859382,2.436397314,0.625642657,2.894665241,0.683199823,3.407900095,1.120462656,0.729152977,0.974752545,1.625910878,1.169272065,2.599974632,1.795938611,1.254981518,1.844690919,0.783997595,1.915042996,0.605978191,2.968067408,0.662768722,2.688175201,1.267728806,0.771300375,1.707619548,0.508902371,1.508874297,0.66882503,1.009596229,1.524696112,0.202725604,1.302855492,0.23644568,1.395409465,0.207469732,1.959484339,0.301756978,0.228342578,0.206926271,0.488722175
