abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
Task 1,7.627478123,22.10821724,11.09434319,29.74232674,4.5974617,8.18778801,4.248844147,12.62957764,3.516242743,2.614658833,7.387939453,15.74841022,9.605249405,14.02921581,10.97796917,17.09382629,18.4262104,12.61456394,33.95254135,14.43982029,25.30838013,13.05641747,48.5760231,26.00538635,15.25629044,29.20407677,12.2889967,25.03400803,12.66369247,30.75038338,28.75227165,6.306898594,31.71260452,3.220872164,28.42037773,2.707012177,57.72455597,8.154384613,4.598845482,14.12286854,31.23469734,16.23969841,21.85016823,10.93069553,23.93798447,33.35957336,8.046397209,30.59986115,3.266196489,15.37774372,4.009053707,53.81017685,10.76744747,6.066073895,5.741401196,9.726181984,2.254096746,5.25512886,1.339234352,2.34463191,13.00386047,8.091610909,14.71092415,9.860033989,11.23636055,17.12216949,8.162405014,16.73749924,8.140946388,16.43685341,6.832314491,23.48776245,8.253838539,7.998192787,15.85213184,7.280405045,19.70049858,9.687651634,11.44705772,16.90722084,6.087705135,17.59178734,5.974555969,21.75624275,9.455911636,20.61804962,10.04379368,6.946680069,15.33200169,5.985052109,14.3689003,5.946560383,9.814964294,14.00811577,4.136351109,22.78732491,2.679004669,15.79882336,3.380614281,18.116539,0.664994895,2.829053879,2.811640739,5.358762741,1.503303051,2.416953087,0.880913436,1.427022696,5.022724628,3.474590302,5.93850565,4.447568417,4.234897614,5.14318943,1.776886463,6.611234665,1.68438971,5.794682503,1.328201175,7.617461681,3.065350533,1.870506644,2.54803896,4.204144955,3.118008614,6.466959953,4.622760773,3.42011857,4.72592783,2.059342146,6.222325325,2.026526928,7.414517879,1.621584058,6.792983055,2.766201019,2.088117361,4.046116829,1.154249787,3.946624041,1.612391472,2.86848712,3.210285664,0.469120353,3.015091896,0.61120373,2.958586931,0.559877813,3.547941446,0.644856334,0.555714428,0.498311847,1.128368735
Task 2,7.382234573,21.46335411,10.77642345,28.83859253,4.540169716,8.086886406,4.189273834,12.4885931,3.470256805,2.583216667,7.311335564,15.59952164,9.511289597,13.77748966,10.76807785,16.9456501,18.17157936,12.43156242,33.68533707,14.32228088,24.89182281,12.85621452,48.03366089,25.76692963,15.09689999,28.93594551,12.16777039,24.76035309,12.52541351,30.46081734,28.45483971,6.253210545,31.37199783,3.183675528,28.15322685,2.686234474,57.17763138,8.080289841,4.555614948,13.98405838,31.02019882,16.10559273,21.56624985,10.75665379,23.72168159,33.02262878,7.930688858,30.33837128,3.23491168,15.12434387,3.957143307,53.29856491,10.64816856,5.990195751,5.661847115,9.623808861,2.229792833,5.185548782,1.322802424,2.298430443,12.88352871,8.004179001,14.63087559,9.844655991,11.10014248,16.93154716,8.056623459,16.53418922,8.03927803,16.44114113,6.856488705,23.31289864,8.216749191,7.919033527,15.72457409,7.216307163,19.48781395,9.608043671,11.33644104,16.61433411,6.009464264,17.42510033,5.926402092,21.58322906,9.391169548,20.52256012,9.996131897,6.888973236,15.13139153,5.918624878,14.24629784,5.924102306,9.727104187,13.81401062,4.113033295,22.51013947,2.667310715,15.76027298,3.384356022,17.91139603,0.663429499,2.81799221,2.797727346,5.316466808,1.488631487,2.379395485,0.866582811,1.404219389,4.997964382,3.460118055,5.919016838,4.435294151,4.222358704,5.121696949,1.767201185,6.591892719,1.673622251,5.774812698,1.323150754,7.594055176,3.043345213,1.859220505,2.535151958,4.173276901,3.096853256,6.452003479,4.600956917,3.408343315,4.69991827,2.049091101,6.177499294,2.01196456,7.375937462,1.616726041,6.769028187,2.760021925,2.077665806,4.028795719,1.151135445,3.921104908,1.603552103,2.856158018,3.195552588,0.468370438,3.001398087,0.606083155,2.939642668,0.555096388,3.526863813,0.641591609,0.552506447,0.495179951,1.124195695
Task 3,7.027523041,20.42719078,10.26197433,27.14701271,4.459490299,7.973622799,4.11954689,12.33659363,3.420606852,2.550054073,7.235712051,15.47741795,9.432497025,13.47497654,10.48234463,16.82219505,17.92992592,12.26245403,33.51417542,14.247262,24.33871841,12.54996872,47.96962738,25.76704979,14.97888947,28.67772865,12.0522213,24.43186569,12.34997559,30.25469589,28.1980896,6.229737759,31.0878315,3.145697594,27.75289726,2.642887831,56.75592804,8.057660103,4.522474766,13.8465271,30.69444275,15.89490128,21.22968102,10.53978348,23.49238968,32.78277969,7.825878143,29.98900414,3.196866274,14.78108215,3.873478651,52.92546082,10.51171207,5.910541058,5.581307411,9.487353325,2.20208931,5.099561691,1.305975676,2.252944708,12.69976234,7.894331455,14.41400242,9.755149841,10.96438026,16.77445221,7.978187561,16.29346466,7.926779747,16.28031921,6.812978745,22.99936676,8.13149929,7.829213619,15.54508972,7.114527702,19.1194725,9.451249123,11.21674442,16.40513802,5.960103035,17.18100166,5.859291077,21.2316246,9.293177605,20.27899361,9.861607552,6.814005852,14.90241432,5.843327045,14.07657814,5.863634586,9.625149727,13.64320564,4.089423656,22.09864616,2.648706913,15.56922531,3.366590738,17.59813309,0.655804873,2.799761772,2.778523207,5.253326416,1.482291818,2.361073256,0.860306084,1.393128753,4.959405422,3.43585968,5.885992527,4.413718224,4.197470188,5.083906651,1.759230971,6.543401718,1.662945509,5.746193886,1.31145227,7.542879105,3.027658224,1.848456144,2.523048401,4.154024601,3.083874226,6.417574406,4.585007191,3.394131899,4.677036285,2.041071177,6.151479244,2.00106883,7.357413292,1.607623339,6.737300873,2.754421949,2.068749666,4.015254974,1.147929549,3.903125525,1.598854303,2.845137119,3.185944319,0.466647923,2.991706371,0.602834344,2.924145222,0.55238533,3.510655403,0.640836239,0.550210655,0.492628187,1.117988348
Task 4,6.632247925,19.26984596,9.686663628,25.26304817,4.362953186,7.836893082,4.035147667,12.14899254,3.358804464,2.508501291,7.139993668,15.32885265,9.337017059,13.12169552,10.15057468,16.65455246,17.62458229,12.04963398,33.28379059,14.14326191,23.73253441,12.22285938,47.85939407,25.75750923,14.83161545,28.34481621,11.90611553,24.0331459,12.13549709,29.98606873,27.86144829,6.195910931,30.72649002,3.098922253,27.28568649,2.590214491,56.164711,8.033291817,4.48095417,13.67441368,30.2998085,15.64972782,20.81064224,10.27588844,23.19981194,32.4787178,7.700405598,29.56160164,3.148986578,14.3452034,3.767402172,52.40480423,10.33469105,5.811954021,5.484322071,9.32779026,2.166093349,4.990940571,1.284791589,2.197904587,12.46986866,7.755582333,14.12933159,9.63472271,10.79707813,16.57181358,7.873826504,15.99452209,7.78660202,16.07305145,6.750974655,22.59535027,8.021792412,7.713809967,15.31429577,6.984203815,18.65693092,9.248670578,11.05886555,16.14291,5.898962498,16.87122917,5.770364761,20.7653904,9.148906708,19.95401001,9.675743103,6.712992191,14.61182213,5.742404938,13.85783958,5.780553818,9.486543655,13.43441963,4.055679798,21.55978584,2.620223761,15.32829952,3.343414307,17.1830101,0.645601869,2.773028851,2.751964331,5.164833069,1.475733757,2.34304285,0.854116261,1.381918192,4.904757023,3.400302649,5.829919815,4.373953819,4.158064365,5.026817322,1.747941136,6.464293003,1.649221182,5.687119961,1.2941221,7.463448524,3.006289482,1.833744049,2.504521847,4.127180099,3.064554453,6.361617565,4.559557915,3.368319988,4.640348911,2.028054953,6.106844425,1.982182026,7.329966068,1.593904614,6.672150135,2.737513065,2.052772045,3.990679979,1.141022921,3.877215624,1.592116594,2.824400902,3.167337894,0.463041306,2.972406387,0.596491575,2.90160656,0.549285352,3.48380518,0.639091074,0.545872688,0.488045812,1.105693102
Task 5,6.236235142,18.11312675,9.111514091,23.40137482,4.257353306,7.687974453,3.942972898,11.9387188,3.290052891,2.462182522,7.029751301,15.14991379,9.223068237,12.75701427,9.802582741,16.44881439,17.26725006,11.79996395,32.98499298,14.0064621,23.10598755,11.88781834,47.66804504,25.71770287,14.65388107,27.95371246,11.73732567,23.56846809,11.88898087,29.64950371,27.45735931,6.153043747,30.29958153,3.047559977,26.74411774,2.529807091,55.44373703,8.006328583,4.433322906,13.47639751,29.84155083,15.36498547,20.31250191,9.952960968,22.8528862,32.11513519,7.557666302,29.06353378,3.092542648,13.83673096,3.639023066,51.78192139,10.11889362,5.696491241,5.372228146,9.15184021,2.123882532,4.85969305,1.260925293,2.129761219,12.21174431,7.596831322,13.78948021,9.484510422,10.59900761,16.33167839,7.749015808,15.63635159,7.611531734,15.832407,6.665064812,22.13394356,7.889768124,7.570973873,15.02722263,6.829669476,18.09643936,8.99297142,10.86310196,15.82914352,5.827829838,16.50673866,5.663654327,20.17347145,8.94821167,19.56664848,9.454940796,6.589158535,14.25765038,5.613091946,13.5800705,5.674550056,9.315286636,13.20181847,4.014677525,20.89716721,2.582575798,15.02862167,3.312876225,16.69857788,0.63609004,2.738939285,2.718069553,5.052293777,1.467052698,2.320333481,0.846436977,1.368127346,4.83310461,3.353284121,5.75632906,4.320668221,4.108715057,4.954330921,1.732944131,6.358316422,1.631658435,5.608037949,1.272566557,7.364084721,2.978637695,1.814804554,2.480740786,4.088728905,3.036467552,6.293440819,4.525973797,3.336353064,4.589941025,2.009231329,6.047863007,1.957682252,7.289861679,1.575730443,6.590716839,2.714889765,2.031272888,3.956651688,1.131241918,3.841514587,1.583577037,2.796845198,3.141792297,0.458152473,2.945944786,0.588200331,2.876307487,0.545203924,3.44920063,0.636477232,0.540093899,0.48205325,1.089332461
Task 6,5.837432384,16.94821548,8.531916618,21.55347252,4.140512943,7.523357868,3.841924667,11.70189285,3.212905645,2.409819841,6.903661251,14.94172382,9.091421127,12.39227295,9.444206238,16.19351959,16.85939598,11.51532269,32.62401199,13.8402071,22.45669937,11.54593849,47.36095047,25.63449478,14.44650555,27.49360085,11.54203415,23.04459572,11.61769104,29.24773979,26.97830582,6.097009659,29.80467415,2.989905596,26.16357422,2.466543913,54.6037941,7.976409435,4.378674507,13.25094032,29.34328079,15.06066322,19.70152664,9.551912308,22.46551323,31.68995094,7.39789629,28.53199768,3.028013468,13.21352386,3.485753059,51.11655807,9.865059853,5.564266205,5.240927696,8.965108871,2.072224379,4.70826292,1.233275771,2.049939871,11.92855549,7.418168545,13.3891058,9.299682617,10.37502956,16.05245018,7.603813171,15.22483253,7.40241909,15.56845188,6.554449558,21.64677048,7.740478516,7.401617527,14.68700504,6.655930519,17.42888451,8.683592796,10.63486385,15.47127533,5.747936726,16.09704971,5.53892231,19.46001625,8.690032005,19.11945152,9.204899788,6.443309784,13.83925915,5.457424164,13.23594475,5.547289848,9.115626335,12.93960285,3.964197397,20.11838531,2.533611774,14.67602253,3.274996042,16.14990425,0.629508138,2.696132898,2.675507545,4.913191795,1.454841137,2.293809652,0.837215006,1.350387454,4.742519855,3.293330431,5.6612854,4.249384403,4.04792881,4.864697456,1.713922024,6.221730709,1.612072945,5.498596668,1.245940089,7.241052628,2.942527056,1.791769862,2.450167894,4.037305832,2.997607946,6.211265087,4.48800087,3.292836905,4.521217823,1.98268795,5.972365856,1.927004099,7.239522934,1.554957151,6.482374668,2.682439804,2.003119469,3.907766819,1.116986871,3.797463655,1.573465228,2.759138584,3.10709548,0.451573014,2.907526493,0.576557875,2.850379705,0.540490806,3.403578043,0.632545888,0.53218019,0.473875165,1.068599224
Task 7,5.469513893,15.87569237,7.998347282,19.88135719,4.023693562,7.358654976,3.740629911,11.45588493,3.133588076,2.355354071,6.767778873,14.7180624,8.949306488,12.05126476,9.101597786,15.909688,16.4391613,11.22324562,32.21656418,13.64849472,21.78921509,11.19783974,46.99298859,25.52528572,14.22045517,27.01433945,11.33917141,22.50245094,11.33742619,28.80243492,26.4740715,6.036813736,29.28706551,2.931633949,25.56411552,2.400950193,53.73041916,7.947522163,4.322331905,13.00924301,28.83117676,14.75304413,19.0693264,9.130384445,22.04775238,31.23190117,7.236476898,28.00358772,2.956757545,12.56603718,3.333375454,50.41396332,9.579949379,5.424863338,5.101878643,8.78254509,2.011965275,4.540967464,1.203195214,1.967961311,11.64182186,7.233957291,12.99668789,9.132566452,10.13093281,15.7523737,7.442878246,14.79197788,7.178095818,15.34695911,6.452818394,21.12270737,7.572515965,7.219470024,14.31648064,6.470939636,16.72177696,8.355366707,10.39076233,15.09697533,5.659580231,15.62828636,5.392117977,18.69038773,8.403950691,18.65497017,8.950147629,6.28023243,13.38527203,5.285095215,12.84509945,5.40319252,8.894104004,12.65752792,3.905933619,19.25859833,2.473759651,14.30602646,3.236829281,15.55888367,0.623161376,2.645730734,2.626356602,4.758595943,1.440079212,2.264140844,0.826667309,1.329752088,4.637253761,3.22338295,5.55083847,4.16445446,3.97755456,4.759862423,1.691075325,6.063702583,1.588909984,5.372060299,1.215841532,7.095568657,2.898195267,1.764380097,2.413112164,3.971762657,2.94724369,6.119647503,4.44494009,3.239332914,4.438114166,1.948967099,5.873897076,1.888458371,7.174028873,1.533444643,6.35424757,2.642651081,1.968481541,3.846761465,1.099922299,3.741727114,1.560896516,2.712623596,3.05966258,0.443517417,2.861951351,0.563334167,2.820756197,0.53532362,3.34763217,0.628044784,0.522989631,0.46427691,1.045656323
Task 8,5.069548607,14.70912361,7.417937756,18.09617424,3.884462118,7.161831379,3.620419979,11.15412045,3.037736893,2.28883934,6.597011566,14.44222164,8.771243095,11.68429375,8.720854759,15.53487682,15.91823864,10.86644268,31.67158318,13.38847351,20.93894958,10.77290535,46.41653061,25.32484436,13.92306614,26.42689705,11.09434032,21.84189415,11.00008202,28.20923805,25.84466743,5.9562397,28.64316368,2.862498999,24.8834343,2.329939365,52.7016449,7.909009457,4.253857136,12.7078867,28.24960136,14.41423321,18.3500843,8.669301033,21.51547813,30.67079163,7.05267477,27.40939522,2.87054348,11.83318806,3.177219152,49.55904388,9.227399826,5.262198448,4.939884663,8.596662521,1.93690145,4.335113049,1.167427421,1.875210166,11.33192539,7.027583122,12.58348656,8.959313393,9.842811584,15.41102791,7.253615856,14.30813789,6.922382355,15.13196564,6.346692085,20.54902458,7.376027584,7.010630131,13.88260841,6.259423733,15.89703274,7.975842476,10.11337757,14.67749786,5.554118156,15.06576729,5.210900784,17.80503082,8.066732407,18.1322403,8.675855637,6.086812496,12.83705425,5.075578213,12.35995674,5.229837418,8.626776695,12.32599258,3.832993269,18.22409058,2.398019791,13.84664345,3.188787699,14.89383698,0.617342234,2.582419872,2.563778877,4.570460796,1.421696305,2.226854563,0.812952042,1.302276611,4.505308628,3.135225534,5.411409378,4.055553913,3.891729355,4.630356312,1.662030697,5.863219738,1.559710145,5.219536781,1.180627942,6.921903133,2.843880177,1.730443478,2.366836309,3.888967991,2.882728577,6.021979332,4.401921272,3.172209501,4.334431648,1.90671742,5.745852947,1.838843107,7.102615833,1.511890054,6.21344614,2.600739717,1.926636934,3.776227713,1.08000052,3.674069405,1.543793559,2.654774427,3.002043247,0.433710843,2.808479309,0.547291577,2.783474684,0.529164314,3.278732061,0.621743441,0.511738777,0.452881843,1.020244002
Task 9,4.669616222,13.54459381,6.837821007,16.35367393,3.731604099,6.944272518,3.488932371,10.81667137,2.931397438,2.214290619,6.400126457,14.12387848,8.565086365,11.30030251,8.311211586,15.08244324,15.33717728,10.46868515,31.01588821,13.07428074,19.91450882,10.2470293,45.62256241,25.00982285,13.56137848,25.763731,10.8203907,21.09411621,10.62554836,27.48061752,25.14706039,5.858642578,27.91358376,2.787167072,24.12551689,2.255171537,51.62256241,7.857398987,4.175854206,12.36348629,27.63101387,14.06066513,17.61869049,8.225438118,20.9102993,30.05157852,6.864025116,26.77888298,2.771400928,11.10393238,3.030230761,48.58998871,8.843197823,5.089370251,4.766653538,8.415146828,1.850947857,4.099744797,1.127865672,1.776349902,11.0179863,6.810064316,12.16931438,8.789945602,9.544151306,15.05542374,7.053821564,13.79838276,6.647031784,14.96494007,6.258841991,19.93463898,7.14968729,6.788468361,13.40199471,6.023056984,14.98624039,7.565325737,9.818427086,14.2349453,5.426808834,14.41788864,4.994654179,16.85196304,7.684250355,17.58321381,8.38638401,5.862867832,12.20920849,4.826742172,11.80187035,5.034655094,8.309741974,11.9398241,3.737683773,17.02732277,2.299081326,13.33936691,3.141140461,14.1684761,0.613638043,2.502011299,2.482947826,4.344005108,1.395929337,2.175564289,0.794771373,1.26719749,4.339999199,3.024213076,5.241871834,3.922697067,3.783281565,4.46654129,1.62343955,5.607069492,1.519663692,5.044518471,1.139261246,6.703263283,2.772941351,1.685878396,2.307444334,3.781176567,2.80096817,5.909507751,4.340303421,3.083941221,4.201056004,1.852870703,5.575395107,1.77601397,6.996949673,1.484154701,6.032432079,2.543179035,1.87278688,3.682728529,1.052798867,3.589134216,1.523959875,2.579218149,2.925779343,0.421973854,2.739242792,0.52612406,2.736359596,0.523721695,3.189664602,0.61138618,0.497426271,0.439100295,0.98894906
Task 10,4.269325256,12.37767029,6.257114887,14.65409279,3.563004732,6.700531006,3.344949007,10.4333849,2.813066244,2.130824566,6.176232815,13.75634193,8.328906059,10.83404446,7.852854252,14.55450439,14.70948505,10.04363918,30.23969078,12.69552898,18.71470833,9.628152847,44.62393188,24.58186913,13.13490295,25.01286888,10.51519108,20.29761314,10.23048687,26.61967468,24.38640976,5.738455772,27.09505272,2.707652807,23.34921646,2.184668303,50.49742889,7.799092293,4.090137959,11.99013615,27.01034164,13.72013092,16.92116547,7.818044186,20.24782562,29.39115334,6.680865765,26.17252159,2.673315763,10.43338871,2.895476103,47.44799805,8.410629272,4.914139748,4.593815804,8.243325233,1.757311225,3.856684446,1.083748102,1.675581098,10.71929836,6.59800148,11.76879501,8.606884956,9.246616364,14.68595886,6.844291687,13.31453037,6.372876644,14.81984997,6.171473503,19.31401062,6.926743984,6.564245224,12.92672539,5.786828041,14.08561897,7.173105717,9.521090508,13.82737732,5.289786816,13.75960255,4.765334606,15.9539957,7.304705143,17.0444603,8.104200363,5.631219387,11.58646965,4.576919079,11.25238419,4.855119228,7.983695984,11.54282856,3.633953571,15.81567669,2.1928339,12.87213802,3.110748529,13.45832062,0.608170629,2.417708397,2.396342516,4.112469673,1.366170287,2.118480682,0.773611665,1.227921128,4.165917397,2.907741308,5.074748993,3.793266773,3.668199539,4.294219971,1.582428813,5.335799694,1.476180911,4.892893791,1.098565698,6.476031303,2.699423552,1.638967514,2.244001389,3.669107199,2.713433743,5.815630913,4.29227829,2.988642216,4.061500072,1.797709107,5.380500793,1.706362367,6.903637409,1.460460067,5.845786572,2.480113268,1.815674186,3.57874608,1.022212744,3.493862867,1.501425862,2.499626398,2.839585304,0.409111232,2.665857792,0.503716469,2.689746141,0.518553078,3.084403753,0.596728325,0.48172161,0.42437157,0.958099186
