abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,7.284113407,21.58621216,10.75822067,19.97488213,4.805021286,9.446749687,4.657622337,14.75537109,4.36468792,3.069146156,7.689973831,15.51699066,9.521074295,12.41501808,8.677315712,15.32560062,17.77586937,12.10400105,30.68614006,12.98060322,22.43139076,11.10502434,50.24257278,23.6499424,13.86066055,25.72455978,10.05969143,28.84870529,14.97772503,25.4634037,24.47663689,5.276749134,24.66722488,2.762866497,41.26664352,3.017597914,42.77145767,4.671853065,3.738708496,10.88524818,26.35220146,14.09335518,18.83887863,7.533968449,17.4057827,26.9107914,5.448193073,29.2943821,2.569167852,10.94079685,3.190297365,34.78314209,9.305366516,4.549057961,4.192328453,6.80542326,0.750316322,2.006774426,0.488229841,0.714920759,11.40820408,6.701760292,12.17089939,7.477889538,7.803462029,11.70979023,6.113914013,13.95090961,6.317448139,13.70197392,4.430600643,17.83408356,6.239834309,6.008287907,11.74440193,4.865262032,10.67962933,3.50783658,8.346701622,13.4822073,5.16260767,10.69657326,4.369841099,5.993074894,2.825655937,14.72871017,6.72982645,4.670027733,10.861166,4.059504032,9.036970139,3.42225337,6.320475578,9.480454445,3.362612247,12.5408926,1.931312561,7.455958843,2.006533384,10.45434952,0.701591074,2.094978809,1.961315274,3.362055302,1.204601645,2.157189131,0.734352529,1.205810905,3.916665316,2.753555298,4.819068432,3.652003765,2.980800867,3.824846745,1.252646446,4.806651115,1.404258728,5.232114792,1.340884209,5.299343586,1.96817255,1.434616446,2.006863594,3.499297619,2.397624016,4.382285595,2.689347982,2.643377542,3.96432662,1.893451929,4.416131496,1.156221032,4.164143562,1.108208299,5.299770832,2.351835489,1.55961442,3.341290712,0.891456127,3.465605259,1.451193452,2.139120579,2.662063599,0.369836539,2.0773983,0.412144154,2.649743319,0.468235105,2.871736765,0.323148072,0.392165124,0.357501179,0.854690433
0.05,6.986946106,20.70071793,10.32358265,19.25092888,4.724992275,9.33657074,4.587507725,14.51620674,4.274867535,3.010394573,7.553277493,15.28202534,9.35639286,12.27208805,8.595691681,15.11224461,17.52673531,11.92200089,30.19928169,12.75714493,22.45953178,11.04333496,49.6039238,23.48217583,13.6747179,25.5143795,9.974207878,28.57992172,14.86542892,25.14195442,24.15175056,5.198858738,24.62415695,2.770663023,40.83270264,2.981162786,42.56991959,4.787477016,3.729191303,10.76353264,26.47960091,14.13198185,18.93414116,7.599279404,17.20179367,26.76435852,5.406264782,29.51170349,2.597583532,11.07729244,3.220376968,34.18289185,9.281318665,4.544683456,4.199044228,6.743450642,0.732011199,1.945902109,0.476630241,0.703188479,11.45330906,6.729129314,12.13897705,7.48880291,7.820731163,11.6918211,6.098009109,13.92900372,6.289942741,13.78033924,4.415644169,17.85475731,6.267085075,5.992831707,11.70944023,4.834141254,10.53356457,3.503402948,8.330797195,13.41578388,5.161251545,10.57408714,4.324411869,5.944125652,2.797840357,14.87084103,6.748376369,4.645806313,10.71293831,4.003452778,8.878293037,3.388496161,6.300946712,9.402815819,3.334586859,12.31016731,1.912144423,7.310767174,1.993969083,10.34078026,0.676659346,2.074034691,1.933299541,3.30563879,1.191403508,2.123757124,0.719247401,1.186768651,3.87492919,2.72696805,4.766082287,3.599556446,2.954530716,3.770759106,1.229630113,4.739519119,1.38801837,5.164622307,1.323490739,5.273095608,1.954164743,1.416452885,1.983398438,3.459887028,2.369161844,4.321780205,2.655952215,2.612656355,3.899937868,1.859373093,4.337954521,1.137272358,4.127082825,1.10167408,5.239670753,2.321221113,1.536125779,3.292898417,0.873821855,3.415651321,1.428738832,2.108934164,2.623036385,0.364729792,2.032533407,0.397884637,2.603051901,0.459465802,2.839578629,0.320359111,0.383458078,0.348752767,0.832898796
0.1,6.647779942,19.67557526,9.819930077,18.47801971,4.622745037,9.190132141,4.501395702,14.23832321,4.172078609,2.941349268,7.386808395,14.9926672,9.151339531,12.11717224,8.494750023,14.85445595,17.18213654,11.65882015,29.61508942,12.49479103,22.5294838,10.9669323,48.59788895,23.17589569,13.42989635,25.2894268,9.871823311,28.15251541,14.66553211,24.71174431,23.73050308,5.081699371,24.69861794,2.804248095,40.00769806,2.916480541,42.09008408,4.943891525,3.719300032,10.59983253,26.76852608,14.16834927,19.17780876,7.729964733,16.90365601,26.59949112,5.356392384,29.78913307,2.644327641,11.35678577,3.290561914,33.54688263,9.315646172,4.555856705,4.218716145,6.682578087,0.708692372,1.87624073,0.463079453,0.696276963,11.55086899,6.807932377,12.10931587,7.549601078,7.876360416,11.6884594,6.080591202,14.04115677,6.317689419,13.96881199,4.436635494,17.95223999,6.329073429,6.009887218,11.72612762,4.821877003,10.45991993,3.545991898,8.363479614,13.40622616,5.184025764,10.50212288,4.289083004,6.003092289,2.807032347,15.20775509,6.836915493,4.646045208,10.58816528,3.949191093,8.699501991,3.350128412,6.316698551,9.364222527,3.30353117,12.1529417,1.89942944,7.138904095,1.995078087,10.23973274,0.633188009,2.055380106,1.902246952,3.239906788,1.172190428,2.075063705,0.696164846,1.160248399,3.830025673,2.697820663,4.729222298,3.558196783,2.92997098,3.703530073,1.199073553,4.662987232,1.36638236,5.145474434,1.308673024,5.269919872,1.937674403,1.393916965,1.954653621,3.422409534,2.342170477,4.233835697,2.605517864,2.578006029,3.813279152,1.812288284,4.255973339,1.118566751,4.05346632,1.083959699,5.173407078,2.273424864,1.504362822,3.227152348,0.848327756,3.335042238,1.38760972,2.068340063,2.561838388,0.357908458,1.96647203,0.374650359,2.516705513,0.443230152,2.796782255,0.319058657,0.369997025,0.335389405,0.799873233
0.15,6.266069889,18.54157066,9.26287365,17.70239067,4.490380764,8.986531258,4.389209747,13.8923111,4.049215317,2.856988192,7.187021732,14.63311768,8.890049934,11.902812,8.3475914,14.53650188,16.7519207,11.33543587,28.88151932,12.1745882,22.48596382,10.77253151,47.08834839,22.64881134,13.09879971,24.97272682,9.735884666,27.40123558,14.28645134,24.15069389,23.17290115,4.91612196,24.84361076,2.85629034,38.56629181,2.809458256,41.45560837,5.131521225,3.699585438,10.40478516,27.03840637,14.12567234,19.44450569,7.876387119,16.54866028,26.36525154,5.288136482,29.89617157,2.677990675,11.70739651,3.366168022,33.04432297,9.328282356,4.552601814,4.228003979,6.654088497,0.685244203,1.815875292,0.4529818,0.698832512,11.62718391,6.87634325,12.13219166,7.650598049,7.929410934,11.69318104,6.060773373,14.19068432,6.366511822,14.27829075,4.500958443,18.11155128,6.430179119,6.045716763,11.76995945,4.82404995,10.46843719,3.611948013,8.425657272,13.40264511,5.213290691,10.47216034,4.249226093,6.148646355,2.859440088,15.63732243,6.963852882,4.655851364,10.47247791,3.892148018,8.507788658,3.313402653,6.336544037,9.373517036,3.268259764,12.03675842,1.88922739,6.968726158,2.017483234,10.12629128,0.586886048,2.039435387,1.869711876,3.163393497,1.145667195,2.015832663,0.671172559,1.127618074,3.786457777,2.668011904,4.683024883,3.511078119,2.909413815,3.637734652,1.166240573,4.586280823,1.342044353,5.128120422,1.282657146,5.260396004,1.909323096,1.366085649,1.918766737,3.379566669,2.314755917,4.13724184,2.546386003,2.53193593,3.707349777,1.755904317,4.181381226,1.103307843,3.945581913,1.054866076,5.056693077,2.199658871,1.465319276,3.142822266,0.815212667,3.233718872,1.340013862,2.020809174,2.474452496,0.348310769,1.895711422,0.348761141,2.408204556,0.424056143,2.739561081,0.317622811,0.354110509,0.319481969,0.759949803
0.2,5.882400513,17.407444,8.706197739,17.03020287,4.345129013,8.746528625,4.262505531,13.53156185,3.925299644,2.76864934,6.972902775,14.24017334,8.598064423,11.63694954,8.186889648,14.14075756,16.26906586,10.98988533,28.10758209,11.85169601,22.2610836,10.45353699,45.11800003,21.85329628,12.71161175,24.54303169,9.563630104,26.33295059,13.70550156,23.49053764,22.51826477,4.721424103,25.05760002,2.92255044,36.38277435,2.666742325,40.79761124,5.307528973,3.66908741,10.19574451,27.14948273,13.95890617,19.5499649,7.996938229,16.1871891,26.04528618,5.214274883,29.65769386,2.675913095,11.99436569,3.430828094,32.7608757,9.235925674,4.51857233,4.199397087,6.695451736,0.664665282,1.788137913,0.453405052,0.718032897,11.61685944,6.888034344,12.21896172,7.769399166,7.921441555,11.70684433,6.035778046,14.25109005,6.377529621,14.68994999,4.604512215,18.23804474,6.549633503,6.070622444,11.79598427,4.846380711,10.57025909,3.699492693,8.476631165,13.31303406,5.202171803,10.44028473,4.194706917,6.352736473,2.934180021,15.9916296,7.022194386,4.642446041,10.27777576,3.802708149,8.26578331,3.285849333,6.31818819,9.32616806,3.192930222,11.82800293,1.870944262,6.80542326,2.051949978,9.93183136,0.549173892,2.013092756,1.822239995,3.060135841,1.099271417,1.92706275,0.643426239,1.080982685,3.711951733,2.613703489,4.586907387,3.435434818,2.877792835,3.562128544,1.129936814,4.478058338,1.307442069,5.05354023,1.233533025,5.186984062,1.865043283,1.327241898,1.867466092,3.30687356,2.270501852,4.036434174,2.490007877,2.466787338,3.569658756,1.687407613,4.087889671,1.082193732,3.77856636,1.006926894,4.889441013,2.117038965,1.416038752,3.034375191,0.776402414,3.084878445,1.275136471,1.956817031,2.367311239,0.33609584,1.817463517,0.322075754,2.250119925,0.398810089,2.658951521,0.312959909,0.335785806,0.301491499,0.713453591
0.25,5.495834827,16.26398659,8.145260811,16.45607376,4.186491013,8.45308876,4.116577625,13.1471796,3.803032398,2.676533222,6.73165369,13.80982494,8.273001671,11.31268406,7.997364044,13.71789837,15.68281364,10.5773325,27.36614418,11.55166054,21.8629055,10.04913235,42.64770126,20.60329247,12.25167751,24.01464844,9.375478745,24.83239555,12.84204197,22.76371193,21.71513367,4.506461143,25.38401794,2.995054007,33.13517761,2.478406191,39.97702408,5.42534256,3.618804455,9.962255478,27.03641129,13.69591522,19.62076569,8.156615257,15.8036356,25.6774826,5.131537437,29.07865906,2.652355671,12.28853893,3.518699646,32.67279816,8.936003685,4.448722363,4.111335754,6.843222618,0.653895557,1.784478903,0.455954254,0.736764491,11.47103691,6.810513496,12.44084072,7.912289619,7.840878963,11.68933201,5.995388031,14.06564045,6.280218124,15.2204752,4.73795414,18.23589134,6.628649235,6.04197979,11.69093323,4.845682144,10.66219044,3.787930727,8.468551636,13.01679707,5.112361908,10.20415783,4.031749725,6.567934036,3.020382881,16.14790154,6.93034029,4.537809372,9.883747101,3.611228704,7.907566547,3.223238468,6.179344177,9.125610352,3.019073248,11.21774483,1.801032066,6.536259651,2.054739237,9.619737625,0.517879963,1.934621334,1.717675567,2.851872921,1.012546897,1.768301725,0.599221885,1.003769517,3.509748936,2.473706484,4.315123081,3.239813566,2.777257919,3.392541885,1.070646167,4.210064411,1.236923099,4.741002083,1.134661555,4.948658466,1.785158873,1.25437367,1.766067505,3.152801037,2.176759481,3.873746872,2.415995836,2.345287085,3.332279444,1.579570174,3.90984869,1.033063293,3.520838737,0.926337183,4.60650301,1.989970565,1.332013726,2.862172127,0.722978294,2.835053921,1.169876337,1.847369909,2.213793516,0.317031741,1.708235741,0.29058525,2.014987946,0.365730762,2.515688658,0.303291917,0.311483979,0.277493805,0.653738618
0.3,5.136984348,15.20452785,7.628308296,16.01224899,4.026890278,8.122101784,3.959971428,12.75539398,3.691692829,2.587234974,6.484306335,13.37282944,7.95709753,10.91864681,7.748314857,13.31538773,15.05365944,10.13783932,26.72647858,11.3285284,21.38464165,9.6762743,39.9961853,19.20975494,11.80945206,23.42044067,9.175224304,23.20695114,11.86597347,22.08147049,20.83913231,4.291322231,25.45856857,3.01752758,29.51642227,2.281481266,38.93521118,5.408442974,3.528782606,9.680582047,26.56667709,13.30357933,19.26865005,8.125802994,15.3433857,25.08411217,5.030843735,28.11071396,2.573617697,12.19156361,3.518155336,32.49005508,8.544103622,4.32994175,3.972889185,6.953431129,0.664371967,1.822291374,0.470560879,0.745762527,11.20924473,6.65600872,12.67983818,7.931762695,7.665427208,11.63038921,5.933650017,13.65044498,6.068452835,15.45465851,4.799277306,18.10441208,6.662369728,5.941916943,11.39668274,4.771680355,10.61198711,3.863775015,8.359189034,12.56173229,4.930737972,9.793263435,3.795116186,6.776953697,3.084469795,16.0866909,6.715874672,4.355308056,9.381443977,3.348842382,7.593136311,3.166328907,5.934043407,8.75551796,2.761616468,10.33036041,1.676798344,6.345699787,2.032973051,9.201451302,0.48784557,1.805964708,1.568365097,2.589660406,0.90108788,1.569981217,0.550705552,0.91927141,3.215198278,2.273796797,3.925512314,2.960240364,2.615547895,3.160122395,0.993766844,3.844262123,1.13850534,4.212362289,1.022765279,4.604889393,1.683596253,1.160021901,1.635311604,2.948396444,2.058344364,3.795403957,2.438999414,2.19399786,3.040546656,1.441066384,3.71456027,0.964606166,3.408302784,0.878741384,4.267495632,1.831128597,1.231311083,2.672179222,0.665621996,2.53214097,1.053751826,1.724323988,2.062670708,0.29204759,1.597735286,0.263453484,1.726250052,0.328831494,2.380482912,0.290932566,0.285783976,0.251454502,0.593544185
0.35,4.749229431,14.06110001,7.072807312,15.60221291,3.825875998,7.685553074,3.765150309,12.29263401,3.575197458,2.487916946,6.185547352,12.87215328,7.616474152,10.32465744,7.328253746,12.75858688,14.35835266,9.663149834,25.89640427,11.05728245,20.72281456,9.267516136,37.35681534,17.79624176,11.32737255,22.74767876,8.953122139,21.21638107,10.65500546,21.31755257,19.82031059,4.081056595,25.50428009,3.013531446,25.13861465,2.052679777,37.63189697,5.27452755,3.407492399,9.369627953,25.93022156,12.87163925,18.67790985,7.951316833,14.8341341,24.40720367,4.900748253,26.79270744,2.451216459,11.8293314,3.447962761,32.7313652,8.439096451,4.211718082,3.867144108,6.983155251,0.676765144,1.894197941,0.492564976,0.751191676,10.87528515,6.471549511,12.88526154,7.896726131,7.434672356,11.53101921,5.830553532,13.12532902,5.790531635,15.4709549,4.840831757,17.87078285,6.688893318,5.796625137,10.94926834,4.635247707,10.55076694,3.948301077,8.169746399,12.06829834,4.693379879,9.340439796,3.551830292,7.093043804,3.187792063,15.8685236,6.421899319,4.150475502,8.874357224,3.062592268,7.403607845,3.155319452,5.664028645,8.358000755,2.491612673,9.308440208,1.522352457,6.447225094,2.052289963,8.826562881,0.459493279,1.663353801,1.422904134,2.34650898,0.7827456,1.376235962,0.49489817,0.823242366,2.933399916,2.084186316,3.60237813,2.7552917,2.446964502,2.945175171,0.921776772,3.512162685,1.045134902,3.727658272,0.98244077,4.281754494,1.576985002,1.079357386,1.52534616,2.773359776,1.964327574,3.927521706,2.631263256,2.078809023,2.784987688,1.309166431,3.578352928,0.902393162,3.644183159,0.92826438,4.004347801,1.694365382,1.153372765,2.550801754,0.625222743,2.278606415,0.948369324,1.637961507,1.990480423,0.263296545,1.549552798,0.244193256,1.499393344,0.303989738,2.352003336,0.278481007,0.263117552,0.228397831,0.538113832
0.4,4.361301422,12.91669941,6.50946188,15.18345165,3.575724602,7.167714596,3.547109842,11.72299957,3.441486359,2.371059656,5.840532303,12.26659679,7.177827358,9.777729988,6.922245026,12.13006878,13.76671124,9.276041031,24.70219421,10.62678623,20.42701912,9.149333954,35.84262466,16.92477036,10.89164925,22.2775135,8.79972744,19.14622116,9.340568542,20.57699585,18.85824203,3.901736498,25.93573952,3.027469635,20.21471596,1.791616201,36.4485054,5.050181389,3.283125401,9.041621208,25.31910706,12.47088909,18.47117043,7.862319469,14.35612774,23.9149437,4.73546505,25.2930584,2.307504892,11.59017658,3.422962666,33.31212234,8.577363968,4.106289387,3.780746937,6.943950653,0.687990367,2.027238369,0.529775083,0.794334352,10.44518471,6.266901016,12.87990761,7.779663086,7.205071926,11.36081886,5.682096958,12.47439289,5.440458298,15.03590012,4.812837124,17.50055313,6.707437992,5.595880032,10.30911541,4.39812994,10.42286015,4.019610405,7.901839256,11.53997803,4.430021286,8.784404755,3.242265463,7.327980518,3.298295021,15.44847107,6.073848248,3.900153875,8.375767708,2.757651329,7.266927719,3.197648764,5.321422577,7.951112747,2.232653379,8.145389557,1.328758836,6.82206583,2.176547527,8.480843544,0.455830991,1.51744771,1.283521771,2.109786272,0.678545058,1.195171475,0.42725721,0.698173165,2.699163198,1.917415857,3.339671612,2.599992037,2.271816015,2.739439249,0.858677447,3.238621473,0.958329916,3.304297686,0.962648213,4.013105869,1.462332845,1.005868435,1.428524494,2.574181557,1.848078847,4.036598682,2.774821281,1.979475379,2.544289351,1.18525064,3.404461861,0.850889266,3.920442581,1.007107615,3.767042875,1.574206114,1.089083791,2.456308365,0.59197402,2.040732384,0.865885019,1.573446512,1.945230246,0.229280829,1.554578185,0.226675719,1.467743993,0.290063769,2.390271664,0.257188708,0.239390925,0.208172604,0.482536465
0.45,3.971307755,11.76700115,5.928037167,14.64979267,3.258835077,6.583184719,3.299726009,10.97753906,3.266837835,2.223997593,5.460513115,11.67336655,6.754045963,9.643342018,6.888814926,11.51006413,13.40994358,9.030022621,23.55127144,10.18448162,20.87585258,9.465575218,34.70285034,16.18498993,10.55605125,22.13577271,8.711708069,17.93959999,8.470262527,20.03438187,18.26704025,3.778279305,26.2483387,3.03011775,16.92849541,1.599061251,35.74448013,4.899417877,3.192645788,8.813188553,24.67440033,12.04688454,18.62920189,7.968662262,14.04537773,23.66197395,4.639113903,23.81692696,2.190421581,11.82693386,3.490341187,33.93900299,8.777766228,4.053961277,3.761469603,7.080479622,0.711868703,2.195603609,0.594224036,0.921901286,10.0271101,6.06879425,12.91805458,7.722961903,7.065002441,11.26525688,5.591383934,11.90472794,5.121878624,14.64613342,4.92961359,17.12011147,6.744068146,5.44734478,9.870675087,4.153795242,10.19064617,3.98239398,7.656525135,11.36032867,4.342607498,8.613337517,3.038633347,7.442952156,3.409050226,15.02009773,5.747475147,3.749545336,8.267511368,2.560127735,7.255262852,3.306250811,5.063647747,7.923722267,2.106566429,7.391101837,1.185086727,7.275072575,2.372028112,8.375943184,0.484236062,1.439471602,1.215146542,1.978877783,0.646399021,1.116739154,0.39545849,0.623599648,2.57724905,1.811458111,3.216872215,2.529824018,2.179900169,2.631979465,0.837034941,3.101216793,0.900294542,3.062877178,0.944823265,3.930233717,1.39805162,0.964258313,1.375158191,2.396629572,1.737462044,4.095165253,2.864770651,1.931022763,2.407577038,1.110275626,3.21334362,0.84258914,4.227136612,1.130438328,3.584515572,1.49740684,1.069979191,2.375176191,0.582742155,1.898686409,0.839865863,1.553514838,1.903966427,0.209545821,1.577322245,0.215739921,1.643497229,0.302659601,2.437645197,0.235652685,0.226771146,0.196169004,0.459238797
