abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,6.98504591,16.74151039,8.37149334,15.81005001,2.868639231,5.531015873,2.854293585,8.761772156,2.48968792,1.822351813,4.453997135,9.853927612,6.34872818,8.120584488,5.750135899,9.389480591,10.10573578,6.634065151,21.48336792,9.176700592,17.77391052,9.260268211,27.64038277,14.59329414,9.22853756,19.69636917,8.083841324,22.24807167,11.67370605,17.33838081,16.57754898,3.315812349,22.52477646,3.028996944,36.49742508,2.915354252,27.79481316,6.00809288,3.479954004,10.86222076,30.65485191,17.70803261,21.97890091,10.63080311,20.42234993,25.26231575,6.633177757,38.18522263,3.349037886,16.93701744,4.645747185,45.04575729,11.75795746,5.753273964,5.259697914,9.139431,1.255814075,3.133314371,0.854716361,1.315212369,13.24297333,7.806362152,18.15410805,10.97753525,12.0621109,14.83325481,6.988230228,16.14091492,7.561714172,20.62754631,7.447320461,25.72952271,7.283786297,7.333459854,15.16123486,6.237969875,14.73596573,6.872618675,11.16767597,17.73018837,6.647777557,15.07758522,5.319383144,12.65486908,6.577274799,23.29634857,9.16836834,6.289823532,12.42118931,4.19471693,11.75157833,4.537685871,9.234127998,12.551301,3.115669966,12.45530033,2.04519248,11.19132042,3.024395466,18.35633087,1.497777224,2.324601412,2.12587285,3.545077085,1.044505477,2.062935352,0.752148926,1.11248219,3.949940205,2.646057367,5.062272549,3.708700418,3.44669199,4.09180975,1.262721777,4.233356953,0.982916832,4.850190163,1.188513756,6.537360191,2.052494526,1.265191674,1.802790761,2.859113216,2.016805172,4.909166336,3.074105978,2.393462896,3.462415695,1.427456737,3.308786631,0.964678466,4.928457737,1.191025019,5.023859024,2.19745779,1.331554651,2.877412796,0.820904851,2.486530304,1.001667023,1.802361488,2.326366186,0.346825808,2.210883617,0.36878413,2.141940117,0.325948417,2.93328023,0.381996512,0.356847346,0.323257118,0.757413864
0.05,6.648032188,15.97980595,7.993485928,15.22964382,2.822646856,5.50145483,2.833010912,8.747335434,2.480732918,1.815398097,4.449388027,9.855957985,6.341361046,8.194526672,5.824181557,9.389229774,10.06155777,6.594943523,21.52822113,9.190555573,18.09702301,9.411413193,27.3969593,14.52867317,9.236491203,19.75082779,8.116387367,22.45829201,11.74547482,17.35123444,16.54536438,3.290970087,22.72855568,3.049537182,36.85060883,2.933319092,27.60045624,6.038341522,3.489184141,10.88693905,31.06150627,17.94089127,22.1512928,10.63681793,20.47771454,25.3921814,6.68532753,38.80867767,3.398184538,16.79309845,4.587389946,45.75885773,12.13061905,5.833905697,5.34543705,9.398669243,1.276780963,3.176089764,0.861688077,1.327625275,13.45001984,7.925624847,18.5635128,11.18272686,12.23274803,15.02096748,7.062914848,16.34254837,7.646459579,21.19213867,7.647655964,25.98883438,7.45246172,7.439994812,15.38197708,6.340797424,15.08819103,7.000787258,11.3412838,18.0089798,6.716005802,15.3814497,5.38695097,12.87034893,6.708174229,23.80256653,9.306259155,6.374280453,12.58537388,4.230663776,11.94585514,4.615237236,9.348287582,12.76034355,3.146016121,12.5484724,2.047404051,11.29578876,3.07185936,18.54169655,1.504859924,2.338856459,2.13877058,3.568947792,1.042739868,2.06533742,0.752062976,1.114287376,3.99031353,2.673732281,5.105277538,3.74032402,3.47031188,4.121457577,1.268808842,4.281485081,0.990503728,4.913946629,1.198497415,6.593567371,2.071641207,1.2744627,1.81604445,2.8930161,2.042197227,4.940856457,3.10918355,2.410416842,3.479384184,1.428885579,3.368626118,0.980925024,4.994954109,1.208583951,5.046208382,2.202653646,1.341744542,2.90106535,0.822824061,2.510840654,1.004907012,1.816513538,2.345590115,0.347000003,2.218646288,0.367613286,2.157380819,0.327782154,2.974471092,0.381644815,0.356658459,0.322551221,0.755068839
0.1,6.330961704,15.20052147,7.607500553,14.7063179,2.778741121,5.463874817,2.805834055,8.700235367,2.465812922,1.804658055,4.437525749,9.840649605,6.319472313,8.232996941,5.881969929,9.367145538,9.984495163,6.53030014,21.53496742,9.186719894,18.38438034,9.550024986,26.93099785,14.35883713,9.214511871,19.6823864,8.097400665,22.47764778,11.72807503,17.31858063,16.44602013,3.254231453,22.76460648,3.058706999,36.84251785,2.929340839,27.27193451,5.997498989,3.476816177,10.85207748,31.30722237,18.06336975,22.19068909,10.62856388,20.42703056,25.39333725,6.718616486,39.14313126,3.426086664,16.64166832,4.522900105,46.34394073,12.5406208,5.902921677,5.421391487,9.634635925,1.298702717,3.222305059,0.868521929,1.341300845,13.62453842,8.023472786,18.94805717,11.38454819,12.35883808,15.17055035,7.120242596,16.48044395,7.699120045,21.70930862,7.826462746,26.15117073,7.640543461,7.526805878,15.54246712,6.422082424,15.3765564,7.096128941,11.47398186,18.18212128,6.731895447,15.66599464,5.447274208,12.97554493,6.770847321,24.22728157,9.415358543,6.429907799,12.69980812,4.243135452,12.03357029,4.639044762,9.417031288,12.93097973,3.159899235,12.53633785,2.034218788,11.23371696,3.071005344,18.60065079,1.501992822,2.334153891,2.132929087,3.549258947,1.026751876,2.043087006,0.742747784,1.099199414,3.994072199,2.674447775,5.096618652,3.733542919,3.467279673,4.122049332,1.265760899,4.281908035,0.985675216,4.924273014,1.195105195,6.602416992,2.077440739,1.272039175,1.813503981,2.9047966,2.052914619,4.925221443,3.112933159,2.40879631,3.465485573,1.420921683,3.409244776,0.993077755,4.988497257,1.210750937,5.035376549,2.192982435,1.342810631,2.901638031,0.816970766,2.511353254,0.996770442,1.817360997,2.355067253,0.345460743,2.198441744,0.361395091,2.130720377,0.322072119,2.996463776,0.378513724,0.352643698,0.318527937,0.742481768
0.15,6.006722927,14.35121727,7.187101841,14.19424915,2.724582672,5.399552345,2.76122427,8.585308075,2.429834127,1.780277133,4.395402431,9.769320488,6.257855892,8.164323807,5.859634876,9.266486168,9.802615166,6.401233673,21.37104797,9.107852936,18.32686615,9.511888504,26.07224846,13.98356915,9.091115952,19.36419296,7.980914593,22.10344315,11.5188303,17.1103363,16.1925621,3.19652319,22.50333214,3.045155525,36.12706757,2.879907608,26.68328285,5.835691929,3.424524307,10.7023716,31.12660408,17.92598915,22.02392769,10.57731152,20.14655113,25.03612328,6.671621799,38.84558487,3.414794445,16.43847084,4.440530777,46.41459656,12.86435604,5.913468838,5.435289383,9.705625534,1.307201743,3.240503311,0.867318511,1.346469045,13.62684536,8.010753632,19.11060905,11.48308659,12.34039021,15.16232967,7.10934782,16.36299515,7.609866142,21.99375725,7.926893711,25.9786396,7.752098083,7.510855675,15.50906944,6.416467667,15.42929363,7.107254982,11.45445156,18.08986092,6.632968903,15.73005676,5.449636459,12.94034386,6.75542593,24.32976913,9.452470779,6.40903759,12.67506027,4.202234745,11.96214199,4.583312988,9.36613369,12.95456696,3.141247749,12.34312916,1.991010785,10.98136425,3.006552219,18.42364883,1.500455141,2.298634529,2.097289324,3.480747938,1.00036478,1.999137044,0.728001416,1.075087905,3.940211535,2.632774115,5.032456398,3.691439867,3.417279005,4.073868752,1.247704506,4.209467888,0.964680016,4.876954079,1.178874016,6.523142338,2.066377401,1.2542063,1.790713191,2.881881237,2.041265249,4.855653286,3.076818466,2.382575989,3.408777714,1.40120852,3.415172815,0.996909142,4.895627499,1.195720553,4.975631237,2.162964582,1.331286788,2.870758772,0.801400006,2.47929287,0.971893907,1.802258134,2.340536356,0.341841698,2.147059917,0.34994936,2.061029196,0.309041083,2.984621525,0.369853616,0.344283819,0.309613883,0.720082402
0.2,5.617087841,13.46643353,6.747108936,13.59910583,2.663868189,5.35360384,2.731756687,8.582620621,2.431159735,1.77722621,4.39689064,9.798841476,6.266607285,8.300831795,6.002958775,9.284562111,9.743214607,6.345716,21.52894402,9.175683975,18.91926956,9.788046837,25.68169022,13.79232311,9.12179184,19.43772125,8.026885033,22.33686829,11.5606842,17.23661995,16.18302917,3.173160076,22.86528587,3.086278439,36.21938705,2.887768745,26.5848732,5.811153889,3.433058262,10.73398495,31.75762367,18.21852303,22.31671524,10.68800926,20.22114754,25.33816338,6.766692162,39.61603928,3.463773251,16.33054733,4.382871151,47.77316284,13.62868309,6.059141159,5.593705177,10.12992477,1.358496666,3.374449492,0.891570389,1.38096559,13.97937965,8.219026566,19.80705833,11.87291718,12.59545231,15.48031807,7.235852242,16.70479965,7.751970768,22.94353104,8.215197563,26.28963852,8.077375412,7.689261436,15.78902721,6.564691067,16.04678535,7.312493324,11.7461462,18.42753792,6.690077305,16.21451569,5.565328598,13.233325,6.936035156,25.13174057,9.685306549,6.532848358,12.92525864,4.247730732,12.1672678,4.646549225,9.528979301,13.29873657,3.183918238,12.37515354,1.982622027,10.88431358,2.995258808,18.6339798,1.496694088,2.301284552,2.09909749,3.466606855,0.985679924,1.979773402,0.717882693,1.056252241,3.952942848,2.635980844,5.056350231,3.713717937,3.427991152,4.088615417,1.251484632,4.211615562,0.96015048,4.921348572,1.190283775,6.592640877,2.086279154,1.258447409,1.799600244,2.916605711,2.069278479,4.843384743,3.093340397,2.393797874,3.405126095,1.404483914,3.479923964,1.021506786,4.845578671,1.181166649,5.008023739,2.171367407,1.340811372,2.900970459,0.796786964,2.502056122,0.969430029,1.813459754,2.391372204,0.343587518,2.137247801,0.342698783,2.030869007,0.303622127,3.044909477,0.367262512,0.341218144,0.306230098,0.702709675
0.25,5.261346817,12.60207081,6.31767416,13.07139778,2.595439911,5.270728111,2.6789608,8.470012665,2.400885344,1.753054619,4.355822563,9.769485474,6.234240532,8.280451775,6.027412891,9.187152863,9.565402031,6.227900982,21.46961784,9.142251015,18.99946594,9.80652523,24.85481262,13.35603046,9.02340126,19.22211075,7.964644432,22.09872246,11.38031673,17.13360977,15.99065876,3.134138823,22.88364983,3.09991312,35.44755173,2.837333202,26.28847885,5.667976856,3.398926497,10.65299797,31.77570534,18.11261749,22.37698555,10.74700069,20.08660507,25.19046593,6.739663601,39.46928406,3.446709871,16.22294998,4.327390194,48.32279205,14.17233181,6.104831219,5.648702145,10.32073784,1.396626234,3.484831095,0.905035615,1.400488734,14.09827518,8.273485184,20.12566566,12.07368183,12.626091,15.54778862,7.258807182,16.69857788,7.702870846,23.534235,8.366137505,26.11909103,8.24946785,7.715318203,15.7633419,6.584763527,16.37675476,7.393929958,11.80348682,18.34851646,6.566829205,16.30984497,5.585849285,13.29341221,7.000337124,25.39637756,9.774454117,6.53150177,12.9418478,4.213018417,12.1123867,4.587338448,9.498882294,13.36402893,3.184716702,12.15521622,1.935684085,10.60575008,2.915073395,18.44246292,1.483654141,2.264555693,2.063759089,3.390486717,0.960168123,1.93667531,0.702316642,1.035624027,3.889554024,2.5870502,5.009561539,3.692499161,3.379767418,4.041242123,1.239122391,4.130245209,0.940780878,4.887046337,1.180960178,6.545322418,2.083795071,1.245376825,1.785245419,2.910604954,2.071465492,4.775733948,3.065936089,2.37645936,3.354202509,1.393483996,3.503674984,1.037709951,4.687207222,1.148249984,4.974300861,2.150606632,1.335399628,2.888688803,0.780634344,2.490073919,0.948271751,1.806454897,2.403895855,0.342024684,2.094038963,0.331144542,1.945590854,0.288980722,3.056515694,0.359289914,0.333472669,0.298456967,0.678015292
0.3,4.891760826,11.73454189,5.884997845,12.55990505,2.519168615,5.190177917,2.630624771,8.421744347,2.390588045,1.739862204,4.338261604,9.801117897,6.239712715,8.313453674,6.085343361,9.149543762,9.453972816,6.15664196,21.55293274,9.15972805,19.25310707,9.892598152,24.26939011,13.06595039,8.988818169,19.18789482,7.981687069,22.09453773,11.29900646,17.17912292,15.92777443,3.116708517,23.23962402,3.14449358,35.03426361,2.811694145,26.37394333,5.622123718,3.400871038,10.68231678,32.10730362,18.15510941,22.65950584,10.95174599,20.20071793,25.33572388,6.765860081,39.75579453,3.450460434,16.28705597,4.335178375,49.48900986,14.79659462,6.194940567,5.74609375,10.64407253,1.438685298,3.626097679,0.921803296,1.428832173,14.36779213,8.422139168,20.66256332,12.37675285,12.73798847,15.74095058,7.340242386,16.91320038,7.75159502,24.38671684,8.578208923,26.09976959,8.498869896,7.819767952,15.90420246,6.681126118,16.90916443,7.529214859,11.98254299,18.44148636,6.516654491,16.62558556,5.667258739,13.43561459,7.116899014,25.87776947,9.881781578,6.587630272,13.08138084,4.217152119,12.11861706,4.549357414,9.557453156,13.55396843,3.219856739,12.02963352,1.904196501,10.36582947,2.837670803,18.40912056,1.459792733,2.242553711,2.043088198,3.339966297,0.943056941,1.900372386,0.685172021,1.017228246,3.856425047,2.562379599,5.025407314,3.72328186,3.358792543,4.031538963,1.242340446,4.09262085,0.932612181,4.927440166,1.189972043,6.573336124,2.102378845,1.247472525,1.792849422,2.937915087,2.095760822,4.732832432,3.045889616,2.388258934,3.342686892,1.399945021,3.564666271,1.068260431,4.563970566,1.113138795,5.01004982,2.14870739,1.343443036,2.915439129,0.774349332,2.514446974,0.945911348,1.819079876,2.456927538,0.343562126,2.083617926,0.325072259,1.903414488,0.284498811,3.110891819,0.354881525,0.330660641,0.296343267,0.665755391
0.35,4.539986134,10.87679386,5.45765543,12.05765343,2.424925804,5.040625095,2.544275045,8.187213898,2.329598904,1.692447901,4.254107475,9.706672668,6.158866882,8.185268402,6.027073383,8.981860161,9.199427605,5.993899822,21.30173874,9.052530289,18.99069977,9.738702774,23.31334686,12.57543278,8.81397438,18.80651665,7.858270168,21.56912422,10.98321629,16.95512772,15.61388206,3.067847729,23.11523056,3.138482094,33.79539871,2.728552103,26.00948334,5.455461979,3.346581936,10.56194687,31.73452187,17.79303932,22.59584808,11.00878429,20.02680397,24.93403625,6.639998436,38.98862839,3.380260229,16.22197914,4.294465065,49.65472031,15.01836777,6.143139839,5.697710991,10.635355,1.464048028,3.712902069,0.923228204,1.440123558,14.32561111,8.384648323,20.62467003,12.35641193,12.55686951,15.6081934,7.290433884,16.72138977,7.614056587,24.51514626,8.536689758,25.71944237,8.550019264,7.745236874,15.65093231,6.618908405,17.02724648,7.521643162,11.87619209,18.11569405,6.304662704,16.46487427,5.648103237,13.36549759,7.109437943,25.6894722,9.796048164,6.513395309,12.93450928,4.149072647,11.86531067,4.41671896,9.42894268,13.37104225,3.193329096,11.73210716,1.853978276,10.09244156,2.730817795,17.97148132,1.432435274,2.193265438,1.995655179,3.235951185,0.919198811,1.853011608,0.671127439,1.007409096,3.763449907,2.500704527,4.976798534,3.717955828,3.283961058,3.951932669,1.223561287,3.988567829,0.913251579,4.882586002,1.180805445,6.475606918,2.092445374,1.231306672,1.772013426,2.919455528,2.08520031,4.654936314,2.987190008,2.362219095,3.273957968,1.379615784,3.570041418,1.079107165,4.415692329,1.078890443,4.914008617,2.095783949,1.327948332,2.875188828,0.754811108,2.499645233,0.932888448,1.796283484,2.429251671,0.337722659,2.028004169,0.31474036,1.841908216,0.278103173,3.064100027,0.344479322,0.322495878,0.289088279,0.642694175
0.4,4.180464745,10.0042429,5.02126503,11.49991417,2.305138826,4.835276604,2.431392431,7.856275082,2.24572587,1.62725997,4.125966072,9.526409149,6.023786068,7.950246811,5.87078476,8.720533371,8.839927673,5.759531975,20.87386703,8.875564575,18.33777809,9.389513016,22.19466782,12.00201321,8.551579475,18.24306679,7.660408497,20.78007698,10.54449081,16.57185745,15.14510632,2.995044231,22.73319435,3.103046417,32.13313675,2.618795633,25.36107635,5.214178562,3.258877039,10.34520912,31.06143761,17.29670525,22.38928223,10.98743439,19.68833923,24.36408997,6.465298176,37.94499969,3.293081045,16.0772934,4.227362633,49.42040634,15.0281868,6.037136555,5.603974342,10.52121353,1.473797917,3.7560637,0.914703846,1.437887788,14.17938328,8.287220001,20.37734413,12.22072983,12.28488827,15.37577152,7.197542191,16.46347237,7.457776546,24.40470505,8.425404549,25.29269409,8.527200699,7.631071568,15.34451485,6.533829212,17.02801132,7.482044697,11.69798851,17.73258209,6.080644131,16.21444702,5.614251137,13.26608753,7.066398621,25.40524864,9.688591003,6.421674252,12.73791599,4.078820229,11.59286213,4.287502766,9.28646946,13.10152149,3.150836468,11.46041298,1.814891219,9.860307693,2.652516842,17.53853035,1.413239956,2.151116371,1.953176141,3.130325079,0.894127607,1.814283013,0.661908209,1.007434726,3.676625013,2.443360806,4.938564301,3.726793528,3.215730906,3.862453938,1.197705507,3.888148785,0.894907653,4.854269505,1.175713658,6.364782333,2.081665754,1.21385324,1.747904301,2.898394823,2.070041895,4.591063023,2.931252718,2.330373049,3.201298952,1.353965402,3.566550016,1.08545208,4.296580315,1.055159569,4.802528858,2.038979053,1.310105681,2.827232838,0.734111845,2.488337994,0.924847364,1.769534945,2.382969856,0.330460668,1.971531272,0.306922883,1.805684805,0.277463585,3.005940437,0.3360672,0.315710127,0.283136189,0.621904314
0.45,3.830144644,9.146974564,4.592975616,10.86399269,2.155126333,4.548460007,2.282444954,7.378876209,2.124475956,1.537205338,3.927006006,9.16427803,5.778906822,7.532975674,5.549222946,8.314283371,8.332021713,5.421963215,20.06134605,8.551587105,17.00453949,8.690924644,20.64124489,11.142416,8.110445023,17.30696106,7.30937767,19.45711517,9.868549347,15.85172462,14.33946896,2.866577864,21.75765038,3.005570173,29.62925529,2.448143482,24.14290619,4.820694447,3.099027872,9.932542801,29.78792572,16.52403069,21.72461891,10.74180508,18.98454475,23.35298538,6.190052509,36.27355576,3.16596818,15.62972641,4.068474293,48.22203445,14.65761852,5.821068764,5.402274132,10.16028595,1.444528937,3.707931995,0.889719248,1.405605674,13.76502895,8.028396606,19.63617325,11.83278465,11.8186264,14.9043684,7.004175186,15.8936882,7.175567627,23.62091255,8.134933472,24.57667542,8.349845886,7.388684273,14.79446602,6.346857071,16.57643509,7.315878868,11.32256222,17.10478401,5.793029308,15.68256283,5.500435829,13.00093174,6.921674252,24.76502991,9.500713348,6.251255512,12.38199329,3.972479582,11.24146175,4.148083687,9.037201881,12.61677742,3.050467968,11.14197254,1.774137378,9.648557663,2.59166193,16.93319893,1.398409605,2.098424435,1.899672151,2.993037462,0.858133376,1.763156772,0.65282768,1.006846786,3.56302166,2.366185427,4.842029095,3.690097094,3.129399061,3.734036922,1.155621052,3.754011631,0.866483867,4.772572517,1.153945684,6.185664177,2.051482439,1.18198061,1.703506947,2.844656229,2.031174898,4.507540703,2.858186007,2.27359271,3.102037191,1.311424255,3.520100594,1.074420333,4.177431107,1.040282369,4.626675129,1.954740047,1.277526975,2.736606359,0.703764856,2.435893059,0.90370512,1.723523021,2.276272774,0.317921847,1.875801921,0.298038989,1.742698669,0.273487836,2.892398119,0.326572835,0.305992782,0.272750527,0.597445607
