abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,5.695863724,11.62472343,5.785624504,10.92447567,2.253227472,4.440695763,2.200876713,6.311742783,1.774327755,1.290771961,3.19269371,6.917333126,4.48251152,4.970674992,3.394852638,5.907186031,6.475026131,4.309658051,15.29584026,6.606514931,10.06164646,5.308583736,16.22072983,8.235826492,6.073729038,12.38021183,4.99164772,12.21539021,6.313744545,11.40946865,11.00330353,2.337288141,14.02416706,2.049300671,18.83174515,1.876723766,18.09731865,3.121121883,2.234486341,6.999822617,20.30205727,11.57772732,15.86641407,9.008625031,16.41392899,15.47571087,4.193829536,28.47996521,2.707420349,16.68255424,4.734984398,34.63885117,7.597291946,4.066135883,3.985707521,7.643006325,1.601384878,3.541689873,0.978116214,1.661628246,10.89815998,6.685456276,15.41298485,11.12780952,9.729027748,10.83630562,5.488312244,14.10830021,6.008009434,21.48001289,8.339800835,23.54594421,7.172395706,6.282618999,13.55417919,6.337039471,14.41439342,9.117164612,10.85290051,14.03869152,6.604421139,13.93225002,4.992900372,18.51052475,7.48927021,20.39686012,8.273957253,6.117959023,13.76687717,5.662773132,13.40781689,6.461269379,9.84344101,12.1179533,3.964409113,14.99715519,2.556351185,15.24051094,3.845232248,18.71736145,2.217445374,2.970178604,2.823345661,4.303016186,1.420815587,2.763403177,0.76174885,1.183862329,5.450182438,3.788450718,7.518390656,5.618189812,5.098451138,5.313836575,1.564663529,6.766508579,1.362539887,7.554844379,1.792820334,8.912600517,2.665234566,1.6913445,2.75689888,4.870080948,3.376556873,9.714075089,6.678788185,4.059041977,4.925581455,1.931012988,6.251049042,1.359685183,10.88604832,2.898972511,9.410820961,3.323082209,2.074346542,4.340425968,1.111372828,3.575393438,1.292913556,3.056874752,3.611009598,0.475922197,2.922374487,0.398345083,2.490693808,0.527465224,5.484434605,0.37018913,0.440056562,0.392150819,0.903365016
0.05,5.479319572,11.19153595,5.570738316,10.61187077,2.228496075,4.419263363,2.18191433,6.264150143,1.757903695,1.279852986,3.178307772,6.909771919,4.470727921,4.966712952,3.405771255,5.882055283,6.425719738,4.274402142,15.28006649,6.591835499,10.16177845,5.354243279,15.93069744,8.131364822,6.050214291,12.35724545,4.982017517,12.18139744,6.279940128,11.34720325,10.9447422,2.334014654,14.01787376,2.050029278,18.73954773,1.871588707,17.86810493,3.073186398,2.226481676,6.973874569,20.30252266,11.59579659,15.75070763,8.945940971,16.37745857,15.42379951,4.194938183,28.52088928,2.721198559,16.46846008,4.659524918,34.8400116,7.721370697,4.080584526,4.00164032,7.681945324,1.612048984,3.556684494,0.979797721,1.665930271,10.93567085,6.702797413,15.51218224,11.18647194,9.749572754,10.8772583,5.515356064,14.12585831,6.013029099,21.58108139,8.377145767,23.65074158,7.263273716,6.309301376,13.58754921,6.359777927,14.47249985,9.144269943,10.88549709,14.06665707,6.612123013,13.9942112,5.009973526,18.50492859,7.492439747,20.49176598,8.317218781,6.134213924,13.78080082,5.667531967,13.38524437,6.444038391,9.857780457,12.1453743,3.977103472,15.01009369,2.554252386,15.13052654,3.814248562,18.71391678,2.210329533,2.967110395,2.81712532,4.298675537,1.414994836,2.745598555,0.752717614,1.172619581,5.45033741,3.78981781,7.52335453,5.619730473,5.094441414,5.326542377,1.564358354,6.774271011,1.361512065,7.521682262,1.780975461,8.922755241,2.66417098,1.68887341,2.752450228,4.870410442,3.37838316,9.667700768,6.661436081,4.051024437,4.918279648,1.927291036,6.254786015,1.357524872,10.82790565,2.880386353,9.398350716,3.32125926,2.069231987,4.340438366,1.106692314,3.574379444,1.29220438,3.049844265,3.61404109,0.475380212,2.916016102,0.393061817,2.486044407,0.529741883,5.465065956,0.365525812,0.437574893,0.389908791,0.902522743
0.1,5.19524622,10.60959339,5.283528328,10.22251415,2.199362516,4.406223297,2.166579008,6.244148731,1.750346541,1.274545789,3.177342653,6.923448563,4.46846962,5.007700443,3.45150423,5.877392292,6.423606396,4.268973351,15.32130909,6.603263378,10.42292595,5.486923695,15.71697998,8.02866745,6.058333397,12.38988781,5.002000809,12.31773567,6.321958542,11.35116386,10.92072487,2.330207348,14.11384392,2.068328619,18.89414024,1.881187439,17.6528511,3.03753829,2.229960442,6.979554653,20.43216133,11.67653179,15.71507168,8.935835838,16.40338898,15.45084953,4.214004517,28.7407074,2.748801231,16.33610535,4.611812592,35.33827591,7.971517563,4.12574625,4.053880215,7.828017235,1.637325883,3.612883806,0.992558658,1.684144258,11.04298687,6.761343002,15.7995739,11.35122299,9.823185921,10.97208023,5.564847469,14.24910736,6.062385559,21.95496178,8.513392448,23.78411674,7.386260986,6.378772259,13.75281429,6.435768604,14.7114172,9.246727943,10.98859501,14.202384,6.653566837,14.21032047,5.0699687,18.61063004,7.540322304,20.72618294,8.413297653,6.192562103,13.87762547,5.697271347,13.42913723,6.453064442,9.935535431,12.27118015,4.004671097,15.06125641,2.558492184,15.06800842,3.811297655,18.81731415,2.206377029,2.974422455,2.82194829,4.307240963,1.411887884,2.736419201,0.743889928,1.159139276,5.469175339,3.805332422,7.556819916,5.639846325,5.11766386,5.360378742,1.56913662,6.809844017,1.362338424,7.517056942,1.778574467,8.981478691,2.67466116,1.691903949,2.757333994,4.887942791,3.391827106,9.659181595,6.680562019,4.055764675,4.925591469,1.92927289,6.272650242,1.35646975,10.81875134,2.874912262,9.411273956,3.330875635,2.07007885,4.352466106,1.102429867,3.582441092,1.294724703,3.052367687,3.635570765,0.476271689,2.920602322,0.387632072,2.488337755,0.532868743,5.469354153,0.361782432,0.435795307,0.388574481,0.902558506
0.15,4.885615826,9.975598335,4.970373154,9.829741478,2.164190531,4.383500099,2.145256281,6.212982178,1.740747452,1.268086195,3.177181721,6.937540054,4.462896347,5.063322544,3.51081562,5.874923229,6.421617985,4.264121532,15.35010242,6.611344337,10.72531605,5.643239021,15.48969364,7.913212776,6.066263676,12.41492176,5.021081924,12.49457645,6.373053074,11.35490036,10.9040432,2.328313351,14.22262955,2.092277527,19.08670998,1.891163468,17.41407394,2.989448071,2.234620094,6.999503136,20.57915306,11.75405693,15.71727371,8.948210716,16.47105217,15.4912014,4.240437508,28.95616913,2.775303125,16.21368217,4.566128731,35.93466187,8.279764175,4.180673599,4.118629932,7.986681461,1.664448738,3.679763079,1.006163836,1.702873588,11.17056179,6.825796127,16.10281754,11.52378273,9.911878586,11.0870409,5.624875546,14.36562729,6.107120991,22.35230446,8.662343979,23.90277672,7.531000137,6.453796387,13.93043709,6.520694256,14.98012352,9.362286568,11.09893894,14.35558605,6.699188232,14.43671894,5.129861832,18.70161438,7.584583282,20.98947144,8.52719593,6.253704548,13.95895863,5.719149113,13.46953487,6.459938049,10.01371574,12.39096546,4.032124996,15.08422279,2.557111263,14.984725,3.800326586,18.89639282,2.19782567,2.977133274,2.820366144,4.306241512,1.404640436,2.715257883,0.733568966,1.146337509,5.478573799,3.814324141,7.579577923,5.65129137,5.134616375,5.389715672,1.572491646,6.832757473,1.359969854,7.506420135,1.77229619,9.045989037,2.686591387,1.692893744,2.758877039,4.894122124,3.3957026,9.635296822,6.68362093,4.05711031,4.926356792,1.930507779,6.266568184,1.350985765,10.77020359,2.858038187,9.39456749,3.329193354,2.065494061,4.359243393,1.093977571,3.579952002,1.292831063,3.047561407,3.655698538,0.475242406,2.916505337,0.379311591,2.485374689,0.53361094,5.468906879,0.357234448,0.431811899,0.38507545,0.897401989
0.2,4.575680256,9.341413498,4.656955242,9.453173637,2.120153904,4.338349819,2.112108231,6.153603554,1.723890066,1.25691092,3.172122717,6.94687891,4.452111721,5.095454693,3.56174016,5.857837677,6.404203892,4.253000259,15.34107208,6.606935024,10.97820187,5.767407894,15.22533417,7.781578064,6.060333729,12.40933514,5.032332897,12.65716076,6.41285038,11.34638691,10.87225723,2.320382833,14.33575439,2.124807358,19.18822098,1.89250052,17.18391418,2.918920994,2.236376286,7.027140617,20.7070713,11.78702259,15.82886887,9.022195816,16.56410789,15.51508808,4.259776115,29.10093307,2.793908358,16.20468521,4.559581757,36.5867157,8.651574135,4.241349697,4.190627575,8.174842834,1.692573786,3.763309717,1.023244977,1.720032334,11.31783199,6.897090912,16.4445858,11.72871304,10.00548649,11.19976521,5.68101263,14.49057865,6.155786037,22.86709023,8.855797768,23.96913338,7.67728281,6.535104752,14.12962627,6.613638878,15.32739067,9.502399445,11.21265602,14.5384531,6.745931149,14.66191864,5.192892075,18.8031292,7.62940836,21.31385803,8.68036747,6.321657658,14.05397511,5.740695,13.50975037,6.466709137,10.09436989,12.51505947,4.056599617,15.07047272,2.555639505,14.90334797,3.789702654,18.94523239,2.188903809,2.979155779,2.818260431,4.301160336,1.395730138,2.692128181,0.725225866,1.138897657,5.482340336,3.818751335,7.60598135,5.666003704,5.153098583,5.41271162,1.575272083,6.838738918,1.356708646,7.493994713,1.767226577,9.119171143,2.705901146,1.694681883,2.762455463,4.896770954,3.39601469,9.627116203,6.688625336,4.062301636,4.928544044,1.935666919,6.251027107,1.34493351,10.73107052,2.841320038,9.380127907,3.334626913,2.063014984,4.372424126,1.086934447,3.575045109,1.287902832,3.044615269,3.67341876,0.47407195,2.911510229,0.370378554,2.471641064,0.532744169,5.466174603,0.352992862,0.427386045,0.381351888,0.889281571
0.25,4.260582924,8.697725296,4.339626312,9.085488319,2.063284636,4.259377003,2.063177824,6.061352253,1.700015903,1.241350293,3.164015055,6.948009014,4.428414345,5.125359058,3.625521183,5.851811886,6.370573521,4.228534222,15.26754856,6.578186035,11.21417713,5.87037611,15.02957439,7.692331791,6.041564465,12.39889717,5.04636097,12.8528862,6.468231678,11.33101749,10.8452673,2.303456545,14.47012138,2.165805101,19.28846359,1.89376688,17.02571678,2.854933977,2.239985228,7.072813034,20.87548637,11.8389883,16.12154388,9.174874306,16.69078636,15.56493187,4.277853489,29.29148483,2.814112902,16.37487221,4.620898724,37.37124634,9.089326859,4.316802979,4.280997276,8.407596588,1.7206043,3.845855713,1.033636451,1.726452708,11.50656509,6.989786625,16.87459373,11.97791576,10.13085938,11.35021019,5.751227856,14.63674545,6.207891941,23.55040169,9.117331505,24.00055885,7.843475819,6.633313656,14.39320946,6.716835499,15.72999573,9.629109383,11.34063625,14.80373096,6.810159683,14.91304016,5.263988495,18.89135933,7.659629345,21.76575661,8.900994301,6.404616833,14.16097641,5.754659176,13.51689148,6.440142632,10.1907835,12.62892723,4.074500561,14.9911375,2.552036762,14.81636143,3.762441874,18.97955513,2.188332558,2.977613926,2.813697577,4.287775517,1.388914108,2.669142246,0.725705743,1.145829678,5.476819515,3.815801382,7.629367828,5.680767059,5.16608429,5.420707703,1.578483582,6.812125683,1.354450226,7.451086521,1.750748038,9.194683075,2.737175703,1.697082758,2.764783382,4.88415432,3.383061171,9.622970581,6.682757854,4.064191341,4.92593956,1.945751786,6.214290619,1.338808179,10.69670296,2.81924057,9.346557617,3.346175432,2.062142134,4.396618843,1.08371377,3.583628178,1.289123058,3.043320894,3.685316324,0.473421007,2.905752897,0.363750339,2.445743561,0.533954561,5.446344376,0.347968668,0.424179196,0.378699809,0.887448311
0.3,3.970523834,8.108024597,4.04867506,8.751091957,1.996552944,4.141749382,1.998655081,5.926269531,1.665981054,1.218485475,3.138025284,6.918096066,4.374378204,5.111047268,3.652941942,5.852712631,6.290832043,4.179127693,15.06633186,6.509329796,11.26467609,5.867895126,14.79359436,7.545703411,5.976137161,12.30162334,5.031446934,12.92539501,6.470086575,11.250103,10.7324295,2.269838333,14.55181789,2.205014944,19.01112366,1.862741709,16.90131569,2.787028074,2.231450319,7.080634594,20.88191223,11.81422043,16.39274597,9.330237389,16.71070671,15.52207851,4.25977993,29.34500122,2.820570946,16.69179535,4.755074024,37.94734192,9.450616837,4.370386124,4.348144054,8.610743523,1.742251158,3.914793253,1.036230206,1.719703197,11.68157673,7.077782154,17.28518867,12.22520065,10.22568893,11.44218826,5.795817375,14.74631977,6.244104862,24.31407928,9.384150505,23.9984951,8.019528389,6.718454838,14.63725567,6.808195591,16.14175415,9.741924286,11.44379807,15.0381031,6.852041245,15.12714863,5.322881699,18.98726845,7.686401367,22.2849865,9.138780594,6.477594376,14.24866772,5.755660534,13.5083046,6.398776531,10.29049397,12.69865799,4.07942915,14.85392666,2.548570156,14.76205349,3.743853807,19.00455284,2.203117609,2.976311922,2.811084032,4.279349327,1.390077472,2.659452438,0.733752549,1.166345119,5.466294765,3.807998657,7.660624027,5.699745655,5.176805973,5.418739796,1.585131645,6.764358997,1.355797052,7.412426472,1.738121986,9.277881622,2.780066013,1.704301476,2.771575451,4.869250298,3.368471861,9.659296989,6.696072102,4.065087318,4.929612637,1.960773826,6.180191517,1.335889816,10.7207365,2.810778618,9.292547226,3.353549957,2.065471888,4.435405731,1.087868571,3.614154816,1.304852724,3.046452761,3.690815926,0.473862886,2.897858381,0.360794157,2.440726042,0.544905186,5.415647507,0.34504509,0.424240381,0.378605604,0.893282294
0.35,3.661019802,7.473577976,3.733910322,8.36879921,1.893543482,3.92868638,1.890926123,5.684237003,1.607662916,1.177092075,3.068766356,6.803378582,4.250550747,5.107571125,3.641627789,5.784968853,6.110612392,4.069893837,14.66699219,6.366271973,11.07926369,5.721455574,14.27895927,7.201313019,5.815947056,12.01826286,4.956130028,12.64510918,6.298938751,11.0569334,10.4214201,2.212444067,14.45450687,2.232483387,17.99210167,1.777738452,16.74492836,2.680258274,2.195886135,6.991277218,20.57459831,11.64390278,16.40520287,9.363213539,16.47071075,15.2458725,4.170140266,29.09194756,2.81728816,16.96368027,4.875800133,38.32265091,9.728135109,4.381439686,4.368445873,8.697657585,1.756467819,3.962647676,1.027739525,1.702161431,11.79958153,7.114626408,17.51225281,12.37958145,10.26621914,11.45274734,5.823127747,14.72231293,6.224547386,24.94683456,9.583782196,23.81602478,8.100287437,6.753468513,14.73723221,6.852427483,16.48672104,9.853657722,11.50257683,15.16598225,6.840723991,15.22218704,5.345783234,19.10674667,7.723265171,22.8425312,9.386141777,6.52173996,14.26958466,5.729877472,13.52405739,6.363222122,10.35187244,12.66517258,4.068200111,14.62997913,2.542984724,14.83995914,3.759825945,18.92604828,2.247116566,2.978147268,2.814586878,4.263222218,1.39629519,2.660416603,0.751026094,1.201517105,5.441017628,3.785928011,7.672430515,5.712203026,5.187324047,5.384479046,1.590070724,6.657485962,1.360327721,7.364884377,1.731252074,9.360894203,2.84095645,1.715873837,2.781428814,4.849263668,3.353979588,9.70059967,6.700122833,4.069314957,4.933145046,1.981723905,6.146667957,1.338151932,10.74718475,2.805531979,9.233149529,3.366386652,2.073960543,4.474162579,1.098841071,3.654203415,1.335217237,3.0564785,3.671099901,0.478446394,2.886864185,0.363684982,2.452335596,0.566739917,5.344242096,0.344121128,0.429657608,0.382531643,0.913251579
0.4,3.349622726,6.838372707,3.419246197,7.941913128,1.756313682,3.634878397,1.752334595,5.340540409,1.526547194,1.114490509,2.938433409,6.590481281,4.088775158,5.112817287,3.611667156,5.572194099,5.822019577,3.88425374,14.19510078,6.180361271,10.86409473,5.567747593,13.22621918,6.643239021,5.587619305,11.64603615,4.849815845,12.21461487,6.082619667,10.78806496,9.931574821,2.135202169,14.24988365,2.239970684,16.7930603,1.666743755,16.44558525,2.559950829,2.140039444,6.823943615,20.27409935,11.5047369,16.16060638,9.246212006,16.11327362,14.90233231,4.075955868,28.84305382,2.826607704,16.90470886,4.846553802,38.63338089,10.03307438,4.385287285,4.395364285,8.839195251,1.767431736,4.050204277,1.025437355,1.69282794,11.92660332,7.154168606,17.64530945,12.50720692,10.32487297,11.47025204,5.853046417,14.79774189,6.25013113,25.43462563,9.703601837,23.72201157,8.175260544,6.798364639,14.82691669,6.898376942,16.87330437,9.961663246,11.5998621,15.27910233,6.809392929,15.34650517,5.382796288,19.24491692,7.755900383,23.50401306,9.609591484,6.564440727,14.34791088,5.718557358,13.55847454,6.347836018,10.40973377,12.67699242,4.06225729,14.47104836,2.55518961,14.82202911,3.784094572,18.78466225,2.284636259,2.991032839,2.831063509,4.247994423,1.397265673,2.672179222,0.762238264,1.220965862,5.428040981,3.768101454,7.68463707,5.726188183,5.216665268,5.359121323,1.595048904,6.574460506,1.369621634,7.353556156,1.737486124,9.465248108,2.89220047,1.729821444,2.796860218,4.848365784,3.354901314,9.724373817,6.710939884,4.095250607,4.941643715,2.008044004,6.124573231,1.33877492,10.78458977,2.813516617,9.201207161,3.380330324,2.085668564,4.513349533,1.105823398,3.703176975,1.37867558,3.072154284,3.674622774,0.48260808,2.858880043,0.362110138,2.528277397,0.594287753,5.29773283,0.340938598,0.43367219,0.388087839,0.930409253
0.45,3.038172245,6.20060873,3.102505207,7.439058304,1.587573409,3.279150009,1.592025161,4.865945816,1.410623312,1.023188114,2.713688135,6.163638115,3.829275608,4.798016071,3.354440451,5.167603493,5.442889214,3.607037544,13.32842636,5.814119816,9.995113373,5.085859299,11.73822498,5.871891022,5.1785326,10.90824032,4.572585583,11.25333595,5.628910065,10.1748867,9.154776573,2.001085281,13.43809509,2.145618439,14.93223381,1.486997724,15.70543957,2.361201286,2.00408864,6.436136723,19.33282089,11.02943325,15.12567806,8.707286835,15.26645947,14.16642761,3.903949738,27.90722466,2.78563118,15.8760891,4.522596359,37.03817749,9.584713936,4.217724323,4.250931263,8.610232353,1.742180705,4.006480694,1.007298231,1.672685266,11.61719322,6.969648838,16.96946144,12.11854553,10.03711796,11.14226532,5.720168114,14.41726112,6.081938744,24.58986855,9.462745667,23.0230484,7.94608593,6.624523163,14.42502499,6.756392956,16.6700058,9.849190712,11.34067822,14.93675613,6.698600292,14.96996403,5.258071423,19.10494232,7.672407627,23.20572662,9.504320145,6.450771332,14.12004566,5.643406868,13.40639782,6.284623146,10.24836159,12.40119648,4.009730339,14.29501152,2.544103384,14.68203545,3.732880592,18.44610214,2.308355808,2.970512867,2.820310354,4.226594448,1.393398404,2.647505045,0.759778202,1.221765637,5.367884159,3.718708754,7.593670845,5.654510975,5.173855305,5.279565811,1.581083775,6.474209785,1.371364355,7.233383656,1.71314919,9.406567574,2.893900871,1.722713947,2.779027462,4.808650017,3.329338074,9.599411964,6.615161419,4.072380543,4.897507191,2.005301714,6.085749149,1.337038755,10.68276691,2.791108847,9.105008125,3.347791433,2.075702667,4.487390041,1.100427151,3.674979448,1.38412118,3.058266878,3.634105921,0.481721282,2.798998356,0.351729274,2.525891542,0.598425031,5.227503777,0.333672822,0.429057211,0.385167569,0.930722356
