abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,7.324205399,21.60021019,10.80973434,21.59706306,3.726319551,7.037732601,3.644397974,11.26934814,3.165873051,2.353802204,5.880059719,11.89269733,7.650213718,9.112971306,7.174963474,11.40481949,12.79825878,8.606333733,24.14157677,10.62759876,16.85189438,7.90137291,29.06245995,15.08983231,10.33925533,19.87736702,8.478413582,18.63191032,10.25294399,20.22035217,18.15748978,4.01103878,22.11022568,2.756946325,23.17536545,2.181449413,32.95794296,4.000644684,3.142097235,10.27934456,24.12714005,12.83308315,15.19362926,8.862336159,17.47367668,23.84199333,6.794900417,24.26906967,3.064884424,12.04247379,3.166569948,30.82482719,6.866440773,4.948368549,4.368430614,6.50332737,1.18982482,2.807036877,0.893763006,1.38161695,11.61170578,6.863418102,13.0535078,9.322430611,9.603133202,13.11672974,6.638022423,13.37270069,6.098101616,14.92435455,5.723515034,21.43048668,6.498456478,6.270053387,11.88228035,4.836325169,12.59749222,6.675134659,9.521904945,13.65386105,5.043173313,10.05217838,3.850506544,12.89411926,4.688607693,15.27431965,6.044862747,4.52774477,9.555792809,4.058785439,8.30185318,3.989496708,6.773078918,9.366817474,3.59381938,10.02976322,2.315304279,9.185191154,2.295400858,11.76293564,1.33127439,2.464818001,2.09495759,3.19449687,0.873504937,1.672811985,0.524086893,0.938342154,3.977762222,2.601037025,5.176422119,3.871145248,3.891799688,4.103075504,1.34005928,4.339822292,0.968697309,4.842695236,0.946013629,6.855621338,2.27777195,1.280871272,1.916060328,3.363337517,2.330858231,4.693231106,2.981666088,2.569582462,3.69746685,1.473309398,4.032131672,1.113354206,4.289589882,1.133386254,5.283047199,2.064426422,1.373509407,2.833728552,0.792417765,3.036838531,1.26947999,1.955448985,2.253546715,0.365639836,1.957904816,0.488913357,2.237061977,0.390169531,2.511350155,0.271926433,0.403218985,0.353771567,0.926580608
0.05,7.037222385,20.81491089,10.41569519,20.74148178,3.665961504,6.951788902,3.595001936,11.17288208,3.133269548,2.33082366,5.83399868,11.80853939,7.598073006,9.06925106,7.166788101,11.36151123,12.63195896,8.497636795,24.01979065,10.58419609,16.88101959,7.914081573,29.0655117,15.18352509,10.30368042,19.86232758,8.458808899,18.73230934,10.31641769,20.10397339,18.03767014,3.978701115,22.07603836,2.753116846,23.15343094,2.191607237,32.84488678,4.038715839,3.139053822,10.25506592,24.16771889,12.87044239,15.20601368,8.839900017,17.47024345,23.7492485,6.799908638,24.3837738,3.067588091,11.99306679,3.140891075,30.71045876,6.742189407,4.933411121,4.349123955,6.409746647,1.164686084,2.772703409,0.881862402,1.374154806,11.59792423,6.854398727,12.94554901,9.241053581,9.59449482,13.09428978,6.610998631,13.30810452,6.039631844,14.75434494,5.670433998,21.48464203,6.465348721,6.225246429,11.78780651,4.794986725,12.45447922,6.663006783,9.471341133,13.53631973,5.008741856,9.884048462,3.779046774,12.92608166,4.640847683,15.14602852,5.975698471,4.468768597,9.439781189,3.98952961,8.239491463,3.96327424,6.691324234,9.250473976,3.547626734,9.820743561,2.272470474,9.13328743,2.283896685,11.68187809,1.293091178,2.425622702,2.053057671,3.103295326,0.850855827,1.611599922,0.506026387,0.90563786,3.908089876,2.558881998,5.039583683,3.768980742,3.834564209,4.042992592,1.320884585,4.240001202,0.94655633,4.693674088,0.921539009,6.740279675,2.248429775,1.258175969,1.881444812,3.282958746,2.2684834,4.622373104,2.940593719,2.523811102,3.628346682,1.455931067,3.902869225,1.078335285,4.250901699,1.114070296,5.181254387,2.023174286,1.345376372,2.785635471,0.780143142,2.975706339,1.24143374,1.917293191,2.208585739,0.359892517,1.924800515,0.480689943,2.187140703,0.391299069,2.461864233,0.269008815,0.39775604,0.34976238,0.913970292
0.1,6.715069771,19.82342911,9.920271873,19.73687172,3.595731258,6.859417439,3.540792704,11.06253147,3.094527245,2.302493811,5.777085304,11.717062,7.541365147,8.921206474,7.069577694,11.28577042,12.40786648,8.336657524,23.94317436,10.56556892,16.67883682,7.79362011,28.65577126,14.91572666,10.20557785,19.74183083,8.401907921,18.68540573,10.27403831,19.9095726,17.77259636,3.920141935,22.03065872,2.739859819,22.8055687,2.182857752,32.35708618,4.017466545,3.113543034,10.17949772,24.0794239,12.85630703,15.23715782,8.829181671,17.3938961,23.47747612,6.737026215,24.51115417,3.09109211,11.99142933,3.117789507,30.40574455,6.582771301,4.897282124,4.295022964,6.285040855,1.147328854,2.769195557,0.880997062,1.385395408,11.58930302,6.855139732,12.91368389,9.215574265,9.559455872,13.01448536,6.556251526,13.30224705,5.996717453,14.59738922,5.618625164,21.48485374,6.389019966,6.173346043,11.61826611,4.74189043,12.40027142,6.726111412,9.413235664,13.36000443,4.980510712,9.683608055,3.692650318,13.10113144,4.623094082,15.04422092,5.866635799,4.402671814,9.341012955,3.920979023,8.167402267,3.939403534,6.608801842,9.103906631,3.492836952,9.601546288,2.23355794,9.042150497,2.251946449,11.62593269,1.251689792,2.383890629,2.003021717,2.994819164,0.82966429,1.544202209,0.483083248,0.859140515,3.824600697,2.509068727,4.915626526,3.671525955,3.782155991,3.981157064,1.299861908,4.116322041,0.922009528,4.541015148,0.897050798,6.638940334,2.220764875,1.234241843,1.844875455,3.200720549,2.209490776,4.556418419,2.915175438,2.473969698,3.545637846,1.433279872,3.745583296,1.034221411,4.170922279,1.097476959,5.063234329,1.977805734,1.311906695,2.734839439,0.764409304,2.901745081,1.208881736,1.866662979,2.157138586,0.352947086,1.871395588,0.467903137,2.119583845,0.386405826,2.405012608,0.264146864,0.38913846,0.339770555,0.888458967
0.15,6.333991051,18.69059753,9.354139328,18.59692955,3.509187937,6.74957037,3.476955414,10.94633198,3.053708553,2.271543026,5.718531609,11.65007496,7.499163151,8.85524559,7.02854538,11.22842884,12.16200638,8.161675453,23.94737434,10.58492374,16.67278099,7.772948742,28.32514572,14.70606327,10.14276028,19.73705101,8.385306358,18.77505493,10.30929852,19.77822495,17.53598022,3.857875347,22.13599777,2.740393877,22.65355301,2.19643259,31.81725883,4.009464264,3.098797798,10.12276554,24.14784813,12.91260147,15.39528751,8.856285095,17.34598732,23.25447845,6.687571526,24.86973763,3.128993988,12.04852295,3.112216473,30.26579857,6.409762859,4.871981144,4.265715122,6.160925865,1.136078238,2.790145636,0.880224645,1.411278725,11.62304878,6.886147022,12.94457722,9.229093552,9.555643082,12.97353554,6.507525444,13.34837055,5.956573009,14.52413654,5.619962692,21.57395554,6.305223942,6.130262852,11.44471931,4.698631287,12.40481377,6.852180958,9.372473717,13.18647003,4.958528042,9.500388145,3.614474535,13.42266178,4.638350487,15.06420612,5.830245495,4.355444908,9.29894352,3.868975878,8.150179863,3.941215992,6.554702282,8.995985985,3.445320606,9.463585854,2.192993164,9.028474808,2.23923707,11.62003613,1.209563017,2.345040083,1.957303882,2.885193348,0.804659188,1.450778365,0.456549972,0.800213337,3.739194155,2.459461212,4.774479389,3.568490267,3.72537756,3.926068068,1.281662464,3.970485449,0.897212923,4.397727013,0.87304306,6.492297649,2.188783407,1.210490584,1.807434559,3.10720253,2.142531395,4.51622963,2.917143822,2.423071384,3.470437765,1.416578174,3.56593442,0.980087698,4.172541618,1.088518739,4.932566643,1.927827597,1.276882887,2.667037725,0.746441722,2.800096989,1.168093324,1.812623024,2.097852707,0.346527755,1.813383818,0.454444945,2.04954505,0.382334739,2.332410097,0.261226296,0.380809873,0.330989242,0.860755861
0.2,5.946594715,17.54411507,8.780483246,17.50643158,3.414223433,6.629284859,3.406744003,10.81312752,3.008812904,2.237210512,5.650388241,11.58783722,7.453848362,8.851486206,7.019569874,11.17859268,11.89225197,7.964947701,23.97078323,10.61391163,16.80389404,7.827588558,27.95959473,14.42906094,10.08022499,19.76661873,8.381942749,18.87910843,10.34707355,19.67525864,17.27675819,3.787271976,22.31595993,2.743506432,22.50524902,2.205589056,31.2184906,3.996423006,3.081316471,10.0496521,24.26568222,12.99092197,15.60887051,8.909691811,17.2788105,23.04747772,6.624696732,25.37287331,3.174732447,12.14417076,3.118347406,30.26278496,6.27270031,4.850429535,4.238155842,6.060718536,1.134658456,2.861305475,0.881193459,1.461051106,11.67024899,6.93425703,12.9997282,9.272453308,9.571082115,12.93988419,6.451942444,13.42589664,5.918576717,14.50156784,5.654475212,21.74006462,6.22482872,6.090518951,11.25823212,4.657474041,12.52106953,7.043102264,9.338228226,12.99164772,4.928510189,9.355995178,3.545691252,13.87021065,4.694617271,15.18764496,5.853073597,4.323433876,9.296872139,3.836288452,8.15855217,3.952547073,6.520778179,8.911485672,3.394315243,9.464481354,2.155117273,9.017403603,2.225972414,11.70012283,1.163426995,2.306358099,1.916592002,2.800250292,0.780339956,1.343998909,0.427972496,0.735638082,3.654932976,2.41161871,4.641838074,3.478044987,3.670706987,3.87637639,1.261967778,3.828226805,0.870723486,4.326152325,0.871952653,6.313716412,2.148560047,1.187884092,1.771632075,3.011428356,2.074029684,4.504524708,2.930087328,2.376133919,3.406829119,1.400098205,3.377945423,0.922583103,4.220841885,1.094606161,4.820734024,1.882812381,1.243705153,2.592610121,0.725095451,2.685663939,1.128368974,1.760478497,2.036177158,0.340156496,1.747694373,0.438469142,1.974194884,0.381413549,2.259359598,0.257817864,0.371888846,0.320829242,0.82503432
0.25,5.556999207,16.39339066,8.204405785,16.48334122,3.311523438,6.502229691,3.331530809,10.66743565,2.960133553,2.19950366,5.574010849,11.53796864,7.409657001,8.954244614,7.070729733,11.12475872,11.62022591,7.765684605,24.01524353,10.65110016,17.15194702,7.98470068,27.5389576,14.06794167,10.02349949,19.83302116,8.390650749,19.03881836,10.41053772,19.61551666,17.00827408,3.70728755,22.56857491,2.752426147,22.42258644,2.213926315,30.62833786,3.982211113,3.06332469,9.972596169,24.43761444,13.11569214,15.87492943,9.002335548,17.22074318,22.88288307,6.549630165,26.05737305,3.232338667,12.29201126,3.131859303,30.44238281,6.177591324,4.835065365,4.218227386,6.035393238,1.152824879,2.99288702,0.886604846,1.538792491,11.74223137,7.004879951,13.14831257,9.356426239,9.610743523,12.92206001,6.401323318,13.54881382,5.890095234,14.53707695,5.709758759,22.05862617,6.184782505,6.064151287,11.08059883,4.634703159,12.77721214,7.286969185,9.324115753,12.80315495,4.892039776,9.270564079,3.493333817,14.42449093,4.806223392,15.42410183,5.932181835,4.311977863,9.376308441,3.840158224,8.184057236,3.969424486,6.513428211,8.881262779,3.344646931,9.695360184,2.134841442,9.014360428,2.21165061,11.92236996,1.104462028,2.275878906,1.889683127,2.768264294,0.762062967,1.234004021,0.398332089,0.66601193,3.584144115,2.371548891,4.554851055,3.428148031,3.630259752,3.853195906,1.246013522,3.71336031,0.844895303,4.394127846,0.911351979,6.133488178,2.097883463,1.171307802,1.745009065,2.925766468,2.01072526,4.550370693,2.957894802,2.334958553,3.361936569,1.380362988,3.210950851,0.871597767,4.340751648,1.126205564,4.728232384,1.828904271,1.214586616,2.512365818,0.700245678,2.538705826,1.081300378,1.716160297,1.962467909,0.333315909,1.683307886,0.422748268,1.87302053,0.377061635,2.19166851,0.255047262,0.362537086,0.307984501,0.779153526
0.3,5.195113182,15.32725525,7.671883583,15.58854294,3.209265232,6.376419544,3.255143881,10.51915264,2.912653685,2.16195631,5.49881649,11.52081203,7.380581856,9.148041725,7.183429241,11.08003616,11.37189865,7.577130318,24.0824604,10.69277382,17.64324951,8.214262962,27.09638023,13.66127205,9.975144386,19.92809105,8.41355896,19.20709038,10.47163486,19.58742905,16.76937485,3.632847309,22.86084938,2.766868353,22.36940384,2.217616796,30.12747192,3.965352297,3.047740698,9.903151512,24.6693573,13.26436615,16.17319107,9.153755188,17.16392899,22.80572128,6.482783318,26.77891731,3.294814825,12.59271526,3.172690153,30.7943058,6.145337105,4.835175037,4.227535725,6.085680008,1.185610175,3.167075634,0.897116899,1.623291016,11.84158802,7.093399048,13.3277235,9.451270103,9.656949043,12.93187618,6.365172386,13.71351433,5.887635708,14.67741966,5.793872356,22.41653061,6.169464111,6.060387611,10.96370029,4.643977165,13.16334248,7.564340115,9.338679314,12.67389011,4.859246731,9.316599846,3.48154068,15.0236578,4.976926327,15.75453949,6.060376644,4.335247517,9.538088799,3.881932497,8.263932228,3.996090889,6.560545444,8.933418274,3.314818621,10.16030312,2.150306225,9.071922302,2.199627399,12.32502747,1.054616451,2.27049613,1.892605066,2.813766479,0.762362421,1.168891907,0.384907246,0.618020236,3.547953367,2.353425741,4.536367893,3.424981833,3.629108191,3.869873285,1.238776565,3.662473679,0.829938829,4.588035583,0.980744243,5.999994278,2.056173325,1.167589068,1.737715006,2.873475075,1.969102383,4.673863411,3.026558638,2.324581146,3.369709492,1.366090536,3.118580103,0.847606122,4.529149055,1.187300324,4.715916634,1.795071483,1.205163598,2.464780331,0.681279838,2.41010952,1.039106846,1.699347734,1.914260149,0.330872238,1.64659965,0.413581878,1.780295253,0.369927973,2.180270195,0.259040862,0.357791156,0.298907816,0.737371325
0.35,4.803199291,14.17450333,7.098169327,14.68792248,3.092088461,6.235461235,3.170194626,10.34953594,2.859627962,2.119256973,5.425435066,11.53880787,7.359165668,9.456035614,7.381869793,11.08176899,11.16649723,7.41390419,24.18946266,10.74706364,18.36828613,8.567522049,26.74703598,13.27398586,9.957188606,20.1093502,8.47623539,19.44011307,10.55614471,19.62964058,16.60059547,3.569811106,23.26041603,2.800691128,22.43702698,2.225898981,29.80604553,3.96739316,3.046391487,9.882306099,24.99307632,13.47097206,16.58300591,9.383712769,17.15492439,22.83424187,6.440292835,27.66781807,3.38458252,13.07252216,3.273341894,31.35705757,6.222817421,4.874825478,4.265923023,6.260028362,1.230577588,3.375921249,0.910851896,1.728086948,12.01234913,7.222075462,13.57687759,9.606621742,9.767684937,13.01719379,6.355928421,13.97318268,5.944549561,14.98303318,5.921779156,22.89938354,6.242478848,6.107497692,10.97362041,4.714110851,13.72961712,7.871727467,9.426415443,12.66719532,4.848423958,9.566843987,3.537777901,15.70626926,5.215517521,16.24340248,6.316095352,4.422448158,9.830806732,3.986686945,8.449818611,4.05796957,6.699658394,9.110496521,3.321445227,10.92291164,2.217275858,9.25444603,2.215655565,12.93787384,1.003795743,2.304215431,1.937998056,2.954400301,0.788615048,1.150024414,0.388611525,0.610319614,3.573941708,2.377362728,4.648243427,3.52025795,3.687543869,3.953271627,1.248849511,3.719051361,0.834719956,4.93807888,1.079894185,5.964587688,2.043698549,1.185861468,1.763143539,2.883197069,1.974232316,4.906787395,3.173301935,2.36030221,3.463309765,1.376322269,3.162487984,0.863158047,4.815855503,1.269321322,4.804141045,1.792817235,1.226562738,2.488499165,0.681414783,2.316360235,1.018245935,1.723864913,1.914030313,0.339420736,1.661210775,0.4154419,1.70358789,0.363297492,2.2508111,0.272260249,0.362518162,0.298014998,0.706605375
0.4,4.410754204,13.02030849,6.525093079,13.8213129,2.963194609,6.069145203,3.070718527,10.11330128,2.790753126,2.06408906,5.343269825,11.53850937,7.315471172,9.712601662,7.572090626,11.09924603,10.98607731,7.261633873,24.20827675,10.75827599,19.1525631,8.952606201,26.39785004,12.88591862,9.924313545,20.23158455,8.521327019,19.56781387,10.58737659,19.67293167,16.44511032,3.511931658,23.58959389,2.830667734,22.40872955,2.224087238,29.54923248,3.961155891,3.041746378,9.862114906,25.21651268,13.61480808,16.95767212,9.610937119,17.11420822,22.82934952,6.387479782,28.37738609,3.448083401,13.54350567,3.355734348,31.91398048,6.397064209,4.910319328,4.309267521,6.505635262,1.274487972,3.549132347,0.931239605,1.800747514,12.13848209,7.317269802,13.7461834,9.725914001,9.861710548,13.0909586,6.344833851,14.17623711,6.004016399,15.22090721,6.026715755,23.33728981,6.352550983,6.156919003,11.05616188,4.798477173,14.23371601,8.085422516,9.520869255,12.68709183,4.831346512,9.90278244,3.622010946,16.20804405,5.427317619,16.6854229,6.608294487,4.523294449,10.13424873,4.1101017,8.658291817,4.116349697,6.854605675,9.331921577,3.353647947,11.77535725,2.317974806,9.386679649,2.223719597,13.5026474,0.956646264,2.361225605,2.004166365,3.151933432,0.828294039,1.17214644,0.405309141,0.643600106,3.640395403,2.431331635,4.820558548,3.662249804,3.78043294,4.063242912,1.274078012,3.845500231,0.856007159,5.334162712,1.194546342,6.014071941,2.055841684,1.221320987,1.811936259,2.952503681,2.025475979,5.219868183,3.384167433,2.42974472,3.621306181,1.417118311,3.316991329,0.905807137,5.128948212,1.35428822,4.992014885,1.839101553,1.27571559,2.591135979,0.704835176,2.300494432,1.041759968,1.792999029,1.970514417,0.357337773,1.715171933,0.42380476,1.690129638,0.36438933,2.374779463,0.294882685,0.375336587,0.307605505,0.697793782
0.45,4.01747179,11.86290169,5.953158855,12.96934128,2.811990023,5.841896534,2.943481445,9.753396034,2.692834139,1.987727761,5.217100143,11.45646286,7.217464447,9.827076912,7.678679943,11.04091549,10.79163837,7.092748642,24.03796959,10.68251514,19.68181801,9.21204567,25.94006538,12.54541492,9.834103584,20.20016289,8.511652946,19.49144554,10.52612305,19.61468887,16.23634338,3.451021671,23.709795,2.842242479,22.20893097,2.204548836,29.28228569,3.924631596,3.021365404,9.81851387,25.26649284,13.64244175,17.16373825,9.76498127,16.98895836,22.73467255,6.323309422,28.67709351,3.464775562,13.87188053,3.387209892,32.2093811,6.550848007,4.915210247,4.342430115,6.715088367,1.305794001,3.660856962,0.955552757,1.827320695,12.16910172,7.345206261,13.77475643,9.767606735,9.879692078,13.09992981,6.31754303,14.24991703,6.031761646,15.31211853,6.083043098,23.51616287,6.433646202,6.177708149,11.12578964,4.861712456,14.45922852,8.145421028,9.550949097,12.68423271,4.79671669,10.15803814,3.685866356,16.46744728,5.569872379,16.94151306,6.845592976,4.594051838,10.35232067,4.212682724,8.838338852,4.146641731,6.957773685,9.519141197,3.391942501,12.51678753,2.430100441,9.414297104,2.204875946,13.79527092,0.903078258,2.421741009,2.076908827,3.372027397,0.885419011,1.246327877,0.436769426,0.711629152,3.712529421,2.492838621,5.002117157,3.812089682,3.871896982,4.161544323,1.305958629,3.983673811,0.882309556,5.659547806,1.293054104,6.083628178,2.078017473,1.259812593,1.85985446,3.038920879,2.098345041,5.457595348,3.541202545,2.499617815,3.773129225,1.465837598,3.525375366,0.949343979,5.336935997,1.425402164,5.168743134,1.904884219,1.328511834,2.720694304,0.732126355,2.329342127,1.080899239,1.86491704,2.054040432,0.378043622,1.776781797,0.432516098,1.750228763,0.376152635,2.492531061,0.3131046,0.39011687,0.318959683,0.699164271
