abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,7.498040199,21.88401985,10.93063164,23.32648087,4.002743244,7.158874035,3.848478556,11.86957455,3.3516469,2.487523317,6.342270374,13.56712914,8.499138832,9.92940712,7.331644535,13.1441021,13.93387604,9.239995003,28.75983047,12.03448772,16.71926308,8.639645576,31.50792503,15.20448017,11.30771446,21.33752632,9.566015244,19.06386185,10.90007782,22.52009392,18.17255974,4.277276039,24.63827705,3.153067589,21.57800293,2.413776159,36.94944,3.532301664,3.35556674,10.71293354,28.06535339,15.87506771,17.42936707,8.981080055,17.64464188,26.15863991,7.318263054,32.52558517,3.376060486,12.49508095,3.397177219,34.50262451,4.929584026,5.050552845,4.461305618,7.99366045,1.87757957,4.595659256,0.967682362,1.70415926,13.46435452,7.894717216,12.12693977,9.151926041,9.676856041,14.89006996,7.25885582,16.34354019,6.665140152,14.47552872,6.432838917,22.40001869,6.942767143,6.856328011,11.3360014,5.094263554,12.68463993,7.148768902,10.54650116,14.79990673,5.960057259,10.68033981,3.965541363,13.67316914,6.106571674,19.82968903,9.928092003,5.477130413,12.89916706,4.948283672,11.97981071,6.378604412,7.60663271,11.5276165,4.284291267,15.47556019,2.637381792,16.11928558,3.078566551,15.10764027,1.776387453,2.935837269,2.668064356,4.788005829,0.94987607,1.695621729,0.497287959,0.750815749,4.905491829,3.089132786,6.634776115,4.373770714,4.353744507,5.421689987,1.856929421,5.646586895,1.227150083,6.173407555,2.237082958,7.599925995,2.479694366,1.769004822,2.47094655,4.138729572,2.884504795,7.42220211,4.790832996,3.249755383,4.649683952,1.800578713,5.286970139,1.279548645,7.677443504,1.789963365,7.336212635,2.65535593,1.730050206,3.347452402,0.952749252,3.273091316,1.535721183,2.382018089,2.634250879,0.369558811,2.383430958,0.547905266,2.638912678,0.526175976,3.160510063,0.203592092,0.435271025,0.379229695,1.033353925
0.05,7.270541191,21.22855568,10.60643387,22.53530502,3.943841457,7.071249962,3.800769806,11.77290058,3.319504261,2.465908766,6.297165871,13.51633835,8.470497131,9.8019104,7.259671688,13.0523634,13.72796345,9.090477943,28.67692757,12.01110363,16.54447937,8.527588844,31.23075294,15.18352318,11.24203014,21.25785446,9.518651962,19.18457603,10.97146416,22.37771606,18.01686478,4.237535,24.46442223,3.148292542,21.7835865,2.424807072,36.5078392,3.441155195,3.333105087,10.64245796,27.98843384,15.8360424,17.4334774,8.995595932,17.52656555,25.8595295,7.286651134,32.58894348,3.377749443,12.46466446,3.388985872,34.00263977,4.844287395,5.027954578,4.433073044,8.017575264,1.872089863,4.623497963,0.964538038,1.702395678,13.46037769,7.899214745,12.10220051,9.116283417,9.633378983,14.85308838,7.23384428,16.36465263,6.684835911,14.29092884,6.339719296,22.41755486,6.983131409,6.850536346,11.3430109,5.083127022,12.64505291,7.142442703,10.53531075,14.81318092,5.96946764,10.61327267,3.944756746,13.61424828,6.099136829,19.85192299,9.94679451,5.470487595,12.93199921,4.956769466,11.96215057,6.360412598,7.594102383,11.52855778,4.277852058,15.66106224,2.625883818,16.09609604,3.072660446,15.25906944,1.767045259,2.926357746,2.652952194,4.807467461,0.940524518,1.668764234,0.492444843,0.738570511,4.883708477,3.078181982,6.63130331,4.364620209,4.343236446,5.408055305,1.846224904,5.62505579,1.217291355,6.166675568,2.227197647,7.596159458,2.467840433,1.758574486,2.458506346,4.121012688,2.866797924,7.358374119,4.735454559,3.234465122,4.635582924,1.790165782,5.250035286,1.273936749,7.562623501,1.773372769,7.328714371,2.650338411,1.721367478,3.331814766,0.948005617,3.250827312,1.521256566,2.36915803,2.617371321,0.369212866,2.364592314,0.545741618,2.617878914,0.523729503,3.127555609,0.204743072,0.434166878,0.37851426,1.033917069
0.1,6.913604259,20.17839622,10.08536053,21.20819283,3.858992577,6.961112976,3.744603395,11.70376778,3.298268318,2.450424194,6.268341064,13.52345371,8.48196125,9.612852097,7.148568153,13.02703571,13.57725143,8.981292725,28.8177433,12.08022499,16.15966415,8.287677765,31.26665688,15.29015827,11.23265362,21.34818459,9.562444687,19.44792557,11.11077785,22.38510895,17.93888092,4.224653244,24.53769684,3.187375546,22.04249954,2.425659895,36.14066315,3.364630938,3.335270405,10.63859177,28.27800751,15.99650383,17.5573864,9.097380638,17.5330658,25.84790802,7.358653545,33.16633987,3.436073065,12.50261974,3.382004499,33.74924469,4.772474289,5.069018841,4.47844696,8.205581665,1.911145806,4.806125641,0.990371466,1.735731483,13.65150642,8.030561447,12.30103493,9.236824036,9.718343735,15.0192194,7.308043003,16.68919945,6.826227188,14.26709938,6.31123209,22.78158188,7.123775482,6.949608803,11.57197285,5.17480135,12.81169796,7.280207634,10.68518162,15.0739994,6.072500229,10.77903748,4.016032219,13.80011845,6.187012196,20.3005352,10.19529533,5.573931217,13.25431442,5.061474323,12.18564796,6.440470695,7.735614777,11.74761295,4.34313345,16.27923012,2.651069641,16.35238838,3.125634909,15.90909863,1.785231113,2.96256876,2.679943085,4.929243088,0.946161032,1.658933163,0.491648674,0.736984491,4.949476242,3.127693176,6.745191097,4.441283703,4.405123234,5.474586964,1.85926199,5.736155033,1.234213829,6.293206215,2.260413408,7.71808672,2.4966259,1.77863574,2.489765167,4.174229145,2.900824547,7.434070587,4.766561031,3.280406475,4.710846424,1.810756922,5.308552742,1.299642205,7.555599689,1.778276205,7.439296722,2.692880392,1.74488759,3.371214151,0.961073875,3.270200253,1.525451303,2.401902437,2.645751715,0.376983285,2.374324799,0.550573468,2.623971939,0.527380228,3.143840551,0.209155023,0.439900875,0.383511245,1.048095703
0.15,6.522321224,19.02827072,9.514603615,19.80929184,3.760808229,6.837047577,3.681685448,11.63382244,3.276279926,2.433736563,6.238605022,13.54975891,8.508856773,9.431580544,7.0490098,13.0112009,13.4056921,8.857295036,29.01038933,12.17157269,15.78886223,8.059264183,31.36416054,15.45680714,11.23965359,21.50819588,9.638723373,19.82218933,11.32176495,22.41607475,17.895401,4.212733269,24.67201614,3.2421422,22.41956902,2.434168816,35.74654388,3.288992167,3.345612764,10.65259647,28.64808464,16.20694733,17.78477859,9.247836113,17.57690239,25.89138794,7.45562458,33.93718338,3.517889023,12.63464737,3.393127203,33.55964661,4.712572575,5.132174015,4.553063393,8.44320488,1.954703331,4.998404503,1.018996358,1.759252906,13.90365028,8.191755295,12.56458473,9.378469467,9.845427513,15.24743843,7.413352489,17.10211563,7.004361153,14.26883888,6.294315338,23.23426247,7.287940979,7.078852654,11.88941669,5.303828239,13.02689075,7.436888218,10.8770256,15.4220171,6.205945015,11.03467464,4.11616993,14.00652122,6.27487421,20.86565208,10.50029564,5.706468105,13.6493578,5.199420452,12.47418976,6.543148041,7.923649788,12.01519775,4.42318821,17.05968094,2.688003063,16.66861534,3.194197416,16.69841385,1.804098964,3.010295868,2.717517853,5.079390049,0.954264522,1.651677728,0.492067993,0.737903178,5.041401863,3.195123196,6.892364025,4.544571877,4.486896038,5.559288979,1.877525806,5.876981258,1.259178042,6.461100578,2.30877161,7.871482849,2.536203384,1.807384491,2.533004761,4.244597435,2.946173191,7.554620266,4.817924976,3.341714382,4.80877018,1.840515733,5.400530815,1.335944176,7.585827827,1.789751768,7.573547363,2.740835667,1.777144313,3.427280664,0.979423881,3.305208683,1.537834764,2.447571754,2.683423758,0.386864901,2.395083189,0.557661474,2.639462471,0.534364641,3.166543722,0.213834524,0.447722524,0.391124845,1.073279858
0.2,6.12812233,17.87274361,8.941425323,18.46263123,3.655941725,6.707355022,3.616811991,11.56630135,3.255426168,2.417097569,6.206605434,13.58541393,8.542983055,9.29741478,6.991546154,12.99030399,13.22996044,8.729527473,29.20999146,12.26676369,15.57037258,7.912902832,31.46378326,15.62679005,11.25818348,21.74616051,9.751815796,20.25100708,11.56604767,22.46806335,17.88212967,4.195486069,24.87324333,3.310941935,22.86760902,2.451253891,35.37283325,3.218123198,3.362499714,10.67580509,29.10546494,16.47573471,18.09819984,9.448693275,17.64774323,25.97040176,7.560637474,34.86203003,3.61663413,12.82080364,3.406349897,33.56591415,4.693076134,5.210475445,4.64979887,8.697806358,1.989927649,5.188368797,1.048112869,1.78292942,14.21158123,8.377541542,12.84304428,9.513011932,10.00576591,15.52723694,7.536355972,17.59330368,7.216240406,14.29811096,6.301493645,23.76066208,7.450956345,7.231258392,12.28743553,5.468456745,13.31366634,7.618024349,11.10214043,15.83556271,6.3597188,11.40882587,4.257760048,14.25690365,6.374762058,21.52624512,10.85742188,5.872832775,14.1035347,5.369243622,12.83938313,6.686499119,8.161905289,12.32835293,4.518928528,17.93356705,2.743122578,17.03085136,3.268460751,17.60423851,1.832066894,3.073051691,2.771132469,5.247159004,0.970929861,1.658932805,0.497436702,0.744089842,5.168028355,3.283883333,7.091838837,4.688216686,4.59436655,5.670555115,1.902884364,6.057419777,1.293196082,6.680080414,2.377328157,8.069096565,2.588098764,1.846797705,2.594586372,4.337305069,3.009509325,7.738361359,4.909957409,3.429624319,4.935194016,1.882487297,5.537168503,1.386534691,7.676322937,1.815116525,7.756559849,2.812537909,1.824452758,3.5190804,1.009257793,3.378649712,1.567136765,2.514023542,2.746453524,0.400106698,2.440662146,0.567953825,2.683460236,0.547614992,3.227227449,0.218735293,0.458815753,0.401994497,1.112587094
0.25,5.734388351,16.71608925,8.367452621,17.18156433,3.543856144,6.568812847,3.546621323,11.4841404,3.230633497,2.396496773,6.166928291,13.6160574,8.571928024,9.228042603,6.992608547,12.96754265,13.05426311,8.604381561,29.407444,12.36709404,15.54390144,7.861440182,31.55468178,15.78881454,11.29088879,22.08051491,9.897855759,20.73288918,11.84224892,22.57005119,17.914814,4.172811985,25.1382885,3.391842604,23.37015724,2.481263638,35.14143372,3.173087358,3.388822079,10.72041225,29.66121292,16.81248474,18.54074669,9.721436501,17.75471497,26.11760139,7.673220158,35.87995529,3.72862792,13.14377689,3.453366518,33.80276489,4.712240219,5.305000782,4.764271259,8.985860825,2.022612572,5.361373901,1.078952074,1.802783608,14.56229687,8.576655388,13.15710258,9.651539803,10.20092297,15.86438656,7.683805466,18.14732361,7.443220615,14.34715652,6.305325031,24.37078667,7.617929935,7.397975445,12.74636936,5.658635139,13.64999199,7.795903206,11.34282112,16.32222748,6.526684761,11.87330055,4.432550907,14.49642277,6.454334259,22.22334862,11.22149754,6.0574193,14.58508873,5.562558174,13.22387981,6.840704918,8.428585052,12.65457058,4.615385532,18.93646049,2.816485405,17.41506577,3.350786448,18.54446793,1.854900718,3.146271467,2.836340904,5.436938763,0.994768143,1.681407452,0.508769989,0.757471979,5.315597057,3.386160135,7.312927723,4.84696579,4.719006062,5.799536228,1.933179259,6.261772633,1.333022952,6.918026447,2.45717454,8.279232979,2.645606518,1.892569542,2.66636467,4.430468559,3.075867176,7.935941219,4.997475147,3.533863544,5.074596405,1.935103416,5.677339077,1.442146659,7.771704674,1.838249683,7.938941002,2.889285326,1.877397656,3.626813173,1.043885827,3.461082935,1.59941721,2.589267492,2.816380262,0.414873421,2.49536562,0.578732014,2.737310886,0.564906597,3.295420408,0.220766559,0.470811844,0.415120304,1.165064454
0.3,5.378534317,15.66448116,7.846065521,16.07727051,3.432298899,6.42926693,3.475198269,11.36974812,3.196619511,2.368643284,6.114607334,13.6054287,8.571581841,9.229658127,7.033597469,12.92097664,12.88476086,8.483762741,29.50553513,12.42652607,15.69735909,7.891162395,31.50394058,15.86961555,11.30429268,22.41275024,10.02721024,21.13812637,12.07801056,22.65191269,17.93783569,4.138515949,25.35871124,3.461411238,23.78940392,2.512336493,35.02402878,3.155456305,3.411355972,10.75061607,30.13447571,17.09667969,18.96593666,9.975570679,17.83512878,26.22570992,7.748138428,36.71401978,3.829788685,13.52794933,3.514474392,34.18759155,4.767814636,5.386863232,4.862102985,9.240896225,2.05226922,5.494954109,1.1039747,1.828740239,14.86687756,8.738097191,13.4248848,9.765857697,10.37900066,16.1601181,7.807878971,18.63543892,7.634833813,14.38602352,6.301390171,24.89917564,7.729892731,7.534092903,13.15048695,5.829813957,13.90648746,7.88868618,11.53788662,16.77687454,6.677508354,12.32270145,4.610151768,14.63741589,6.47714901,22.72538376,11.47640228,6.218639851,14.98109341,5.731503487,13.52562523,6.97614336,8.658178329,12.90141964,4.685558796,19.89136314,2.885936737,17.75129509,3.429201365,19.31626892,1.86341846,3.209579945,2.896824837,5.605246067,1.017205715,1.704881668,0.523018897,0.772922873,5.449661255,3.478909492,7.501992226,4.982852459,4.829596519,5.912220955,1.959076047,6.45247364,1.369319081,7.130405426,2.526908636,8.446273804,2.690579176,1.93214345,2.726870537,4.501211643,3.125136614,8.102425575,5.060152054,3.62250638,5.190335751,1.980813026,5.797744751,1.493053317,7.852847576,1.849767208,8.072325706,2.951520443,1.922388196,3.724750519,1.074237347,3.534929514,1.620955229,2.652249098,2.87614727,0.428201437,2.550270796,0.5890975,2.786973238,0.58162415,3.352061272,0.221700877,0.481902212,0.428755343,1.218200088
0.35,4.980063438,14.50025177,7.267651081,14.89019394,3.295995951,6.261599064,3.387874126,11.20139408,3.14833951,2.328565836,6.042534351,13.56115341,8.545668602,9.303188324,7.118129253,12.8606987,12.71260452,8.369831085,29.50793648,12.44428825,15.97625065,7.973537922,31.36848831,15.87538528,11.29568386,22.79892349,10.16580868,21.44776154,12.24500275,22.75283051,17.99453735,4.083450794,25.61076736,3.531742096,23.99653625,2.53367424,35.09144974,3.173878193,3.431539536,10.76960468,30.59361649,17.34137917,19.40052986,10.22085953,17.92024612,26.3401432,7.803144455,37.45743942,3.924767971,13.87251759,3.591774464,34.87953186,4.936473846,5.474405289,4.966099262,9.499481201,2.073548794,5.617567062,1.129118085,1.867749095,15.17998505,8.900099754,13.70768929,9.921740532,10.55408669,16.46375847,7.917813778,19.11438942,7.806693077,14.49822044,6.356329918,25.43380356,7.771349907,7.655707359,13.55717659,6.003190041,14.1995821,8.006323814,11.71228313,17.25631523,6.833359241,12.81878281,4.814660072,14.91700172,6.537671566,23.19937515,11.6824007,6.393167973,15.38126564,5.909286022,13.84117317,7.139126301,8.917348862,13.13697815,4.74723053,20.8967514,2.974390745,18.23719597,3.542580128,20.0820961,1.862942934,3.284592867,2.970326185,5.771942139,1.040171504,1.730088949,0.538332224,0.790692627,5.603418827,3.581243038,7.697908401,5.124757767,4.956417084,6.026218891,1.985438943,6.650643826,1.411383748,7.365252018,2.609614372,8.615984917,2.735151529,1.976012349,2.79231143,4.577373505,3.182071209,8.307398796,5.150379658,3.720410585,5.312358856,2.035437346,5.932047367,1.552342892,7.967428207,1.872021675,8.188652039,3.008847237,1.974244714,3.84199214,1.110038996,3.600295305,1.637399912,2.722167492,2.941123724,0.442385137,2.617614269,0.602086008,2.831743002,0.601501584,3.417191744,0.225571305,0.495059699,0.444855213,1.27378583
0.4,4.583592415,13.33979607,6.690228939,13.76942158,3.147186279,6.072937012,3.288244963,10.95416451,3.080797434,2.273626328,5.952159882,13.44968414,8.472836494,9.401683807,7.21568346,12.80084133,12.54187012,8.258124352,29.3345623,12.38939476,16.3084507,8.091545105,31.09949493,15.7992239,11.24555588,23.08130455,10.24131298,21.56547546,12.30155373,22.80669975,18.03417969,4.013192177,25.73975182,3.576314688,23.96307755,2.535482168,35.17287827,3.202982664,3.434877634,10.75431824,30.86818123,17.45562935,19.64843941,10.32975197,17.96479416,26.31471443,7.808640957,37.83937073,3.993483782,14.08035088,3.639812469,35.50115585,5.115165234,5.531227112,5.030761242,9.743707657,2.097701311,5.692986012,1.149160147,1.923502445,15.41669369,9.015649796,13.91982937,10.0599165,10.66247463,16.68973732,7.981292725,19.46661568,7.920054436,14.62057209,6.406859875,25.84609604,7.745317936,7.728164196,13.87427139,6.125842094,14.41061783,8.074581146,11.81827736,17.64388657,6.935199738,13.24190617,4.996095181,15.17350006,6.589065075,23.46367264,11.75664616,6.525041103,15.66197586,6.037744999,14.00061321,7.255700588,9.118265152,13.2818327,4.773166656,21.71029282,3.048192978,18.69544983,3.656861067,20.62137604,1.846636295,3.342230797,3.028105259,5.885847092,1.059868455,1.758633971,0.554771006,0.815699041,5.713324547,3.650289774,7.814647675,5.20767355,5.05439949,6.088609219,1.993477941,6.761237621,1.440483212,7.5134902,2.661602497,8.70930481,2.752716303,2.000384808,2.827928782,4.603752136,3.203958273,8.410175323,5.175679684,3.776667356,5.378498077,2.069664717,5.993011475,1.593583345,7.98670435,1.871318698,8.226679802,3.035387516,2.004613161,3.923081636,1.132470369,3.636502028,1.641795754,2.76168108,2.974237442,0.452488661,2.659943342,0.61062634,2.857750416,0.612937868,3.465761185,0.229413211,0.503961265,0.455854833,1.312778473
0.45,4.187400341,12.17897224,6.113135338,12.69772148,2.977904081,5.843646049,3.16361475,10.57441235,2.980620623,2.195091963,5.812520027,13.21677113,8.32313633,9.414153099,7.22759676,12.67339325,12.33341122,8.118471146,28.89645195,12.22387218,16.49552345,8.141388893,30.64085197,15.62233734,11.11198044,23.12247849,10.20148945,21.44183731,12.22568703,22.70842361,17.92607117,3.91497016,25.55752373,3.566069841,23.69152069,2.504646301,35.06994247,3.217333317,3.40033412,10.64299965,30.78862,17.36152077,19.52790833,10.21210766,17.84410095,26.00118256,7.743796825,37.82207489,4.033232212,13.98467255,3.622128963,35.7166748,5.258324623,5.539291859,5.046595097,9.89983654,2.115773916,5.715456486,1.166671872,1.981909633,15.4966898,9.038350105,14.01443577,10.1019392,10.66967106,16.78064537,7.977583885,19.63811493,7.968132973,14.7348156,6.432932854,26.01428795,7.712306976,7.747195721,14.09819889,6.191040516,14.41248322,7.992777824,11.83903694,17.87969017,6.978720665,13.56642151,5.144160271,15.19265079,6.570090771,23.44553375,11.67611122,6.597527504,15.74148083,6.090759277,13.94651318,7.258050442,9.237914085,13.25689602,4.752808094,22.16147232,3.089139462,18.90160942,3.736825228,20.80786514,1.809313774,3.365413666,3.054552555,5.916074276,1.069492459,1.790486097,0.572775722,0.849520683,5.746496677,3.665661812,7.796868801,5.18859005,5.088379383,6.063662052,1.975747108,6.715454578,1.446888804,7.512326717,2.65631938,8.682676315,2.737333059,1.994208813,2.815105915,4.550795078,3.169567585,8.337964058,5.101307392,3.756476879,5.361088276,2.071182013,5.923499107,1.607126832,7.830145836,1.85394001,8.149965286,3.015380144,2.004533291,3.946756124,1.138780236,3.639707088,1.63340795,2.757817984,2.966401815,0.455999523,2.654845715,0.611025929,2.862984896,0.617881954,3.469253302,0.231592998,0.506318271,0.460564941,1.323800445
