abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,43.54216385,61.59043503,30.82219124,65.91131592,12.44919586,22.70539284,11.77143192,30.20794106,8.573040962,6.211215496,15.22174454,28.92404366,18.91380119,16.79409409,12.25074196,14.31813049,29.01863861,18.8776226,54.25989532,23.27939987,20.92886734,10.60820293,31.99990273,14.80861092,19.53624725,36.4103241,16.70461464,26.69181442,15.47999763,31.80257988,35.51863861,8.821962357,38.02826309,5.205340385,26.01854706,3.043412685,52.40600204,4.206188202,5.604157925,14.89577866,31.17694092,18.04278755,27.47462463,15.1788702,22.44527054,33.45239258,8.229132652,34.50927734,3.675493717,20.79773521,5.778892517,45.596138,8.975073814,6.242744446,5.259730816,7.279136658,1.392724991,2.850058317,0.630238891,1.155985832,13.83095932,8.285367966,13.34043884,8.567629814,11.39400673,16.51215744,8.614629745,13.69577217,6.333350182,14.74462414,4.595849991,23.66234779,9.398921013,7.212251663,12.40142441,5.774877548,12.40201664,5.701114655,10.17828465,16.88103294,5.73567152,12.64524269,4.984802246,10.40530586,4.448523521,18.62372398,5.914615631,5.221712589,11.25994587,3.883358955,9.32559967,3.83502388,7.109187126,11.31271744,3.245226383,9.450328827,1.439355135,9.339865685,1.779172421,12.42259789,0.846072137,1.791695714,1.4385885,2.630461931,0.737963855,1.499097586,0.527697027,0.815161049,3.170510769,2.119261265,3.901955128,3.053893089,2.635761499,3.731413603,1.128800392,3.259526253,0.638347507,3.805354118,0.754557133,4.976583481,1.445413709,0.931297243,1.306463122,1.95464921,1.306008697,3.167268515,2.016053438,1.781741977,2.470002174,0.985666752,1.923006654,0.560532272,3.063630342,0.843961596,3.658936739,1.242479563,0.839863658,1.694645286,0.434222996,1.863196135,0.741921186,1.203746676,1.354416609,0.224229902,0.972238958,0.26580891,1.264597178,0.141564295,1.693038583,0.224105939,0.229472861,0.182147354,0.400447011
0.05,41.55580902,59.04411316,29.56282616,63.35819244,12.25628185,22.43388367,11.59184456,29.81153679,8.455665588,6.12470293,15.08025455,28.70952988,18.75193977,16.56233025,12.10509586,14.28733158,28.55000687,18.51960564,53.79173279,23.04468727,20.8226738,10.54178905,32.1962738,14.80756283,19.32086754,36.02222824,16.4966507,26.48480797,15.296628,31.34408188,35.17774963,8.73227787,37.62392426,5.127073765,25.52729797,2.96909523,51.10125732,4.037324429,5.511532307,14.56694794,30.73246765,17.76408386,27.13780785,14.86642361,21.87532997,32.78766632,8.057906151,33.69680786,3.639930248,20.47311211,5.702789307,43.86250305,8.52955246,6.101257324,5.105753422,7.044644833,1.315445542,2.667909384,0.580315292,1.048048496,13.49154663,8.072701454,13.20917702,8.50880146,11.1034193,16.21171379,8.449989319,13.19518852,6.077384949,14.76974678,4.58712244,23.01077271,9.266997337,7.031256199,11.96564579,5.584609509,12.13991737,5.556908131,9.902318954,16.51013184,5.591529846,11.95867252,4.669407845,10.01481819,4.218188763,17.83810425,5.682671547,4.970192432,10.72955513,3.696938276,8.905011177,3.605312824,6.760060787,10.87377071,3.106404066,8.935667992,1.350266933,8.628614426,1.680462241,11.89783192,0.841325462,1.701116323,1.342960954,2.483258247,0.698329747,1.377702713,0.483565688,0.749753594,3.043516159,2.02782011,3.792150021,2.988327742,2.485949516,3.57683897,1.059093118,3.147346973,0.605681598,3.684402704,0.727737606,4.704064369,1.363765478,0.880598962,1.233129621,1.827795625,1.219430327,3.039084673,1.928545952,1.687337518,2.333993912,0.922805488,1.768230915,0.525868416,2.913657665,0.823614478,3.511613131,1.171040773,0.793068945,1.583053231,0.405898601,1.746322751,0.703743756,1.136485577,1.276061535,0.212051943,0.903547943,0.244228825,1.17574048,0.138956711,1.591190219,0.209678859,0.214684233,0.166585714,0.355047286
0.1,39.51070404,56.11824036,28.11227417,60.03113174,12.05936813,22.21293068,11.43800163,29.53977394,8.366152763,6.062069893,14.98634434,28.56818962,18.6172123,16.3249054,11.90633869,14.31483173,28.19927788,18.29414749,53.35136414,22.81566429,20.72271156,10.49844456,32.67549896,14.98615456,19.16690254,35.67499924,16.28370094,26.15099335,15.084692,31.05244446,35.00597382,8.688182831,37.32158279,5.059512138,25.03491783,2.892591,50.78749847,4.054993629,5.459841251,14.32690907,30.28345871,17.46853638,26.45734787,14.49801064,21.37664413,32.29021454,7.93637085,32.98898315,3.613510132,19.99761391,5.598996162,42.26749802,7.945822716,5.962260246,4.971721172,6.88701582,1.253252983,2.589729786,0.554766059,0.958169699,13.1924963,7.892056465,13.13943768,8.520617485,10.84327793,15.87813282,8.237725258,12.83127975,5.864478111,14.74964333,4.604982853,22.49362755,9.04576683,6.846348286,11.49768829,5.378769398,11.76372528,5.449503422,9.644268036,16.04795837,5.406458855,11.21653557,4.38048172,9.897598267,4.126423359,16.96348763,5.469559669,4.741359234,10.19050789,3.509298325,8.592259407,3.429743767,6.449628353,10.36836147,2.940143585,8.4573946,1.252838731,8.014699936,1.635400414,11.44546986,0.811518431,1.603630424,1.23703289,2.259824991,0.640917301,1.207358599,0.417077452,0.652194381,2.894224644,1.920699477,3.686526299,2.913294554,2.336755514,3.367511749,0.989294469,2.960743427,0.590090334,3.620078564,0.738853991,4.378090858,1.279213786,0.841830194,1.176389456,1.734510064,1.154944062,2.85396409,1.788824916,1.622230172,2.201465368,0.864966571,1.675642252,0.506182432,2.655938625,0.763850629,3.351597071,1.086358309,0.745475709,1.461683154,0.37537393,1.613681316,0.653512418,1.068523884,1.194750309,0.197847188,0.837011099,0.225558683,1.047461748,0.132291496,1.483464241,0.19504863,0.19969438,0.150283307,0.304261804
0.15,37.27133179,52.91938019,26.52543259,56.45565033,11.82594681,21.95410156,11.258358,29.2401886,8.270747185,5.994978905,14.88842583,28.44990921,18.48790169,16.13604546,11.73430061,14.37729549,27.79950142,18.03517151,52.94830322,22.6132164,20.7919445,10.54332256,33.32544708,15.19352627,19.03245926,35.37585068,16.08940315,25.93967247,14.94033909,30.8448143,34.84571457,8.641036034,37.15502167,4.997423649,24.766119,2.844234705,50.57229233,4.080011368,5.416065216,14.12112999,30.09915161,17.26597786,25.81653023,14.14528084,20.93387413,31.90740013,7.84236908,32.45162582,3.608173847,19.48202896,5.4882164,41.0364418,7.381537437,5.843918324,4.861035824,6.818424225,1.221422791,2.612811327,0.542253435,0.865365028,12.95082188,7.739866257,13.29490089,8.648941994,10.64142323,15.58802223,8.068108559,12.54455566,5.667158604,14.902771,4.706154823,22.09149361,8.93864727,6.706267834,11.13147259,5.212371349,11.50606346,5.443825245,9.441926956,15.69270706,5.266477585,10.52533722,4.102141857,10.06782532,4.137856483,16.358778,5.357057571,4.554549694,9.756214142,3.365394115,8.302979469,3.25950408,6.209368229,9.948959351,2.790998697,8.128661156,1.194246769,7.359638214,1.552535653,11.09561253,0.783030927,1.526538253,1.157141209,2.052514791,0.578061521,1.025270462,0.346144289,0.550135553,2.775054216,1.83170867,3.630065203,2.857805252,2.217576742,3.18218255,0.920863926,2.815879822,0.578493178,3.572835207,0.749022663,4.100465298,1.205180645,0.806486547,1.128174663,1.663514853,1.104190946,2.668256998,1.638517618,1.572090864,2.07696104,0.815518439,1.609723568,0.496880502,2.282814503,0.683630824,3.189861059,1.000598073,0.701149762,1.372383475,0.346828014,1.520266056,0.637431681,1.002919078,1.127824426,0.185818717,0.787273884,0.216650516,1.009732246,0.142745763,1.382549167,0.183828562,0.191747785,0.141029224,0.27324456
0.2,35.0270462,49.72234726,24.93660736,52.96292496,11.5706749,21.66695786,11.06123924,28.92899704,8.178199768,5.92997694,14.80016994,28.35757446,18.36957169,16.11102295,11.6643219,14.46790123,27.39806175,17.76760101,52.6438942,22.47054291,21.15221405,10.73548222,34.06069183,15.39097786,18.94295883,35.20188904,15.96017742,25.97354126,14.92284489,30.7480526,34.72336197,8.599853516,37.18399048,4.961444378,24.73661423,2.826284885,50.53128815,4.111167908,5.391299725,13.98850727,30.34815407,17.2600956,25.51553726,13.94122696,20.59427643,31.71709824,7.784462929,32.29370117,3.639777184,19.10316277,5.427821159,40.37641907,6.994957924,5.781069279,4.811118126,6.873319149,1.237497091,2.811181068,0.560142934,0.828513443,12.83572292,7.658733368,13.83050919,9.001633644,10.54176331,15.39031792,7.981688499,12.44195461,5.566355705,15.36071396,4.896028042,21.90485573,8.9945364,6.665873051,11.06305885,5.182788372,11.62369251,5.664258003,9.347060204,15.60306454,5.248161316,10.20518398,3.976187944,10.64498138,4.329671383,16.27385139,5.433471203,4.520517349,9.654531479,3.363672256,8.165504456,3.20134449,6.171027184,9.799476624,2.715080261,8.278251648,1.230996728,7.048010349,1.481489062,11.07874203,0.757510364,1.518772125,1.168406606,1.975481868,0.544057012,0.918651521,0.297506005,0.469441175,2.759093285,1.812318206,3.681102514,2.871178389,2.207066298,3.11502862,0.893061817,2.79823637,0.588013649,3.53125906,0.747350633,4.029172421,1.181901693,0.797755241,1.119131565,1.642927051,1.084522367,2.564997911,1.546304464,1.576692343,2.045798302,0.806541502,1.566084743,0.49933511,1.984575272,0.624731004,3.090955973,0.962998033,0.684484065,1.370659709,0.338900506,1.51149106,0.655648589,0.973312497,1.105012178,0.181209579,0.794235051,0.22480987,1.096078753,0.17062135,1.354041219,0.177397266,0.195759848,0.146321341,0.282510191
0.25,32.77812195,46.51623154,23.3415432,49.54438782,11.28986454,21.35212517,10.84789085,28.61399841,8.092755318,5.870385647,14.73220921,28.31817055,18.27563667,16.29261589,11.7071991,14.61102962,27.03707886,17.51737976,52.49837112,22.41613579,21.81091309,11.06914616,35.01154327,15.66993713,18.92973709,35.21010208,15.92175007,26.3116436,15.0639658,30.82966423,34.67827988,8.574765205,37.47571945,4.963805676,25.086689,2.857663155,50.79892731,4.176120758,5.400495052,13.9853878,31.10647202,17.53027534,25.77649689,14.02690983,20.47018242,31.76391411,7.763960838,32.73501587,3.739361763,19.01621056,5.43898344,40.33573151,6.974861145,5.812366009,4.881362438,7.097630978,1.316417336,3.124459505,0.615152419,0.854230344,12.91230583,7.67743206,14.73443127,9.578388214,10.57654476,15.30803871,7.965978146,12.61450386,5.606107712,16.13942528,5.228032112,22.08534622,9.256448746,6.75260973,11.39241028,5.339344025,12.24254704,6.100016117,9.422346115,15.78889179,5.343653679,10.42766571,4.070859909,11.5571785,4.688301563,16.74522972,5.731122494,4.673762321,10.01686478,3.552212238,8.300532341,3.284206867,6.374416351,10.04216099,2.719702959,9.099276543,1.393087745,7.317939758,1.506993294,11.41077042,0.722509861,1.607018352,1.284082294,2.063300371,0.544695437,0.914685309,0.289006531,0.419039696,2.900811434,1.902826786,3.841992378,2.94697094,2.349152565,3.243588209,0.935028613,2.984293461,0.640043437,3.487890244,0.72239995,4.276622772,1.223817825,0.833290279,1.171242714,1.674586058,1.098943353,2.639455795,1.628843188,1.660467982,2.142776728,0.847052097,1.545854092,0.509761751,1.996120572,0.646056771,3.138463974,1.026909232,0.714073598,1.46156919,0.362452865,1.58267653,0.719230473,1.010941625,1.145685911,0.189480513,0.879274726,0.249047518,1.270615697,0.213006616,1.422090173,0.189038634,0.214704052,0.165471777,0.341448367
0.3,30.70207596,43.55688477,21.86770248,46.47683334,11.00344944,21.03405762,10.63555431,28.30809593,8.01744175,5.819121838,14.68559361,28.32419586,18.20958138,16.63555336,11.86074352,14.79146576,26.7559948,17.31831932,52.46584702,22.42289352,22.65281677,11.47386169,36.00541306,16.01096344,18.97656822,35.36664963,15.96601677,26.85240936,15.30324268,31.07208633,34.70008469,8.56794548,37.98416901,5.003367424,25.69394112,2.931143284,51.28683853,4.29655695,5.445227623,14.11599731,32.15047836,17.96473503,26.43865013,14.33258724,20.60604668,32.05718994,7.814914227,33.72293091,3.912665844,19.14067078,5.51003027,40.74021912,7.250524998,5.942997932,5.021129608,7.452387333,1.413905144,3.52696085,0.690931797,0.949931622,13.19782066,7.810880661,15.78676701,10.23646736,10.77136993,15.37165737,8.025385857,13.00398922,5.748625755,17.07942581,5.613335609,22.58925247,9.679253578,6.934524059,12.02506161,5.651765347,13.10255527,6.588567734,9.612278938,16.16837502,5.50500679,11.22514915,4.409154415,12.58869362,5.129688263,17.52123451,6.112466812,4.986095428,10.76273155,3.879241228,8.631713867,3.449411392,6.783225536,10.67016411,2.803276062,10.35022926,1.60894382,7.946971893,1.614506483,12.01455498,0.696802199,1.752398491,1.455670357,2.290621281,0.59154129,0.968447566,0.306867599,0.432934076,3.176617861,2.085702181,4.099852085,3.084736109,2.576253414,3.545120001,1.037938118,3.31957674,0.721375406,3.550053835,0.708710432,4.801851749,1.338162422,0.911722004,1.274746299,1.796607614,1.167968273,2.897547483,1.853001237,1.80495429,2.34637022,0.923961937,1.627712727,0.548250437,2.292862177,0.749385774,3.357489109,1.153522849,0.787915945,1.63370657,0.420183748,1.715726495,0.815353334,1.107885122,1.245308995,0.206880748,1.02388072,0.289333671,1.456668496,0.25633049,1.582010388,0.214819402,0.244974002,0.19553332,0.423299581
0.35,28.45266724,40.35549927,20.27079582,43.24786377,10.65572548,20.65162849,10.38644695,27.95218086,7.940334797,5.770987988,14.65702915,28.36890411,18.16078377,17.1065197,12.10002327,15.05564404,26.56855583,17.16793823,52.5099144,22.49271584,23.65228081,11.92482567,37.15761185,16.479599,19.08880234,35.70038986,16.12007523,27.65322304,15.6846323,31.49313927,34.78661728,8.581568718,38.78876877,5.099137783,26.63334465,3.040706158,51.9770813,4.492179871,5.535171986,14.38616371,33.60321808,18.66010284,27.55101585,14.8301239,20.96500015,32.5644455,7.946743488,35.34791946,4.16753149,19.53282928,5.644674778,41.42071533,7.701992512,6.165025234,5.235113621,7.94875145,1.516241312,3.972247601,0.782542825,1.083265662,13.72756863,8.090612411,17.03672981,11.01140881,11.12696075,15.65946579,8.205181122,13.62398815,5.996795654,18.31763649,6.090438366,23.60897827,10.3063612,7.23732233,12.94915009,6.141719818,14.10773087,7.077900887,9.957754135,16.76532936,5.724899769,12.60131073,4.982367516,13.64969635,5.57815218,18.6978054,6.595239162,5.444093227,11.86890888,4.33012867,9.092273712,3.627182007,7.396781445,11.68942547,2.978326321,12.01464176,1.852984071,8.592533112,1.743273497,13.0097332,0.696009338,1.938156128,1.656551838,2.612223864,0.674642384,1.072248578,0.350680172,0.49779734,3.549822807,2.328915119,4.456150532,3.303403616,2.86934185,3.961746931,1.174584508,3.76337862,0.814071596,3.770833254,0.712190747,5.544118881,1.521994472,1.018235564,1.419061184,2.006917238,1.295281768,3.264570475,2.136357069,1.997778416,2.631525517,1.027975559,1.822583914,0.619842291,2.693348169,0.897367537,3.705416203,1.314193249,0.894943714,1.863036871,0.487294555,1.888596296,0.921659946,1.246110439,1.408120036,0.23894617,1.195129633,0.338807315,1.653813004,0.305400997,1.817865849,0.255171567,0.286729604,0.235346362,0.528482854
0.4,26.20200157,37.14861298,18.67324066,40.11923218,10.25470924,20.21051598,10.11191368,27.51083374,7.844259739,5.711771011,14.60003471,28.34170723,18.0860405,17.55958748,12.34872246,15.32310295,26.40758514,17.02282715,52.40660858,22.51817131,24.57971382,12.32282734,38.11551285,16.9770031,19.177248,36.02383041,16.29262161,28.42321968,16.05514526,31.8744278,34.82162476,8.600387573,39.59222794,5.225414276,27.56515694,3.152286053,52.55748749,4.712882996,5.642463684,14.71251297,35.11421585,19.43786049,28.64529419,15.2964735,21.42961884,33.07981873,8.144172668,37.17616653,4.468330383,20.01319885,5.817094803,42.25437546,8.249319077,6.445833683,5.529248238,8.500659943,1.600081205,4.294870853,0.854160845,1.203958392,14.44794941,8.507348061,18.15029335,11.67931366,11.60596085,16.16493416,8.507667542,14.44401836,6.340932846,19.52022552,6.534437656,24.85643959,10.97155285,7.621038914,13.97208977,6.69982481,15.01164532,7.461436749,10.43780041,17.53896713,5.983848095,14.06301975,5.588375092,14.44417667,5.924650669,20.19869232,7.122786045,5.921056747,13.02729321,4.777945042,9.61950016,3.786434174,8.048563004,12.87272072,3.204595089,13.68233013,2.070273876,9.137690544,1.862692118,14.26059055,0.73250246,2.123576164,1.841539383,2.942433596,0.759137094,1.190591574,0.396439165,0.569467962,3.928099394,2.576070786,4.838601112,3.573067427,3.161393642,4.385735512,1.30804193,4.230175018,0.89476335,4.101647377,0.737597227,6.277452946,1.71481967,1.123908639,1.565842628,2.22626853,1.433876991,3.635555267,2.396575928,2.195314884,2.927665234,1.131459117,2.055071115,0.699451268,3.02583909,1.030643344,4.103843689,1.481837988,1.003701448,2.093636274,0.551284313,2.068496227,1.019992232,1.390642166,1.590794563,0.276475042,1.358497858,0.386986732,1.841071248,0.344052881,2.06261158,0.298718691,0.329143614,0.276566416,0.628373206
0.45,23.95054054,33.94429779,17.07884789,36.99401855,9.764701843,19.6194725,9.772742271,26.78915787,7.670964241,5.594164848,14.4108305,28.04033089,17.85279274,17.8475399,12.48970985,15.48049831,26.10855103,16.76656723,51.74635696,22.31296158,25.21460915,12.562047,38.58885956,17.31804085,19.08309937,35.93510818,16.30938148,28.77748108,16.2444706,31.94534683,34.52604294,8.555146217,39.85310364,5.326715946,28.15361023,3.221661091,52.50286484,4.871138096,5.705863476,14.94748116,36.22335052,20.05401611,29.3852272,15.53066349,21.76503944,33.23386765,8.314411163,38.63319397,4.754885197,20.19692421,5.895737648,42.7038269,8.828246117,6.705831528,5.811824322,9.044551849,1.659319639,4.458623409,0.891280293,1.28907454,15.15253162,8.93993187,18.92087364,12.11734295,12.07355118,16.77050972,8.880064964,15.24368668,6.704826832,20.43654823,6.809597015,25.97387695,11.51161194,7.99852562,14.89614105,7.241880894,15.63412952,7.691861153,10.92179298,18.38262177,6.257181644,15.46021175,6.175728798,14.89123058,6.134811878,21.64353561,7.594093323,6.368265152,14.16374397,5.20228529,10.19063759,3.903594732,8.661937714,14.0992775,3.451876163,15.39061165,2.262031078,9.443134308,1.934193254,15.54167557,0.797247827,2.297133446,2.011747837,3.26793766,0.831185699,1.311094284,0.437021732,0.631385267,4.2695961,2.805619955,5.249652863,3.899321318,3.429817438,4.814099789,1.42976594,4.732634544,0.958717465,4.540376186,0.79780066,6.935669422,1.892643213,1.222578406,1.702646732,2.430604219,1.565736651,3.971272707,2.627347708,2.38157177,3.215703011,1.224991679,2.2790308,0.775603831,3.302312136,1.138154745,4.518302441,1.643342614,1.103154063,2.309033632,0.607376099,2.249533415,1.115095854,1.527345419,1.76519835,0.311402291,1.491227269,0.426928163,2.024053574,0.379359543,2.276478291,0.336940378,0.366411239,0.312903464,0.713914275
