abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,30.36923981,23.38142014,11.59589005,19.95050621,5.851259232,10.75970459,5.257897377,12.18109608,2.967616081,2.245648146,5.417868614,10.8836298,6.628976345,7.061321259,5.474238873,7.807703495,11.64883995,7.814910889,20.01148415,8.909497261,12.98774815,6.055077553,16.11152649,8.050221443,8.171607971,14.99837971,6.327098846,11.68061924,6.57659483,14.42982674,14.13962078,2.792753935,15.68576241,2.303986311,13.61284256,1.683783174,22.19637108,2.820062399,2.379089355,6.888271809,16.3888588,9.668473244,12.2629137,8.709451675,13.80088997,14.73069286,4.266982079,19.77889061,3.299720287,12.96052074,2.968235254,22.41201973,2.268672228,3.502481461,2.765154839,3.265242815,1.229589462,1.375909567,0.544941664,0.87177217,7.983694553,5.135908604,10.37602043,7.710254192,9.737512589,8.648347855,5.261162281,8.256484032,3.55625701,13.06810856,4.642066956,15.56661701,5.558419228,4.475033283,8.68638134,4.921422005,10.70466995,6.929877281,8.32468605,10.69748974,5.661820889,8.97401619,3.431681395,12.30804443,3.609423637,13.27865791,3.490790129,4.018819809,10.04051781,4.49706459,8.320895195,5.541988373,7.658015251,9.556858063,3.445794821,10.36758709,2.504537582,9.731287956,2.258101702,12.18592644,1.835231662,2.593202114,2.144915581,2.69470644,1.240583658,1.697490931,0.628953993,1.006352067,4.266391754,2.70036912,5.286838531,3.857117891,5.655133724,4.433254242,1.209797621,4.342625618,0.879812121,4.271605492,0.702259362,7.851205826,1.505812645,1.050337434,2.550328732,3.899039984,2.571810484,6.254964352,4.251933098,5.195983887,4.630521297,1.94360435,4.464243889,1.346231818,5.456056118,1.427783847,9.454574585,2.837974072,1.772081852,3.911938429,1.319444656,4.012293816,1.945049644,3.577995539,2.820081711,0.570759892,2.61726594,0.674075365,3.268343925,0.560245693,4.602639198,0.649498463,0.61803019,0.46948722,0.921791196
0.05,29.55446815,22.55690002,11.18765068,20.1587162,5.997638226,11.2016449,5.521789551,12.90272427,3.131941319,2.357077122,5.676559925,11.43496037,6.911515236,7.852018833,6.241601467,8.265417099,12.35769081,8.258068085,21.1006031,9.411605835,14.64273739,6.859956741,16.44984245,8.418862343,8.680168152,16.2042942,6.870378971,12.62710094,7.122463226,15.41597939,14.78157616,2.901561499,17.17008781,2.482508898,14.89986038,1.835109591,23.47084808,3.185751438,2.558531523,7.423278809,17.56465721,10.32337666,13.30371952,9.580773354,14.94447231,15.66685104,4.566196442,21.47078514,3.577590227,14.61675262,3.364697218,24.22885513,2.561787605,3.801384687,2.995554686,3.494522333,1.35369885,1.546054244,0.586277843,0.955631673,8.574392319,5.561542511,11.06632423,8.240861893,10.46188259,9.272987366,5.61617136,8.834960938,3.800514936,13.93596935,4.893066883,16.78345299,5.953670502,4.773634434,9.231084824,5.23785162,11.33962154,7.382743359,8.795663834,11.32847595,5.969213963,9.572871208,3.65195179,12.89005184,3.798609257,13.62018204,3.605732203,4.243825912,10.60711193,4.811627865,8.760416985,5.840028763,8.03068924,10.02390194,3.66359973,10.99052906,2.671948433,10.0177021,2.380825043,12.67953777,1.970952034,2.762038231,2.291012526,2.964346886,1.354488254,1.92375493,0.701694369,1.126159549,4.57759285,2.88509798,5.596195698,4.086856365,5.977909088,4.67798233,1.26113224,4.746771812,0.96809411,4.470070839,0.712020934,8.326976776,1.56871438,1.111266494,2.692256451,4.116709232,2.736121655,6.637927055,4.473161221,5.529319286,4.917124748,2.039941549,4.713340759,1.441254377,6.007967472,1.667253137,9.911651611,3.075417757,1.911646724,4.253772736,1.412966728,4.355236053,2.061748505,3.890580177,3.066885233,0.612849414,2.789965153,0.726556599,3.406915426,0.579715133,5.230759621,0.702826619,0.662596166,0.501288652,0.994087934
0.1,28.45266724,21.54445648,10.69337559,20.10748863,6.011458874,11.21405983,5.607094288,13.23415947,3.202727795,2.383033991,5.75948143,11.67990017,7.031263351,8.351492882,6.706035614,8.601705551,12.62026691,8.447442055,21.77223206,9.702702522,15.66796112,7.296699524,16.89783478,8.676947594,8.959890366,16.90921974,7.187739372,13.34343719,7.58479023,16.06848145,15.14127541,2.921084404,18.36734581,2.630624056,16.08714104,1.965182185,24.20691681,3.266097784,2.65971446,7.760059357,18.60881042,10.88777828,14.5153656,10.50977421,15.76250267,16.2237072,4.720022202,22.7292614,3.799649477,15.94389057,3.590857983,25.40210724,2.679837942,3.98524189,3.199453115,3.732558012,1.511852145,1.76361692,0.65199852,1.040316701,9.008546829,5.82927084,11.67538357,8.756897926,10.96315765,9.682896614,5.861881256,9.23666954,3.97495532,14.72915554,5.158754826,17.43113136,6.140078068,4.983227253,9.568959236,5.456626892,11.69385147,7.567866802,9.168200493,11.78694916,6.211370468,10.03124332,3.816846609,12.90211678,3.857873201,14.34464073,3.731522322,4.409937859,11.00477219,5.023824692,9.18702507,6.226780891,8.358602524,10.4517622,3.808303595,11.42743874,2.834742308,10.74639416,2.515281439,13.33877659,2.173603058,2.922388315,2.430425406,3.154299974,1.458953738,2.022088289,0.735037804,1.180465221,4.837641239,3.060102701,5.813065052,4.276509762,6.303098679,4.891055107,1.316870809,4.973415852,1.026791573,4.580258846,0.735686839,8.721956253,1.600515366,1.159524322,2.814110518,4.20168972,2.811699867,6.7809515,4.586489201,5.798880577,5.101108074,2.119974136,4.736236572,1.484094858,6.191629887,1.765332699,10.34924412,3.373539448,2.013698578,4.487759113,1.482252717,4.637664795,2.163594007,4.101922989,3.240704298,0.642481863,2.955594778,0.75180465,3.602068901,0.587810934,5.599926472,0.739125609,0.688723266,0.525912762,1.000797868
0.15,26.86676979,20.31328773,10.094697,19.8221035,5.9275527,10.99003887,5.525128841,13.12560081,3.155556202,2.326684475,5.718540192,11.82138634,7.115846157,8.967975616,7.227367401,8.843130112,12.67124462,8.465681076,22.13483047,9.838630676,16.99619675,7.943153381,17.15475845,8.72625351,9.119398117,17.55430794,7.478245735,14.15987587,8.070123672,16.52748108,15.32594776,2.930761337,19.55253029,2.711372614,16.99194527,2.057671547,24.70315933,3.205585957,2.705024958,7.91233778,19.27020264,11.26468658,15.3830452,11.22662067,16.11657715,16.56770706,4.781263351,23.60784721,3.945756435,16.89873695,3.821938753,25.76415825,2.636075735,4.083755016,3.305534601,3.873125076,1.58352232,1.860364914,0.685427785,1.010832191,9.290413857,6.022487164,12.12422466,9.109261513,11.18195534,9.860323906,5.977342129,9.59055233,4.151246071,15.38704681,5.402783394,17.78660774,6.248651505,5.140518665,9.922130585,5.671728134,12.11430931,7.891067505,9.458138466,12.09160233,6.323966503,10.49133968,3.974936724,13.41468525,4.067091465,15.03205872,3.962846994,4.572202206,11.35931492,5.193956852,9.646849632,6.61578989,8.614537239,10.82690144,3.933780193,11.74896908,2.934438229,11.44399738,2.704321623,13.80129528,2.30109024,3.041763783,2.552933216,3.3332901,1.541303396,2.054335117,0.743113041,1.149721622,5.058714867,3.20493722,6.128668785,4.479697227,6.536016941,5.089410782,1.375801206,5.178033352,1.062222838,4.835640907,0.814873576,9.061144829,1.634680867,1.208723426,2.926081657,4.323915482,2.90389967,7.091884613,4.850455284,6.040709972,5.275811672,2.194210768,4.89400816,1.543362856,6.824055672,1.909491539,10.85863495,3.60226202,2.116698742,4.675683022,1.54715836,4.850512028,2.22340107,4.283687115,3.40980792,0.664478838,3.077073812,0.749141395,3.670024395,0.570375144,5.879948139,0.783316016,0.69931823,0.529506803,0.953162551
0.2,25.20310593,19.04871941,9.480029106,19.38075447,5.738986969,10.57802773,5.273647785,12.41587067,3.008394718,2.201353312,5.502858162,11.56608963,6.990295887,9.160549164,7.38666153,8.745228767,12.38650608,8.231679916,21.76231003,9.681176186,16.80077934,7.866574764,16.89928436,8.578430176,8.954109192,17.51532364,7.493813038,14.47662735,8.239527702,16.44485664,15.13030624,2.901460648,19.66036797,2.683344603,17.5019474,2.083451986,24.51475525,3.134983063,2.681742191,7.919649601,19.24985123,11.29225445,15.40851593,11.19832039,16.25925827,16.52931595,4.742674351,23.71321487,3.960480213,16.7281456,3.869944811,25.40031815,2.633060694,4.079381466,3.305567503,3.918334484,1.635649562,1.878144026,0.691108286,1.003468752,9.395926476,6.092423916,12.27807331,9.228426933,11.19156361,9.829646111,5.945807934,9.784163475,4.251725197,15.52457333,5.406701565,17.83996201,6.347215176,5.187425137,10.03788948,5.750897884,12.25020409,8.059341431,9.590190887,12.02823067,6.228981495,10.69916725,4.054785252,13.79001617,4.148164272,15.36455917,4.141287327,4.620820522,11.40973759,5.210992813,9.713552475,6.647204399,8.737139702,10.93361759,3.970530272,11.92795372,2.98131752,11.69369411,2.750167131,14.19342327,2.370119572,3.089046001,2.629540443,3.451591253,1.569687843,2.081275225,0.749160826,1.149626851,5.155399799,3.26247263,6.362668991,4.637571335,6.663768291,5.199200153,1.405271411,5.287632942,1.069305897,5.140228748,0.864436269,9.369044304,1.748262882,1.245616198,3.029681683,4.511586666,3.046014547,7.474133968,5.185458183,6.285374165,5.465803623,2.265708685,5.255212784,1.655382276,7.451587677,2.111275911,11.40465832,3.780473709,2.240249634,4.90909481,1.610333204,5.0619874,2.299313307,4.557083607,3.681152344,0.70113939,3.271033525,0.780395806,3.805208445,0.584408343,6.369271278,0.831525743,0.732568383,0.568218589,1.020356655
0.25,23.52993393,17.79423523,8.867609978,18.57415199,5.326956749,9.777143478,4.794923782,11.15979958,2.765098095,2.033945084,5.054924011,10.66025829,6.453401089,8.602175713,6.893412113,7.917907238,11.56063271,7.666851044,19.90841293,8.873493195,15.07364559,7.079287052,15.48725224,7.911830425,8.227349281,16.21976089,6.918038368,13.1126709,7.431316853,15.17729855,14.24519539,2.767697811,18.12317657,2.550566196,15.70732021,1.921565413,22.80233765,3.028811693,2.546424866,7.51646328,18.13412094,10.62147713,14.20100117,10.08558369,15.39062405,15.92638588,4.660471439,22.1607132,3.740281105,14.98305798,3.514196396,24.21117973,2.576887608,3.918727398,3.192279577,3.764377117,1.548897028,1.816978455,0.667225242,1.008969545,8.929686546,5.751589775,11.41725254,8.560810089,10.73533821,9.58582592,5.798508167,9.217657089,3.997620583,14.44373798,5.013473988,17.02172279,6.087089539,4.948561192,9.510310173,5.410902977,11.28761864,7.409045219,9.181255341,11.6654911,6.071340561,10.03039551,3.841012478,12.64473057,3.814954996,14.51838684,3.897415876,4.402373314,10.93096828,5.002127171,9.022388458,6.221461296,8.366250992,10.49431229,3.934978962,11.45397377,2.892203808,10.83213234,2.552521706,13.66803932,2.231093884,2.992086649,2.578488111,3.326471806,1.53003633,2.056192875,0.730346024,1.119516969,4.988388538,3.168777466,6.048657417,4.42287159,6.52385807,5.095761776,1.380816698,5.158924103,1.067951202,4.846364975,0.818282664,9.234169006,1.717401147,1.225721598,2.995690823,4.446529388,3.00463891,7.388906479,5.154500961,6.242945194,5.443480968,2.267637968,5.118947506,1.592555046,7.17772007,2.060327291,11.20463753,3.714376688,2.198671341,4.830294132,1.561338425,4.80752039,2.182113886,4.495563984,3.668980122,0.709010303,3.138674021,0.775895894,3.480632544,0.554441273,6.434374332,0.826601624,0.729469776,0.557438076,1.052716494
0.3,21.94648743,16.63104057,8.29752636,17.70392227,4.945534706,8.990099907,4.408135414,10.23327065,2.576567411,1.902098775,4.688374043,9.859926224,5.94943428,8.246600151,6.608592987,7.273588657,10.90451717,7.263418198,18.21622849,8.138585091,14.24225616,6.686850548,14.49377441,7.446334362,7.651762009,15.1151371,6.462808609,12.16164017,6.878158092,14.13102627,13.38419056,2.63234663,16.96772766,2.404462576,14.55694771,1.798671126,21.34871674,2.938212395,2.415231466,7.139401436,17.25859261,10.08759689,13.61038876,9.584563255,14.67043114,15.23134422,4.480210304,21.11092567,3.555776358,14.14469051,3.288912296,23.07948303,2.448930979,3.739065409,3.071830511,3.587248087,1.469509125,1.710953593,0.626444757,0.969328105,8.46235466,5.43208456,10.65266418,7.963682652,10.30820274,9.17505455,5.560089588,8.666623116,3.764873028,13.61942673,4.733510971,16.35646629,5.876743317,4.710940838,9.019884109,5.111614227,10.70850849,7.041104317,8.77777195,11.12645817,5.83946085,9.402447701,3.612780809,12.13354015,3.627400875,13.88299656,3.71064353,4.183487415,10.35499954,4.765668869,8.569318771,5.917230129,7.995862007,9.989476204,3.782084942,10.88005352,2.766479254,10.15719128,2.3816576,12.99363136,2.106193542,2.855228662,2.475025654,3.115937948,1.430287719,1.96530354,0.691850185,1.087204337,4.74730444,3.017723322,5.699581623,4.154473782,6.234633446,4.878721714,1.321849704,4.922471523,1.042383432,4.463992596,0.752193272,8.79548645,1.643948555,1.176277161,2.875052691,4.28315115,2.892856359,7.059825897,4.925950527,5.969890118,5.221608162,2.17868042,4.893936634,1.512634993,6.782235146,1.935668468,10.73036671,3.476801395,2.08482337,4.576415062,1.460206151,4.552163601,2.078127146,4.268619061,3.491143703,0.679669976,2.903164148,0.743140161,3.356991291,0.562855661,6.181395054,0.783346593,0.701830864,0.539883852,1.041171551
0.35,20.22455025,15.37844372,7.68150425,16.67308617,4.55908823,8.210389137,4.031906605,9.421760559,2.397945404,1.776383638,4.350175858,9.127494812,5.480843067,7.963902473,6.3383708,6.673951149,10.29426479,6.885803223,16.63828278,7.439446926,13.48110008,6.333496094,13.68231201,7.006499767,7.108648777,14.03702831,6.013689518,11.3565588,6.427216053,13.13031387,12.49867821,2.475707293,15.77365971,2.230866194,13.63848019,1.704934478,19.87634087,2.745433807,2.259574413,6.742930889,16.34838867,9.546198845,12.87880325,9.02840519,13.87173939,14.2542963,4.16822958,20.05744934,3.355679274,13.13741207,2.994051933,21.60768127,2.225217342,3.485174179,2.882519484,3.375517368,1.36937201,1.608072639,0.59009093,0.955409288,7.923975945,5.063951492,9.890306473,7.364047527,9.722044945,8.572240829,5.209113121,7.989355564,3.455180168,12.65806866,4.383287907,15.46152782,5.519979,4.377407074,8.423863411,4.762526512,9.997240067,6.605469227,8.194241524,10.30704403,5.457674026,8.707849503,3.358041048,11.40551758,3.408042192,12.98588562,3.460410833,3.901993513,9.624974251,4.448644161,8.011210442,5.508412361,7.489355087,9.352547646,3.53337121,10.06701088,2.559598207,9.476231575,2.189864635,12.16356277,1.964078426,2.649160385,2.307689667,2.816748857,1.30741024,1.775468826,0.624967337,1.005395293,4.404257774,2.807236195,5.203986168,3.780015945,5.814360619,4.55139637,1.244296432,4.581345081,0.986862063,3.963380575,0.666845739,8.091475487,1.497653008,1.095419884,2.685947418,4.029919624,2.718068123,6.584882259,4.606173038,5.570858002,4.855420113,2.031705141,4.582206726,1.418314338,6.210422993,1.725282311,9.885457039,3.167595387,1.923392773,4.175832748,1.332249761,4.247890949,1.968580961,3.947583437,3.19298315,0.640541077,2.623326302,0.688973606,3.238163948,0.562622249,5.626078129,0.75798285,0.663644135,0.514478624,0.991294444
0.4,18.49015427,14.12815666,7.064613819,15.57259464,4.174741268,7.512824059,3.692973852,8.748737335,2.230307341,1.653466702,4.035041809,8.442442894,5.062236786,7.706522465,6.088715076,6.160778046,9.681981087,6.484343052,15.25388145,6.820701122,12.88498592,6.091480255,12.97228909,6.584476471,6.615918159,13.08507919,5.599644661,10.74396229,6.074678421,12.26209736,11.67721653,2.321266651,14.71075153,2.078932047,13.01967335,1.629347563,18.56920242,2.540167332,2.115133047,6.378207207,15.55631542,9.107290268,12.33380032,8.650547981,13.15245533,13.24341297,3.844966173,19.14924431,3.160746336,12.28956699,2.731967926,20.36206818,2.054766893,3.238879204,2.700263023,3.154586077,1.271873355,1.496565938,0.557772756,0.925427854,7.426478863,4.731601238,9.329522133,6.905293941,9.152929306,7.977035522,4.849685192,7.398434639,3.180823088,12.04418659,4.183978558,14.48933983,5.108746052,4.068720818,7.879976273,4.439466,9.445090294,6.228953362,7.645936489,9.497852325,5.03658247,8.082969666,3.125928402,10.69891071,3.188633442,12.01196957,3.242921829,3.626051664,8.925278664,4.108915806,7.596735954,5.188095093,6.995326042,8.665610313,3.218951464,9.207511902,2.324107647,9.163357735,2.088617325,11.39766979,1.816649795,2.423868656,2.103456974,2.540504217,1.189087749,1.547913671,0.558853388,0.910970986,4.038715839,2.575782061,4.741937637,3.444636106,5.376544952,4.175037861,1.146474481,4.219208241,0.909766436,3.555354834,0.596892715,7.346988201,1.366661072,1.004757047,2.476700544,3.73544693,2.512784243,6.06526041,4.228467464,5.113388538,4.433543205,1.856494308,4.176046848,1.304494023,5.699852943,1.572060823,9.011545181,2.888717651,1.759227753,3.778866291,1.209854245,3.874037027,1.800391316,3.626080036,2.878884077,0.597763777,2.34545207,0.63040781,2.965560675,0.512830496,5.071226597,0.729459167,0.615848601,0.478111893,0.916637778
0.45,16.74950218,12.90409851,6.454555988,14.42567062,3.770740032,6.889544964,3.448779106,8.290477753,2.087310791,1.5353508,3.767917871,7.920181751,4.738702774,7.565588951,5.937215805,5.757605553,9.163528442,6.142422199,14.24776268,6.372760296,12.61994648,5.999349117,12.36290169,6.205557823,6.247583389,12.44654942,5.303958893,10.64514446,5.965622902,11.64117336,11.0420208,2.181833982,13.99972725,1.975106001,13.15794945,1.645352364,17.6131134,2.353018284,2.014665604,6.123153687,15.12337112,8.846278191,12.4817667,8.741848946,12.68966293,12.39851189,3.54776597,18.73347092,3.023032188,12.8821907,2.755850792,19.46276855,1.948708057,3.060461521,2.558881283,3.041533947,1.210168839,1.413668394,0.532936215,0.84392488,7.103446007,4.518665314,9.334134102,6.89172411,8.765543938,7.471403122,4.533322334,7.066319942,3.031663179,12.382411,4.3111763,13.91686344,4.758557796,3.876732111,7.586875916,4.279322147,9.379517555,6.200810909,7.332361221,8.818240166,4.648472786,7.737616539,2.998710394,10.79974651,3.258608103,11.30345535,3.099902391,3.456286907,8.416894913,3.833634853,7.547721863,5.159358501,6.700113297,8.160937309,2.953922749,8.546019554,2.143706322,9.521533966,2.104891777,10.94937325,1.697606325,2.256789684,1.930026889,2.282443523,1.073969007,1.336688042,0.49838981,0.796693206,3.757611752,2.396529198,4.388164997,3.215918064,5.073998928,3.868696451,1.059273362,3.911249876,0.831520259,3.285285234,0.543028235,6.83455658,1.283784509,0.926793814,2.284863234,3.447545528,2.313043356,5.58465147,3.892996311,4.684179306,4.07583952,1.722194791,3.801846981,1.208591223,5.131545067,1.367550611,8.21244812,2.6626544,1.614780068,3.396351337,1.085416198,3.48725605,1.620576978,3.308008194,2.60096693,0.551602721,2.037179232,0.541048825,2.660197735,0.446224451,4.385587215,0.684362233,0.551066935,0.418707579,0.783280194
