abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,16.03174782,36.84061432,18.23769569,33.59712982,7.054012299,13.75320625,6.515397549,17.69819641,4.365577698,3.449987411,8.181389809,15.95313168,9.960593224,12.7985754,9.665707588,9.839673996,18.07929802,12.19033718,28.93354607,13.48426819,22.81985474,11.03991413,24.05831528,10.56411457,12.49022579,24.37741852,11.6412096,19.88113022,12.03894329,21.23359108,20.6218586,5.121988297,28.88676453,5.371603489,23.9447403,3.094005346,32.972332,5.3380723,4.84503603,13.38097095,30.01433945,17.72541618,20.6327877,14.41168213,23.78574944,25.62415314,8.000671387,34.84210205,6.253389359,19.46373367,4.531519413,37.88270187,5.597432613,6.665198326,4.901224613,6.269528866,1.860318542,2.405707836,0.713625491,1.371308565,14.56492996,9.030623436,17.25550461,12.58633709,17.3849659,15.99772644,8.750494003,14.44698048,6.166916847,21.86795044,7.066113949,28.39687729,8.309347153,7.354487419,14.20313263,7.81217289,16.76530647,10.79721737,13.7942009,17.08721733,8.218229294,15.49608421,5.472947598,20.03811455,5.79465723,22.77438164,6.457621574,6.322566986,14.82883835,6.843584538,12.96364594,8.490215302,12.00874329,14.11713219,5.387265205,16.1523037,3.948306799,16.83176994,3.393804789,21.09695053,3.648221493,4.149962425,3.443205833,5.174296856,1.683364987,1.993721008,0.617145717,1.001112938,7.042320251,4.242024899,7.851089001,5.997404575,8.766991615,7.287440777,2.003176689,7.147649765,1.298501253,7.005784035,1.296157479,12.84792805,2.115095139,1.640590072,3.590798378,5.511019707,3.334792852,9.347308159,6.294845104,6.576189518,6.888810158,2.573260784,5.435715675,1.569761634,9.812809944,1.879495382,13.31559944,4.05002594,2.307759523,5.586073399,1.508285761,5.457929134,2.305953741,4.284256935,4.388938904,0.657148302,3.53904891,0.626737297,3.535347223,0.628627241,6.778958797,0.692330599,0.646576464,0.502667725,1.231683373
0.05,16.17362213,36.67303848,18.15366173,34.56732178,7.280445099,14.19707966,6.744691372,18.20885086,4.517663479,3.543378592,8.379018784,16.42883301,10.25266743,13.01159286,9.795852661,10.06281853,18.42418671,12.40060139,29.74233627,13.87600613,23.00082397,11.02690887,24.27724075,10.79781914,12.76621819,25.0178566,11.93020153,20.4707222,12.35620785,21.61598396,20.97736931,5.162778378,29.61304855,5.47142458,24.53443718,3.143629789,33.16246414,5.284308434,4.89859724,13.50236225,30.46638489,18.01083183,20.77410316,14.53229523,23.97958183,25.82526588,8.118975639,35.31035614,6.34291029,19.83303261,4.658259869,37.86026001,5.57093668,6.75449419,4.954860687,6.404866695,1.867203236,2.438068628,0.732284307,1.435940027,14.63133526,9.075526237,17.58150864,12.82527924,17.61530685,16.20158958,8.856482506,14.48246574,6.207479,22.47956276,7.228390217,28.20582771,8.153083801,7.406115532,14.32009125,7.870143414,16.97940826,10.93928909,13.87793255,17.24288559,8.304902077,15.80380535,5.552409172,20.18134499,5.810779095,22.76294708,6.481091499,6.388897419,15.04792213,6.916359425,12.97022343,8.558287621,12.15149212,14.1669569,5.39145565,16.42842293,4.040079594,16.94486427,3.355611086,21.45142555,3.662205935,4.197962761,3.516408443,5.288788319,1.685400486,1.982967496,0.624169111,1.021019816,7.121229172,4.282832146,7.902447701,6.058582306,8.872579575,7.385042667,2.011685848,7.226585865,1.307719231,7.03055954,1.297708631,12.97181034,2.098276138,1.644408584,3.612138271,5.589438438,3.393595457,9.26907444,6.267720699,6.650962353,6.873469353,2.558531046,5.582044601,1.651738167,9.746937752,1.872987866,13.38145828,4.130206108,2.346095085,5.640490532,1.534025669,5.50684166,2.27799654,4.355464935,4.426573753,0.663531184,3.56159234,0.634537816,3.466729641,0.663341761,6.809770107,0.689576447,0.655890346,0.520984769,1.279023528
0.1,15.4907856,35.04734421,17.36183929,34.4778595,7.308304787,14.30238056,6.805828571,18.44214058,4.577491283,3.577150822,8.461467743,16.72042465,10.40314293,13.2068119,9.925552368,10.11582756,18.51902771,12.46686268,30.33287239,14.15113068,23.29302406,11.09613895,23.98715973,10.7772665,12.92644405,25.37716675,12.07351589,21.01164627,12.64172363,21.80218887,21.13514137,5.186712265,30.00798607,5.529872417,25.18782234,3.220392466,33.18597412,5.212951183,4.934193611,13.56305695,30.61548615,18.12975121,21.01602364,14.62434387,24.07688332,25.80848503,8.125138283,35.51647568,6.35858345,19.76678085,4.657170773,37.78768158,5.574816227,6.763563633,4.926559448,6.492110729,1.90559423,2.547972441,0.761487126,1.511759043,14.60295773,9.075138092,17.76469421,12.92756557,17.59219742,16.2222538,8.880680084,14.48226643,6.201919079,22.74234772,7.310695648,28.16333199,8.106895447,7.415749073,14.42562962,7.946029186,16.99985123,10.95322227,13.88164139,17.23472977,8.295006752,16.06637764,5.627017498,20.10023689,5.827244282,22.77815819,6.508077621,6.429177284,15.12078953,6.94085741,12.91550446,8.534907341,12.22768116,14.1469841,5.343282223,16.466856,4.046913624,16.81247711,3.345814228,21.38469505,3.648221493,4.188593864,3.521050215,5.254074097,1.675586343,2.040046692,0.630889416,1.035152912,7.105010986,4.269266129,7.861860752,6.031457424,8.839652061,7.360053062,2.00774622,7.18860817,1.293667912,6.967998505,1.29759872,12.8712616,2.074418783,1.634101748,3.586651087,5.572035313,3.382128954,9.15541935,6.191943169,6.610788345,6.812572479,2.528060675,5.601392269,1.684161186,9.729725838,1.914644241,13.32161713,4.151471138,2.358870268,5.660948277,1.53159368,5.457025528,2.235293865,4.384337902,4.456134796,0.662747443,3.578901768,0.634284258,3.380788088,0.664510787,6.791172028,0.688444734,0.655507684,0.526293635,1.290095806
0.15,14.6300354,33.07558823,16.4045372,34.21149063,7.285405159,14.30917263,6.815635681,18.57103539,4.607935905,3.592150688,8.510375023,16.94221687,10.51348019,13.35548592,10.0222826,10.12524891,18.49789047,12.4554882,30.84248352,14.38585758,23.44688034,11.14123249,23.38815689,10.57449627,13.02120781,25.54578972,12.13522148,21.42665863,12.84621716,21.87320328,21.18344498,5.185194016,30.22977448,5.582659245,25.75393867,3.265954494,33.09342194,5.124564171,4.952245235,13.6095314,30.58795738,18.14130592,21.12746811,14.66790867,24.10158157,25.70285797,8.083660126,35.48389816,6.344777584,19.6404686,4.692049503,37.41781998,5.441984177,6.729049206,4.86286211,6.456281662,1.949296832,2.664442778,0.792214751,1.573658824,14.4901104,9.027041435,17.67908287,12.81680012,17.48390198,16.13681602,8.871347427,14.3591547,6.137589455,22.39252853,7.225831985,28.13440132,8.053462982,7.367413044,14.37426662,7.958056927,16.68109512,10.72265911,13.77901554,17.10164642,8.242872238,16.09026909,5.651041508,19.64408875,5.718287945,22.60482788,6.445351601,6.406684875,15.02865982,6.925623417,12.84127712,8.516570091,12.18900013,14.08853436,5.307226181,16.45080948,4.06485796,16.78737259,3.379767656,21.11374283,3.641675711,4.194042206,3.538034678,5.277784824,1.68676424,2.187759876,0.644088864,1.067878246,7.107395649,4.264467239,7.791099072,5.960650921,8.822946548,7.33946991,2.011403561,7.163628578,1.296830654,6.865477085,1.299966574,12.75779915,2.066373587,1.635573983,3.576626778,5.595740795,3.388567924,9.19199276,6.210760117,6.601773262,6.82201767,2.521045208,5.662472248,1.725856662,9.977383614,2.012429953,13.33851719,4.151542664,2.387805462,5.717648029,1.54401803,5.449229717,2.235697031,4.44797945,4.509794712,0.669445336,3.595434189,0.6395486,3.394469261,0.680019081,6.905124187,0.693945646,0.662618756,0.534797192,1.311528921
0.2,13.71223259,31.01408386,15.40594864,33.74122238,7.164488316,14.09532166,6.700744152,18.35297585,4.552698135,3.552248478,8.430377007,16.96180916,10.49728203,13.47347355,10.08748817,10.03221798,18.27098083,12.30850792,30.90245247,14.40912724,23.80630875,11.223176,22.85203552,10.42577362,12.98776054,25.43832779,12.0638876,21.56620407,12.90202522,21.78050232,21.04175758,5.123061657,30.18196678,5.572786331,25.99207306,3.267521143,32.83560944,5.03937149,4.920663357,13.55696201,30.40790367,18.07628822,21.30414391,14.78171825,24.01839447,25.36510849,7.923995018,35.24170685,6.293926716,19.72171211,4.740165234,37.11304092,5.220341206,6.625325203,4.738920689,6.180295467,1.950393677,2.55616641,0.780057788,1.529522777,14.23915386,8.875715256,17.36375999,12.53216934,17.2627449,15.78454494,8.724167824,13.93550682,5.930460453,21.44001389,6.97641468,27.82792854,8.01351738,7.194633007,13.99052048,7.764734268,16.16807747,10.36947727,13.47237396,16.67294502,8.075731277,15.43528175,5.478492737,18.91563225,5.54300499,21.99933052,6.233866215,6.230287075,14.54294109,6.736452579,12.52629662,8.26941967,11.86353302,13.75783634,5.183353424,15.7954607,3.931006908,16.30710983,3.349806786,20.41357613,3.53166914,4.077789307,3.426582813,5.065922737,1.670852423,2.232616663,0.647706807,1.097437978,6.926007748,4.173671722,7.605326653,5.802350044,8.6056633,7.136211395,1.96997571,6.993532181,1.270280719,6.585943699,1.282173157,12.35801697,2.030409098,1.60434258,3.505359888,5.484139919,3.308323383,8.88377285,6.010510921,6.468867302,6.700319767,2.483459711,5.467043877,1.662838221,9.835543633,2.011753321,13.17188644,4.130246639,2.348622561,5.65224123,1.533875823,5.31597662,2.21957922,4.385355473,4.450345039,0.670499682,3.565023661,0.644085467,3.344488144,0.667082131,6.934014797,0.699401379,0.663780391,0.532534719,1.298777223
0.25,12.74504375,28.86529922,14.36519432,32.86991882,6.837378025,13.46324825,6.34939146,17.4512043,4.327299595,3.394504547,8.118717194,16.48659897,10.22110844,13.44208241,10.03190804,9.772733688,17.72296524,11.9426136,30.20664215,14.13059139,23.47883987,11.06724834,22.65523148,10.32505417,12.72496319,25.12107086,11.96083069,21.33126068,12.8184948,21.47504234,20.64024353,5.038741112,30.10630226,5.539731979,25.8856678,3.244080067,32.4815712,5.003486156,4.875497818,13.50337505,30.39404678,18.05334473,21.49608803,14.93827343,23.96555138,25.23071098,7.829729557,35.18127441,6.284676552,20.00953674,4.825736046,37.21826172,5.19557333,6.591148376,4.674390793,6.009860992,1.926624894,2.455493927,0.760451436,1.476816416,14.23194599,8.902393341,17.24479485,12.45352268,17.25232887,15.66730022,8.674696922,13.98297691,5.948980331,21.1588192,6.93662262,27.44552422,7.966301918,7.176377296,13.89797497,7.715488434,16.14741898,10.36415195,13.44749069,16.58462524,8.042572975,15.15449619,5.39556551,18.81085587,5.559871674,22.00663376,6.29319191,6.190051079,14.33911228,6.651309013,12.47017097,8.200774193,11.79117966,13.68646336,5.176112175,15.37290859,3.822491407,16.21731758,3.401395559,20.28488541,3.514736652,4.021268845,3.356981039,4.952129364,1.639293432,2.145183086,0.634386897,1.08016777,6.876173019,4.158926487,7.659444809,5.836912632,8.506757736,7.050793648,1.949969888,6.942408562,1.26076591,6.525540829,1.273278594,12.27674484,2.044926643,1.595395446,3.488322973,5.429111958,3.276860952,8.786660194,5.967223644,6.423824787,6.653791904,2.474161386,5.361087799,1.61911273,9.556441307,1.954233289,13.0302639,4.082000732,2.3126688,5.559767723,1.510200977,5.22650671,2.174561262,4.319326401,4.378585815,0.661278129,3.468115091,0.637802541,3.227386713,0.631001115,6.773586273,0.698996305,0.653404772,0.519945323,1.242232561
0.3,11.82853699,26.84872818,13.38385296,31.72766876,6.41721344,12.62050915,5.928881645,16.30880165,4.047039509,3.186841726,7.708791733,15.7371788,9.792591095,13.02118778,9.70124054,9.384011269,17.03148651,11.48411369,28.97979164,13.58518028,22.5850811,10.69950676,22.06513405,10.05740643,12.25813389,24.41334724,11.67117977,20.47007179,12.33572102,20.8836174,20.02858734,4.915999413,29.46548843,5.438625813,24.71088409,3.121285915,31.69692993,4.903961658,4.764501572,13.24933434,29.85670471,17.73407364,21.0194912,14.5414381,23.54463959,24.85241318,7.729694843,34.57094193,6.213788986,19.32937813,4.664369583,36.86513901,5.193683147,6.50947237,4.595472336,5.897774696,1.886369705,2.404394627,0.729938984,1.392551541,14.05187416,8.785309792,16.96784592,12.29168224,17.05028725,15.47610092,8.570441246,13.87578106,5.907123566,20.9823494,6.854650974,26.88455391,7.771994591,7.090972424,13.70412159,7.59200573,16.02427673,10.30043221,13.29740524,16.41840744,7.932519436,14.85802841,5.302600384,18.65659714,5.551942825,21.7283783,6.197167397,6.103075981,14.15917873,6.566677094,12.40698719,8.137042999,11.63909817,13.48362637,5.142324448,15.03855991,3.725445986,16.13565826,3.387720585,20.17019272,3.543116093,3.962959766,3.283935547,4.866024017,1.593485236,2.027127743,0.608742118,1.034651637,6.801676273,4.107334614,7.596180916,5.780930042,8.387371063,6.963962555,1.923262715,6.835394859,1.232427835,6.415215492,1.253685832,12.18838406,2.012068987,1.568204641,3.429205418,5.297777176,3.202950478,8.635369301,5.867094517,6.310708046,6.542432308,2.429314613,5.254002571,1.576157928,9.138850212,1.832726002,12.57995892,3.927636623,2.239915609,5.360628605,1.457149029,5.187752247,2.173936844,4.191467285,4.237364292,0.639945209,3.29103899,0.616837502,3.278959274,0.619713366,6.460571766,0.675399959,0.633181393,0.49511075,1.186910987
0.35,10.82904816,24.66344261,12.31372356,30.21051598,5.909492493,11.60280323,5.436336517,14.93785572,3.716913462,2.935485363,7.222040176,14.82281017,9.251349449,12.3092041,9.16255188,8.900074959,16.19012451,10.92819118,27.43075371,12.86623096,21.35077858,10.15041256,21.20719147,9.648454666,11.6399498,23.35705757,11.2079401,19.37128448,11.71717167,20.01965523,19.18741417,4.729917526,28.28977966,5.258388996,23.38373184,2.967567921,30.41214943,4.759395123,4.592770576,12.83641338,28.95210457,17.17108536,20.39634705,14.07589436,22.90743828,24.16386032,7.529174805,33.61746979,6.058267593,18.62126541,4.492800236,36.06767273,5.098055363,6.343066216,4.481009007,5.663033009,1.823393226,2.37229085,0.70884949,1.317316055,13.70480442,8.563829422,16.49085999,12.00717831,16.61272621,15.04876423,8.327917099,13.56179523,5.788672924,20.35185432,6.637602329,26.16363907,7.592466831,6.913769245,13.32261658,7.381516933,15.67130661,10.0967474,12.98548317,15.99114323,7.70008564,14.41661263,5.16256237,18.15228271,5.45246315,21.31819916,6.043656826,5.943310261,13.78772068,6.392608643,12.21209812,7.982273579,11.34886169,13.14094353,5.043330193,14.54248142,3.60785985,15.75921631,3.307670832,19.7116909,3.476378679,3.860020399,3.161660433,4.657627106,1.529415369,1.901564956,0.583570957,0.989106953,6.623999119,4.00311327,7.398599625,5.623753071,8.175290108,6.783444881,1.871555924,6.629838467,1.186856389,6.257184029,1.207326889,11.98184299,1.944094777,1.517177105,3.321977139,5.098042488,3.089712143,8.417658806,5.740067959,6.092656136,6.341185093,2.35976696,5.031766415,1.488769293,8.800297737,1.73341918,12.03414154,3.782517433,2.147294283,5.137729168,1.405527711,5.076272964,2.151644468,4.013167381,4.075074673,0.620102823,3.109022379,0.592392802,3.344320774,0.605748177,6.106209278,0.642500639,0.610716164,0.463757753,1.111621857
0.4,9.820784569,22.46715546,11.23218727,28.43039513,5.383914948,10.56598377,4.937808037,13.55452633,3.386205912,2.67870307,6.694494724,13.84344673,8.656277657,11.51338673,8.564857483,8.362995148,15.24713993,10.30753231,25.71558571,12.06224346,20.09415817,9.546717644,20.11605835,9.136126518,10.94334221,22.10315514,10.64181805,18.20765305,11.05166435,18.96827126,18.1724472,4.498696804,26.81469345,5.031589031,22.00606346,2.808909416,28.79759407,4.571295738,4.383564472,12.31896019,27.80285645,16.47475433,19.6403656,13.58628368,22.12690353,23.21496391,7.219587803,32.40292358,5.818234921,18.15880013,4.379855156,34.85979462,4.947903156,6.100104332,4.348783493,5.450279713,1.775943995,2.35982728,0.696923018,1.248915792,13.2191658,8.258501053,15.88325119,11.61117744,16.03951645,14.43214226,7.978773594,13.11305046,5.599401951,19.48414993,6.356766701,25.30088425,7.413573742,6.664397717,12.84852409,7.124385834,15.17947197,9.812682152,12.55362988,15.40384579,7.406632423,13.89786243,4.996560097,17.42314148,5.271681786,20.58375931,5.811690331,5.735356331,13.27854729,6.167549133,11.87176132,7.732542515,10.97662449,12.68994713,4.88789463,13.93902588,3.475296736,15.24296951,3.201642752,19.13731956,3.384740114,3.730786324,3.038418055,4.411220551,1.472562075,1.821261525,0.561593056,0.94643873,6.366677761,3.855660439,7.094824791,5.390902996,7.896966457,6.514558315,1.803524137,6.380620003,1.144937396,6.018526554,1.143861651,11.60728836,1.879511952,1.4604249,3.198255062,4.91630125,2.985758305,8.153899193,5.585100651,5.85125351,6.083381653,2.263629436,4.790318966,1.40642488,8.537096024,1.665539384,11.4766407,3.651522636,2.055446863,4.921561718,1.354800344,4.928915024,2.111906052,3.836781025,3.894125938,0.598156989,2.961396456,0.575705647,3.372876644,0.592008889,5.744320393,0.61184293,0.590678453,0.440779716,1.049516201
0.45,8.806647301,20.27526283,10.15031338,26.45084381,4.84581852,9.531222343,4.446823597,12.20632744,3.059934378,2.422551155,6.154488564,12.77398491,8.005021095,10.69238281,7.961825848,7.764017105,14.23387337,9.642575264,23.79328537,11.15698624,18.78255081,8.910889626,18.85777473,8.534485817,10.16974449,20.66535378,9.973996162,16.91835403,10.28341961,17.80662537,17.02029419,4.230193615,25.12125206,4.757643223,20.48144531,2.617594957,26.98426056,4.295845032,4.127394676,11.66169262,26.47732925,15.70894909,18.61711693,12.88253593,21.08261681,21.98967171,6.826898098,31.04820824,5.538622856,17.52670097,4.206282139,33.32597733,4.74037075,5.79703331,4.182878971,5.237723351,1.710653186,2.320096254,0.689249754,1.197462559,12.63856506,7.893990993,15.14430523,11.07830811,15.32890987,13.6824398,7.553581238,12.50798225,5.332394123,18.53319359,6.045791149,24.35935783,7.192093372,6.348154545,12.25110149,6.784175396,14.47382259,9.363879204,11.99190617,14.64794636,7.034425259,13.18594551,4.764560223,16.47436142,4.984333038,19.63323402,5.528647423,5.455002785,12.58671856,5.856545925,11.33352375,7.374278069,10.46124363,12.08716202,4.663196087,13.1881485,3.315679073,14.63090324,3.050988436,18.45828247,3.268702507,3.563740253,2.894930363,4.177196503,1.419276237,1.742493033,0.540288031,0.894831181,6.054727554,3.680330992,6.772149086,5.153091908,7.548064232,6.179744244,1.72167778,6.077785969,1.096803665,5.782438755,1.073169589,11.11601448,1.79930675,1.393512368,3.052566051,4.714017391,2.867599726,7.756193638,5.318743229,5.596611977,5.781223774,2.160746813,4.536811352,1.323737144,8.078557014,1.553332329,10.88646793,3.460834742,1.945385337,4.616594791,1.297674417,4.723484516,2.051580906,3.62279439,3.619481564,0.57492429,2.770380735,0.560286224,3.299735785,0.567639828,5.280490398,0.583493948,0.569595873,0.416523188,0.992251813
