abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,7.395587444,20.61553001,10.2507534,18.94916153,4.506060123,8.928160667,4.291270733,11.88971329,2.840917587,2.169086933,5.231050968,10.20413589,6.199682236,8.754684448,6.299671173,6.605412483,11.97559547,7.787900925,17.51733971,8.096546173,15.78836632,7.296252728,15.66411877,7.008600235,7.783377647,15.37002277,7.646301746,14.70285988,8.86391449,12.90106869,12.94609451,3.253931046,19.07601547,3.007917166,19.35913277,2.592912197,19.6415062,3.780359268,3.093512774,8.084766388,18.98924065,11.28454971,16.08739853,11.92341232,14.43727398,15.78994274,4.671773434,22.15857124,3.643126488,18.2317543,4.466134548,23.74103928,4.299429417,4.188055992,2.985268116,3.920444012,1.095254779,1.38284111,0.466814041,0.848112166,9.161960602,5.68689537,11.74491405,8.660480499,10.43088818,9.785469055,5.302555084,8.773306847,3.859151125,13.95818615,4.962323666,17.39429283,5.779947758,4.68820858,9.124904633,4.854650497,11.07410431,7.294721127,8.377425194,10.4734745,4.845942974,9.100888252,3.193307638,12.64861393,3.928349495,13.51650333,4.195318222,3.823596001,9.064861298,4.185947418,8.048342705,5.176179409,6.864515781,8.512898445,3.190347195,9.630820274,2.487735748,10.27228737,2.209467888,11.50527763,2.395936489,2.591917038,1.982991815,2.544064522,0.977645993,1.016846061,0.310786843,0.469589263,4.202222824,2.574024439,4.930112839,3.863229036,5.003027439,4.480964184,1.203122854,4.040122986,0.781863332,3.940994024,0.776307225,7.127537727,1.352705717,0.998446643,2.100177765,3.378082991,2.238200426,5.134534836,3.485044479,4.008460522,4.039077282,1.698546886,3.537419796,1.119165182,4.701201439,0.96022594,7.794476032,3.154929638,1.586176515,3.60262537,1.147954822,3.733663797,1.862214565,2.772175789,2.61236167,0.520966291,2.2205019,0.572361827,2.998836994,0.701325774,3.44786191,0.623546779,0.575606585,0.428472906,0.864809811
0.05,7.278997898,20.14879799,10.02028942,18.83001137,4.515217781,8.970691681,4.305641651,11.95415783,2.855338097,2.175378799,5.235560894,10.23789978,6.215855598,8.791794777,6.328240395,6.611532211,11.98371601,7.794897556,17.58347702,8.12975502,15.84121609,7.320720673,15.61526012,7.00958252,7.804866791,15.43771458,7.680678844,14.7438488,8.887400627,12.91394901,12.967803,3.263136864,19.18639755,3.029856205,19.33576393,2.589710712,19.60816574,3.766127348,3.102199554,8.096987724,19.05200768,11.33985996,16.05737686,11.91253757,14.4489994,15.844697,4.681294441,22.15550423,3.625458002,18.17012596,4.496703148,23.70135117,4.303549767,4.187834263,2.981268883,3.881381512,1.078027129,1.353921413,0.458228916,0.852557898,9.143362045,5.676607609,11.73409939,8.662639618,10.40985394,9.818334579,5.314052105,8.728983879,3.839310646,13.99619198,4.971055508,17.32810402,5.747820377,4.680191994,9.113125801,4.844995499,11.13484192,7.342986107,8.348425865,10.47867966,4.828852177,9.065184593,3.181214094,12.67889881,3.966666937,13.49524879,4.18730545,3.817070723,9.067573547,4.171127319,8.059797287,5.17640543,6.840587616,8.49932766,3.177219152,9.603160858,2.470659733,10.23386574,2.206433296,11.44962311,2.391048431,2.578859329,1.966327071,2.52818346,0.972293019,1.014618993,0.311812073,0.470718384,4.172714233,2.556358099,4.868991375,3.825604439,4.96979475,4.460375309,1.19928205,4.003623486,0.779448688,3.894947529,0.760434806,7.062693119,1.339218497,0.991823971,2.085277796,3.360499382,2.231304407,5.069841862,3.464850187,3.983803511,4.022509098,1.690729856,3.536826134,1.123302102,4.621378422,0.940233052,7.751316547,3.149177074,1.581403494,3.596082926,1.147478223,3.738110304,1.86182344,2.761323214,2.611129761,0.518158317,2.229802847,0.573138118,3.014196873,0.705985188,3.416203976,0.612131715,0.574000359,0.428336442,0.862943113
0.1,6.999521732,19.31350708,9.609201431,18.4065361,4.477318764,8.925926208,4.272495747,11.89026356,2.833284616,2.157277107,5.195501328,10.19639015,6.183157444,8.747841835,6.290663719,6.536338806,11.84522724,7.70648241,17.55943871,8.122444153,15.72773361,7.259138584,15.31771374,6.894585609,7.757015228,15.39021778,7.651303768,14.68888378,8.854586601,12.81956673,12.84309101,3.237473249,19.15493774,3.028425932,19.19886589,2.580444098,19.3545723,3.696402311,3.083631039,8.039228439,18.94951057,11.29131126,15.91551018,11.82116032,14.33548355,15.69413853,4.635682106,22.01122475,3.58758831,17.98687172,4.486169338,23.37581444,4.241924763,4.146655083,2.94308424,3.802031279,1.051057816,1.301723361,0.444443673,0.833370745,9.040575981,5.60970211,11.60580635,8.559034348,10.30505848,9.737588882,5.277928829,8.598704338,3.774176359,13.77036953,4.887481213,17.13662338,5.653695107,4.618196487,8.978956223,4.776184082,10.97643566,7.232292175,8.227590561,10.37137413,4.772606373,8.900141716,3.125252247,12.39790821,3.923703194,13.37048626,4.145762444,3.76446104,8.976164818,4.128657341,7.968529701,5.117511272,6.753201008,8.398357391,3.144415617,9.491928101,2.437820911,10.0745573,2.171168566,11.27927208,2.363218546,2.546337128,1.939653993,2.486930609,0.958396792,1.006735325,0.311706215,0.471398324,4.112724304,2.524307966,4.797620296,3.778074503,4.909594536,4.403866768,1.190282345,3.937370777,0.767525315,3.827909708,0.744213581,6.961745739,1.319873691,0.97899586,2.059620857,3.321382761,2.207236767,5.010346889,3.443304777,3.942128658,3.978979111,1.675203919,3.484814167,1.112323999,4.529844761,0.917201281,7.691886425,3.144415617,1.568126678,3.575922251,1.141219974,3.713889122,1.859164715,2.735726595,2.602617979,0.516498625,2.22318697,0.571206033,3.007625103,0.701300383,3.358769655,0.60021615,0.5705778,0.425031483,0.857744157
0.15,6.62573719,18.25693512,9.089594841,17.84634018,4.413210392,8.83146286,4.21171093,11.75680447,2.793907166,2.12717557,5.129917145,10.12224865,6.132579327,8.647763252,6.219152927,6.421103477,11.61817265,7.554017544,17.48744392,8.092460632,15.51832294,7.15581131,14.87587929,6.723682404,7.669652939,15.27091122,7.585719109,14.5748415,8.788174629,12.66334248,12.64111233,3.190620184,19.00701332,3.013679743,18.95246887,2.559665203,19.00065804,3.596476078,3.047755241,7.935121536,18.74688721,11.18872356,15.67992878,11.66075516,14.14852524,15.43202591,4.547281265,21.77800941,3.534701586,17.62771416,4.444551945,22.89604568,4.148533344,4.076440334,2.876033068,3.677009344,1.006079197,1.231374741,0.422176003,0.798138738,8.891554832,5.517601013,11.43235016,8.422767639,10.14416218,9.56372261,5.201751709,8.457105637,3.698001146,13.46256828,4.754718781,16.82195663,5.526978016,4.528614998,8.809127808,4.693847656,10.74798965,7.069308758,8.074166298,10.17306232,4.673757076,8.677556038,3.053948641,12.00417042,3.842634916,13.1698513,4.072005272,3.684746027,8.790318489,4.045040131,7.826797009,5.03034544,6.621750355,8.252007484,3.10205102,9.245617867,2.37070632,9.813004494,2.114448786,11.03889084,2.299414635,2.486135244,1.881082773,2.412559748,0.935128868,0.973481536,0.303233474,0.463398099,3.999552965,2.460270882,4.6790905,3.687644243,4.796595573,4.296730518,1.169030428,3.802137136,0.73944664,3.715202808,0.71992594,6.794090271,1.285187483,0.9525823,2.007275343,3.230051041,2.14854908,4.868916035,3.356221199,3.846311331,3.881177902,1.639483452,3.365529299,1.077816367,4.310792923,0.874629736,7.543270588,3.104434252,1.531162858,3.50242281,1.117315888,3.636074305,1.831254363,2.661583424,2.564187288,0.509847581,2.178113699,0.560378194,2.970759153,0.684598446,3.240437508,0.579325557,0.559324741,0.414703459,0.837336779
0.2,6.220862389,17.13874245,8.540082932,17.2376976,4.327599525,8.695026398,4.129956245,11.56675148,2.743778706,2.090722561,5.048033237,10.02345371,6.073770523,8.523802757,6.136320114,6.304314613,11.35038185,7.366257191,17.41696358,8.067051888,15.25498199,7.03629303,14.4725008,6.589246273,7.578248501,15.12936592,7.511081219,14.50685596,8.754607201,12.49966621,12.43673801,3.13301301,18.8147316,2.986617088,18.74002647,2.537518263,18.68048668,3.495915413,3.003734112,7.821678162,18.54175377,11.08160305,15.51488781,11.5205555,13.92475796,15.10761452,4.435920715,21.55979729,3.483747244,17.30127716,4.397534847,22.37495232,4.042319298,3.996302128,2.801883698,3.560658932,0.98025018,1.180208921,0.406298786,0.755768001,8.721030235,5.413980961,11.1879282,8.255448341,9.958105087,9.344347,5.105203152,8.29576683,3.612696409,13.04163074,4.574997425,16.38267136,5.359783649,4.41778326,8.58549118,4.581882477,10.43425274,6.84104681,7.895471573,9.897911072,4.562095642,8.341156006,2.947632074,11.5216341,3.677504778,12.9055872,3.963247299,3.569434881,8.51462841,3.918039083,7.56338644,4.84639883,6.437980652,8.023778915,3.021617413,8.847938538,2.267673016,9.361270905,2.002667427,10.71740723,2.182885885,2.385207176,1.792046309,2.303384304,0.905771315,0.917224407,0.288680792,0.450137526,3.835364819,2.369353294,4.512465954,3.559091568,4.622077942,4.118177891,1.130091548,3.604758739,0.700756073,3.553833961,0.695367754,6.500077248,1.232741833,0.913877189,1.925431132,3.083864212,2.056848764,4.666757584,3.209763527,3.682213545,3.70682478,1.574120522,3.184898138,1.019721031,4.044621468,0.827594936,7.269482136,3.023782015,1.469064832,3.366845131,1.074973226,3.491868973,1.770291448,2.540693045,2.490710735,0.495942265,2.08846283,0.541705489,2.872993708,0.656061292,3.094442368,0.565722704,0.541840017,0.397889912,0.799007654
0.25,5.798588753,15.98474407,7.973750114,16.561903,4.199894905,8.469147682,4.002285957,11.22274971,2.660405397,2.032472372,4.917519569,9.829654694,5.946547508,8.379722595,6.024980068,6.14026022,10.99363232,7.123548985,17.15385056,7.953438759,14.97136593,6.90716362,14.07392979,6.452586174,7.427536964,14.88742638,7.395030975,14.35534191,8.674483299,12.25493717,12.1391325,3.060636044,18.51821518,2.933827639,18.53681183,2.512410641,18.31145096,3.410050631,2.9468472,7.670523643,18.30479813,10.9344244,15.17700672,11.21768856,13.67017174,14.70934296,4.293036461,21.21251488,3.417194605,16.7856617,4.257021427,22.02692795,3.954118967,3.891486645,2.717026711,3.453603745,0.945704401,1.123254776,0.390078634,0.713303268,8.519573212,5.293044567,10.93580627,8.068996429,9.730121613,9.065964699,4.969038486,8.127159119,3.52542758,12.74140072,4.440328598,15.89781761,5.186114788,4.298501968,8.363710403,4.461918831,10.10428429,6.585128307,7.713905811,9.600106239,4.438245773,8.038158417,2.857448101,11.01684952,3.494305134,12.61113548,3.867371798,3.45848918,8.258061409,3.784623384,7.28370142,4.648722649,6.26454401,7.799953461,2.924620867,8.47019577,2.16940999,8.888719559,1.871256828,10.47306252,2.083613396,2.283065081,1.703119874,2.20077014,0.874950171,0.867685676,0.274453789,0.435358346,3.68522048,2.287053585,4.358465195,3.421298027,4.45972681,3.939936161,1.091693282,3.418152809,0.660138428,3.412920475,0.680537999,6.225353718,1.182355046,0.876404583,1.852639914,2.950410366,1.969631195,4.483786583,3.070176125,3.542782784,3.5486238,1.513159633,2.98974967,0.952401936,3.786786079,0.78143543,6.995845795,2.919584274,1.401280403,3.210951567,1.02541852,3.342176676,1.709433794,2.419403791,2.403720617,0.479056627,1.981789947,0.519828618,2.784100056,0.623406827,2.963062763,0.548606873,0.521083713,0.383644372,0.767064393
0.3,5.395946503,14.89339256,7.438539982,15.87831211,4.04231596,8.176779747,3.85025835,10.80759811,2.561207056,1.96143055,4.761331081,9.570830345,5.782183647,8.179926872,5.868046284,5.947051525,10.62434483,6.879628181,16.78978729,7.790937901,14.67896461,6.78458643,13.64882088,6.272473812,7.247475624,14.59796524,7.253546238,14.15971565,8.572951317,11.96689892,11.80957508,2.981790304,18.18556404,2.878858566,18.35031319,2.497528315,17.89455986,3.343488693,2.891979933,7.535514832,18.05401802,10.7519455,14.81366444,10.90075016,13.46399593,14.3570013,4.16970396,20.80355072,3.338248968,16.21341324,4.112308502,21.8544693,3.926263809,3.796117067,2.638306379,3.332820415,0.907591999,1.059492946,0.369931698,0.657669306,8.372498512,5.201264858,10.72275829,7.894439697,9.50235939,8.825198174,4.852573872,7.996304512,3.464442968,12.60571289,4.380545616,15.39377785,5.041264534,4.209855556,8.20497036,4.373171329,9.8832407,6.400513172,7.563135147,9.40869236,4.361364365,7.851064682,2.798983812,10.64073372,3.359994888,12.34276009,3.784256935,3.382864714,8.078248024,3.682844162,7.077579498,4.523438931,6.133327484,7.664725304,2.861424685,8.194440842,2.089366198,8.588805199,1.790044665,10.29010201,2.028144121,2.20943284,1.635094047,2.125784874,0.856620193,0.834709764,0.264956087,0.421563655,3.594598293,2.235528708,4.237787247,3.324512959,4.346093178,3.81547308,1.058761835,3.325061083,0.63997525,3.320794821,0.65762943,6.037557125,1.129325509,0.846835017,1.794717431,2.845036745,1.893815994,4.344809532,2.978028536,3.43047595,3.429153204,1.466603637,2.816973925,0.895259023,3.623819351,0.744621456,6.731554985,2.813771486,1.34303844,3.07446456,0.982474208,3.210531712,1.659867167,2.316953421,2.328121662,0.462383807,1.891481519,0.500743687,2.707176924,0.594525695,2.841828108,0.533781111,0.5022102,0.371953726,0.753240824
0.35,4.953304291,13.70653343,6.854584217,15.05241013,3.833069086,7.783899307,3.652514458,10.2518425,2.42846179,1.863633513,4.563350201,9.208197594,5.560489655,7.941274643,5.686611176,5.719320297,10.17084217,6.5858922,16.230793,7.540207386,14.29934788,6.616006851,13.13991261,6.03950119,6.998484135,14.19904709,7.059373379,13.79366016,8.368463516,11.58827972,11.40226269,2.872991562,17.7378788,2.809118271,17.93764687,2.446819782,17.4128685,3.273877621,2.815658808,7.358803749,17.67474747,10.48380566,14.35728741,10.51476955,13.18590832,14.03154087,4.064365387,20.27758217,3.253731489,15.64561272,3.972635031,21.58120728,3.872159004,3.702423096,2.572588444,3.230625868,0.876370847,1.007431507,0.353870451,0.603046834,8.226190567,5.100712299,10.46555996,7.707064629,9.276941299,8.632480621,4.753296375,7.845558643,3.395884991,12.38394451,4.289206505,14.95378971,4.912950516,4.121376038,8.038471222,4.278922081,9.604599953,6.20394659,7.404406548,9.242892265,4.283492088,7.683926105,2.741726875,10.29174328,3.252962112,12.052351,3.68978548,3.30957675,7.918242455,3.592036009,6.889184475,4.402231216,6.009682178,7.543945313,2.798174143,7.952008247,2.025727034,8.333868027,1.722971559,10.11367035,1.992027283,2.148795366,1.577429056,2.054854155,0.836276293,0.820788741,0.2608172,0.411218584,3.51314497,2.183684826,4.122968674,3.236837626,4.247507572,3.721800566,1.034047842,3.249245167,0.621289611,3.224091291,0.630593717,5.914347649,1.093908906,0.822433949,1.748688102,2.772683144,1.834072709,4.262977123,2.919248581,3.338028669,3.354134321,1.435603499,2.697986364,0.854638457,3.519825935,0.720305383,6.492465496,2.702497005,1.297015786,2.965030909,0.950596929,3.100990295,1.609772325,2.241381407,2.268195868,0.451454222,1.827815056,0.486179173,2.631239891,0.567279398,2.757687569,0.525235832,0.488177329,0.363197893,0.743149698
0.4,4.509685993,12.51878738,6.268560886,14.15451622,3.593897581,7.308571339,3.426093817,9.609572411,2.277303219,1.750381947,4.33332777,8.790460587,5.305496693,7.65723896,5.481921673,5.467612267,9.679408073,6.267878532,15.54431057,7.220881462,13.9499712,6.470521927,12.54992676,5.786710739,6.709529877,13.6967392,6.811681747,13.30162907,8.092794418,11.15328503,10.95179749,2.744884968,17.16839027,2.718393326,17.35064316,2.36224556,16.86582947,3.201506615,2.718639135,7.127137661,17.16100502,10.14412689,13.76084137,10.06183338,12.80399418,13.62840366,3.95508647,19.66789055,3.15344286,14.9225359,3.779773951,21.0913105,3.777222395,3.590747118,2.496394396,3.138954639,0.845206439,0.96908468,0.34164542,0.563504934,8.00687027,4.956124306,10.09706688,7.450699329,9.019412994,8.403162956,4.627429485,7.620936394,3.294664145,11.8516407,4.072880745,14.48684883,4.7668643,3.992446661,7.800888538,4.149765015,9.151094437,5.891438007,7.181182384,8.998430252,4.167692661,7.44793272,2.660763741,9.747347832,3.092747927,11.71451759,3.590756178,3.207743168,7.692394257,3.475662231,6.638394833,4.231789589,5.831190586,7.340371132,2.71911025,7.659729958,1.953971148,8.011573792,1.646035671,9.868082047,1.947302699,2.078138351,1.518121004,1.980833411,0.812463105,0.823862374,0.262125731,0.406322658,3.404770136,2.115979433,3.971748829,3.112409115,4.131785393,3.610464096,1.008343458,3.139900208,0.593883574,3.108626366,0.604298711,5.770878315,1.070609093,0.796352208,1.699103355,2.705077648,1.786960483,4.166142464,2.845770359,3.249815702,3.270254135,1.395678639,2.619961262,0.82531637,3.383461475,0.696038544,6.268271446,2.591940641,1.252708793,2.855527163,0.91784513,2.990461588,1.55767858,2.167023897,2.210250378,0.441333234,1.76881671,0.471362829,2.533690214,0.540090144,2.683882475,0.511781871,0.473745227,0.354900241,0.730212569
0.45,4.060467243,11.32163525,5.67280817,13.15943909,3.322070599,6.763446331,3.165526628,8.882922173,2.10688591,1.622322083,4.07063818,8.288637161,4.996969223,7.263347626,5.189353943,5.18134594,9.1160326,5.906984806,14.69355392,6.825248241,13.24708748,6.1482687,11.93829632,5.508872509,6.346467495,13.05552864,6.494378567,12.58859921,7.680254936,10.62141228,10.37935448,2.591128826,16.43095589,2.595085382,16.45056152,2.225139141,16.15153313,3.117781878,2.589729548,6.808495522,16.45680618,9.707388878,12.95529842,9.448515892,12.26578331,13.07461262,3.802453756,18.8343029,3.023835659,13.9252882,3.50953722,20.33195114,3.639790058,3.438337564,2.396425009,3.009684324,0.805394828,0.933731198,0.332677573,0.526554704,7.66534853,4.731544018,9.570752144,7.07204628,8.661999702,8.082801819,4.448028088,7.253046513,3.130153656,11.13471127,3.778946638,13.88388634,4.578296185,3.804103851,7.414096355,3.936203241,8.554475784,5.486358166,6.853434563,8.626858711,3.99284482,7.008683205,2.496054173,8.982866287,2.848115206,11.27994728,3.484453678,3.037806511,7.305646896,3.278002501,6.211323738,3.949608326,5.543100834,7.012835026,2.586887836,7.211696148,1.836025476,7.440239906,1.497201681,9.483527184,1.854866982,1.956513643,1.428261876,1.849025011,0.763209283,0.79507041,0.255384654,0.397815734,3.190995693,1.98100543,3.719642162,2.911417723,3.913795948,3.402836323,0.964197576,2.90908742,0.544690251,2.921949387,0.563242316,5.499773502,1.02809298,0.750994205,1.602570891,2.564643621,1.688336849,3.984132051,2.699200392,3.070270777,3.087996483,1.31518507,2.453968763,0.767031848,3.162201166,0.65572226,5.959350586,2.442195415,1.176285386,2.685276985,0.862998486,2.785014153,1.442854285,2.035463095,2.103307247,0.423628688,1.679700732,0.45290494,2.331179142,0.482291043,2.552734852,0.486758143,0.44983086,0.338330418,0.693649411
