abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,29.16511917,47.38450623,23.57608032,33.18401337,7.695829391,13.77164459,6.595214844,16.15758705,3.68463254,2.971741438,7.07005024,14.19031715,8.994971275,11.05125713,8.653445244,9.332532883,16.05627251,10.55045986,25.52464867,11.93293095,17.86437798,8.586397171,21.06914711,11.31442547,11.09171009,21.69268227,10.33183098,19.89724731,12.10312939,17.96157455,19.19379997,4.421889782,24.17031097,3.575495958,24.81101799,3.340374708,29.22502327,5.425192833,4.000799656,9.99469471,24.03165054,13.88607883,22.09364128,16.33877563,17.73646545,19.47274017,5.320970535,26.17723465,4.441993237,23.8121891,5.080758572,27.73483086,4.414241314,4.828032017,2.848866463,3.3870399,1.231289148,1.250325441,0.408681095,0.546616614,11.0301857,7.056517601,15.67500687,11.53974628,12.11599827,11.020051,6.624622822,10.73029327,4.836857796,19.59477234,6.51798439,19.60333824,7.2435956,5.906514168,11.85080147,6.54765892,14.91861439,9.628505707,10.5766983,12.69958115,6.586185932,11.83329391,4.183429718,17.68054771,5.266225815,15.84384918,4.362979412,4.941907406,11.79228306,5.151817322,11.25754738,6.922987938,9.090333939,11.63077641,4.180609226,11.3105011,2.732562304,13.51830769,2.831636667,14.75416756,2.219597578,2.989550352,2.004306555,2.579842329,1.087861419,1.147396207,0.428687423,0.689659238,5.058262825,3.164694309,6.483359337,4.99310112,6.107075214,5.204614639,1.355976224,5.083241463,0.822899044,5.721801281,0.907207966,9.518883705,2.11183548,1.198194265,2.52555871,4.054281235,2.668879747,7.061766148,5.076047421,4.624678612,4.460110188,1.817151546,3.805226564,1.254148602,6.365548134,1.522319436,8.317385674,2.475265741,1.656503677,3.516881466,1.187743068,3.472842932,1.712347627,3.016994476,2.603046894,0.499168605,2.293328285,0.529152691,2.266065598,0.489627451,4.045677662,0.713478863,0.536008596,0.38464576,0.791782558
0.05,29.85734177,45.85977173,22.81781197,33.58294678,8.100129128,14.64000225,6.969730377,17.07633972,3.885241508,3.124751806,7.448081017,15.00553513,9.504742622,11.91580486,9.381324768,9.775782585,16.92277336,11.10578156,26.82314301,12.53360081,19.33526421,9.280791283,21.89715958,11.73943615,11.6707325,22.9264679,10.90319729,20.87861252,12.70079422,18.85918617,20.14493752,4.617859364,25.47188187,3.73836422,25.87038994,3.447948456,30.60851288,5.655332565,4.170418262,10.41052818,25.10212326,14.52105427,22.73420525,16.68125534,18.40888786,20.39957428,5.542629242,27.26264763,4.612711906,24.67960548,5.179697514,28.75883865,4.626745224,5.016338825,2.985123158,3.523343325,1.277018547,1.295642376,0.428873807,0.610449135,11.37773228,7.253877163,16.41576576,12.10022736,12.59245872,11.43199444,6.881350517,10.92025948,4.892087936,20.38636398,6.860599518,20.19570732,7.379426479,6.070711613,12.18016624,6.708435059,15.39189434,9.871967316,10.7986412,13.12699127,6.872025967,12.22241688,4.322313309,18.41367722,5.400776863,16.21354294,4.429305553,5.107919693,12.28546524,5.315470695,11.76826954,7.19461298,9.37080574,12.10925579,4.315356255,11.62526131,2.819105864,14.10429668,2.91492939,15.36931038,2.236323357,3.077466726,2.065770864,2.653635025,1.122670412,1.20867455,0.449221849,0.734388232,5.192535877,3.265098333,6.594353676,5.069054604,6.292303085,5.300446033,1.397408485,5.233713627,0.846679807,5.737571239,0.90101403,9.665858269,2.161365986,1.226753712,2.590793371,4.171921253,2.7607131,7.278341293,5.240909576,4.736799717,4.63284874,1.896179676,3.981300592,1.29575479,6.682588577,1.583221078,8.564789772,2.544351101,1.716817141,3.690103769,1.242354989,3.591710091,1.772551298,3.128118277,2.698106527,0.510274291,2.454993248,0.566843688,2.376482248,0.496037275,4.163306236,0.743469715,0.558857739,0.407353699,0.878738582
0.1,28.35943413,43.59981918,21.69724083,32.079319,8.024367332,14.60413742,6.904919147,16.95345116,3.835579634,3.082957268,7.3622365,14.91473484,9.433628082,11.93673229,9.391878128,9.657539368,16.71478081,10.94465065,26.71044159,12.48910046,19.33434868,9.264249802,21.22395325,11.39374065,11.56293392,22.82203484,10.86652946,20.99827576,12.73472881,18.66217995,19.87473106,4.556256294,25.42255211,3.718251705,25.81820488,3.445446253,30.13415337,5.59152174,4.136931896,10.31138802,25.07208443,14.50389957,22.71637535,16.6491642,18.22083282,20.1503334,5.472540855,27.30408096,4.628304958,24.52857018,5.194686413,28.2692318,4.588297844,4.992993355,2.948270798,3.516155481,1.279912472,1.302565813,0.428381771,0.626305163,11.37557125,7.254199505,16.43270111,12.10403919,12.52064133,11.36107349,6.844167709,10.95808411,4.909433365,20.56381798,6.911226273,20.11753082,7.3287673,6.066684246,12.22529793,6.723669052,15.56118774,9.958534241,10.78693295,13.11196327,6.867157459,12.29607391,4.343556404,18.71030426,5.462729931,16.22183228,4.395108223,5.12079525,12.33949184,5.332709789,11.88714504,7.236018658,9.384242058,12.12505436,4.297754765,11.67159081,2.830882311,14.23014069,2.947669744,15.38988113,2.24077177,3.084657431,2.062755585,2.643878937,1.116504669,1.208454251,0.450585306,0.735376894,5.205334187,3.274703979,6.585976124,5.05466032,6.288425922,5.294035435,1.392398953,5.252736092,0.848475158,5.735534668,0.898610413,9.656721115,2.159714699,1.225280046,2.588298321,4.157730579,2.747057199,7.304315567,5.270862579,4.716508865,4.634510994,1.896442533,3.972373247,1.291097403,6.731182098,1.596150398,8.553404808,2.566102743,1.72044158,3.712091446,1.245185852,3.576838255,1.761582971,3.12397933,2.724538088,0.512592733,2.471100569,0.569380701,2.353642464,0.493117899,4.181434631,0.74909234,0.561014175,0.409168333,0.885218203
0.15,26.99495697,41.15422821,20.48527145,31.04925156,8.041913986,14.77176094,6.928341389,17.05783653,3.83991313,3.082127571,7.378647327,15.02952099,9.481762886,12.18834686,9.598124504,9.652576447,16.78620338,10.96890736,26.92441177,12.58938122,19.79755592,9.490013123,20.85506058,11.2070694,11.62402344,23.07590103,10.99340057,21.44322777,12.97530079,18.71371841,19.8808403,4.547709942,25.76172829,3.740014791,26.1490078,3.490924358,30.09952927,5.62946558,4.157512665,10.34982491,25.36675644,14.66934681,22.95884705,16.81793594,18.2654438,20.20264816,5.451182365,27.6658535,4.688225746,24.70699692,5.260123253,28.18341255,4.574622154,5.013752937,2.944359779,3.556773663,1.300101519,1.345332623,0.436778367,0.662796974,11.49345398,7.327095032,16.69075203,12.2868309,12.5449543,11.3979187,6.869977474,11.09485722,4.963930607,21.0144062,7.063743591,20.24373245,7.363305569,6.12196064,12.39444256,6.806182861,15.95795918,10.17099285,10.8536787,13.21879959,6.944667816,12.50911427,4.406826496,19.22812271,5.572249413,16.37011528,4.394358635,5.185400963,12.5142231,5.401903629,12.10846043,7.343320847,9.484972954,12.22628593,4.323319435,11.83699894,2.871391773,14.50162029,3.001988888,15.54999733,2.252712727,3.120218754,2.082057238,2.666335344,1.130126357,1.226665616,0.458601028,0.748950779,5.26654768,3.318589926,6.634418488,5.088493347,6.347044945,5.327339649,1.394680738,5.328714371,0.861898303,5.808777332,0.908772111,9.691682816,2.174386978,1.234965563,2.606853962,4.193058968,2.768082619,7.428995609,5.377129555,4.741094589,4.693720818,1.923604012,4.02960968,1.30253458,6.873505116,1.634782076,8.660252571,2.625652075,1.748300433,3.799856663,1.264103413,3.620627403,1.782636166,3.166071892,2.794934511,0.518751502,2.514009953,0.575355351,2.392006636,0.49940148,4.251292229,0.762694776,0.568051398,0.415559322,0.90226078
0.2,25.35652542,38.61911011,19.22720909,29.94550133,7.997971535,14.82126045,6.890944004,17.02488899,3.81561327,3.056529045,7.328918934,15.05721378,9.47234726,12.46436214,9.808348656,9.567836761,16.74665833,10.92355537,27.0223217,12.6487999,20.17431068,9.678007126,20.31078148,10.92375755,11.63047981,23.25377083,11.09296322,21.79670143,13.14308357,18.67805672,19.76128578,4.501255989,26.06947899,3.752416849,26.32836151,3.514138222,29.94368744,5.633191109,4.155231476,10.33449745,25.58782005,14.82584476,23.13313293,16.9575386,18.21605492,20.16698074,5.405138016,28.02847862,4.752053738,24.823452,5.312466621,28.01478004,4.531116009,5.02188158,2.925800323,3.584645987,1.319871426,1.416078448,0.451423198,0.709128261,11.59867668,7.393840313,16.86301804,12.40366936,12.56445694,11.40609932,6.887215137,11.25246525,5.026427269,21.43380547,7.214149952,20.42061424,7.456127644,6.185098648,12.57509041,6.898733139,16.40184975,10.41194439,10.95191288,13.31668758,7.015964508,12.75191307,4.480518818,19.80585861,5.70104599,16.60330582,4.424595356,5.259953022,12.68801689,5.45611763,12.33778763,7.467555523,9.609205246,12.35211754,4.352071285,11.96509743,2.898483753,14.8230629,3.054698467,15.76670456,2.281563044,3.150971889,2.096780777,2.691809177,1.140008569,1.23904109,0.463485956,0.762094676,5.328995705,3.358159781,6.691214561,5.134545326,6.387009621,5.370495796,1.392220736,5.411602974,0.871567965,5.885573864,0.926217556,9.736046791,2.189113617,1.242878914,2.617393732,4.213559628,2.777918816,7.522930622,5.449775696,4.753183842,4.733703136,1.944267631,4.061015606,1.311737537,6.989892483,1.666142464,8.700832367,2.665876389,1.769215465,3.864786386,1.27681005,3.655155897,1.794438004,3.193541288,2.850833416,0.523643196,2.537301064,0.579279959,2.414054871,0.502646446,4.290584564,0.770454884,0.572734118,0.420893818,0.918309271
0.25,23.69961739,36.10409927,17.97979927,29.06780624,7.959012508,14.87558079,6.863647461,17.03174973,3.812061548,3.045692444,7.312485218,15.18126488,9.526374817,12.91678143,10.17263699,9.536728859,16.79848862,10.94717121,27.31212425,12.79080009,20.80577087,10.01025963,19.9873867,10.7262249,11.72417831,23.60765266,11.27405548,22.30150032,13.40507317,18.79988861,19.78191566,4.474461079,26.60691452,3.791640043,26.69046974,3.563624859,30.05016899,5.686975002,4.180840969,10.39906502,25.94596672,15.0936203,23.41625404,17.14453888,18.32364655,20.27268219,5.398352146,28.64702034,4.853674889,25.06094933,5.403377056,28.14671898,4.500773907,5.065350056,2.928234577,3.631705046,1.359663606,1.519543171,0.471842915,0.747467458,11.77479649,7.505487919,17.14879036,12.60415363,12.68681908,11.48357964,6.942672253,11.47284031,5.109212399,22.0739193,7.446593761,20.77864838,7.606008053,6.286445618,12.82544899,7.030652523,16.91874695,10.7106905,11.12609863,13.47285557,7.121577263,13.11267471,4.58030653,20.63140297,5.873363972,16.91857338,4.494998455,5.366578579,12.89813995,5.527026653,12.60561848,7.621243954,9.783503532,12.48914814,4.375142574,12.15206242,2.927015305,15.20667171,3.131386042,16.15844345,2.312651634,3.184491158,2.112315416,2.725073576,1.153905869,1.252277136,0.468058139,0.780001998,5.407173634,3.40977788,6.79245615,5.217496395,6.435482979,5.429638863,1.391966343,5.527180195,0.885637701,6.019168377,0.954696476,9.773381233,2.198994637,1.254109263,2.636430502,4.252358437,2.812493324,7.656421661,5.552549362,4.778585434,4.7620368,1.956891298,4.139447689,1.336737394,7.195778847,1.729337931,8.772847176,2.704924822,1.798443079,3.931451321,1.2950176,3.719979048,1.825785756,3.23886919,2.899885893,0.525489807,2.56123209,0.583112657,2.467223406,0.516096056,4.369895935,0.776964128,0.577356517,0.427205294,0.938094079
0.3,22.14188004,33.76770401,16.82154274,28.42215157,7.926701069,14.90812111,6.843194485,17.03845215,3.824611902,3.047338247,7.310669899,15.32630157,9.596815109,13.3894968,10.5553236,9.515727997,16.88080406,11.00139713,27.63097191,12.93953419,21.53436089,10.39045238,19.83939171,10.57310104,11.84053421,23.94579887,11.43395329,22.76563263,13.68921566,18.95096588,19.85019684,4.441771984,27.07838821,3.829980135,27.08209801,3.608330727,30.22110367,5.720554352,4.200874329,10.46233654,26.25404549,15.30831146,23.61614037,17.23098755,18.41782188,20.37418365,5.388923168,29.12990952,4.929932594,25.24513245,5.460368156,28.38793755,4.459300995,5.092963219,2.927093267,3.670076847,1.393603325,1.612709045,0.492898017,0.771648943,11.88520527,7.584544659,17.35954666,12.74432373,12.74765205,11.54270935,6.995780945,11.62789249,5.163861275,22.56434059,7.623374462,21.05126953,7.765911579,6.369049072,13.03640175,7.147894859,17.33652306,10.95701027,11.24995518,13.58198166,7.196905136,13.44028378,4.675339222,21.47879791,6.028553009,17.17025757,4.590275764,5.46424818,13.09369373,5.587012768,12.81248474,7.710224152,9.935917854,12.5905714,4.389770985,12.31873608,2.944164038,15.50193024,3.203834057,16.60293388,2.36793232,3.212439537,2.123574972,2.73664403,1.155162692,1.25334847,0.468475699,0.783309579,5.482796192,3.457340002,6.897374153,5.307204723,6.463747978,5.481675625,1.395548582,5.645585537,0.896309257,6.197226524,0.986835301,9.797495842,2.192858219,1.263320565,2.653316021,4.287693977,2.845068455,7.749744415,5.635935307,4.79959631,4.764533043,1.948127747,4.21496439,1.360229015,7.437999725,1.798293471,8.773974419,2.697194338,1.814206839,3.93035388,1.292309642,3.750462055,1.844457984,3.266263485,2.919600964,0.520982265,2.535161495,0.573632538,2.506295919,0.523295105,4.42901659,0.777219832,0.57304424,0.424402893,0.936586738
0.35,20.4539814,31.24825859,15.57366657,27.8940258,7.89947176,14.90910244,6.826904297,17.0215683,3.843325615,3.053399563,7.295396805,15.43109226,9.657409668,13.76349258,10.84006786,9.482261658,16.90045547,11.02307796,27.84595299,13.04056931,22.12691498,10.68844795,19.61815453,10.45495605,11.9189167,24.18872643,11.55247498,22.98229027,13.83287621,19.01151276,19.86970329,4.402804852,27.39608002,3.848008394,27.02150345,3.589451075,30.27365112,5.745399475,4.197223663,10.43292141,26.39531708,15.42762184,23.66546059,17.27169991,18.2987709,20.36529732,5.371809006,29.3561039,4.9805336,25.25999832,5.497745514,28.4129715,4.496609211,5.115264416,2.932808876,3.672024012,1.393014193,1.648352146,0.50805825,0.777369976,11.97321987,7.643269062,17.56868362,12.88840771,12.75734711,11.59193039,7.058320045,11.74202156,5.202579975,22.92336464,7.778229237,21.1956768,7.912841797,6.443247318,13.20369911,7.239719868,17.68230438,11.17942619,11.34150124,13.69386673,7.270614147,13.66227722,4.732440472,22.24012756,6.159088135,17.36432648,4.674514294,5.538060188,13.27689171,5.627066612,12.94852829,7.747090816,10.04578972,12.7211647,4.433208466,12.42419243,2.938670635,15.74428272,3.249992609,17.10562706,2.454926491,3.23479104,2.124606848,2.727317333,1.139786243,1.226378322,0.456776321,0.765220761,5.547426701,3.502772331,7.020573139,5.401617527,6.476278782,5.531452179,1.397112131,5.76040554,0.908814847,6.384747028,1.023422122,9.874142647,2.180676937,1.272363186,2.666952372,4.306237221,2.865991354,7.816164494,5.673349857,4.836903095,4.755574226,1.927490354,4.268279552,1.374970675,7.57909584,1.834930539,8.783613205,2.677700043,1.816166759,3.891899347,1.273985028,3.78904891,1.865567803,3.26692009,2.915603638,0.513926804,2.473396301,0.553015709,2.579713106,0.528547585,4.462061882,0.77232188,0.56271112,0.409159094,0.906350136
0.4,18.74577522,28.72536087,14.3248167,27.33477592,7.774245739,14.64912128,6.678281784,16.72005272,3.790789843,3.012012959,7.172707081,15.22124577,9.533807755,13.92908382,10.91763878,9.397248268,16.68610191,10.89333344,27.3622303,12.81551647,22.17647171,10.74687195,19.13190079,10.19929504,11.74934483,23.9686451,11.44392967,22.55609703,13.51701164,18.74373245,19.56128693,4.304541588,27.08522415,3.804519653,26.14818954,3.469730377,29.88134766,5.73742342,4.128635883,10.24639416,26.02637863,15.17875099,23.25224304,17.00074768,17.93698502,19.98356056,5.242141724,28.9049778,4.918935299,24.90065193,5.393504143,27.93306732,4.435585022,5.024209023,2.876554966,3.585006237,1.362957716,1.617487788,0.50525862,0.756367385,11.79879093,7.544464111,17.35830116,12.73170948,12.50319099,11.44427204,6.966773033,11.60164833,5.137457848,22.64864731,7.706518173,20.73933792,7.781592369,6.360773087,13.05620861,7.163873672,17.64618301,11.16888428,11.15577793,13.57556438,7.158168793,13.52497482,4.672786713,22.37083435,6.14803648,17.11061478,4.696871281,5.481542587,13.10639191,5.51747036,12.77618027,7.624685287,9.905150414,12.54370499,4.369392395,12.22811222,2.882796288,15.50888824,3.240984201,17.05888939,2.468054056,3.191275835,2.082420826,2.692894936,1.11256206,1.177033424,0.438941896,0.734355271,5.500870228,3.48212719,7.055577278,5.451463223,6.355899334,5.442790985,1.377274394,5.759688854,0.901225686,6.502883434,1.04281497,9.685112953,2.112311602,1.255808234,2.623183489,4.237533092,2.829317808,7.630366325,5.492480755,4.759073257,4.651957035,1.86936748,4.210125446,1.355624914,7.350343227,1.795665622,8.544111252,2.62530899,1.776738167,3.814512014,1.250014544,3.811301231,1.877272367,3.173580647,2.862846851,0.503412545,2.427539825,0.5381006,2.596338272,0.518700123,4.320147038,0.750004888,0.549154878,0.391808778,0.871215403
0.45,17.02242088,26.20749283,13.08042145,26.43665314,7.323557854,13.76498127,6.267179489,15.83269882,3.586319923,2.858825684,6.812215805,14.51158237,9.127282143,13.287076,10.28996181,9.029828072,15.90246677,10.36952972,26.05274963,12.23202038,20.52120209,9.948512077,18.15831184,9.64496994,11.15758038,22.84586334,10.94203377,21.19824219,12.63994026,17.88194084,18.64473724,4.125773907,25.84771919,3.679007769,24.29068756,3.24086237,28.2914238,5.518226624,3.955750704,9.783419609,24.83665848,14.41085052,21.93645668,16.04512787,17.11969948,19.12245941,5.013933659,27.31268692,4.67436409,23.41674995,5.115426064,26.59510994,4.226524353,4.78707552,2.738109827,3.431058884,1.283716083,1.497478008,0.471663058,0.708993077,11.19091129,7.158508301,16.25670052,11.93476772,11.85832119,10.97502327,6.65680027,10.94498634,4.862098694,20.97181129,7.173196793,19.70173454,7.469424725,6.03775692,12.35158253,6.782444477,16.49603271,10.39604092,10.51691818,12.97492218,6.800105572,12.7759552,4.457120419,20.51906967,5.725651741,16.23052216,4.522451401,5.209590435,12.48392391,5.255932808,12.15732765,7.253664017,9.357124329,11.94388485,4.175672531,11.6552515,2.777172089,14.70704365,3.108869314,16.10156441,2.392744064,3.067431688,1.988250971,2.604254246,1.074850559,1.125141621,0.422509074,0.707718968,5.271366596,3.343129396,6.75908947,5.210464001,6.083369732,5.2039814,1.331028581,5.516458511,0.873567045,6.151417732,0.985692084,9.219415665,2.012848616,1.206849813,2.515463352,4.042509556,2.692211628,7.276532173,5.240970612,4.574308395,4.492712021,1.816220522,4.007689476,1.2945081,7.043262005,1.719897509,8.164263725,2.539206505,1.711969495,3.729385138,1.224763632,3.735873938,1.830116749,3.050900936,2.784499884,0.490163624,2.400243998,0.534714401,2.549681664,0.509782374,4.208631039,0.737227082,0.540204167,0.386450171,0.867648184
