abs_diff_of_means,data,conv1,conv1x,pool1,norm1,reduction2,reduction2x,conv2,conv2x,norm2,pool2,icp1_reduction1,icp1_reduction1x,icp1_reduction2,icp1_reduction2x,icp1_pool,icp1_out0,icp1_out0x,icp1_out1,icp1_out1x,icp1_out2,icp1_out2x,icp1_out3,icp1_out3x,icp2_in,icp2_reduction1,icp2_reduction1x,icp2_reduction2,icp2_reduction2x,icp2_pool,icp2_out0,icp2_out0x,icp2_out1,icp2_out1x,icp2_out2,icp2_out2x,icp2_out3,icp2_out3x,icp2_out,icp3_in,icp3_reduction1,icp3_reduction1x,icp3_reduction2,icp3_reduction2x,icp3_pool,icp3_out0,icp3_out0x,icp3_out1,icp3_out1x,icp3_out2,icp3_out2x,icp3_out3,icp3_out3x,icp3_out,cls1_pool,cls1_reduction,cls1_reductionx,cls1_fc1,cls1_fc1x,cls1_fc2,icp4_reduction1,icp4_reduction1x,icp4_reduction2,icp4_reduction2x,icp4_pool,icp4_out0,icp4_out0x,icp4_out1,icp4_out1x,icp4_out2,icp4_out2x,icp4_out3,icp4_out3x,icp4_out,icp5_reduction1,icp5_reduction1x,icp5_reduction2,icp5_reduction2x,icp5_pool,icp5_out0,icp5_out0x,icp5_out1,icp5_out1x,icp5_out2,icp5_out2x,icp5_out3,icp5_out3x,icp5_out,icp6_reduction1,icp6_reduction1x,icp6_reduction2,icp6_reduction2x,icp6_pool,icp6_out0,icp6_out0x,icp6_out1,icp6_out1x,icp6_out2,icp6_out2x,icp6_out3,icp6_out3x,icp6_out,cls2_pool,cls2_reduction,cls2_reductionx,cls2_fc1,cls2_fc1x,cls2_fc2,icp7_reduction1,icp7_reduction1x,icp7_reduction2,icp7_reduction2x,icp7_pool,icp7_out0,icp7_out0x,icp7_out1,icp7_out1x,icp7_out2,icp7_out2x,icp7_out3,icp7_out3x,icp7_out,icp8_in,icp8_reduction1,icp8_reduction1x,icp8_reduction2,icp8_reduction2x,icp8_pool,icp8_out0,icp8_out0x,icp8_out1,icp8_out1x,icp8_out2,icp8_out2x,icp8_out3,icp8_out3x,icp8_out,icp9_reduction1,icp9_reduction1x,icp9_reduction2,icp9_reduction2x,icp9_pool,icp9_out0,icp9_out0x,icp9_out1,icp9_out1x,icp9_out2,icp9_out2x,icp9_out3,icp9_out3x,icp9_out,cls3_pool,cls3_fc
0,91.12211609,76.14771271,37.84450912,64.17740631,16.79413795,29.39552307,15.52822113,35.09834671,8.837287903,6.128897667,13.14886475,28.11746597,17.69195175,17.55946732,13.29193974,18.65351105,29.97303581,19.59696388,55.19036865,23.32413483,26.77742004,12.44871521,35.82115555,19.90662766,20.60565567,39.83031082,16.01384354,31.44526672,14.88279533,32.6967659,38.09981537,6.166863441,43.01319122,4.431091785,32.38954544,2.941376925,53.8424263,9.608304024,5.286307335,12.37967777,32.99253464,18.23006821,30.11669731,20.56778717,19.33948708,28.276371,7.327798843,34.74687958,3.190815687,28.35236549,5.497629166,35.28208923,7.681754589,5.519819736,3.658270359,5.505562305,0.924246371,1.849342942,0.471144259,0.716842532,12.81489468,7.77636528,16.56671906,12.77242279,10.53796005,15.46279144,8.439058304,12.78952503,6.030682087,19.91896057,6.44406271,20.4455452,8.417245865,7.133285999,14.04947186,6.790140152,16.61996841,9.796010971,9.551476479,16.16888618,6.716737747,13.90797901,4.737334251,16.20802307,6.425372124,16.98883438,5.395190239,5.525419235,13.21495628,4.718110085,11.17599678,5.206786633,7.838932037,13.32336617,3.102406979,14.70963573,1.960060835,10.76333332,2.21750164,13.93642616,1.332622766,2.157533169,1.621024728,2.26205802,0.62175554,0.822044134,0.517797887,0.777333677,4.135222912,2.851516485,5.280879021,3.946901798,3.442564249,4.339528084,1.052795529,4.601001263,0.936696529,4.226613998,1.04252243,6.703591347,1.654382467,1.099112511,1.660500646,2.904424191,2.017367125,4.764872551,2.952514887,2.310971498,3.158833504,1.342583895,3.090787888,0.873679399,4.309930801,0.896278858,4.672302246,1.947854161,1.186696529,2.42612052,0.793604791,2.555467606,1.179783344,1.674470901,1.904066443,0.32166642,1.574851274,0.377058923,2.202215433,0.670288265,2.288633823,0.48687008,0.406666934,0.305216134,0.65192169
0.05,86.78617859,72.92202759,36.25247955,61.82374191,16.5652771,29.1177597,15.31523514,34.75645828,8.74564743,6.0513134,13.02045155,28.00690842,17.60147476,17.4508419,13.10112381,18.58646202,29.5287323,19.21885109,54.78079987,23.11940384,26.99853706,12.53607273,35.49915314,19.79199791,20.4054184,39.68037415,15.90006638,31.53422165,14.86651134,32.43738556,37.54193115,6.10252285,42.97089767,4.383765697,32.41014481,2.924959421,52.99259567,9.412764549,5.220861435,12.27354527,33.10229111,18.30923462,29.90418816,20.32250404,19.19259071,27.91014671,7.349235535,34.62381363,3.232904434,28.15806961,5.46079874,34.64313507,7.571650982,5.527739048,3.657101154,5.500215054,0.922255158,1.804756284,0.452980787,0.690311968,12.85789585,7.813829422,16.54792595,12.77087498,10.59512043,15.42497826,8.410598755,12.86092663,6.05506134,19.96058655,6.439837456,20.42468452,8.368452072,7.128441811,14.10444069,6.813838005,16.61105156,9.760235786,9.583658218,16.16995811,6.676420212,13.92914486,4.762680531,16.22319031,6.491809845,17.08105659,5.422556877,5.539741993,13.26038456,4.753186703,11.19099045,5.231058598,7.888284683,13.28251457,3.081105947,14.77126598,1.991560459,10.76084518,2.281088114,14.04978848,1.32876575,2.177437782,1.642016172,2.285722256,0.628368974,0.806022644,0.506574214,0.741526425,4.18359375,2.888460875,5.332103729,3.972706795,3.494487524,4.32287693,1.056727529,4.674113274,0.957832217,4.22221899,1.02838099,6.724066257,1.673255444,1.109182358,1.687964559,2.958577156,2.062502623,4.761786938,2.960000992,2.348906517,3.187752247,1.364827037,3.19076252,0.89728725,4.289428711,0.916236281,4.627027512,1.926259279,1.202364802,2.471539736,0.818812251,2.585888624,1.209485292,1.70650363,1.901674032,0.321840495,1.609928966,0.384368688,2.261599779,0.69619453,2.323557138,0.49827522,0.414136797,0.305640519,0.632218421
0.1,82.48524475,69.307724,34.47234726,58.88581085,16.32303619,28.92543793,15.17278767,34.64382172,8.707978249,6.016172886,12.99625778,28.04539108,17.57403564,17.53403091,13.12782383,18.65195847,29.35100365,19.01182365,54.53523636,22.97847557,27.63988495,12.79915714,35.78414154,19.91341972,20.33130264,39.75281906,15.87393951,32.0122261,15.07718468,32.43839264,37.19071198,6.06247282,43.11879349,4.35811615,32.98583984,2.940363884,52.79028702,9.318349838,5.190419674,12.2606411,33.40991592,18.48546028,29.53302193,19.9306488,19.2167511,27.80504036,7.379354477,34.84044647,3.297114611,27.8204689,5.378349781,34.53889084,7.567378521,5.55685997,3.676185608,5.493916035,0.921374023,1.756706834,0.439425409,0.665707946,12.90576458,7.853995323,16.58763695,12.80210876,10.69601631,15.43037415,8.417024612,12.92012787,6.076673508,20.02095222,6.426051617,20.55807495,8.388525963,7.140669823,14.19283104,6.848391056,16.5078907,9.645042419,9.64925766,16.23242378,6.661637783,13.94754982,4.764921665,16.15867615,6.514911175,17.28961754,5.444717884,5.54283905,13.30450439,4.782091141,11.18276405,5.225898743,7.926617622,13.29428291,3.078752041,14.69256115,2.013693571,10.69089222,2.326804399,14.19284821,1.331377268,2.194869518,1.655602694,2.31180644,0.631488383,0.78961581,0.497575283,0.717882454,4.230723858,2.926297903,5.36158371,3.976135969,3.535965443,4.312848568,1.06918776,4.764070511,0.975750506,4.215791225,1.014126182,6.735916615,1.69102633,1.120447755,1.71004951,3.005611897,2.104547262,4.772522449,2.962754011,2.370782614,3.20335722,1.379021287,3.305680752,0.924868345,4.276186466,0.940720677,4.617944717,1.916531444,1.219612241,2.499977589,0.834428012,2.618579626,1.232770443,1.735364199,1.911372423,0.326937467,1.628770947,0.387685776,2.265822649,0.701634765,2.356109381,0.511036158,0.419566959,0.303789377,0.615420103
0.15,77.82164001,65.36058044,32.54398346,55.73176575,16.01145744,28.65572166,14.9997673,34.57534409,8.681856155,5.989995003,12.99346828,28.198452,17.58575821,17.92828178,13.40569973,18.79682922,29.28097153,18.85536575,54.34002686,22.8417778,29.1070385,13.43932819,36.40503311,20.12961388,20.33084488,40.065979,15.92775154,33.00878143,15.55534267,32.61091995,36.89291382,6.032536507,43.49016953,4.339761734,34.34934235,3.017713547,52.97402573,9.227343559,5.17843771,12.32843304,34.05038452,18.8418026,29.1194191,19.45850372,19.45924568,27.86394882,7.441616535,35.4732399,3.410350084,27.49536705,5.295320034,34.87191772,7.657356262,5.629664898,3.725538254,5.537709713,0.929550946,1.72344327,0.428938091,0.632624865,13.04863071,7.951313496,16.83003235,12.98438358,10.90924549,15.50393009,8.459319115,13.0398941,6.126392841,20.40841484,6.514068127,20.99987221,8.52970314,7.20426178,14.44496536,6.96671772,16.47389412,9.567834854,9.82447052,16.42254448,6.695536613,14.16564465,4.834448814,16.24274254,6.619291306,17.73365211,5.544144154,5.611537933,13.49627304,4.882867813,11.35000038,5.331155777,8.081653595,13.40436077,3.110907078,14.76712227,2.07451272,10.87590313,2.453799486,14.60745716,1.351613045,2.252704382,1.702367067,2.375383854,0.642243922,0.790305674,0.498820513,0.707902968,4.360892773,3.021511316,5.456134796,4.030412197,3.654647827,4.365884781,1.097574949,4.979266644,1.019351363,4.262334824,1.013204932,6.881603241,1.74305284,1.153812051,1.768087626,3.139346838,2.214927435,4.895522594,3.029618263,2.448629379,3.290363789,1.424504638,3.560386181,0.988922417,4.369397163,1.006843686,4.687790394,1.935330033,1.271305442,2.585944176,0.872518122,2.720847607,1.296064615,1.819605708,1.954632759,0.337921798,1.69410634,0.40561524,2.327536106,0.712574482,2.445323944,0.534892261,0.434758842,0.307459533,0.612222373
0.2,73.15772247,61.4401474,30.61185455,52.63576126,15.64380169,28.25184441,14.79253864,34.62106705,8.693634987,5.993211269,13.04083443,28.51851082,17.66496849,18.79311752,14.10564041,19.13811302,29.44417381,18.83670807,54.30464935,22.77386284,31.60307503,14.53400612,37.57365036,20.55942535,20.48283768,40.76486206,16.1388588,34.67798615,16.36470032,33.14202881,36.8442421,6.034944534,44.27484131,4.351338387,36.57926559,3.158163548,53.97426987,9.186136246,5.206302166,12.53525543,35.10085678,19.40970421,28.76529312,18.92662621,20.03738022,28.28150558,7.569617271,36.7085495,3.575130463,27.17038918,5.264169693,36.01358795,7.813527107,5.761212349,3.811053276,5.668527126,0.947173655,1.74220705,0.428226054,0.602110445,13.33275414,8.13428688,17.35595512,13.34859943,11.26399803,15.69381905,8.555135727,13.22180939,6.205118179,21.1510334,6.701318264,21.8507309,8.787211418,7.324278355,14.87263966,7.179549694,16.57400703,9.589217186,10.09354305,16.77193642,6.78932476,14.60468864,4.992734432,16.43386078,6.795833588,18.35295677,5.715080261,5.757562637,13.82726765,5.049272537,11.78279686,5.617895126,8.385975838,13.61807728,3.196497679,14.99440956,2.180037498,11.41185188,2.655831814,15.35851765,1.394761324,2.358133316,1.792075515,2.493133307,0.658798695,0.802891731,0.505807757,0.709306538,4.579988956,3.178980827,5.589652061,4.120172501,3.854430676,4.512744427,1.144173741,5.320813179,1.085011959,4.380790234,1.01548624,7.19919157,1.829827547,1.207104445,1.866836071,3.354405165,2.385847569,5.113430023,3.181256771,2.583253622,3.456610918,1.503454447,3.954461575,1.096372366,4.549605846,1.104912996,4.836490631,1.972060204,1.357665896,2.70902729,0.927491903,2.9009974,1.405367136,1.968207121,2.041889906,0.359195203,1.792504907,0.436873555,2.447559834,0.731596947,2.57729435,0.557622373,0.459678531,0.321314245,0.627164543
0.25,68.48290253,57.5038147,28.68279839,49.62065887,15.20216465,27.66570091,14.53948593,34.81246948,8.755599022,6.026583672,13.16689587,29.22840309,17.96703339,20.4012394,15.46616554,19.85550499,30.05477142,19.16436768,54.94705582,23.00875854,35.64011002,16.23816109,39.9598999,21.70359612,21.03825951,42.54402161,16.74815178,38.05896378,17.96691895,34.66897583,37.50214386,6.108491421,46.17863846,4.442314148,40.91204071,3.447556734,57.22726059,9.353582382,5.342493057,13.05527973,37.22532272,20.5812664,28.81595612,18.59450722,21.28302383,29.42515945,7.81927681,39.16041946,3.89073801,26.96303558,5.230529785,38.80280685,8.122526169,6.018522263,3.981574297,6.064173222,1.018937945,1.896320105,0.452251256,0.624892294,13.96354103,8.559102058,18.31354713,13.94954586,11.88601398,16.0866909,8.772839546,13.74199963,6.427185059,22.40431976,7.06772089,23.59751511,9.371985435,7.608366013,15.75152874,7.646605015,17.04289436,9.837943077,10.63594627,17.47892952,7.022043705,15.66084003,5.346665859,16.89073372,7.136663437,19.57074928,6.061132908,6.07856226,14.53732872,5.338097572,12.66077614,6.191302776,9.004858971,14.13996029,3.364208698,15.639328,2.341942549,12.34165859,2.862923384,16.86922836,1.475299001,2.516890764,1.918275476,2.686099768,0.685428381,0.835393727,0.531175554,0.734506488,4.875628471,3.385073423,5.731852055,4.229691505,4.15950346,4.773995876,1.214647055,5.764097691,1.156116605,4.549899578,1.028302073,7.780186176,1.953705907,1.277169704,1.995800734,3.648167133,2.627293825,5.477528572,3.45100069,2.755055904,3.694144726,1.611694336,4.516989231,1.263891101,4.804831505,1.218624592,5.169812679,2.086987019,1.490572453,2.893985271,1.001712322,3.197304487,1.580050468,2.199489117,2.206535816,0.39297694,1.936493516,0.474257171,2.667393923,0.752064705,2.787895918,0.588858843,0.492827177,0.343391687,0.648195326
0.3,64.18122864,53.88746262,26.91563606,46.87306595,14.69484901,27.02311707,14.22350407,34.48477173,8.715573311,5.961554527,13.12384605,30.04562187,18.39238167,22.59281158,17.31117821,20.51678467,30.64531898,19.47566223,56.43980026,23.63081741,40.86367416,18.41440201,42.61112213,23.11516953,21.87555885,44.94625854,17.65214729,43.27933121,20.58649445,36.97624207,38.31767273,6.275165558,48.86436462,4.565368652,48.45010376,4.013059616,61.86543274,9.743170738,5.601228237,13.83635998,39.89782715,22.14176369,30.4263401,19.16695023,23.12380219,31.14543724,8.099074364,43.38737869,4.391361713,28.13161278,5.27756834,43.13909912,8.629551888,6.394606113,4.293590069,6.773641586,1.081716418,1.918556929,0.46044609,0.637151062,15.03854465,9.243173599,19.67584419,14.72630882,13.10957718,16.85242653,9.224370956,14.90080166,6.923930645,24.21794128,7.696399212,26.99069786,10.44386196,8.179359436,17.34604263,8.527257919,18.18338203,10.49331856,11.89236641,18.71785164,7.512748241,17.78621864,5.938177586,18.286129,7.901810646,22.30955696,6.828287601,6.688547611,16.01402283,5.850441933,14.40467167,7.352630138,10.16579723,15.35348129,3.585761309,17.20764351,2.63204217,14.57188988,3.257763863,19.74075127,1.575760245,2.782149792,2.155260324,3.137305021,0.772960901,1.011567116,0.651389241,0.915403068,5.324802399,3.71006012,6.086921692,4.545884609,4.684737206,5.219981194,1.316415906,6.410114288,1.273614645,5.083294392,1.090127826,8.759437561,2.171719551,1.396727324,2.229366779,4.115188599,2.981037617,5.941224575,3.809810162,3.12039113,4.135204792,1.825424552,5.280019283,1.479602337,5.05466795,1.312924743,6.12986517,2.490514755,1.715890288,3.20814395,1.141652703,3.59412694,1.807067871,2.545339108,2.527529001,0.449785203,2.21463728,0.559836626,2.879611254,0.77765274,3.116300821,0.664364815,0.558858812,0.411909908,0.791578591
0.35,59.50986481,49.96593857,24.99230194,43.59060287,13.92434883,25.57538033,13.35931778,32.18931198,8.238393784,5.617938042,12.13081741,26.97134972,16.52404785,20.03426552,15.17518997,18.25853157,27.95960808,17.72961617,49.79690552,20.84902191,35.45608139,16.24679565,38.37525558,20.53987503,19.45519829,40.03355789,15.75182629,36.91082001,17.56809807,32.45969772,35.04197311,5.898191929,43.98878479,4.197360039,40.37939453,3.376828432,53.4281311,8.597200394,5.073453903,12.54105949,35.90464401,19.90409851,27.51842308,17.87146378,20.48197365,28.31232643,7.547113419,37.8457756,3.852399111,26.05773926,5.005934715,37.27380371,8.002885818,5.864868641,3.942422867,6.122131824,0.999206364,1.891844869,0.45903337,0.637975574,13.5807457,8.307375908,18.03676414,13.65936565,11.66347504,15.66408348,8.55095005,13.41313839,6.303536415,22.05640221,6.987522602,23.18188286,9.03669548,7.432988167,15.44473743,7.472628117,16.49835396,9.498140335,10.48446751,17.07677841,6.78685236,15.50258446,5.331988811,16.4657402,6.82232666,19.00211334,5.733528614,5.932191372,14.11105919,5.209100246,12.47460079,6.050929546,8.802624702,13.66001701,3.236118793,15.0903616,2.300001621,12.26957893,2.898038864,16.73228836,1.378237009,2.45933485,1.899037838,2.626554966,0.673702419,0.816329062,0.520755887,0.727609217,4.733224392,3.266531944,5.518722057,4.030978203,4.068067551,4.651978016,1.195019245,5.554567337,1.114825726,4.389113903,0.996162891,7.570341587,1.876431704,1.23841691,1.9289819,3.48790884,2.49922967,5.24707365,3.298983812,2.660372019,3.539753437,1.545660377,4.242721081,1.194541693,4.650891304,1.171482921,4.826159,1.927993298,1.411865473,2.814265728,0.970968723,3.073408365,1.490965605,2.074114561,2.104484558,0.379539281,1.906824231,0.466994673,2.477225542,0.709182799,2.644639254,0.559643447,0.47605288,0.33141169,0.666111469
0.4,54.8376503,46.03370285,23.06170273,40.18996048,13.13003254,24.3080864,12.74950409,30.63884544,7.892207623,5.407154083,11.52856159,25.09824944,15.33842754,18.7980938,14.08477402,16.63689232,26.47542381,16.67916679,45.99863052,19.25761414,32.71056747,15.11811829,35.07003021,18.53936958,18.00574303,36.91294098,14.60905647,33.5774231,16.02699089,29.69124222,32.67818451,5.624176502,40.9990387,3.928893328,36.35620499,3.071464777,47.7809906,7.881516457,4.736484051,11.71387672,33.07127762,18.37314224,26.44641876,17.44078636,19.02526665,26.39491081,7.018481731,34.72624969,3.45507431,25.16762543,4.765642643,34.15980148,7.649539471,5.438529491,3.639047384,5.57306385,0.917942107,1.773443222,0.442129791,0.652995229,12.52671146,7.633110046,16.34794617,12.3925848,10.79497433,14.65102386,7.968762875,12.47253418,5.913443565,19.78159714,6.247310162,20.97781563,8.139489174,6.875733852,14.09591484,6.778878212,15.3307209,8.752623558,9.630345345,15.90505028,6.29657793,13.99020958,4.867154121,15.24714756,6.145742416,17.20129013,5.246109962,5.431695461,12.95527172,4.792517185,11.33325958,5.433725834,7.99008131,12.56987953,2.959422588,13.86269188,2.1199224,11.13238144,2.725188971,14.78654766,1.277334213,2.269233465,1.769006371,2.429693222,0.632348835,0.791983783,0.50068444,0.723338366,4.353980064,2.999807358,5.163405418,3.736408234,3.720198154,4.288579464,1.102290034,5.036363602,1.031662107,4.031070709,0.922036648,6.923276424,1.732563853,1.144364119,1.770775676,3.169992685,2.26061821,4.810484409,3.000590086,2.443786144,3.244368315,1.423216581,3.776803732,1.056517482,4.368170261,1.063060045,4.372698307,1.738264441,1.275238872,2.624661922,0.907444,2.779800415,1.322697163,1.844877601,1.929029822,0.346404135,1.803644896,0.446910053,2.241894484,0.668717742,2.38412714,0.498119563,0.443347901,0.31221661,0.656871974
0.45,50.17947388,42.09954071,21.1370182,36.76613998,12.27357101,23.37828255,12.43239784,29.77005005,7.674608707,5.276199341,11.17591953,23.81417656,14.53723717,18.42755318,13.71670437,15.72112846,25.52198219,15.99146843,43.41011047,18.15440369,31.86284828,14.74340534,33.0585289,17.4800148,17.10297775,34.82433319,13.82609749,31.72599792,15.22122955,28.06310844,31.02970505,5.391942978,38.72064209,3.755955696,34.31055832,2.915504932,44.88831711,7.575576305,4.533417702,11.19948959,31.22331047,17.35038376,25.55329323,16.89103127,18.14671516,25.12277031,6.602407932,32.6276474,3.192223549,24.19639969,4.622879505,32.2828064,7.297091961,5.118273258,3.400157928,5.223257065,0.885389805,1.762190104,0.443684697,0.690903187,11.7956028,7.167831898,15.10636711,11.41700459,10.16535091,13.80733109,7.482025146,11.84603214,5.648777962,18.077528,5.747601509,19.47899055,7.590898037,6.476762295,13.21424198,6.349292278,14.62856293,8.338850021,9.041280746,15.00324726,5.955178261,13.0903883,4.607579231,14.38748741,5.732508659,15.91415119,4.941203594,5.126788616,12.25896358,4.585382938,10.7090416,5.126327038,7.517372608,11.73014641,2.743986607,13.34971809,2.060818672,10.66346836,2.645696878,13.66034698,1.227051616,2.175562859,1.721766949,2.337883234,0.612052023,0.8318277,0.515324354,0.754516363,4.152594566,2.850818157,4.977487564,3.593366385,3.54429388,4.13032198,1.034288168,4.720798969,0.987593234,3.885413885,0.900318444,6.628011703,1.6560812,1.091378927,1.684432507,2.987551928,2.12641716,4.604029179,2.873057127,2.347205162,3.113633156,1.370684862,3.431355,0.964523852,4.296924591,1.01211369,4.132069588,1.651482582,1.202504516,2.506621838,0.866308689,2.650347948,1.259548426,1.720735669,1.813669443,0.31799522,1.76669395,0.438619226,2.248916626,0.672563136,2.205318689,0.457644403,0.425004721,0.311466962,0.682262838
