abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,190.1438141,93.70475006,45.84514999,228.0238037,162.0059204,199.5033875,483.9474792,217.599762,505.7497559,187.1649017,290.3984985,634.6760864,262.0545959,662.7819824,266.5105591,606.590271,429.9180908,1005.593506,590.4206543,903.5076294,1841.641235,847.1108398,1916.434448,476.135437,1271.314453,227.9208374,697.8496704,44.07638931,96.14064789,321.3808899,61.79600906,201.0916901,23.95904922,108.8554306,7.795953274,67.46705627,0.568748415,0.833508968,7.910681248,2.942942858,3.190754175,0.517259896,1.161729097
0.05,180.7988434,89.16753387,43.82081604,216.6936035,152.9195404,189.4352722,457.3881531,199.3425903,451.6715698,163.0697784,257.2723083,568.3879395,231.5563202,598.4397583,232.1346588,525.1612549,367.046875,849.5460815,509.7667542,761.9537354,1505.603027,677.3102417,1605.765259,375.1950073,1004.275818,175.4342346,517.2984619,34.79009247,76.98472595,228.2374268,43.8082695,137.7077332,18.59426689,74.93515778,6.338427544,46.11539459,0.520672858,0.754856408,6.511879444,2.36262393,2.825488091,0.451373667,1.079489589
0.1,171.3682709,84.39011383,41.74684906,204.84021,144.31073,179.4722595,433.0305176,185.6486816,417.0889282,146.3194122,235.0855713,521.0834961,212.0579224,546.4840698,208.8960419,479.4924622,334.2661438,776.975769,458.2515259,682.4466553,1339.032471,606.460083,1461.156616,336.8786621,914.3391113,157.3724365,475.5794067,31.8312149,70.18356323,204.1502686,39.58254623,124.6725311,16.91305161,68.23464966,5.702963829,42.36230469,0.46816802,0.67501229,6.080123425,2.163699627,2.667261839,0.382025212,0.859960735
0.15,162.0293579,79.95137024,39.71045303,194.6571045,136.5609589,170.8266144,410.3722229,174.9684296,389.5622559,133.8940125,218.4130096,485.8948364,197.6847229,507.9083252,193.365097,449.9278564,314.0836487,732.081543,428.0906372,636.7593384,1245.513916,566.7111816,1373.134277,315.1343384,861.6596069,146.894577,447.4326782,29.87887955,65.83722687,189.9966125,36.94691849,116.3398666,15.77423477,63.80537415,5.329351902,40.28989792,0.440896779,0.634876609,5.768660069,2.028189182,2.54116416,0.344902933,0.761603594
0.2,151.8144073,74.79108429,37.39080429,183.6484222,128.9281921,161.0984192,384.119812,163.5672455,360.5302124,121.7734985,200.878952,447.8601685,182.4087219,466.4499512,177.4455109,418.9502563,292.9718933,686.7861328,396.9780884,588.9812012,1147.441772,524.4122314,1274.282715,292.2027283,801.9005127,136.3578796,411.556488,27.71079826,61.03713989,173.7866974,33.97792816,105.0183563,14.49023724,57.74903488,4.912188053,36.94523621,0.412901521,0.597837865,5.427181721,1.894880652,2.394402742,0.315601468,0.703865111
0.25,142.401062,70.2474823,35.37512589,173.7375793,121.6760788,152.5825653,362.5037537,155.8327637,339.3580933,113.4532623,188.4654388,421.2449341,171.8508301,438.1461182,167.2095795,398.4759216,279.4792786,655.9046021,377.4864502,559.4807129,1087.428223,498.4552002,1210.127075,277.4909058,761.5083618,129.5363922,390.8429565,26.26982117,57.93597031,164.8674774,32.13985825,99.44778442,13.65140343,54.79578781,4.6559515,35.83099365,0.394948095,0.571877003,5.21252346,1.810769081,2.306302309,0.297968239,0.662900507
0.3,132.9924469,65.61237335,33.17205811,164.4253235,114.9642258,144.2668457,340.6228027,148.8409119,320.4952698,106.4045792,177.2334595,395.7351074,161.7581177,411.2971802,157.9602661,379.5506897,267.3615112,627.0844727,359.1031189,532.4547729,1031.908325,474.2741699,1149.067017,263.4780579,724.4559937,122.9989929,373.5989685,24.89107895,55.02536011,157.2832489,30.45142174,94.84237671,12.85185814,52.26637268,4.412745476,34.98042297,0.376580209,0.547370255,5.00874424,1.730073929,2.228845835,0.281367749,0.625103891
0.35,123.6394806,60.88883209,31.10065842,156.6390533,109.2513962,136.7763824,320.8067322,143.2812958,304.8913879,101.4577103,168.6094208,374.1816711,153.3233337,388.8928528,150.4342804,363.6196899,257.4554749,602.3973389,343.9645996,510.4516907,986.5162354,454.7720337,1097.895386,251.6430206,693.1173706,117.4509811,361.2652588,23.71492767,52.56876755,151.5705261,29.10133743,92.02256012,12.2249527,50.9261055,4.220168114,34.74564362,0.360705048,0.52575624,4.836710453,1.663644433,2.166984081,0.26653257,0.589703798
0.4,114.2380676,56.27560043,28.95273399,148.054245,103.1301804,129.0907135,301.0947571,138.4722137,289.6106567,96.74317169,160.0358582,352.8530884,145.10672,366.9334717,143.0935211,347.5785522,247.5001221,578.1806641,328.3065491,487.6489258,939.1658936,434.5053711,1044.458862,239.5783081,661.0861206,111.9006424,348.140625,22.5427475,50.06586838,145.3777771,27.7585907,88.84121704,11.60301495,49.24784088,4.019091129,34.07366562,0.343823254,0.502307117,4.636960506,1.588623405,2.095532894,0.250866085,0.555591881
0.45,104.8322296,51.64149094,26.87641525,140.2692566,97.53334045,121.8979797,282.4204712,134.235733,274.8330383,92.52067566,151.9563293,332.9421692,137.6238708,346.9011536,136.3106842,332.1130676,237.8735199,555.3278809,313.3181152,465.6366272,892.9443359,414.9371033,991.6444702,227.9198456,629.0965576,106.6280975,335.2018127,21.40602112,47.58668137,138.9890442,26.42968178,85.44176483,11.00201893,47.42838669,3.811748028,33.1146431,0.327585369,0.478696704,4.44345808,1.516178131,2.021720171,0.236180961,0.524336457
0.5,95.51345062,47.12008667,24.86198997,132.9788818,93.36200714,115.8711319,264.9198608,130.3622284,261.1593933,88.91265106,144.6399536,314.7599792,131.0983429,329.3738708,130.4467468,318.2082214,229.0745239,536.0559082,299.9042664,445.6547241,850.4755249,397.3295593,943.8474121,217.2935333,599.5932617,101.9571075,322.23349,20.38906479,45.32897186,132.6600952,25.15307617,81.77720642,10.436903,45.58334732,3.612244844,32.08304214,0.312864542,0.457227498,4.253009796,1.445322037,1.946997523,0.222898036,0.495602965
0.55,85.29567719,41.99299622,22.54217911,124.5524368,87.55931091,107.989563,244.39888,124.5382462,244.3428802,84.08054352,135.4451904,292.7680664,123.1642303,308.1145935,123.5014648,301.1112061,218.4147339,511.1861877,284.2187195,422.5949097,801.2296143,377.0136414,889.4036865,205.3655548,567.5485229,96.78736877,308.2234497,19.32660484,42.95954132,125.3133545,23.80792046,77.95626831,9.809882164,43.2605629,3.377357006,30.71068764,0.293070048,0.428315103,3.982756615,1.346967101,1.838125587,0.203695387,0.458982676
0.6,75.90361786,37.41249466,20.28539085,114.195076,80.48500061,99.02523041,222.121048,115.704071,224.9140625,78.2822876,125.2989883,268.9596252,113.8761749,283.8440857,114.8724518,280.5453186,204.7664185,477.8131104,264.8052979,393.9500122,745.4014893,352.0817566,827.4993896,191.2100067,530.72052,90.30169678,292.6834412,18.00824356,39.99661255,118.1606979,22.27319336,73.98825073,9.131177902,40.82101059,3.137334824,29.1249752,0.273319215,0.399748266,3.727198362,1.2545892,1.72913897,0.185552061,0.425454497
0.65,66.50259399,32.82895279,17.79960632,101.0416946,71.87651825,88.24073029,195.8513184,103.2731018,200.4994812,70.21112061,112.299469,239.9339905,101.9706039,253.3863373,103.4540253,253.9476318,186.6535645,430.9441223,239.1070099,356.7985535,676.1376953,319.6068115,750.135376,172.757019,484.3226318,81.3898468,273.4270935,16.14880562,35.92899323,109.4883804,20.24450302,69.1227951,8.260983467,37.82080078,2.839385271,26.97097397,0.245616317,0.360029012,3.371132135,1.128066897,1.569773197,0.161372274,0.380921155
0.7,57.1184845,28.17033005,15.37900543,88.0069046,62.96496964,77.3001709,169.7078247,90.30667114,175.7301025,61.99155426,99.02359009,210.3272095,89.71183777,221.9020844,91.30237579,225.2602692,166.4940186,381.0816345,211.3348389,316.1600647,599.7788086,284.0602417,666.1422119,152.8675995,432.8098145,71.89723969,248.9103546,14.22123146,31.64519119,98.76650238,17.96279144,62.47454834,7.308229923,34.03725052,2.504836798,24.14109993,0.215204164,0.315226704,2.96370697,0.984374166,1.380403638,0.136338755,0.337435693
0.75,47.70356369,23.50059319,12.82153702,73.51873779,53.09852219,64.84257507,141.7647247,76.11447906,148.3491364,52.30597305,83.58374786,176.8595123,75.79302216,186.8360748,77.77854156,192.6719971,143.4114685,325.3341064,180.7161407,271.0003052,514.3609619,243.7022095,570.8632813,130.77388,373.1249084,61.52204132,217.7627106,12.11990547,26.99850082,86.10941315,15.46710587,54.7133522,6.258528709,29.54252052,2.131583929,20.74565697,0.178177729,0.26065135,2.459377766,0.812537193,1.143433571,0.108725227,0.284832031
0.8,38.32774734,18.87779999,10.3572855,59.27297592,42.91554642,52.62313843,114.7085876,61.89159012,120.7028198,42.51829529,68.11600494,144.0869141,61.97525787,152.504425,63.89041519,158.828537,118.8404388,266.914093,148.6135101,223.4833984,424.9501038,201.5603943,471.8317871,107.5772781,309.8462524,50.55360031,183.5619965,9.915090561,22.10794258,72.01302338,12.71833134,45.97687149,5.146332264,24.894207,1.740979195,17.27066422,0.142456055,0.20729506,1.988300085,0.652046978,0.922536075,0.084046841,0.2300504
0.85,28.91121292,14.19336224,7.811112404,44.70133209,32.67121124,39.89958191,86.5345993,46.79819489,91.51446533,32.22621918,51.62859726,108.9118118,47.12617111,115.5976791,48.8243103,121.8952484,91.57910156,204.6220093,113.4079819,170.9993896,325.5868225,154.6485138,362.1345215,82.29208374,239.5048981,38.55582428,142.9081879,7.503284454,16.73138809,55.38788986,9.645963669,35.41576767,3.905880928,19.18437576,1.308718204,13.10317802,0.104967304,0.152699485,1.486606836,0.486175418,0.688142478,0.0609212,0.17217505
0.9,18.76026344,9.252567291,5.092412949,29.07014847,21.37410545,26.09875679,56.35349655,30.51428795,59.82796478,21.08091927,33.81540298,71.37028503,31.00990486,75.91677094,32.10208893,80.45623779,60.51029205,134.7819519,74.24084473,112.1840286,213.9202881,101.8524323,238.5833435,53.99155807,158.5919342,25.23487282,95.13067627,4.872674465,10.87025928,36.34558868,6.268101215,23.34882927,2.550198078,12.77232742,0.84679991,8.591783524,0.067111857,0.097011499,0.958827198,0.312772185,0.44473359,0.038298793,0.11166542
0.95,9.353515625,4.610620499,2.55368042,14.50480843,10.68407345,13.03833771,27.99926567,15.20103264,29.92723083,10.58521271,16.90994263,35.5494957,15.50392628,37.83045578,16.08562469,40.40996552,30.47790718,67.81643677,37.21660614,56.3170433,106.9496765,51.03455734,119.414711,27.14956856,79.85298157,12.70864582,48.1889267,2.447157621,5.464450359,18.31246567,3.139541388,11.74997234,1.279374361,6.407007217,0.420279652,4.25590992,0.033028271,0.047912531,0.4748106,0.154648528,0.220742583,0.01870585,0.055828746
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
