abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,50.09910965,48.49441147,24.33299255,156.3100739,97.44277954,127.183197,353.2524414,152.2735138,390.4692383,136.0428619,219.7493591,446.5464783,179.7172546,442.693634,176.1625824,405.5583496,283.2199707,666.2446899,385.1564941,572.1359253,1150.825562,518.2027588,1240.931641,298.2158813,785.0679321,145.3882141,452.9260864,29.0674572,63.9619751,182.8056793,35.91107178,97.25390625,14.35185432,52.50610733,4.633324623,29.18668556,0.34869206,0.503066838,3.620463133,1.287736654,1.616520643,0.21570988,0.546261787
0.05,48.26945114,46.6675148,23.45135117,150.7242889,93.8768158,122.8914032,341.3294373,146.9141846,376.3223877,131.1486511,212.2131042,429.0167847,173.0292206,425.6513062,169.0053406,387.0593262,270.5080872,634.8692017,368.5727844,547.1149292,1099.467285,496.0132446,1184.237671,286.263855,742.9577637,139.9497528,431.2814636,28.25617981,62.23925781,177.3248749,34.77848053,94.21946716,13.87858868,51.15644073,4.519948006,28.74959183,0.346047878,0.495850533,3.567270279,1.273409128,1.559750915,0.213222593,0.533622861
0.1,45.88402939,44.37850952,22.35884666,143.234314,89.0213623,116.2668915,323.5656128,138.9777527,356.7319031,124.545311,201.3266449,403.9855652,163.3236237,399.7663574,158.8771973,362.543457,252.8553467,595.8800049,344.9040222,510.1674805,1027.54126,465.1334229,1107.504517,270.394043,688.6079102,132.2935181,397.478363,26.82589722,58.91512299,165.4208832,32.85249329,86.39680481,13.09307957,47.10174179,4.306448936,26.05316353,0.333497882,0.476263165,3.351519823,1.208143473,1.441699743,0.207780227,0.517631352
0.15,43.27947617,41.86639404,21.17256546,135.2985229,83.90905762,109.2689209,304.536438,130.59375,335.9285583,117.601944,189.9259338,377.7546997,153.2384338,372.7936096,148.4592896,337.3675537,234.8452606,555.9324341,320.848877,472.635437,954.3111572,433.9147949,1029.652954,254.6881714,634.0352173,124.7860336,363.7723694,25.46415138,55.72982025,153.7430115,30.98787308,78.69167328,12.34435368,43.15834808,4.101387024,23.33247757,0.321811527,0.457925588,3.150635481,1.150149584,1.329062343,0.203262016,0.50423038
0.2,40.67500305,39.36849213,19.98205757,127.4025803,78.85286713,102.3857803,285.657135,122.3741226,315.4691162,110.8218689,178.8920135,352.190094,143.4502258,346.6034851,138.4603271,313.1899414,217.683197,517.4607544,298.0090942,437.0713501,884.9250488,404.4344788,955.5858765,239.8947296,582.4741211,117.8045349,332.4358521,24.21317482,52.82735443,143.0950928,29.27511406,71.78488922,11.65961552,39.56311417,3.91850996,20.84375,0.310536951,0.439676017,2.956246614,1.092916727,1.21689415,0.198652551,0.491000921
0.25,38.03411865,36.8391304,18.78005981,119.6542587,73.95021057,95.64566803,266.7754517,114.2704468,295.4114075,104.215126,168.1259918,327.171875,133.9321136,321.0469055,128.8518982,290.1838989,201.3951263,481.2158813,276.4610596,403.4988098,819.5932007,376.9023743,885.9024048,226.3272095,534.7674561,111.4419479,303.2640991,23.08177376,50.19319916,133.2254791,27.68920135,65.35513306,11.04352093,36.25931549,3.755456924,18.49077797,0.300720066,0.423907578,2.786865234,1.044777989,1.116952062,0.195467785,0.481593966
0.3,35.64757919,34.49648285,17.66245651,112.6141968,69.63098145,89.77578735,249.7251282,107.0276642,277.4224854,98.32053375,158.6700745,305.3006592,125.6510468,298.749176,120.6330109,270.5937805,187.6894531,450.5204773,258.565094,375.6921997,765.6044312,354.2870178,828.2398071,215.3526764,495.8790588,106.4007263,279.9929199,22.22500801,48.21047974,125.8297424,26.52179146,60.72286606,10.59908104,33.8763504,3.640441179,16.7639637,0.294004709,0.413370252,2.668954372,1.011894464,1.038298368,0.193448678,0.475476414
0.35,33.03095245,31.98580933,16.46785545,105.3171844,65.19303131,83.67123413,231.8175049,99.5822525,258.6046448,92.20412445,148.8262787,282.5075989,117.031929,275.4411926,112.2301865,250.7623901,173.8964996,419.5184021,240.7397308,348.1102905,711.9017944,332.000824,770.8471069,204.8278503,458.401001,101.6485748,257.8991699,21.44682312,46.41932297,119.0579453,25.43547249,56.6112175,10.21076584,31.75663376,3.534560919,15.2640152,0.288272232,0.404419154,2.574582815,0.987417221,0.972439587,0.192456856,0.471466899
0.4,30.38767624,29.40453911,15.23221397,97.72763824,60.57766724,77.42441559,213.8444672,92.26143646,240.0225067,86.17194366,139.2125854,260.6022034,108.7220993,253.0242157,104.3673248,232.2901459,161.2566223,390.2938843,224.5688324,323.4361877,664.0327148,312.2403564,720.0502319,195.7033997,426.2836304,97.64391327,240.0919952,20.8344593,45.03701401,114.1274414,24.63205719,53.830513,9.924952507,30.29755783,3.456387997,14.24761295,0.282517642,0.395371228,2.49377799,0.965825617,0.917360544,0.19109939,0.465028584
0.45,27.75551987,26.87531853,14.02814865,90.36972046,56.15924454,71.45465851,196.7962952,85.50406647,222.6057129,80.48638916,130.165802,240.2475739,100.9822617,232.1946716,97.22022247,215.8386078,150.1418457,364.2553711,210.4526825,302.1695862,622.6190796,295.2601318,676.3450317,187.8480682,399.9229126,94.22332764,225.973526,20.34367371,43.96371841,110.4758682,23.96448517,51.90626144,9.701200485,29.35276413,3.396198273,13.66116524,0.277571261,0.387668699,2.442882299,0.95490402,0.881607473,0.190698341,0.45710206
