abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.531648636,7.811005116,3.914507389,26.59576225,16.43062019,23.71714973,71.59533691,31.52130318,95.33654785,35.86618042,66.23916626,145.8474426,58.07202148,158.62677,68.18804932,158.0267792,115.0736771,248.488205,123.5489273,201.7071075,422.5121155,219.1231537,495.178894,159.9768066,368.7669067,92.32704926,237.0578918,19.61931992,43.4165535,144.5005188,33.65115356,105.5409088,13.18894958,68.76171875,3.372164726,24.52373695,0.426408112,0.634965539,2.961862087,0.983597219,1.011219501,0.319025069,0.732777596
0.05,7.233099461,7.508947372,3.76915884,25.59667015,15.77858734,22.79193306,68.78979492,30.2438221,91.28414917,34.34106827,63.37763977,138.9213715,55.32404327,150.8459778,64.58092499,149.0046234,108.0240555,234.0410156,116.166832,189.3520813,394.0770569,204.654953,463.2589417,150.364624,342.3355408,85.82511902,212.5803375,18.44341278,40.91823196,134.083786,31.50799179,96.78482056,12.31909847,63.12916565,3.16178298,22.67988396,0.397236258,0.59209615,2.703655243,0.919070005,0.920473218,0.303531021,0.688142955
0.1,6.871014118,7.132543564,3.588804483,24.3119545,14.95061111,21.53722191,64.97962952,28.54339409,86.03486633,32.40908432,59.74232864,129.8379059,51.8044281,140.8431396,60.25377655,138.4111176,100.032608,218.1249237,108.2883682,176.4509277,367.0653687,190.9751892,433.8495789,142.8450928,321.0126648,80.82936859,191.800827,17.518507,38.95737457,125.4859619,29.80605698,89.27227783,11.56596947,57.93188095,2.992684603,20.97484398,0.375583351,0.55982101,2.521140814,0.874864519,0.858246446,0.29290086,0.656979561
0.15,6.475785255,6.721551418,3.392085552,22.92027092,14.0598402,20.18423653,60.87501526,26.72154999,80.43062592,30.34982109,55.86719131,120.1602325,48.06002045,130.1986847,55.67921829,127.2775803,91.67236328,201.4320374,100.1690674,163.2264557,339.3876038,176.9324799,404.0554199,135.2972107,300.8092041,75.86916351,171.4936981,16.57252693,36.94591141,116.8098297,28.06271362,81.46746826,10.78624725,52.46987915,2.815179348,19.1956768,0.353158951,0.526725352,2.34360671,0.832103908,0.798288345,0.282230645,0.627642334
0.2,6.091178894,6.321824551,3.200851202,21.58484077,13.20923805,18.91225815,56.97808075,25.01173401,75.12575531,28.40005493,52.22341537,111.1028976,44.56634521,120.239296,51.39550781,116.8971252,83.87994385,185.8254547,92.70705414,151.197403,313.4382935,163.7150269,376.215332,128.0307465,283.2402344,71.27891541,153.8314667,15.66631413,35.01641464,108.8367767,26.41786003,74.12835693,10.04916859,47.25361633,2.640418291,17.44907188,0.33102113,0.495171487,2.180658817,0.791262209,0.743450999,0.27193749,0.600943565
0.25,5.694295883,5.90942049,3.00344348,20.23176575,12.35591507,17.63290215,53.02545166,23.29548454,69.83085632,26.46347427,48.6113472,102.0890198,41.08686447,110.3444901,47.20588684,106.7880173,76.36240387,170.7026672,85.66400146,139.9760895,289.473938,151.5527802,351.2086182,121.6065216,269.5306396,67.27300262,139.5160675,14.84775066,33.26783371,101.7509155,24.92374039,67.3707962,9.363152504,42.32498932,2.479780912,15.80595016,0.31067729,0.466700464,2.043678522,0.756438494,0.698073387,0.263120055,0.57880336
0.3,5.33129406,5.532756805,2.823253155,19.02622795,11.6092205,16.51528931,49.48427963,21.78072929,65.13796234,24.76181412,45.45077515,94.18640137,38.04479599,101.661911,43.54047775,98.00751495,69.85085297,157.5993042,79.66143799,130.5023193,269.0839844,141.2468109,330.2350464,116.0452805,259.5157776,63.90419388,129.309845,14.14704227,31.76256371,95.86840057,23.62202072,61.51155853,8.76414299,37.90233612,2.332247257,14.30839348,0.29262045,0.441285372,1.928982019,0.726380944,0.660517931,0.255782813,0.562765419
0.35,4.936364174,5.122922421,2.626765013,17.7321682,10.81564808,15.32816982,45.75141525,20.20651245,60.25937653,23.00593948,42.17993546,86.02812195,34.90065384,92.67274475,39.79029846,89.10565186,63.28617859,144.3975525,73.71526337,121.1340866,249.3495941,131.3586578,310.4449158,110.6653366,251.7577515,60.70385361,121.517395,13.45736408,30.2662487,90.25946808,22.3271637,55.71660233,8.164568901,33.37597656,2.177908182,12.75342941,0.274169773,0.415754288,1.822132349,0.69613117,0.624612391,0.248932078,0.554312527
0.4,4.544842243,4.714885712,2.431476831,16.45658112,10.0401516,14.18392754,42.1864624,18.73049164,55.65769577,21.35934448,39.12926865,78.46537018,31.98458481,84.30534363,36.32944107,80.93148041,57.29861069,132.253067,68.35290527,112.8008347,231.6331177,122.4913101,292.6944275,105.5988693,246.1344452,57.83251953,116.7857971,12.82887459,28.90442085,85.51591492,21.14327621,50.68426132,7.62176466,29.27064514,2.03071785,11.26064491,0.257246494,0.392702341,1.726394296,0.66669631,0.592877507,0.24242942,0.548205614
0.45,4.15160656,4.307682514,2.23809123,15.18186378,9.275561333,13.06174755,38.70304871,17.31356049,51.24983215,19.79115677,36.22406006,71.34282684,29.21722984,76.38322449,33.11391068,73.40045166,51.81714249,121.213028,63.54727936,105.4444122,216.1517792,114.804306,277.1182556,100.9738007,242.2468719,55.28300476,114.6917038,12.27613449,27.69128609,81.5447464,20.09199524,46.49171829,7.146517277,25.70771408,1.900083899,9.905749321,0.242957756,0.373283863,1.649375558,0.641913295,0.569262445,0.237242654,0.546450853
0.5,3.788205624,3.930459738,2.056305647,14.00312042,8.575231552,12.0508213,35.58735657,16.05377388,47.34700775,18.39950371,33.64395905,65.21159363,26.81819916,69.52803802,30.36500359,67.05879974,47.21030045,111.9691467,59.56973267,99.35333252,203.4496155,108.4729767,263.7844238,96.84313202,239.081955,53.02997971,114.2334518,11.79555511,26.63355064,78.25205994,19.16824341,43.19390869,6.745822906,22.79373169,1.787254214,8.743836403,0.229827479,0.354735672,1.578693748,0.617736876,0.549044609,0.23203586,0.545175433
0.55,3.395268679,3.524239779,1.852343798,12.70631886,7.797624111,10.94943714,32.21405029,14.69368362,43.15993881,16.89964294,30.87119102,58.91995239,24.3323307,62.53935242,27.59605217,60.81910706,42.68674088,103.04319,55.75273895,93.57952881,191.5686035,102.508728,250.6462708,92.6180954,236.4120636,50.79848099,115.063179,11.31314659,25.56063843,74.98828125,18.2024498,40.13171005,6.335395813,19.89963913,1.673504829,7.574034214,0.215088651,0.333642244,1.497540355,0.589860797,0.527451634,0.224819243,0.538488448
0.6,3.002252102,3.116415501,1.644067049,11.30379963,6.967815399,9.799514771,28.79536438,13.31333447,39.06451416,15.40396595,28.13426208,53.12752151,22.00088692,56.20244598,25.07101059,55.26663208,38.67433167,95.07135773,52.25374222,88.18489075,180.42453,96.83713531,236.9423981,87.88859558,231.0823517,48.23274994,115.046669,10.7518034,24.30213737,71.33512878,17.12105179,37.44682312,5.914971828,17.4554863,1.562485576,6.560974598,0.198673829,0.308781356,1.38983798,0.550289869,0.496914685,0.212112784,0.516690969
0.65,2.609693766,2.710669756,1.432585716,9.862141609,6.111843109,8.621656418,25.31860161,11.88849354,34.87552261,13.84109688,25.28572464,47.38231277,19.67338562,50.02617645,22.62376404,50.15976715,35.05113602,87.81555176,48.88132858,82.79242706,169.5396576,91.18899536,222.6317749,82.71434021,222.7622375,45.34578323,113.5364532,10.10599041,22.83779526,67.14053345,15.88175583,34.90100479,5.451519012,15.25209045,1.440815806,5.624839306,0.179493397,0.279569387,1.247562051,0.497110635,0.455317557,0.193517849,0.482375503
0.7,2.243881464,2.329935074,1.234027267,8.490462303,5.285941601,7.489699841,22.0683918,10.50654602,30.81942368,12.29026222,22.47797012,41.99906158,17.50069427,44.30241394,20.31849098,45.5995636,31.88612366,81.26363373,45.57356262,77.30768585,158.166748,85.19821167,206.9565887,76.94882202,210.0802002,41.93229675,109.3740616,9.34855175,21.11172104,62.04417419,14.43682766,32.27479172,4.928277969,13.35515022,1.307924271,4.793076038,0.15811798,0.247764468,1.075474262,0.43218115,0.404104024,0.169885367,0.430836111
0.75,1.848891854,1.922917724,1.021165967,7.013864994,4.387719154,6.250221729,18.46471214,8.921973228,26.17532539,10.52097893,19.23285103,35.94047928,15.05390072,38.06798935,17.77885437,40.90104675,28.68875885,74.47841644,41.8164978,70.84583282,144.4809113,78.00088501,188.4515686,70.02732086,192.5851593,37.72091675,102.6762466,8.37359333,18.85295296,55.45275497,12.63260174,29.21246719,4.289216518,11.69673252,1.14666152,4.01932478,0.135336459,0.214249015,0.889771461,0.364430517,0.355025172,0.143545657,0.367545187
0.8,1.457768679,1.517894983,0.807876348,5.532898426,3.481249809,4.978076458,14.7643528,7.214824677,21.16101837,8.598308563,15.67241096,29.55786705,12.48429489,31.70219421,15.06381035,35.94889832,25.36542892,66.77758026,37.1899147,62.66418839,126.8082352,68.67069244,164.1117096,60.85152435,166.5241089,32.30344009,91.4546814,7.146952152,15.9965992,47.38977814,10.54421902,25.64348221,3.57019949,10.2869091,0.968806386,3.365294695,0.117761381,0.187572241,0.736279309,0.310597062,0.319222987,0.119975209,0.305379212
0.85,1.06540978,1.112726212,0.593908012,4.04543066,2.557948589,3.673042536,10.93554592,5.404329777,15.88638783,6.564858437,11.88895226,22.79813576,9.724081039,25.0329361,12.12982845,30.15093803,21.5258522,57.47915649,31.46353912,52.4910202,105.0141907,57.20354462,135.0093536,49.79023743,134.4199219,26.04969788,76.01905823,5.72166729,12.72371769,38.38611984,8.358295441,21.53159904,2.867524385,8.9227705,0.806384802,2.830783844,0.108320788,0.170185298,0.657271683,0.282272965,0.300772101,0.104739681,0.253787369
0.9,0.70248723,0.739232838,0.39604342,2.670780182,1.694697499,2.430241108,7.279681683,3.631188631,10.74648285,4.547355175,8.157097816,16.07841492,6.909636974,18.15399933,8.969921112,23.02453423,16.73557091,45.38935471,24.32161713,40.05440521,79.41880798,43.73171616,101.9523392,37.39783478,98.81322479,19.45162773,57.80190659,4.236595154,9.404464722,29.4392662,6.323248386,17.44888496,2.258020163,7.635233879,0.67315501,2.446379423,0.102936767,0.159758598,0.652241826,0.270592391,0.286480874,0.098082483,0.229794815
0.95,0.30813536,0.340577841,0.184947118,1.218959689,0.775630414,1.103956103,3.306752682,1.669649601,5.07803154,2.183883905,3.911227226,8.087521553,3.485804319,9.409231186,4.762712955,12.59724903,9.35452652,25.77043724,13.55777454,22.19024086,44.44044876,24.77441406,56.68212891,20.69985962,53.82983017,10.93127441,33.09594727,2.374031067,5.307735443,17.5911808,3.774347305,11.41656494,1.422615647,5.300113678,0.432993442,1.704105496,0.073537983,0.113336824,0.486193806,0.197468549,0.200638041,0.072729774,0.166176617
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
