abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,68.65324402,38.27948761,18.95911217,97.70758057,65.76270294,85.4422226,239.9915924,104.4365463,296.4032898,115.1319122,188.3795776,370.5294189,149.245697,351.3850098,141.6819458,297.4115601,216.2778473,532.229126,339.4211426,490.5886841,814.7781982,377.1304321,876.1838989,275.166687,634.0234985,167.3044128,414.1421814,38.10761261,90.22271729,238.6854248,56.8298645,150.0561829,23.04627991,83.08061981,6.094564438,34.58405685,0.99147296,1.401893973,6.530545235,1.707736492,2.209140062,0.279039025,0.792553723
0.05,65.40067291,36.55330276,18.15937233,93.39658356,62.56444168,81.47887421,229.6507263,99.99755096,282.8901367,109.5194931,179.5844269,352.7823792,142.2899017,334.0818176,134.6885529,281.6153564,203.8183594,502.4456177,318.8040161,460.1099243,768.5634766,357.0668945,826.9710083,260.2050476,594.7484741,155.8942413,367.8648682,35.56948471,83.9569397,215.7988434,52.2938652,133.9467316,21.00769043,73.88208008,5.445918083,30.4195385,0.880580425,1.246551394,5.529732227,1.513544917,1.757836103,0.261544883,0.700633466
0.1,62.14887619,34.69979858,17.32280731,88.92702484,59.48503113,77.36181641,217.7108154,95.03248596,268.8777161,104.1002502,170.796814,333.0915833,134.7744141,314.5350037,127.2501602,264.6936646,191.1169128,473.9639587,300.9349365,430.9005127,722.489502,337.0399475,778.3534546,248.0970154,562.2338867,148.0675354,332.7877808,33.85747528,79.79264832,199.2203064,49.39290237,121.8913803,19.84986877,65.56735229,5.100218773,27.17671204,0.836661458,1.182989597,5.141199112,1.459632993,1.618777156,0.257273674,0.652353764
0.15,58.62177277,32.73946762,16.41722488,84.31080627,56.26883316,73.06159973,205.2253113,89.96484375,254.1089325,98.41340637,161.6141815,312.7883301,127.0144653,294.3007507,119.6400757,247.9069214,178.5683136,445.9957275,283.6678162,402.7128601,678.0158081,317.7481384,731.6905518,237.0919495,534.0709229,140.7662048,300.3961792,32.22485733,75.83717346,183.3181763,46.47049332,109.6855774,18.63033104,57.08165359,4.730737686,23.6526432,0.790480375,1.117358327,4.795265198,1.413147092,1.480462193,0.254115105,0.611116171
0.2,55.11451721,30.79269981,15.5311203,79.83069611,53.2122612,68.94706726,193.4255829,85.32567596,240.1683655,93.04645538,152.9866638,294.1210632,119.8977509,275.8198242,112.7899017,233.4128723,167.783783,422.0556335,269.2980042,379.5858154,641.3799438,301.7653198,693.1675415,228.7003326,514.6088867,135.0740204,275.784668,30.90223503,72.65591431,170.4007568,43.94350815,99.04820251,17.48329544,49.80840302,4.405941963,20.37040329,0.751051009,1.065352678,4.54383564,1.380612612,1.365581751,0.252880841,0.587289691
0.25,51.57854462,28.82389069,14.62071037,75.65328217,50.34948349,65.12858582,181.9714966,80.96898651,226.842392,88.00972748,144.8184204,276.5604553,113.2193604,258.4238586,106.5401001,220.8897858,158.5940399,402.4979553,258.275177,362.0507813,613.02948,289.3000183,662.9231567,223.2582245,504.8865662,131.5154724,260.2330627,29.94637299,70.35404205,161.0426331,42.05620575,90.52970886,16.51433182,43.96961212,4.164270401,17.40131187,0.725381196,1.035423636,4.433134556,1.367242336,1.315870881,0.256775051,0.581709087
0.3,48.31939697,26.98489761,13.79514122,72.15810394,48.03286362,61.93606186,171.9373779,77.28495026,215.3926392,83.91879272,137.9415131,261.6385498,107.546814,243.85495,101.4797134,211.3723755,151.7182312,388.2053528,250.6988373,350.5023193,594.8311157,281.1647644,642.8299561,220.4437408,503.4126282,129.9015656,254.2533112,29.36975288,68.99771881,155.8986969,40.90791321,85.11986542,15.8156786,40.31621552,4.005508423,15.26003742,0.709944606,1.021386862,4.44308424,1.363577724,1.319265842,0.263102591,0.592901289
0.35,44.78846359,25.01692963,12.89579964,68.4178772,45.5736618,58.55863953,161.5926514,73.7288208,203.5419312,79.75018311,130.8934326,246.7020416,101.8409805,229.5446014,96.76556396,203.115448,145.9555511,376.3387756,245.0258331,342.3368835,582.7418823,275.6299744,628.8896484,219.3706512,507.7816467,129.6268158,255.3066406,29.05892754,68.29018402,153.6733246,40.25035095,82.04376984,15.30285645,38.4127121,3.895740509,13.68811989,0.70166111,1.019672632,4.558274269,1.378901362,1.373561263,0.27254042,0.617493689
0.4,41.2570343,23.01836777,11.98795605,64.77619934,43.22014618,55.2921257,151.7650909,70.508461,191.9680786,75.70149231,124.1109467,232.8736267,96.5447998,216.6620331,92.68659973,196.07547,141.223175,365.9532776,240.5675049,336.461731,574.8209229,271.8139038,618.9646606,218.807724,512.4745483,129.6511993,258.8928223,28.90551758,68.04412842,153.3426056,39.9535675,80.98748779,15.00080204,38.03133392,3.835862398,12.94070148,0.697945118,1.02218771,4.719092846,1.397709489,1.44722414,0.281894922,0.645745814
0.45,37.72492981,21.03095436,11.12684822,61.24647141,41.14722061,52.26280594,142.1320496,67.35211945,180.3716736,71.63591003,117.2342987,219.2854767,91.16005707,204.0572357,88.69729614,188.9162292,136.5406036,354.430603,235.516983,329.8433228,565.2094727,267.4264221,607.8585815,216.9736786,511.1470947,128.6355591,259.6277466,28.65431213,67.63466644,152.5871582,39.60601425,80.39291382,14.79751492,37.81727982,3.791361809,12.72534943,0.692628205,1.020841599,4.820362568,1.404140949,1.499128819,0.285210431,0.666789532
