abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,195.2935486,95.56604767,46.94214249,205.9376373,145.2247925,163.8404999,382.7730408,158.4359894,383.9881897,152.0083923,219.9253845,302.1557007,131.9348755,273.2841797,123.4623108,264.3050842,198.2841797,504.0101318,310.9685974,420.8522949,712.3495483,370.5665588,800.6127319,274.1289978,579.0526733,160.8930511,333.954834,44.77202225,97.58321381,239.0341949,55.29086685,142.6542511,22.98984528,87.95914459,8.115616798,56.9053421,0.890487254,1.234096408,9.647515297,2.647859097,3.557286978,0.454681605,1.446128368
0.05,185.6897888,90.9332962,44.36614227,198.8985748,140.9662933,158.960495,369.3880615,153.9902496,370.5567627,148.0632019,214.170517,299.4532166,130.0677032,270.1592407,120.9899521,258.4007568,192.2289124,487.4594116,299.4379272,403.735321,688.5847168,354.8298645,772.5963745,263.8285522,560.1381836,155.1756592,313.9378357,43.122509,93.6875,224.6737823,53.02122879,132.3244934,22.18101692,80.91291046,7.674846649,50.71416473,0.844711304,1.176427364,8.684608459,2.41311717,3.043618202,0.434928983,1.32809341
0.1,175.9876862,85.99769592,41.79662704,193.0887299,137.2272339,154.9759674,357.5244446,151.1912842,359.6412354,144.9040375,209.8615875,303.1637878,130.9561157,274.1348877,121.495636,261.547821,193.3798828,483.7886963,295.9000854,398.9863586,686.5293579,347.7916565,765.3719482,256.1577759,552.6520386,150.5457153,300.8469238,41.4756813,89.80601501,210.8244781,50.89356613,123.1242065,21.38321686,74.51178741,7.235695362,44.57942581,0.816691101,1.141051412,7.827226639,2.222403526,2.578826189,0.42798546,1.241985559
0.15,165.5396576,80.92726135,38.90638351,188.2356873,134.6437378,152.4545441,347.4831848,150.0581665,350.6996155,142.258606,206.3915558,311.2340088,133.9124298,283.8263855,124.4855728,271.804657,200.3615265,489.5345154,298.0661011,404.0091248,701.7890625,348.3074646,775.3574829,249.8596191,554.6439209,146.0972748,294.4092712,39.62551498,85.6484375,196.8677063,48.66394424,114.2316284,20.52236557,68.04699707,6.779686928,38.22971725,0.785288811,1.100244761,6.970733166,2.080774784,2.168275118,0.429625809,1.176277637
0.2,155.8638763,76.21572876,36.30083466,184.9799957,133.2861786,151.4453583,339.7527161,150.1598358,344.5877686,140.4868622,204.3992004,322.1683044,138.3095245,297.4722595,129.5613556,287.4000244,211.7739105,504.8909912,306.257019,418.5383301,734.8916016,357.5187683,804.0262451,247.2029724,567.3250122,143.1846924,296.1628723,37.98471069,82.04718018,185.6847534,46.95596313,107.9360886,19.79310417,62.98038864,6.396808147,32.86431122,0.753595054,1.059041858,6.322340012,1.986982822,1.923202276,0.433323473,1.164502621
0.25,146.234024,71.57717896,33.70418167,183.0362396,133.7449036,152.3512421,333.3567505,151.3536224,340.6026001,139.5625763,203.6395264,335.0372314,143.6447754,314.1412964,136.2747955,306.5293579,226.1545563,527.5657959,318.8858032,440.2673035,781.3247681,373.6609497,846.4431763,248.345108,589.87854,142.3346252,305.2710571,36.70197678,79.38603973,178.2447052,45.88314819,104.180687,19.25192642,59.09844208,6.093349934,28.11595345,0.731445491,1.03506732,5.854203701,1.922287464,1.815001726,0.439677149,1.186748028
0.3,136.5940704,66.90192413,31.12448883,182.4311676,134.3704224,153.6550751,327.978363,152.9148254,337.8657227,138.9978943,203.8294373,349.7277527,149.815979,332.9910278,144.3503418,328.4842224,242.9699402,557.8060303,336.1346741,469.2952881,840.2905273,396.5192261,900.9765625,254.0937653,620.0648804,143.6842804,319.6707458,35.87315369,77.79592133,174.71315,45.40100479,102.5714951,18.97566986,56.44485474,5.871677876,24.2119236,0.723387361,1.034669399,5.576341629,1.883462906,1.826646686,0.447534353,1.234388351
0.35,126.8563156,61.92634583,28.51622581,180.1643372,134.1128693,154.3903503,322.0852356,154.2199097,335.4637146,138.6288452,204.7215271,366.791626,157.0493317,354.7935181,154.0432129,353.996582,262.6124878,597.6351929,359.9575806,508.0235291,915.9419556,427.3450928,969.6787109,265.6182251,658.7371826,147.9939423,337.5661011,35.43455124,77.0974884,174.6425323,45.49895477,102.6165009,18.95839119,54.67599106,5.735081196,20.82271385,0.72925806,1.064852476,5.494556427,1.867270708,1.895004034,0.452319145,1.29264164
0.4,117.2181549,57.18963242,25.99234962,178.4606628,133.5137329,155.3374176,317.5632324,156.0818787,334.6836853,138.6529236,206.155014,383.5154724,164.3360748,376.1377563,163.9179077,379.0598755,282.0675964,640.6273804,386.296875,549.8798218,995.0888062,461.4716492,1040.73291,281.7658386,700.7345581,155.1697235,355.6265259,35.53474426,77.60743713,178.3850861,46.15299225,103.9414444,19.11063766,53.54286957,5.691236973,18.33260345,0.733927846,1.086879849,5.355221748,1.833696485,1.98203671,0.44895649,1.335963249
0.45,107.5167007,52.42391205,23.68321419,170.4419403,128.9277344,151.9929199,309.2768555,155.6791534,331.6737061,137.5914917,206.8794861,401.0297241,171.946167,398.5678406,174.29953,403.6808777,300.273407,685.7546387,414.6837463,594.7955322,1088.179565,501.3317871,1118.441162,305.9588318,753.7058105,166.9908752,377.177948,35.99819183,78.98435211,187.4380188,47.78751373,109.5685654,19.23774719,52.49679947,5.62887764,17.76994896,0.768732786,1.138858914,5.356971264,1.841066718,2.187856913,0.47701934,1.497505069
