abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.584741592,7.876785755,3.988343477,25.71370697,15.76133347,20.85678673,65.98976898,29.96324158,103.4320602,44.91438293,72.22219086,118.6431961,55.14946747,128.7874146,58.69712448,139.7115936,99.94622803,268.0467529,167.0936737,237.7046051,443.3207092,216.8325958,508.5265808,176.2686157,409.5816345,98.96841431,225.2884674,28.71404648,66.54533386,157.7642365,40.21854782,91.74993896,18.86797714,71.04916382,6.384160042,44.87755585,0.943555117,1.257727981,8.377058983,2.512144804,2.544740915,0.496254176,1.854887843
0.05,7.23990202,7.527050018,3.820711613,24.59692383,15.04941368,19.93268776,63.140625,28.76887894,99.8629837,43.54645157,69.90567017,113.1053314,52.91888428,122.2890244,56.00715637,132.8916168,94.77689362,256.8438416,159.8748169,227.8292389,422.0116272,206.3783875,484.581543,167.437912,392.2252808,93.88815308,211.9655609,27.27176857,63.1522522,148.7885437,39.15805054,90.15029144,18.93742371,68.97263336,6.26205492,42.02785873,0.931961536,1.252316475,8.164809227,2.464071512,2.429114819,0.49836722,1.867052555
0.1,6.878029346,7.150517464,3.639714479,23.41012192,14.30393791,18.97213364,60.16202545,27.56751823,96.40048218,42.25411606,67.70459747,108.1570663,51.00719452,116.6644211,53.82880402,127.4128265,90.6200943,248.3941956,154.3032074,220.2408905,407.6265869,198.9988403,467.6213989,161.0425568,380.1210022,90.01448822,201.558609,26.22398186,60.7377243,143.3127899,38.89500427,91.31295776,19.32390022,67.58117676,6.239855766,39.24969101,0.933723629,1.267091751,8.105830193,2.462596655,2.424480915,0.509614468,1.909810662
0.15,6.482063293,6.738101959,3.441832304,22.13181305,13.50577927,17.98188972,57.1140976,26.37418556,92.94121552,40.96718979,65.54990387,103.8259354,49.33130264,111.6118851,51.95761108,122.6271057,86.97144318,241.1141357,149.3702087,213.6417236,395.9510193,192.8046875,453.4642334,155.5680847,370.2776489,86.81027985,192.9901581,25.41755104,58.84274292,141.4909668,39.28995514,94.71331024,19.93058777,66.46665955,6.289845467,35.92873001,0.956109345,1.308103561,8.241949081,2.498256445,2.51262784,0.52808708,1.962565541
0.2,6.09240818,6.332108974,3.246298075,20.90504646,12.74519825,17.06930923,54.34496689,25.31295395,89.83719635,39.81459808,63.66289139,100.571312,48.06972504,107.6935654,50.62074661,119.0444946,84.25178528,235.7910767,145.6361084,208.8290405,387.7655334,188.3110504,442.9187012,151.4342651,363.9378967,84.73506927,187.4282532,24.94246483,57.70537567,143.508316,40.26905823,99.62409973,20.66998863,65.86081696,6.407120705,32.80134583,0.999970078,1.371923923,8.583795547,2.586915016,2.679894924,0.553426266,2.02282548
0.25,5.697504997,5.922409534,3.048743963,19.70070648,12.0070734,16.21973419,51.74356079,24.33516502,86.93477631,38.7337532,61.94081497,98.26494598,47.16996002,104.9105225,49.83080673,116.7561569,82.53005219,232.9532776,143.4502563,206.3597717,384.2142029,186.0621033,437.0531616,148.8634033,361.474823,83.73218536,184.8674927,24.81310272,57.4093895,148.0583801,41.57414246,105.1933823,21.39554596,65.27584076,6.521913052,29.77647018,1.045517564,1.436377645,8.996681213,2.68637991,2.879460096,0.577564359,2.08494401
0.3,5.335126877,5.544724941,2.866520405,18.6365509,11.36798954,15.51038074,49.51940155,23.50477409,84.37516022,37.76313782,60.47120285,96.8528595,46.58378601,103.1985321,49.45067978,115.4953003,81.66017914,232.1542969,142.5969391,205.7201843,382.8201904,185.1623077,433.7714539,147.3938141,361.1533813,83.42865753,184.5917969,24.93427086,57.7364769,153.3331451,42.87600708,110.2911987,21.99855232,64.7927475,6.594473839,27.4449482,1.079841495,1.481572986,9.335535049,2.761023045,3.040154696,0.593377471,2.121438265
0.35,4.940323353,5.132760525,2.667259693,17.49943924,10.69341373,14.76999474,47.22770309,22.64034653,81.60586548,36.67765045,58.9110527,95.83041382,46.06990433,102.0157318,49.33665848,114.9051514,81.37877655,232.9235077,142.6958466,206.1898499,383.1403198,185.1519012,431.8890991,146.6428223,362.2725525,83.58384705,186.137085,25.23667526,58.53186417,159.5712433,44.37033463,115.6163101,22.58574104,64.46663666,6.662109852,25.61195183,1.108363748,1.517735958,9.617622375,2.817082405,3.179820299,0.605695844,2.136361837
0.4,4.542417526,4.719592571,2.467163563,16.35156822,10.02428341,14.02331543,44.91453171,21.71983147,78.43832397,35.33631134,57.06954193,94.70240784,45.37546921,100.8098526,49.19360733,114.415657,81.21828461,233.3946533,142.7187958,206.3563843,382.4476318,184.4829407,428.2494812,145.556839,361.7865906,83.4402771,187.5949097,25.41786003,59.11061096,164.4869385,45.46228409,119.5522156,22.90921402,63.93109894,6.688395023,24.39181137,1.121963382,1.534502268,9.750236511,2.837252617,3.263976097,0.607687771,2.11290741
0.45,4.149141788,4.31180191,2.269157648,15.18802071,9.358043671,13.24111652,42.43405151,20.63730431,74.48217773,33.55922699,54.62968445,92.924263,44.24140167,98.92484283,48.66173172,113.2572021,80.5881958,231.789566,141.6201935,205.0590668,379.4740906,182.2914886,421.4450073,143.6962585,358.9751282,82.80823517,188.1281128,25.39813423,59.20044327,167.6296234,46.04778671,121.8430023,22.99217224,63.19853973,6.67736578,23.72087288,1.121924996,1.535481215,9.766031265,2.826990843,3.312318087,0.602648079,2.0687778
0.5,3.782485723,3.932109594,2.082078934,14.07276726,8.717045784,12.4390192,39.86211014,19.43087769,69.91685486,31.41109848,51.67570114,90.23662567,42.62681198,96.28842163,47.59635925,111.1506882,79.18451691,227.1563721,138.9336395,201.5206146,373.644043,178.1951599,410.8836975,140.5834503,352.4018555,81.2506485,186.4038544,25.04572868,58.48608017,167.9754028,45.87573242,121.9548416,22.75343513,62.00040817,6.598191738,23.31735229,1.104913235,1.517804503,9.63350296,2.778509617,3.324302197,0.590213895,2.005775213
0.55,3.389900923,3.525084257,1.872415304,12.81824207,7.97042799,11.44879627,36.69712448,17.92006302,64.18978119,28.66379547,47.75078583,85.98140717,40.21656036,92.46598816,45.69121552,107.4788132,76.40726471,218.1299438,133.7138977,194.631424,364.5592346,171.8478394,395.963623,135.6172333,340.7814026,78.36421967,181.6844482,24.28261566,56.82010269,165.2956848,44.84804916,119.728508,22.09458542,59.95094299,6.423285007,22.84722328,1.065078139,1.470568776,9.305122375,2.675531149,3.310354948,0.565016806,1.900991082
0.6,2.996173382,3.116901636,1.659174204,11.44276905,7.152523041,10.32301331,33.11001205,16.2093277,57.83339691,25.61595726,43.19410324,80.06608582,37.02893066,87.0716095,42.77178192,101.6452789,71.88705444,204.6370239,125.5513229,184.3878021,352.3663025,163.934845,379.0664978,129.4277496,326.1228333,74.60940552,175.530014,23.26158333,54.54229736,160.6756439,43.24952316,116.3117447,21.15764046,57.48281097,6.188277245,22.24784851,1.011756063,1.40269208,8.856765747,2.545017242,3.262855768,0.532153308,1.7795403
0.65,2.6011374,2.707032442,1.441712976,10.00775814,6.295816422,9.120189667,29.22291565,14.36702061,51.12897491,22.46345329,38.27931213,72.89593506,33.34591675,80.34189606,39.1711731,94.25665283,66.32214355,188.4673615,115.6265182,172.3014984,337.5599365,155.2098846,361.0249634,122.651001,309.1122131,70.26157379,168.664917,22.00877953,51.74171829,154.1532135,41.01942062,111.5259857,19.86926079,54.42300034,5.855311871,21.36667442,0.946179211,1.316704988,8.285146713,2.382246971,3.166972876,0.490666479,1.626054525
0.7,2.233524561,2.325786114,1.240349054,8.630097389,5.457369328,7.920237541,25.35564995,12.50964832,44.45155716,19.3786068,33.33029175,64.88298798,29.38220406,72.3332901,35.04854965,85.66635132,60.09586334,170.5137482,104.5973206,158.4412842,316.939209,144.8252716,339.2351074,114.770607,288.931366,65.24061584,160.1817627,20.49037933,48.30054092,145.4188995,38.22954178,105.339386,18.35355186,51.10670471,5.456355572,20.20425797,0.87237674,1.218785524,7.664678574,2.209605455,3.011141777,0.445955724,1.46870029
0.75,1.841604233,1.919455051,1.024554849,7.138580799,4.533930779,6.592010498,21.07244492,10.42621136,37.00060654,16.01034927,27.80542564,55.41471863,24.8523407,62.53358078,30.15758324,75.24947357,52.75347137,149.4990845,91.9499054,141.6626892,288.1405945,131.340744,309.8211365,104.4763031,262.3628235,58.89271927,148.0653839,18.46240997,43.64950943,132.7669983,34.38747787,96.37754822,16.33611488,46.82335281,4.901031494,18.49591255,0.769541681,1.079753995,6.78876543,1.975799084,2.736009121,0.387502611,1.27062583
0.8,1.445857286,1.51097393,0.807512462,5.617182732,3.582869291,5.204242229,16.57905579,8.213094711,29.08204842,12.48284817,21.88040543,44.56939697,19.79276657,50.86138916,24.48950195,62.57400894,43.99647141,124.5288696,77.00224304,120.3007889,246.2457733,112.4814377,266.8151245,89.78145599,225.045578,50.35771561,129.444931,15.70624161,37.25480652,114.5597763,29.2587738,83.40353394,13.75859261,41.01908112,4.163641453,15.96639347,0.632793844,0.894423604,5.549659252,1.638368964,2.280089378,0.315011144,1.049252272
0.85,1.054461598,1.107398629,0.592991471,4.107226372,2.62830019,3.804926634,12.08011818,5.98661232,21.14276314,9.005105019,15.88621044,33.02145386,14.53802586,38.04568863,18.29724121,47.59890366,33.59588623,94.73226166,59.03554535,93.11264038,190.786026,87.42234039,208.150589,69.92029572,175.5695953,39.12783813,102.7684479,12.14451408,28.87432289,89.5414505,22.53621674,65.15103149,10.4621582,32.61423492,3.196556807,12.37004375,0.465983242,0.667771578,3.918194294,1.17592597,1.620351791,0.223489612,0.761258066
