abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.587538719,7.882895947,3.925414085,25.38905334,15.6929884,21.17649078,65.80051422,28.12041664,92.2462616,36.8600769,62.64952469,99.00250244,43.75960541,97.9560318,41.49979401,91.77616882,65.4484024,175.1137238,112.4532928,171.298111,315.2189026,157.5596771,374.355957,138.4679565,338.910553,87.30378723,190.0338745,31.3617363,71.26538086,173.8056641,47.63525391,113.6351852,21.98976517,63.48276138,7.972139359,30.70366287,1.011993766,1.435813427,9.111946106,2.585408211,2.859289169,0.555723369,1.536835551
0.05,7.244512558,7.531287193,3.757812262,24.25808716,14.9590044,20.21195984,62.90311432,26.93287659,88.63018799,35.52270508,60.33893204,94.11968231,41.73226166,92.64476776,39.46012878,86.80807495,61.65985107,166.8426666,107.5240555,164.1376801,305.4101563,153.0476685,365.9470215,134.9842834,336.7982178,85.6934967,188.0768433,30.91260338,70.25822449,175.8318176,48.28187943,119.0914917,22.62877083,64.21102905,8.052865982,29.73213768,1.020452261,1.455811381,9.116329193,2.569869995,2.76292038,0.560512483,1.566458821
0.1,6.882639885,7.154518604,3.578007221,23.05733109,14.1919508,19.20409584,59.87499619,25.73615456,85.13942719,34.26098251,58.18330383,89.90891266,39.97689819,88.22431183,37.92094421,83.31286621,59.00582504,161.1668243,104.2141495,159.4881287,302.4417114,151.6087036,364.6889343,133.8795013,340.9480286,85.58567047,190.2450104,30.90495491,70.29059601,181.0194092,49.5229454,126.4872513,23.51136017,65.94235992,8.230903625,29.42559624,1.048273206,1.500316858,9.275673866,2.597332001,2.734894276,0.570698798,1.615294933
0.15,6.486753464,6.741467953,3.381350756,21.76323318,13.37022209,18.15107346,56.75419617,24.53811646,81.66796112,33.01026917,56.08372116,86.5200882,38.49934387,84.81102753,36.88211823,81.16296387,57.37665558,157.8145142,102.3024368,157.1769409,304.4327087,152.3104095,368.4176025,134.4493713,350.0546875,86.68225098,196.2113037,31.2389679,71.1517334,189.2748718,51.28835678,135.7588043,24.67411804,68.61057281,8.47629261,29.31145287,1.092789888,1.568875194,9.571426392,2.64212203,2.757524967,0.58553499,1.675807834
0.2,6.097171307,6.335350037,3.187512398,20.52422905,12.58971214,17.17797852,53.91550827,23.47532654,78.58300781,31.9010067,54.29780197,84.34758759,37.44935989,82.80625916,36.4679985,80.710289,57.05595779,157.7385864,102.4726944,158.2040253,311.2200928,155.2014465,376.6527405,136.7735596,363.4779968,88.98913574,205.3892517,31.9312973,72.91835022,199.4057922,53.36982346,145.5299377,25.92969513,71.64851379,8.707259178,29.18404198,1.145535827,1.645799637,9.937393188,2.705447435,2.829130411,0.60388881,1.72979641
0.25,5.702879429,5.926303387,2.992586136,19.3109951,11.83646774,16.26039886,51.23875809,22.50026894,75.76760864,30.88180542,52.73297119,83.2611084,36.75812531,82.07157898,36.60336304,81.79299164,57.95586395,160.601059,104.4824295,162.0397186,321.6787415,159.8741302,388.8122559,140.6105804,379.9867554,92.27696228,216.7918701,32.90736008,75.43871307,210.5270386,55.58631516,155.0801849,27.07328224,74.31600189,8.859642029,28.61463737,1.189069629,1.70588088,10.10262203,2.734501839,2.864353418,0.615306914,1.751863241
0.3,5.340275764,5.548962116,2.812637091,18.24045181,11.18685722,15.48901653,48.93103409,21.66709518,73.34928894,29.98267555,51.42703629,82.96689606,36.36908722,82.38244629,37.14413834,84.0385437,59.75213623,165.380249,107.5849304,167.4681549,333.4743652,165.2703857,402.5865784,145.3373566,396.8255005,95.95188904,228.2932434,33.96245193,78.14509583,221.430069,57.68157959,163.4893341,27.96521759,76.24611664,8.904470444,27.72016525,1.210597038,1.73789382,10.03314114,2.728221178,2.856000423,0.621008039,1.754572272
0.35,4.945179462,5.136023045,2.615660667,17.09462929,10.50183392,14.68766212,46.55995941,20.80805016,70.84056854,29.03312874,50.10369492,83.25270844,36.15835571,83.63965607,38.11800003,87.65401459,62.58379364,172.8313141,112.34375,175.302887,348.4169312,172.3048096,420.6872559,151.9752502,416.5295105,100.6446304,241.6627045,35.32749176,81.53271484,233.7753906,60.00574112,172.2064362,28.82745171,78.04725647,8.899944305,26.94990921,1.206162095,1.738195658,9.708996773,2.666531086,2.775877237,0.622995913,1.743532419
0.4,4.547067642,4.722165585,2.417791843,15.94496346,9.826566696,13.88669395,44.16573334,19.8949604,67.9910202,27.90691757,48.56642532,83.58298492,35.91617584,85.11146545,39.12534332,91.49414063,65.53427124,180.4854889,117.1991882,182.9651031,361.8875122,178.5960388,437.0840149,158.2266083,432.2585449,104.6435623,252.9253082,36.43283081,84.24703979,243.6736908,61.69129562,178.5327454,29.28748894,79.13791656,8.829152107,26.38288689,1.182563782,1.712452054,9.331830025,2.583724976,2.674190521,0.616774499,1.713798285
0.45,4.153439999,4.314246178,2.224019051,14.79495525,9.164647102,13.08034515,41.66199112,18.8626442,64.63405609,26.56579399,46.64411163,83.38102722,35.40052414,86.12909698,39.80181885,94.56113434,67.80545807,186.0357208,120.8779221,188.3916626,371.0807495,182.4168091,447.1223755,161.9557953,439.8128052,106.7050858,259.7043457,36.89884567,85.45339203,248.8852997,62.32788467,181.2875824,29.22413445,79.16652679,8.70457077,26.11189079,1.152006149,1.676408291,8.998954773,2.504957676,2.576178074,0.607615173,1.685712934
