abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,43.32386017,46.30147552,23.352211,160.0170135,100.8203354,136.0872192,396.4547119,184.9966583,468.1887207,171.3582458,270.6022949,619.2581177,260.677002,634.2763062,270.9928589,594.6618042,412.0711365,1004.35791,589.0125732,867.6924438,1767.026123,825.1102295,1792.768799,529.6785889,1229.62793,282.1478882,572.067749,61.89256668,137.5097198,343.0682068,85.44143677,193.4382172,31.33071899,80.38066864,8.971097946,48.90795898,0.839581609,1.219519377,7.45494175,2.816761494,3.04663229,0.620024323,1.570140362
0.05,41.81837845,44.82011414,22.64077187,155.2242279,97.73182678,132.1624451,385.2637939,179.9451294,454.9315186,166.8524628,263.4727783,603.7747192,254.3735809,618.7543945,264.8970337,579.6314697,402.4544373,982.8081665,578.1095581,851.4824829,1732.598511,809.479126,1750.486084,520.7880859,1202.539673,279.1462402,563.8372192,61.78570557,137.3358917,342.0985413,85.18083191,192.4697876,31.06533813,79.8401413,8.905798912,48.6018219,0.840949237,1.218077898,7.453224659,2.801995039,3.053289413,0.621533275,1.57132709
0.1,39.77602768,42.65824127,21.60848236,148.1027374,93.16242981,125.7896042,367.1960754,171.7691498,434.2944946,159.807724,252.2100677,578.2965698,243.9625702,592.5499878,254.7390747,556.987854,387.6021729,952.5262451,560.5784302,824.9591064,1676.824585,784.4491577,1686.172485,506.3243103,1162.750977,273.4769287,549.5473633,61.15001297,135.8743591,338.2967224,84.46482086,190.3133545,30.59254646,78.87927246,8.816147804,47.86007309,0.843705654,1.217776895,7.464953423,2.778995037,3.097953558,0.624514639,1.596862078
0.15,37.54719543,40.25286102,20.4562149,140.2043762,88.09043884,118.6609726,346.9859619,162.6765137,411.4403381,151.9875488,239.6564941,549.3878784,232.0897675,562.6538086,243.1877441,532.1713257,371.3727417,921.0015869,541.9585571,796.7611084,1615.712036,757.3775635,1616.78064,490.55896,1120.953857,267.3124695,535.1821289,60.48851013,134.2434082,334.2151184,83.7625351,188.3139801,30.13440132,78.02735138,8.781954765,47.40564346,0.86417973,1.241992116,7.787540436,2.839884758,3.305888176,0.638917446,1.683429956
0.2,35.28629303,37.81590652,19.29353142,132.3015137,83.02924347,111.5380859,326.670166,153.5691528,388.5526428,144.1780701,227.0327301,519.8751831,219.998764,532.4983521,231.5361481,508.0642395,355.6958618,891.8952637,524.6387329,770.552002,1556.792114,731.8889771,1550.678833,475.6280212,1082.418335,261.7139587,523.5960083,60.16204834,133.433548,331.8448181,83.43457794,187.2743683,29.7937851,77.66009521,8.864327431,48.11642456,0.924231887,1.319362283,8.80501461,3.005733013,3.735702515,0.670222819,1.856960416
0.25,33.01215744,35.3809433,18.120327,124.3474731,78.03604889,104.3881531,306.0387878,144.4428558,365.7537842,136.4107208,214.4113312,490.3257446,207.9992828,502.8847351,220.181839,485.6841431,341.1591187,866.1635742,509.2610779,747.3004761,1502.425415,709.0457764,1491.217163,462.7496948,1049.40979,257.0083313,514.0825806,60.0839653,133.3421326,330.1309509,83.16208649,186.5162659,29.4838295,77.6431427,9.040563583,50.31813049,1.025125742,1.440346956,10.52069378,3.312409878,4.394397736,0.712487042,2.033453703
0.3,30.95617485,33.18984604,17.06238747,117.3595734,73.69063568,98.20703125,288.0449524,136.5572968,346.0798035,129.6973877,203.5238495,464.7453613,197.6968231,477.8203125,210.5135193,467.1030884,329.1099243,844.942627,496.8439941,728.3497925,1457.983276,690.8615112,1444.290527,453.3506165,1025.043823,253.9970093,508.072052,60.31915665,133.9915161,330.5171509,83.3904953,187.1586609,29.57567024,78.18028259,9.18122673,53.68494797,1.133588314,1.573637009,12.30811405,3.690572023,5.11654377,0.759296596,2.215333462
0.35,28.71362877,30.76034546,15.8909111,109.5570602,68.85167694,91.26888275,267.827179,127.8411407,324.4861145,122.3363571,191.5179749,436.5123596,186.4003448,450.6157837,200.1530762,447.7341614,316.6244202,823.3232422,484.117981,708.9164429,1411.662354,672.1781006,1397.719727,444.6834717,1002.75238,251.4919891,502.6402283,60.53549194,134.5989532,331.0797119,83.7075119,188.443634,30.04154968,79.26688385,9.281272888,56.73226166,1.228939772,1.691782236,13.72701359,3.978416681,5.647425652,0.799997985,2.349812984
0.4,26.43694115,28.34495544,14.72822189,101.8519592,64.0493927,84.48870087,248.2188873,119.4835815,303.8221436,115.3227844,180.1184387,409.7556458,175.7460938,425.3667603,190.5466309,429.9354248,305.1243286,802.4929199,472.0365906,690.6868896,1370.013062,655.5478516,1357.998413,437.9620056,985.4207764,250.2232666,499.427124,60.83840561,135.3502045,332.3242493,84.19072723,190.3025818,30.60530663,80.46854401,9.412584305,58.71678543,1.281946659,1.753801346,14.39313507,4.089596272,5.876511574,0.815421164,2.410101891
0.45,24.18116188,25.92055893,13.55574608,93.98036194,59.19008255,77.51205444,228.2545166,111.1177139,283.3934021,108.4214935,168.8513184,383.3300476,165.3295135,400.6717834,181.338028,413.2459412,294.3739319,782.8163452,460.5579529,673.2307129,1331.203979,640.036499,1322.976074,432.1053467,971.0148315,249.3210144,496.8702087,60.97683716,135.7344971,332.8571167,84.38986969,191.6739044,30.99358177,80.85147095,9.47568512,59.17504501,1.293765306,1.766264915,14.39566803,4.052047729,5.838777542,0.808764219,2.389014482
