abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.584741592,7.878371716,3.92752099,25.38471031,15.77043056,20.98540688,65.06866455,28.87366676,94.8719101,41.05295181,66.39720917,106.4669189,48.77622604,107.3916245,48.81905365,110.0731049,77.08267212,208.390625,127.5496674,190.4783783,372.2294617,179.6837921,426.2460938,145.1300354,360.1035461,84.29684448,183.8643799,27.52989388,63.16730118,162.6549225,41.53382492,100.3075256,19.46236992,54.2759819,6.697478771,31.24358559,0.833116353,1.166458964,7.610643387,2.443994522,2.895883322,0.516625285,1.506167293
0.05,7.23990202,7.52644062,3.759007454,24.26421738,15.04529953,20.06986237,62.27861786,27.7339592,91.44698334,39.72660065,64.13986969,102.0524368,46.93038559,102.4078674,46.89352417,104.7076263,73.19688416,200.1289063,122.6440506,184.1750641,361.2209473,174.578598,417.0454407,141.504425,358.4840698,83.19245911,183.633667,27.28194237,62.64106369,166.4496765,42.24499893,105.9394913,20.07835007,54.86138153,6.778018951,29.43787384,0.814171016,1.156332731,7.215434074,2.342643976,2.659646034,0.510695875,1.467409492
0.1,6.878029346,7.149764061,3.578639507,23.08629036,14.29605389,19.1384182,59.44018936,26.6191349,88.25241852,38.50251007,62.1439743,98.73499298,45.5965004,98.72293854,45.6475296,101.2045593,70.64989471,195.4017487,119.9952087,181.0877075,358.5375366,173.2008057,416.3112183,140.768158,363.3010254,83.69303894,187.3623199,27.5750351,63.43400574,174.096817,43.79315186,113.652092,20.99031448,56.59194565,6.958306789,28.13075638,0.804346204,1.159641504,6.854394436,2.23854351,2.422035933,0.508251011,1.442276001
0.15,6.482063293,6.737274647,3.381634235,21.82289886,13.49823761,18.19197464,56.57562256,25.52132034,85.13648987,37.29621887,60.26718903,96.41403198,44.61865234,95.98069,44.85973358,99.00119781,69.02618408,192.7984314,118.698822,179.9673767,360.0371399,173.5737,419.3814087,141.5065918,371.239624,85.07859039,193.6211395,28.16783905,64.96735382,184.3239746,45.83976364,122.7134171,22.13856316,59.14687347,7.183178902,26.82660294,0.792774916,1.162585616,6.498110294,2.127775192,2.171561241,0.506351292,1.433171034
0.2,6.09240818,6.331066132,3.187130451,20.61553574,12.741292,17.33071899,54.00987625,24.56189728,82.41242981,36.23327255,58.70970154,95.27352905,44.06715393,94.48527527,44.61557388,98.46028137,68.59552002,192.5618591,118.7943954,180.8026581,364.5996399,175.2374115,424.7618713,143.2954254,380.4539185,87.10074615,201.3013153,29.00508881,67.12791443,195.1017151,48.0484314,131.6821289,23.35844994,62.15097427,7.426151276,26.01818085,0.785997331,1.172917008,6.300571442,2.048640251,1.996889114,0.5104146,1.435825944
0.25,5.697504997,5.921580315,2.990980387,19.43933296,12.01528645,16.52999306,51.63148117,23.69794273,79.96691895,35.26533127,57.3925972,95.03746796,43.8625946,94.23531342,44.91911316,99.60680389,69.40154266,194.8186951,120.3562775,183.8643951,372.6513062,178.4432831,433.2735901,146.3199005,391.4642029,89.71768188,210.2835693,30.0027504,69.67710876,205.7539825,50.23784637,140.2928925,24.51443863,65.15377808,7.662709713,25.56437302,0.795930803,1.205205917,6.268821239,2.002417803,1.906947136,0.520078778,1.462388158
0.3,5.335126877,5.544040203,2.810299635,18.40711784,11.39249802,15.85022259,49.59811783,22.96895409,77.9168396,34.44046402,56.33224106,95.30865479,43.87294769,94.89546967,45.54080582,101.6571655,70.86634064,198.3728638,122.6228638,187.8026886,380.5949402,181.6299286,441.2927551,149.2779236,401.0711975,92.16702271,218.381134,30.91604614,71.9944458,214.8544312,52.16192627,147.4470825,25.49553871,67.70481873,7.852560043,25.42968559,0.820106804,1.2467134,6.370132923,2.002581358,1.90813756,0.534735203,1.505145311
0.35,4.940323353,5.132217407,2.613550901,17.31012344,10.73790359,15.13894558,47.49575424,22.2089653,75.77215576,33.55072784,55.21474457,95.91591644,44.00894928,96.34450531,46.45284653,104.63591,72.96591949,203.298111,125.5941849,192.5105286,388.6018066,184.7229309,449.0874939,152.2447968,409.9771729,94.63288879,226.2749176,31.83226013,74.28586578,223.6059265,54.10190201,154.0900269,26.4697113,70.10432434,8.009757042,25.52902222,0.849511623,1.290779948,6.510016918,2.01387167,1.930760145,0.549842179,1.554394364
0.4,4.542417526,4.718715668,2.416534185,16.20440483,10.08815384,14.41138077,45.3428421,21.38148499,73.2587204,32.43598175,53.84120941,96.30618286,44.00355911,97.95846558,47.29130554,107.7045288,75.06335449,207.6901245,128.1477966,196.0714264,393.8062744,186.2827606,453.0214844,153.9544067,414.2825928,96.11051941,231.5861969,32.40587616,75.727211,229.8014374,55.42120743,158.5401611,27.09298706,71.62889099,8.092875481,25.60718346,0.870777547,1.321769118,6.591748714,2.016091585,1.9433496,0.558387101,1.582182765
0.45,4.149141788,4.311222076,2.223376274,15.08490753,9.444292068,13.63916492,42.97850418,20.38972473,70.02975464,30.92367935,51.87086487,95.85343933,43.56932449,99.00260925,47.75149536,110.2347946,76.68524933,210.2464142,129.7279053,197.8118286,395.3304749,185.6527557,451.2321472,153.5650482,411.5788879,95.94746399,233.0357208,32.40038681,75.78759766,231.9247894,55.77552032,159.8710175,27.19330025,71.91464996,8.109799385,25.6574955,0.876733124,1.330465317,6.580654621,2.002697945,1.929693818,0.557774782,1.571313262
